id,created_at,text,retweet_count,tweet.retweeted
850469241295953921,2017-04-07 22:04:02,RT @verica_kurta: Let’s earn rewards in @Farmville2! Follow the URL to win! #farmrewards retweet tks https://t.co/FYlP1R8Ttf https://t.co/o…,2,False
850461694317002754,2017-04-07 21:34:03,RT @italhempwick: Twitter Giveaway! To enter : Retweet for your chance to win Ital Hempwick Lighter sleeve - 2 smalls - 1 large and free sa…,4,False
850439044102324224,2017-04-07 20:04:03,RT @creevypier: What are you doing #eastersunday ? Fancy winning a fantastic meal for 2 #ballyshannon #creevy #donegal Like and retweet thi…,6,False
850431491670765568,2017-04-07 19:34:02,RT @johny140: Follow @Game_2_Gamer RETWEET TO ENTER our #contest for a chance  #WIN a #NintendoSwitch #NESclassic Console bundle ENDS 4/20/…,7,False
850423940380073985,2017-04-07 19:04:02,RT @FullSail: CONTEST: Retweet to enter to win 2 tickets to a movie of your choice at @EnzianTheater! https://t.co/lkW82lWo4k https://t.co/…,27,False
850408842450042882,2017-04-07 18:04:02,RT @StateMorgantown: LAST CALL! Follow and retweet last night's tweet to win 2 TICKETS for tonight's concert!!! 😈 #letsgetit #LiveAtState h…,5,False
850401292782641153,2017-04-07 17:34:02,"RT @henrypham1991: #FridayGiveaway! Come visit us @AnimeMatsuri #HTX booth 405! Follow,RETWEET, &amp;LIKE 4 a chance 2 win today ^_^ #Erin #Ani…",2,False
850393744184672260,2017-04-07 17:04:02,RT @StateMorgantown: Only 2 hours left to retweet and follow us for a chance to win tickets to the Lil Wayne concert!!! #LiveAtState #Final…,4,False
850386196014526466,2017-04-07 16:34:03,RT @helloemilyarrow: *Retweet for a chance to win a free copy** because TODAY IS SUCH A HAPPY DAY!!! Volume 2 is officially out. https://t.…,53,False
850378643159298052,2017-04-07 16:04:02,"RT @Chefcases: 2 Hour 3x Strawberry Slaughter Cases Giveaway!

To win:
- Retweet+Follow
- Go: https://t.co/JlOXe7qa4y
- Tag two friends htt…",840,False
850371093613379584,2017-04-07 15:34:02,RT @Game_2_Gamer: Follow @Game_2_Gamer and RETWEET to enter #MassEffectAndromeda #Xbox #giveaway &amp; #WIN @bioware @EA @masseffect Ends 4/14/…,328,False
850363543258095616,2017-04-07 15:04:02,"RT @LedoPizza: 🗣Friday 🔁 GIVEAWAY
Retweet for a chance to win a 
$25 #LedoPizza Gift card. 
2 winners picked randomly at 10pm 4/7/17 https:…",1292,False
850355994240724992,2017-04-07 14:34:02,"RT @RedSoxFund: We're giving away 2 G.A. tickets to our Bacon &amp; Beer Festival on Saturday, May 13th! Retweet for your chance to win! https:…",33,False
850348442522091520,2017-04-07 14:04:02,"RT @EliteBettingSyn: Annoying that MOUNT MEWS couldn't quite get the win, at least MIGHT BITE wins, let's have a good ride from the last 2.…",4,False
850340896566595585,2017-04-07 13:34:02,RT @PrincipleVits: We're giving you the chance to win 2 month supply of our Beauty Bubbles!  Retweet &amp; we'll pick a winner! #competition #g…,3,False
850333342692241411,2017-04-07 13:04:01,"RT @Society_gg: 2 Hour AK-47 | Fuel Injector Giveaway!

To win:
- Retweet+Follow
- Go: https://t.co/T5IXybm4Up
- Tag two friends https://t.…",1975,False
850318246523940865,2017-04-07 12:04:02,"RT @POPS_TLG: CLASH ROYALE CLAN BATTLE! EPIC,FUN! JOIN THE CLAN TODAY! clan called ""born 2 win"" retweet this plz https://t.co/uQ7O9ccFhN",4,False
850310692750204928,2017-04-07 11:34:01,RT @AgeUKexeter: Our mischievous egg people are on the loose! Get a £2 entry from our reception &amp; join the hunt - win an #Easter Egg pls re…,4,False
850295594837004288,2017-04-07 10:34:02,"RT @skill4win: Who will #win 2day? Retweet, Register &amp; Reply 2 Win Cash! # @TheGujaratLions VS @KKRiders @IPL 
https://t.co/R0CAp8ZqRd
#con…",8,False
850280496999399424,2017-04-07 09:34:02,RT @ScreenboundPic: RETWEET + FOLLOW for the chance to #Win the latest title from the Black House label 'Crimson'. 2 winners will be chosen…,41,False
850272952511741952,2017-04-07 09:04:03,RT @RealB0tSpotter: Are you ready? Follow me + Retweet to win Rick Stein's nunga-chunting Acidic Munchkin Cruise for 2 - picked 1984 https:…,4,False
850257846470008832,2017-04-07 08:04:02,RT @SEATINGPLANBOT: retweet and follow to win https://t.co/NycknDGuEj,2,False
850242749844512768,2017-04-07 07:04:02,"RT @AskHorstmann: Follow &amp; RETWEET for your chance to win a PRIZE PACK! When we reach 900 followers, we will randomly pick 2 friends to win…",48,False
850235200508317696,2017-04-07 06:34:03,RT @stix_2: #first #Friday #freebie #Competition retweet &amp; follow us for a chance to win a batch of our fantastic new essential @stix_2 too…,85,False
850227651637788672,2017-04-07 06:04:03,"RT @jflessauSpam: Freebie Alert! Fav, Follow &amp; Retweet &amp; you can win 2 in 1 mutton-winking Humanoid Postman Safety Shoe - GLOBAL https://t.…",2,False
850220100300947457,2017-04-07 05:34:02,"RT @artyju: #RETWEET #FOLLOW @LilEddies 4 a Chance 2 #WIN a #PRIZE from @LilEddies @ebay-UK Store #phonecases ,#flipflops #sunglasses Thank…",3,False
850212551631585280,2017-04-07 05:04:03,RT @MoreFreeBingo: https://t.co/DRYsjLbgS2 #Retweet #Win Google Wind #Feyenoord #Rotterdam #Ajax #Amsterdam #Feye #Fey #Voetbal #Knvb #Ered…,4,False
850197450023239680,2017-04-07 04:04:02,"RT @GearGifts: #Jewelry / #necklace
Cats Eye #Pendant! #contest &amp; #giveaway!
1. #Follow
 @GearGifts 
2. #Retweet to #WIN
https://t.co/2e3VX…",138,False
850189899588415488,2017-04-07 03:34:02,RT @jakewagnermusic: Rebel Eclectic-Tunes from @artofsonia  @TheSecondSpirit @GMDavismusic @brumby and more + you wanna see @boniver Retwee…,12,False
850182347957964801,2017-04-07 03:04:02,RT @RealB0tSpotter: Look! Just follow me and Retweet to win a Call of Duty fidge-ogling Exploding Dosser Wipe - 2 winners https://t.co/kLws…,7,False
850174798466621441,2017-04-07 02:34:02,"RT @followandrt2win: follow and retweet to win $2,000,000",1,False
850159701312643072,2017-04-07 01:34:02,RT @AuthorJNSagel: (Retweet &amp; Follow 4 a chance 2 win) Winners are DMed - https://t.co/tYSeur00ig       @HyperRTs @AlienRTs #SyriaHoax #fro…,8,False
850129499241021440,2017-04-06 23:34:01,"RT @Emmetcahill: RETWEET to win 2 FREE TICKETS to my upcoming  tour.  I hope you enjoy the video folks ;)

https://t.co/IG0AkCpHgt",130,False
850121949649018880,2017-04-06 23:04:01,RT @_dogandbone_: #RETWEET #FOLLOW @LilEddies 4 a chance 2 #WIN a #PRIZE #lileddies @eBay @eBay_UK #phonecases #sunglasses #flipflops https…,60,False
850114401910878212,2017-04-06 22:34:02,"RT @LynnDenault: K-2 staff @RCCDSB Want 2 B in a draw 2 win ""Taking Shape"" by @drcathybruce at Trent U about spatial reasoning  Like and re…",6,False
850106853396795392,2017-04-06 22:04:02,RT @MoreFreeBingo: https://t.co/DRYsjKTG0u #Retweet #Win Google Wind #Feyenoord #Rotterdam #Ajax #Amsterdam #Feye #Fey #Voetbal #Knvb #Ered…,2,False
850099303205023744,2017-04-06 21:34:02,"RT @Mandy_Emmerson: 🌟⭐🌟⭐🌟⭐🌟⭐🌟⭐🌟
1/2 - COMPETITION! To win the tickets courtesy of @TheBandMusical  please tag, retweet &amp; hashtag #TheBandFa…",15,False
850091754099441668,2017-04-06 21:04:02,"RT @BelaCoin: 2000 Twitter followers and 800 in our Slack (https://t.co/svrqXFXtTb)! Like, follow, and retweet for a chance to win 2,000 $B…",137,False
850084202766884864,2017-04-06 20:34:02,"RT @Inchp2p: To be in with a chance to win 2 complimentary passes for the races, just follow us @Inchp2p and retweet. Winner announced satu…",16,False
850076653049065472,2017-04-06 20:04:02,RT @arms_sportsmans: New menu launch 24th April. Retweet this post for a chance to win a meal for 2! Winner picked 20th April https://t.co/…,5,False
850069101775122432,2017-04-06 19:34:02,"RT @esteemmagazine1: Follow @esteemmagazine1 &amp; RETWEET for a chance to WIN a BOTTLE OF WINE, DINNER and B&amp;B for 2 at @peasehillhouse  #brad…",53,False
850061555362394112,2017-04-06 19:04:02,"RT @ManchesterWAXIS: #COMPETITION TIME! #WIN 2 x return tickets on #waxiMCR! Just follow, retweet and download the app here to enter! https…",13,False
850054003052470273,2017-04-06 18:34:02,RT @DKCanada: It's time to love your #backyard again #Toronto! Retweet this to win 2 tix to the Backyard Living Expo @backyardexpo https://…,7,False
850046455851175936,2017-04-06 18:04:02,"RT @nuuttikallioine: 🖤Franklin Giveaway🖤

♦️To Win♦️
-Retweet
-Follow me and notification on

Ends when 40rt or 8.4 clock 15.00 utc +2
#CSG…",67,False
850031354981101568,2017-04-06 17:04:02,RT @johny140: Follow @Game_2_Gamer RETWEET TO ENTER our #contest for a chance  #WIN a #NintendoSwitch #NESclassic Console bundle ENDS 4/20/…,17,False
