id,created_at,text,retweet_count,tweet.retweeted
850245728257560577,2017-04-07 07:15:53,"RT @vaquerizasjm: Chromatin architecture emerges during zygotic genome activation independent of transcription
https://t.co/9Rwt4wPiIG @vaq…",44,False
849321430852538368,2017-04-04 18:03:03,RT @nils_gehlenborg: We're not done yet w/ Hi-C visualization: meet HiPiler! https://t.co/90qscZtwl6 A complementary approach to HiGlass: h…,26,False
848116492440752129,2017-04-01 10:15:03,Functional Enhancers As Master Regulators of Tissue-Specific Gene Regulation and Cancer Development. https://t.co/VP6oJpEhAZ,7,False
847752223580839937,2017-03-31 10:07:35,Long-read ChIA-PET for base-pair-resolution mapping of haplotype-specific chromatin interactions. https://t.co/xTld0oibqT,15,False
846671729942446080,2017-03-28 10:34:05,Quality of TCR signaling determined by differential affinities of enhancers for the composite BATF-IRF4… https://t.co/UTm6bTLkZF,3,False
846614587881480192,2017-03-28 06:47:01,RT @Gene_Regulation: Andrew Feinberg &amp; Co: blocks of DNA methylation similarity between individuals/cancer patients correlate with TADs htt…,28,False
846614550292107264,2017-03-28 06:46:52,"RT @Gene_Regulation: Form and function of topologically associating genomic domains in budding yeast 
https://t.co/rZ3OjWvaY3 TADs regulate…",15,False
845689796664217600,2017-03-25 17:32:14,RT @mruizvelley: Check out our latest review on chromatin structures conveying functionality! @zauggj https://t.co/ki31YeX0dk @3D_Genome @l…,20,False
845221671690690560,2017-03-24 10:32:04,Identification of genetic variants affecting vitamin D receptor binding and associations with autoimmune disease. https://t.co/8ghKNuzpDo,0,False
844923106007371778,2017-03-23 14:45:41,"RT @mikhailspivakov: Our paper on the rewiring of promoter interactions during human ES cell differentiation is out! 
https://t.co/mzKQ44Ju…",24,False
844858660127830021,2017-03-23 10:29:35,The Vitamin B12-Dependent Photoreceptor AerR Relieves Photosystem Gene Repression by Extending the Interaction of… https://t.co/MXkGfpTwlp,0,False
844486145811603456,2017-03-22 09:49:21,"@CarmeloFerrai nope, thanks for the link.",0,False
844486049145507840,2017-03-22 09:48:58,"RT @RobBeagrie: ""GAMtools: an automated pipeline for analysis of Genome Architecture Mapping data"" https://t.co/Dhuc2R0Yz8 my first preprin…",8,False
844485800830156800,2017-03-22 09:47:59,RT @GraingerLab: Spatial organization of DNA sequences directs the assembly of bacterial chromatin https://t.co/3OG7rdsqGE,1,False
844130744280657920,2017-03-21 10:17:07,Priming of transcriptional memory responses via the chromatin accessibility landscape in T cells. https://t.co/kcAkQ2DOS4,4,False
844130737859190785,2017-03-21 10:17:05,Molecular endocrinology of vitamin D on the epigenome level. https://t.co/eYI9CqdDCh,1,False
844109743920693249,2017-03-21 08:53:40,RT @biorxivpreprint: Preservation of Chromatin Organization after Acute Loss of CTCF in Mouse Embryonic Stem Cells  https://t.co/e94r2AF97H…,10,False
844108042790748160,2017-03-21 08:46:54,Chromatin-associated RNA sequencing (ChAR-seq) maps genome-wide RNA-to-DNA contacts @jsonlabgeek @WJGreenleaf https://t.co/BKh9O5Ozej,15,False
844106753461633025,2017-03-21 08:41:47,SMiLE-seq identifies binding motifs of single and dimeric transcription factors @BartDeplancke https://t.co/aDzZlWfZYR,6,False
842683732742078465,2017-03-17 10:27:12,HUGIn: Hi-C Unifying Genomic Interrogator https://t.co/fBVyfV9KDo,6,False
842327463397101569,2017-03-16 10:51:31,Chromosomal dynamics predicted by an elastic network model explains genome-wide accessibility &amp; long-range couplings https://t.co/Fxq8J8Qckf,1,False
