id,created_at,text,retweet_count,tweet.retweeted
848176803797716992,2017-04-01 14:14:43,RT @DJWhooKid: Happy Birthday!! @TonyYayo 🇦🇪🇦🇪🇦🇪🔥🔥🔥🔥🔥 from #Dubai @lloydbanks 💨💨💨🇦🇪🇦🇪🇦🇪 https://t.co/xFjfQ1ACpm,128,False
844002459215433728,2017-03-21 01:47:21,RT @GerardButler: Last week on the #DenOfThieves set. Going to miss these dudes. https://t.co/KLSvSBNFpS,290,False
841727071156092929,2017-03-14 19:05:46,"https://t.co/bF0uuKnjbl 
Don't miss out #SMSAUDIO https://t.co/lHkpL5Hih9",149,False
838809701311733760,2017-03-06 17:53:11,I had a good time doing this show. Tonite don't miss it #effenvodka @snoopdogg @MarthaStewart #MarthaAndSnoop https://t.co/5Hf3zwhDWt,364,False
829434031842410496,2017-02-08 20:57:37,"I added a video to a @YouTube playlist https://t.co/KlY0dlHo1r Uncle Murda - Thot ft. Young MA, Dios Moreno",128,False
829394050482577408,2017-02-08 18:18:45,This is just the beginning @unclemurda got one this is fire🔥 THOT ♫ https://t.co/fMY9W9PCQ3,370,False
828347881434259461,2017-02-05 21:01:39,Playboy x @Effenvodka party in Houston last night was lit 🔥. #effenvodka https://t.co/tUAoWwM6yE,365,False
828336949861687298,2017-02-05 20:18:13,Playboy is still playboy since 1953. Effen Vodka is the new wave 🌊. #effenvodka https://t.co/czUjW8Xmv2,468,False
826928959334051840,2017-02-01 23:03:22,RT @thisis50: https://t.co/ZtWBSpdncE Check out the behind the scenes @unclemurda - THOT 🔥🔥 starring @50cent x @YoungMAMusic,80,False
826919317660979203,2017-02-01 22:25:03,"I liked a @YouTube video from @50cent https://t.co/roSuJcVb6R Uncle Murda - THOT (Behind The Scenes) feat.50 Cent, Young M.A. &amp; Dios",89,False
826910797976784903,2017-02-01 21:51:12,BTS: Uncle Murda Ft. Young M.A. &amp; Dios Moreno - Thot: https://t.co/roSuJcVb6R via @YouTube,95,False
826868600841654272,2017-02-01 19:03:31,https://t.co/gbMsPQN51v new sh!t UNCLE MURDA thot 🔥🔥🔥,164,False
826852267248799746,2017-02-01 17:58:37,"RT @BETMusic: Missed the premiere of 'Thot' from @UncleMurda ft @YoungMAMusic &amp; Dios Moreno on JAMS?! We got you!
How we feeling about thes…",173,False
818539763061915649,2017-01-09 19:27:41,RT @HipHopNMore: #5 on our Favorite Songs Year-End list of 2016: @50cent x @chrisbrown - 'I'm The Man'. Full list: https://t.co/9CbdsOYd8j…,282,False
811291764875292672,2016-12-20 19:26:44,The night after Christmas it's going down. https://t.co/Gb0flG7Xbi https://t.co/nlB1NTG8Gb,286,False
811018975685574656,2016-12-20 01:22:46,https://t.co/3MDnmWwi6P buy 2 get the 3RD FREE now #SMSAUDIO https://t.co/lNO1Kcf2Dc https://t.co/nvYIE4ZPEA,199,False
809689855676522496,2016-12-16 09:21:19,"Self, Nas, jungle, 50, @unclemurda  is up Next welcome to New York. https://t.co/BIqqExoBhR https://t.co/5MEdDPOy7Q",574,False
809648343550980097,2016-12-16 06:36:22,"I'm not surprised,I can't wait to hear the truth about what that was like. https://t.co/nj1SWuHFCm https://t.co/jlak4VJAFz",712,False
809622629627871234,2016-12-16 04:54:11,Mood: right now I get the job done. https://t.co/g3LMmhmvWG https://t.co/hsG4gFAbC8,336,False
809620168838148096,2016-12-16 04:44:24,I start training for this project tomorrow Extreme discipline. https://t.co/1XuA3OpcsD https://t.co/j9j874pZwp,192,False
809499210412331009,2016-12-15 20:43:46,"RT @Complex: ""get rich or die trying"" https://t.co/F2pC93ksSF",577,False
809498233143721984,2016-12-15 20:39:53,RT @MusicChoice: .@50cent with that @theweeknd realness over on Facebook. We see you! https://t.co/lkKDPO3upG,163,False
809497820948557825,2016-12-15 20:38:14,@iwearfrigo 🔥 @harryconnickjr #FRIGO #EFFENVODKA https://t.co/CG3X8chTZt https://t.co/7ls3nBuV40,66,False
809494184616988673,2016-12-15 20:23:47,"RT @HarryConnickJR: i need a cool rap name and ""harry"" just ain't cutting it. yo, @50cent! help me out! #hiphopharry #HarryTV https://t.co/…",105,False
809494058569793536,2016-12-15 20:23:17,Had FUN with  @harryconnickjr peep this  https://t.co/hdqhZjb558,60,False
809440899524657153,2016-12-15 16:52:03,"Damn that's a lot of time for trying to leak a POWER script. 😆 he fucked up, and paid the … https://t.co/ZanCJmx1sE https://t.co/fxNjsKVtcf",166,False
809026059530276868,2016-12-14 13:23:38,"This is crazy, I was just watching this guys video. Saying damn he got something different… https://t.co/bW8NovqI6M https://t.co/tUifMDXjK7",597,False
808764199392448512,2016-12-13 20:03:05,My man young toon out in DC going hard. E MoBB life style. #EFFENVODKA https://t.co/FWiArdtvQW https://t.co/8sqtgvSI3F,82,False
808636364803768320,2016-12-13 11:35:07,"I can't sleep, I don't know what's wrong with me. https://t.co/HuaKVOaVMe https://t.co/1BrbQgDcht",334,False
808490532691464194,2016-12-13 01:55:38,"Ain't nothing wrong with my phone stop calling,Im not picking up. I'm working on my new pr… https://t.co/vFOOAUtRVM https://t.co/uKIMzKvlGJ",254,False
808389300849098752,2016-12-12 19:13:23,"I'm off the POWER train, champ is gonna do the show. Go to him for more info, I gotta do s… https://t.co/i34dHlSrwC https://t.co/OBKyOId4ni",740,False
808354978314276865,2016-12-12 16:56:59,"I'm on the move again, Golden globs can suck a dick. I except my series POWER was not inte… https://t.co/V32ocfFZbY https://t.co/uYX3BFYb6z",406,False
808011461582876673,2016-12-11 18:11:59,"LMAO 😂 you went in the wrong spot fool. That's good for your ass, stealing hard working pe… https://t.co/BTZVkVDcYU https://t.co/E7OB7u57yg",944,False
807390017018544128,2016-12-10 01:02:35,"This is were its at tonight, @djenvy &amp; ya boy pull up. #EFFENVODKA https://t.co/QZEixhaljv https://t.co/SaLuS2cyU3",89,False
807250321252749312,2016-12-09 15:47:29,"KING OF PRUSSIA, PA it's going down Tomorrow come out #FRIGO #EFFENVODKA https://t.co/j3PgsZrsvN https://t.co/IzV3Eu9siu",118,False
806147849436151809,2016-12-06 14:46:39,"I'm on this right here, after my first hit of this, I been addicted. #FRIGO #SMSAUDIO https://t.co/U7rQWVBdbV https://t.co/cNhrydqRAs",297,False
806080462783389696,2016-12-06 10:18:53,"I told Kevin Liles back stage at a show. I'm not a sucker, I'm a hustler. You gotta kill m… https://t.co/r3zcTWpPYx https://t.co/BsHsMt3a0p",167,False
805934633284206592,2016-12-06 00:39:24,"Oh you know we ain't playing, get with the Program EMOBB. #EFFENVODKA https://t.co/A40ojpXEF6 https://t.co/QxHlEyRWFH",151,False
805844674313392129,2016-12-05 18:41:56,I retract my earlier statements about the legal services provided to me by the law firm of… https://t.co/kkqCA7jOOR https://t.co/bMAoSPDjDP,222,False
805259266575699968,2016-12-04 03:55:44,Miami art Basel there are some really talented artist out here right now. #EFFENVODKA #SMS… https://t.co/xtA1LCVd4h https://t.co/iRuJXHerEs,150,False
805257996557316097,2016-12-04 03:50:42,"Lol it going down tonight, Turn down for what? #EFFENVODKA https://t.co/3XY1JA3k6j https://t.co/qXRDBrOSVw",72,False
805256821996929024,2016-12-04 03:46:01,Bout to head there. Art Basel its lit MIAMI #EFFENVODKA https://t.co/tKmWeerEqG https://t.co/zFm2uRSnQF,71,False
805166148379504640,2016-12-03 21:45:43,"Drink don't drive,EFFEN VODKA uber every where it's Litt🔥. LMAO #EFFENVODKA https://t.co/PpfEsXlkKG https://t.co/8FJ6QgTjen",203,False
805102640195633152,2016-12-03 17:33:22,It's going down tonight MIAMI come out #EFFENVodka take over https://t.co/enUG1TGhEs https://t.co/0ckWhPTokF,71,False
804830309850247168,2016-12-02 23:31:13,MIAMI its about to go down this weekend  #UberSEAPLANE . this sh!t crazy #UBERxEFFEN #EFFE… https://t.co/aGgb9n2n7I https://t.co/95tsfZSY3q,100,False
804773059563552768,2016-12-02 19:43:44,"This is some body you should follow, my man is official. @andino.edgar #EFFENVODKA https://t.co/f4wibUugd8 https://t.co/edTYnOMda4",54,False
804736745946435584,2016-12-02 17:19:26,"I was out last night, but I got up and puts some work in. #EFFENVODKA https://t.co/Evu70OKbRE https://t.co/pwHcAV8FGN",195,False
804612730011480064,2016-12-02 09:06:38,"@djself had LUST lit 🔥for Rotimi Birthday Day. E MOBB Life style, #EFFENVODKA https://t.co/yNckmGr7Bd https://t.co/aPH4dlubJc",46,False
804549907432538116,2016-12-02 04:57:00,"Man I had fun on that show, Leah Remini was cool. #EFFENVODKA #FRIGO #SMSAUDIO https://t.co/AbXcGr1aAy https://t.co/RCBMJfO5DC",80,False
804523550195519488,2016-12-02 03:12:16,"It's your Boy Rotimi From POWER, Birthday Bash in Brooklyn tonight. I'm going we lit🔥 #EFF… https://t.co/zvanHIihsO https://t.co/uSm0qt7spQ",60,False
804499593970991104,2016-12-02 01:37:04,lol SATURDAY don't miss it with @MsPattiPatti! Tune in to #PattiLaBellesPlace on Saturday 12/3 at 11 am ET https://t.co/wh77nI76jv,84,False
804495857131393024,2016-12-02 01:22:13,"True story, now EIF is gonna blow. I'm a get him some movie action. I'm big in the street … https://t.co/CNg5yt6Aar https://t.co/18o0imOH8R",114,False
804430432989278208,2016-12-01 21:02:15,"What 😳, they doing YOGA? 🤕 https://t.co/MnX4O6dNKl https://t.co/4FvUoSr3AB",86,False
804288587361558528,2016-12-01 11:38:36,"I stop by watch what happens live, to talk about my limited edition FRIGO CROWN line. #FRI… https://t.co/Z7Rvxsc345 https://t.co/TE2qG5FhE7",113,False
803925500292988928,2016-11-30 11:35:50,If you can't find the time to Vote for the show. Don't complain when I don't have more epi… https://t.co/85O5SRAfu0 https://t.co/wO607LZVPR,525,False
803910833340354560,2016-11-30 10:37:33,"This one right here is the real deal, I ain't gone hold you up. 😆 I laugh every time I loo… https://t.co/UbMfK0zwRp https://t.co/YvmyDjpg07",192,False
803641056352931843,2016-11-29 16:45:33,"He said Daddy, let's do crazy face pictures. Lol #SMSAUDIO https://t.co/z5ku2wbhCI https://t.co/8qnQSpYivF",383,False
803570461506420736,2016-11-29 12:05:02,"Vote for POWER, season 4 is in progress.#EFFENVODKA #FRIGO #SMSAUDIO https://t.co/DpXj73Pp3P https://t.co/ZNUZgLaqUv",272,False
803349397803241473,2016-11-28 21:26:36,VOTE POWER @peopleschoice NOW  https://t.co/hg4gntue0y https://t.co/HY62MOhhTi,414,False
803011179962650625,2016-11-27 23:02:39,I liked a @YouTube video https://t.co/Fk8lAY6rWq JayO - Whippin,75,False
802342431429709824,2016-11-26 02:45:17,"RT @thisis50: NEW MUSIC! 🔥🔥 @Akon Ft. @otgenasis &amp; @DJWhooKid - RIDE DADDY 
https://t.co/OPS4XDSfhT https://t.co/Te4fssd3w1",178,False
801602555545534465,2016-11-24 01:45:16,tonight watch SETH MEYERS 12:35PM EST ON NBC #EFFENVODKA https://t.co/EyJtMv7F4p,154,False
800798241843478532,2016-11-21 20:29:13,RT @IWearFrigo: Upgrade your underwear drawer with 50 Cent's new line: https://t.co/YqMgRNlGrY #iwearfrigo https://t.co/tjdDFmTE2O,105,False
799777022851645441,2016-11-19 00:51:16,🔥🔥 @Joka118 #EFFENVODKA https://t.co/sAoipxPmM8,176,False
798654885721935872,2016-11-15 22:32:17,VOTE for POWER . best show on TV https://t.co/Jcji2Uur2L @peopleschoice,515,False
798546097107038213,2016-11-15 15:20:00,RT @MysticRed5: My thoughts on The State Of Black Music &amp; Beyond. https://t.co/JFweqDUHhX?,51,False
793521309137440768,2016-11-01 18:33:17,Vote POWER for Favorite Premium Drama Series  @PeoplesChoice Awards.  vote daily https://t.co/lSDBhrAh0T #PowerTV,323,False
792380347203907584,2016-10-29 14:59:31,E MOBB LIFE STYLE @djcamilo we stay lit🔥. #EFFENVODKA https://t.co/XHQxn0maa9 https://t.co/bu3ikC9skd,122,False
792265979455741952,2016-10-29 07:25:03,The difference between me and the other guys is I make it happen. #EFFENVODKA https://t.co/ssH2e0Iatk https://t.co/rm7O9fieAD,202,False
