id,created_at,text,retweet_count,tweet.retweeted
850441263832862720,2017-04-07 20:12:52,RT @JackAllTimeLow: 🖤 https://t.co/WE3876SyYU,917,False
850347711387897857,2017-04-07 14:01:07,"RT @HOBOrlando: ON SALE NOW — @AllTimeLow - Young Renegades Tour with @SWMRS, @Waterparks and @weareTheWrecks on 8/7! Secure tix at https:/…",186,False
850044160962949120,2017-04-06 17:54:55,"Hamburg tonight, let's do this! https://t.co/lpZcPmY2jq",524,False
849985224771604480,2017-04-06 14:00:44,RT @AlexAllTimeLow: Literally like 4 left. Get to getting. https://t.co/VWYZYilrzY,350,False
849646721013514240,2017-04-05 15:35:38,RT @riandawson: Europe has been amazing so far. Thank you to Cologne and Amsterdam for great shows. Onto Hamburg… https://t.co/S69Y7jnkJV,383,False
849630888094781440,2017-04-05 14:32:43,"RT @HOBOrlando: JUST ANNOUNCED — Due to popular demand, @AllTimeLow has added a 2nd show on 8/7! Tix go on sale 4/7 at 10AM! Info: https://…",370,False
849615983681703936,2017-04-05 13:33:30,RT @KerrangMagazine: Find out everything from Alex Gaskarth's UK tour diary! https://t.co/vBfqT9uzLk https://t.co/nFAsPokGYQ,255,False
849158602338308096,2017-04-04 07:16:02,RT @AlexAllTimeLow: Thanks 3FM! Amsterdam tonight! iParty https://t.co/IOrRHHeD60,619,False
849088762571362310,2017-04-04 02:38:30,RT @FBRWebstore: The Red Vinyl Version of @AllTimeLow 'Last Young Renegade' will ONLY be sold here: https://t.co/P2jXdTQzA1 https://t.co/YF…,334,False
849011506029232130,2017-04-03 21:31:31,"Dirty Laundry is up to 2 million views! If you haven't watched it recently, notice a familiar song at the beginning?😏https://t.co/gLp3jp1WvE",957,False
848614202956709888,2017-04-02 19:12:47,@letyourdemonsgo it's awesome!,2,False
848597365783224320,2017-04-02 18:05:52,@Crowntheashley happy to help ;),8,False
848596751070228480,2017-04-02 18:03:26,https://t.co/wpBZWpfvCJ https://t.co/Srg2dOekCF,1485,False
848354456567783426,2017-04-02 02:00:38,RT @PULPLiveWorld: PH HUSTLERS! TODAY IS THE DAY! Head on to an @smtickets outlet near you &amp; grab your ticket to #ATLinMNL2017! Join them o…,277,False
848275180854104069,2017-04-01 20:45:37,RT @PULPLiveWorld: Tickets for @AllTimeLow's The Young Renegades Tour are on sale in a few hours! Go to the nearest @smtickets at 10am! #AT…,192,False
848274823973396482,2017-04-01 20:44:12,@madsatl they're up on Facebook! :),13,False
848256812726013954,2017-04-01 19:32:38,"That's a wrap for the U.K. &amp; Ireland tour. Thanks for the amazing shows! Next up: Germany, Netherlands, France, and… https://t.co/7XmEWiqARB",1184,False
847972741521211392,2017-04-01 00:43:50,"RT @O2academybrix: We've got some videos on our FB &amp; Instagram from tonight's @AllTimeLow show! Go relive every second of it ❤
Thanks for a…",317,False
847969086286028802,2017-04-01 00:29:19,US dates are starting to sell out! Get your tickets for the Young Renegades Tour presented by @rockstarenergy at… https://t.co/RKh5geXU3h,454,False
847904819725701120,2017-03-31 20:13:56,@iesjoberg 😂,2,False
