id,created_at,text,retweet_count,tweet.retweeted
850472789266108416,2017-04-07 22:18:08,"#FACT US created only 98,000 jobs in March, vs 180,000 expected.",64,False
850457342298791937,2017-04-07 21:16:45,Hi @realDonaldTrump! Now that have a better understanding of the humanitarian crisis in Syria will your policy on accepting refugees change?,319,False
850424140070866944,2017-04-07 19:04:49,Hillary Clinton: We Can't Protect Syrian Babies While Banning Refugees https://t.co/grWE3U0z63,241,False
850423242967973888,2017-04-07 19:01:15,RT @USATODAY: U.S. allies react with support for the U.S. missile strikes on Syria: https://t.co/Cz7yAjRxFQ #SyriaStrikes https://t.co/qEXD…,1294,False
850422646076563458,2017-04-07 18:58:53,RT @mayawiley: Demand #accountability of our elected officials. #TownHall https://t.co/futOhz3QqS,37,False
850407961541451776,2017-04-07 18:00:32,"#ChildrenofSyria have already suffered far too much, for far too long. Support UNICEF's relief efforts: https://t.co/Gy4wnsOIVX @UNICEFUSA",106,False
850392780337795072,2017-04-07 17:00:13,RT @AP_Politics: BREAKING: Senior U.S. military officials say Pentagon looking into whether Russia participated in Syrian chemical weapons…,1978,False
850384727316078592,2017-04-07 16:28:13,"@PaixPeaceSalam Yes, carbs are just like sugars in your body.  I don't eat breads, rice, or pastas. #atkinsxalyssa",1,False
850383670628188160,2017-04-07 16:24:01,@rgiver78 Yes!!!! https://t.co/pvqnxohiTq #atkinsxalyssa,1,False
850382422428528640,2017-04-07 16:19:03,My newest #atkins blog is up --  Before Atkins and Living With Atkins https://t.co/OkZBtjKM3h #atkinsxalyssa,19,False
850381982039236608,2017-04-07 16:17:18,@halladayfan32 I try to make meals that the entire family can enjoy - tacos with lettuce 'shells' or veggie noodles. #atkinsxalyssa,4,False
850380602872299520,2017-04-07 16:11:49,@Pheramuse I try recipes using in season vegetables + grilled chicken or fish.  Great ideas: https://t.co/IQgjGjFUnO #atkinsxalyssa,5,False
850379696298766337,2017-04-07 16:08:13,@Fargitay I like a quick protein shake and fresh berries. #atkinsxalyssa,3,False
850378573269659648,2017-04-07 16:03:45,"@Carlychristina8 Congratulations, what a great feeling!  Keep up the good work!  #happyweight #atkinsxalyssa",2,False
850377874116935680,2017-04-07 16:00:59,"Good morning!  Atkins chat starting right now, join using  #atkinsxalyssa",13,False
850371351735095296,2017-04-07 15:35:04,"All your old tweet on Syria in one place , @realDonaldTrump! https://t.co/D7ji3t46uH",207,False
850370784929492992,2017-04-07 15:32:48,"RT @SenSanders: As the most powerful nation on earth, the United States must work with the international community to bring peace and stabi…",1306,False
850368351859879936,2017-04-07 15:23:08,"UNICEF is on the ground, working to provide nutrition, medicine &amp; more to #ChildrenofSyria. Here's how you can help: https://t.co/Gy4wnsOIVX",162,False
850367320337809408,2017-04-07 15:19:02,Hmmmm..... https://t.co/FVPwmDHzIh,34,False
850204374634610688,2017-04-07 04:31:33,Key Points on Sarin: The ‘Most Volatile’ of Nerve Agents https://t.co/NqiHQGvnpo,82,False
850202273992949761,2017-04-07 04:23:12,Another tweet that's the opposite of a fine wine https://t.co/i0QX4YqbGR,837,False
850201510797496322,2017-04-07 04:20:10,Oil prices jump 2 percent after U.S. launches missile strike in Syria  https://t.co/dN9R1w59vX,227,False
850191842092208129,2017-04-07 03:41:45,This tweet is the opposite of a fine wine. https://t.co/vnqCS3hMiX,582,False
850190991319609344,2017-04-07 03:38:22,"RT @NickKristof: Trump is right to make Syria pay a price for war crimes, and taking out airfields is the best approach. I do worry about h…",517,False
850173743024541697,2017-04-07 02:29:50,RT @heykim: #POTUS #Trump #Syria  https://t.co/b5yTm2Vmr2,37,False
850131620006957056,2017-04-06 23:42:27,"RT @chrislhayes: Again, the reason that we didn't strike Syria back in 2013 was that basically no one in Congress wanted to vote to authori…",5979,False
