id,created_at,text,retweet_count,tweet.retweeted
844248539022721024,2017-03-21 18:05:11,Thanks sir . It's very good decision. https://t.co/lOHRJJk3J7,0,False
844247969918582784,2017-03-21 18:02:56,Sir Ji . Kya kiya krte ho aap . https://t.co/ar64Yb440V,0,False
844247220341919746,2017-03-21 17:59:57,@Alok99167675 # aap ko bhi,0,False
841979512904654852,2017-03-15 11:48:53,RT @KapilSharmaK9: Hahahahaha #holiday #enjoy #workout #Melbourne https://t.co/KzD49p0tbv,926,False
837713728401461248,2017-03-03 17:18:11,@pearline01080,0,False
815805346128265216,2017-01-02 06:22:06,Happy new year to all .,0,False
785720177715400704,2016-10-11 05:54:22,Happy dassehra https://t.co/z1g41bNRlq,0,False
785719385692385284,2016-10-11 05:51:14,@SrBachchan @dna,0,False
785719021962301440,2016-10-11 05:49:47,Happy dassehra to all .,0,False
777884373504831488,2016-09-19 14:57:41,Always remaining word to Vivek Sir ..,0,False
777435789554659328,2016-09-18 09:15:10,At office https://t.co/5PELWnyE8o,0,False
777413823154180097,2016-09-18 07:47:53,@subhashchandra hello sir ..,0,False
777412173408509953,2016-09-18 07:41:20,Today create some new think .. For future .,0,False
777410672426557440,2016-09-18 07:35:22,@Annecarpenter57,0,False
