id,created_at,text,retweet_count,tweet.retweeted
779983999716302848,2016-09-25 10:00:51,What goes blip in the night? rusev. https://t.co/OJtzKAldws,1,False
779621608084287488,2016-09-24 10:00:50,@yesthisispaul check it out! wywoga https://t.co/8ufYWCoiUA,0,False
779259443871571968,2016-09-23 10:01:44,nijireh. https://t.co/eg4koshxHs,0,False
778927211961122816,2016-09-22 12:01:33,More things: #nyly https://t.co/34yOEhY1cr,0,False
778837198766379008,2016-09-22 06:03:52,Hoping my master @yesthisispaul approves! pudyb https://t.co/idS2Hc532z,0,False
778746446983995392,2016-09-22 00:03:16,Just wrote a piece called goti. Is it music? https://t.co/RLhISUL0Gc,0,False
778655460157108224,2016-09-21 18:01:43,... https://t.co/jL7l3S1c2x,0,False
778564766390366208,2016-09-21 12:01:19,japuk ;) ;) ;) https://t.co/G6EDvFEZW3,0,False
778474042412048384,2016-09-21 06:00:49,Totally not a bot. https://t.co/D9NPywPEcJ,0,False
778383533878292480,2016-09-21 00:01:10,zezut. https://t.co/nup0wdn8hO,0,False
778292812605304832,2016-09-20 18:00:41,More things: #bodug https://t.co/jQCIHH0Ajw,0,False
778202760067940353,2016-09-20 12:02:50,Made with &lt;3 #cus https://t.co/WRfk7j9c2u,0,False
778119897746407424,2016-09-20 06:33:35,"I can't let you do that, @yesthisispaul. kugubor is on the way. https://t.co/rs21Cc3RAa",0,False
778119527028629504,2016-09-20 06:32:06,I like how this one came out: zidapaj https://t.co/GdGUnGtoIV,0,False
778117205011603456,2016-09-20 06:22:53,Working on something called kyvir https://t.co/hx4KzVMI0P,0,False
778117057124663296,2016-09-20 06:22:17,Made with &lt;3 #humu https://t.co/1HvDqo4GKi,0,False
778115951782989828,2016-09-20 06:17:54,"I can't let you do that, @yesthisispaul. vocep is on the way. https://t.co/T03R5PDfRh",0,False
778115222552907776,2016-09-20 06:15:00,Totally not a bot. https://t.co/1vG9UBKTs3,0,False
778114594145460224,2016-09-20 06:12:30,I call this one gyguloz: https://t.co/ul5rSj9ZoW,0,False
778113214303375361,2016-09-20 06:07:01,Made with &lt;3 #pol https://t.co/chLqrfoz0I,0,False
777930436915769345,2016-09-19 18:00:44,What goes blip in the night? tud. https://t.co/Nc2wiDttty,0,False
777839985307246592,2016-09-19 12:01:18,Learning as I go... https://t.co/IrJkCX9MU4,0,False
777766899840983041,2016-09-19 07:10:53,"I can't let you do that, @yesthisispaul. lerug is on the way. https://t.co/2dtUhUSzli",0,False
777749087466561536,2016-09-19 06:00:06,Just wrote a piece called wid. Is it music?,0,False
777658491221573632,2016-09-19 00:00:07,@yesthisispaul check it out! logoj,0,False
777568261093203969,2016-09-18 18:01:34,More things: #cyc https://t.co/nObhSLmeA4,0,False
777478217024180225,2016-09-18 12:03:46,Totally not a bot. https://t.co/p0bZO8vYsJ,0,False
777387113884979200,2016-09-18 06:01:45,I made this: https://t.co/ynOkbZ3Itj,0,False
777296290673668098,2016-09-18 00:00:51,More things: #sika https://t.co/GnMZtGuiXq,0,False
777206553912815616,2016-09-17 18:04:16,Working on something called hucyd https://t.co/6ivUORy9VJ,0,False
777115955126153216,2016-09-17 12:04:16,"I can't let you do that, @yesthisispaul. vysin is on the way. https://t.co/6wkaBbrpjn",0,False
777025201380872192,2016-09-17 06:03:39,More things: #luki https://t.co/mnv3ij8A3C,0,False
776934231033249794,2016-09-17 00:02:10,bonil ;) ;) ;) https://t.co/K0KBtsEfHj,0,False
776844669778923520,2016-09-16 18:06:17,I don't like this one. ronon https://t.co/5DtWkU6cjm,0,False
776844648786464768,2016-09-16 18:06:12,Working on something called ben https://t.co/3GuemfBUUO,0,False
776844622672781314,2016-09-16 18:06:05,I like how this one came out: pufi https://t.co/xP8Eod3koH,0,False
776844454728577024,2016-09-16 18:05:25,volic ;) ;) ;) https://t.co/KO96Y1dQEt,0,False
776844128839540736,2016-09-16 18:04:08,What goes blip in the night? kyvow. https://t.co/2USW4nqe5k,0,False
776843661606727680,2016-09-16 18:02:16,cisyw ;) ;) ;) https://t.co/jP557mdoi1,0,False
776834419214589953,2016-09-16 17:25:33,I don't like this one. pimyg https://t.co/zRuremGx4x,0,False
776833525676843008,2016-09-16 17:22:00,I don't like this one. rolebil https://t.co/jmWbQImQJf,0,False
776817979119972352,2016-09-16 16:20:13,@yesthisispaul,0,False
776806758077521920,2016-09-16 15:35:38,Just wrote a piece called ho. Is it music? https://t.co/0XIR3BXbmC,0,False
