id,created_at,text,retweet_count,tweet.retweeted
850400521068306432,2017-04-07 17:30:58,"@eliusive1 @Emily_Carrion @TFFOM @vivavania I'm so proud of this community we are cultivating - strong, smart kick… https://t.co/zTnbasfZzO",0,False
850204854261751808,2017-04-07 04:33:27,So in life...so beyond. ❤ https://t.co/W9eZcFw3sE,0,False
850165350129913858,2017-04-07 01:56:29,"RT @BerniceKing: ""The past is prophetic in that it asserts loudly that wars are poor chisels for carving out peaceful tomorrows."" #MLK",280,False
850088511025721344,2017-04-06 20:51:09,@ulysseas @edyong209 Oh dear. Let us know if you start redesigning your brain... :),0,False
850086819181993984,2017-04-06 20:44:26,"I heart Cephalopods. Octopuses do something really strange to their genes, writes @edyong209 https://t.co/W8m3nMPvGl",0,False
849801114471940097,2017-04-06 01:49:08,"Look at this great group! Excellent sponsorship, @Emily_Carrion and @TFFOM ! I see you @vivavania !! https://t.co/y0F8nNzZvA",2,False
849787183321931776,2017-04-06 00:53:47,Woo hoo!!! https://t.co/PnN2jyFCbC,0,False
849472250252341248,2017-04-05 04:02:21,"I have tried to keep my feed a little lighter and less political, given the crazy going on. But this must be shared… https://t.co/E1cUC3Accs",1,False
849416534959177728,2017-04-05 00:20:57,"RT @BananaKarenina: There is a kind of owl called the ""elf owl"" that may often be seen looking reproachfully out of a cactus. https://t.co/…",2474,False
849129522754539520,2017-04-04 05:20:28,Great reference on mentorship... https://t.co/jpNipeiyUh,1,False
849045123119722496,2017-04-03 23:45:06,"RT @Australia: Norman's a little shy about the gap between his front teeth, but he can't help but smile! (via IG/wayne115085) on #MariaIsla…",104,False
848627695621521408,2017-04-02 20:06:24,Just AWESOME @LeslieFeinzaig !!! https://t.co/cVfOfE6z7s,0,False
848599608334745600,2017-04-02 18:14:47,Tiptoeing through the #pikeplacemarket tulips!!! https://t.co/TxEx1DwHxj,1,False
848496743247261696,2017-04-02 11:26:02,An amazing sight - a pink Seattle Ferris Wheel!  #womensfundingalliance #thepowerofwomen https://t.co/pPX3WIMqVz,0,False
848391448529588225,2017-04-02 04:27:38,Thanks #Women'sFundingAlliance and #LizVivian. I'm all in!!! https://t.co/VH4BJAoXTZ,0,False
847949576275247104,2017-03-31 23:11:47,RT @SeattleEconomy: We strongly believe Seattle will be the city that cures cancer. This donation will bring us closer. https://t.co/e3q95B…,7,False
847651649610948612,2017-03-31 03:27:56,@vivavania @Emily_Carrion Our tribe is amazing!!! So glad you two met! ❤❤,0,False
847623452965994503,2017-03-31 01:35:53,I always say this. https://t.co/yvWT6kz3b0,0,False
847622152006152192,2017-03-31 01:30:43,Distraction quiz. I got Phthalo Blue!  What Shade Of Blue Are You? https://t.co/br2dfxe1UC via @maritsapatrinos,0,False
847264277882732544,2017-03-30 01:48:39,Rock star - @dmahugh is amazing tonight at the @PyLadiesSEA and @ps_python Eastside Talknight!! https://t.co/iB2xu42p64,2,False
846919215281926145,2017-03-29 02:57:30,And a special shout out to the awesome @fortunato911 and @LauraCatPJs who inspire us so very much. ❤❤ https://t.co/Ke9p8GnqBR,0,False
846915638773764096,2017-03-29 02:43:17,@heysunnyseattle ❤❤❤,0,False
846915023314206720,2017-03-29 02:40:51,@heysunnyseattle - totally and always! #zion2017,0,False
846823205020971008,2017-03-28 20:35:59,RT @matthowland: I too shall have a biscuit. #london https://t.co/pXX5QiNgOM,2,False
846801852532322304,2017-03-28 19:11:09,RT @uniquelyHR: Values take energy; instill and live them at every level. @CreativeLive @VirginAtlantic #helloseattle,1,False
846798933892358144,2017-03-28 18:59:33,"@chasejarvis: there are so many things in the world you can't choose, but you can choose your people. #helloseattle #businessasanadventure",0,False
846798233716219904,2017-03-28 18:56:46,Every little thing must sparkle... (how to make people fall in ❤️ with your brand) @richardbranson #helloseattle #businessasanadventure,0,False
846797127908974592,2017-03-28 18:52:22,@CreativeLive @chasejarvis - grit is not talked about enough in entrepreneurship. #truth #businessasanadventure #helloseattle,0,False
846788855285989376,2017-03-28 18:19:30,I have an amazing seat! @virginatlantic @richardbranson #helloseattle #businessisanadventure https://t.co/NDScj13knt,0,False
846545087848865793,2017-03-28 02:10:51,#truth https://t.co/v3Q5NAF2Op,0,False
846505468553904128,2017-03-27 23:33:25,Awesome opportunities!!! https://t.co/kf2jWo6f6E,1,False
846058038150623232,2017-03-26 17:55:29,@ChickChatWomen - it is an evergreen tweet for these times. 😊😊,0,False
846052581373702144,2017-03-26 17:33:48,"Today's distraction. The world could use a little more love buzz.  Organic, of course. https://t.co/JKyxgF7Ku6",0,False
846029993813598209,2017-03-26 16:04:03,"RT @neiltyson: Happy March equinox, when day almost equals night. Atmospheric refraction hastens sunrise &amp; delays sunset, adding to daylight",15506,False
845351716681924608,2017-03-24 19:08:49,Awesome to see the #rebootseattle program getting attention. They rock!!! https://t.co/MmHPuoaEkL,0,False
845049565258698753,2017-03-23 23:08:11,"Well done, @PattyMurray - best comment of the day on this one! https://t.co/kt0VZYGThX",0,False
845042801750487040,2017-03-23 22:41:18,An all time favorite... https://t.co/kQaO7KMOzZ,0,False
845037226891362305,2017-03-23 22:19:09,"I'm pro-dandelion. Agile, humble and tenacious... https://t.co/YE39whUwbD",0,False
845025263998177280,2017-03-23 21:31:37,And this is EVERY day now... https://t.co/adZLDEHUo9,0,False
844933285352554500,2017-03-23 15:26:07,❤ Grit And Guts - The New Face Of Female https://t.co/AT58tT9dnH # via @HuffPostUK,0,False
844922606918795268,2017-03-23 14:43:42,I'm always impressed by the resilience and kindness of the British people. Sending all my best to those impacted by the attack yesterday. ❤,1,False
844673374861344768,2017-03-22 22:13:20,RT @TelegraphNews: #WeAreNotAfraid: Londoners start a Twitter trend as they defiantly proclaim the terrorists haven't won https://t.co/U8P0…,243,False
844655038622547968,2017-03-22 21:00:28,And so it begins &gt; #restingbizface. Check it out - @payscale is doing great things on #genderequity issues. https://t.co/1EY59Xqo6Q,1,False
844295869461606400,2017-03-21 21:13:16,"Worth a look, worth a vote!  @ruthef does amazing work, so I'm shamelessly supporting her for this award! https://t.co/7qs7WOjAnA",1,False
844275069237035008,2017-03-21 19:50:37,@JustinZorn - An amazing piece!  Well done!,0,False
844227366494916608,2017-03-21 16:41:03,Cultivating periods of deep silence; the power of quiet. Posting it here for a reason. https://t.co/uuaK7rhEPi,2,False
843919576958230528,2017-03-20 20:18:01,The #touristtrifecta #london https://t.co/E8pSIO0glb,0,False
843634035620544512,2017-03-20 01:23:22,Such a great org @NAWMBASeattle !  Should be a fantastic dialogue! https://t.co/XFJQEgyHwu,1,False
843550594455552001,2017-03-19 19:51:48,#londonispink https://t.co/OXAQlb7SNT,0,False
843160041825980416,2017-03-18 17:59:53,Magic in the clouds. @delta - Seattle &gt; London.  Thanks for a smooth and beautiful ride! https://t.co/RbXmnDhouC,0,False
843145342669504517,2017-03-18 17:01:29,Saw this on my way into town today.  ❤❤ https://t.co/XPPYZRMvGz,0,False
842844928795336704,2017-03-17 21:07:44,RT @kiro7chopper: The #OlympicMountains making a quick appearance this afternoon  before the #WAwx clouds roll in.  #OlympicPeninsula #Puge…,8,False
