id,created_at,text,retweet_count,tweet.retweeted
849926055309697024,2017-04-06 10:05:37,LncFunNet: an integrated computational framework for identification of functional long noncoding RNAs in mouse… https://t.co/zSERrVtfNm,0,False
849926046749085696,2017-04-06 10:05:35,BEESEM: Estimation of Binding Energy Models Using HT-SELEX Data. https://t.co/NGWXNWctUH,1,False
849570335422676992,2017-04-05 10:32:06,"PfAP2Tel, harbouring a non-canonical DNA-binding AP2 domain, binds to Plasmodium falciparum telomeres. https://t.co/5nlw5unZ8a",0,False
849570332834807808,2017-04-05 10:32:06,Glucocorticoid Receptor ChIP-seq Identifies PLCD1 as a KLF15 Target that Represses Airway Smooth Muscle Hypertrophy. https://t.co/5SBOGXa3EY,0,False
849200557818499072,2017-04-04 10:02:45,NGSCheckMate: software for validating sample identity in next-generation sequencing studies within and across data… https://t.co/KHA9I3xYw0,0,False
849200556329521152,2017-04-04 10:02:44,Germline TP53 mutations result into a constitutive defect of p53 DNA binding and transcriptional response to DNA… https://t.co/TQaBUWBeJL,0,False
849200554559524864,2017-04-04 10:02:44,GenoGAM: Genome-wide generalized additive models for ChIP-seq analysis. https://t.co/MV1iQeFUwJ,0,False
847758777206030337,2017-03-31 10:33:37,COPAR: A ChIP-Seq Optimal Peak Analyzer. https://t.co/IklMhBApWM,0,False
847758772948815873,2017-03-31 10:33:36,Genome-wide analysis of the response to nitric oxide in uropathogenic Escherichia coli CFT073. https://t.co/zXmypOH6zX,0,False
847392504617947137,2017-03-30 10:18:11,SMARCAD1 Contributes to the Regulation of Naive Pluripotency by Interacting with Histone Citrullination. https://t.co/RuL0tmK5BK,0,False
847392496174878720,2017-03-30 10:18:09,Identification of Candidate Functional Elements in the Genome from ChIP-seq Data. https://t.co/J4TNw1NnyF,0,False
847392487295426562,2017-03-30 10:18:07,ChIP-seq for the Identification of Functional Elements in the Human Genome. https://t.co/EvooSaso8R,1,False
847392480806838272,2017-03-30 10:18:05,The RegA regulon exhibits variability in response to altered growth conditions and differs markedly between… https://t.co/PgyQt7oykx,0,False
845218440126185472,2017-03-24 10:19:14,Mocap: large-scale inference of transcription factor binding sites from chromatin accessibility. https://t.co/yMw1zJeL7d,0,False
845218435231469568,2017-03-24 10:19:13,ChIP-seq analysis of the LuxR-type regulator VjbR reveals novel insights into the Brucella virulence gene… https://t.co/Pl3s7ISx21,0,False
845218430861029376,2017-03-24 10:19:11,Recognition but no repair of abasic site in single-stranded DNA by human ribosomal uS3 protein residing within… https://t.co/C1y2SpgS7D,0,False
845218427186757633,2017-03-24 10:19:11,An algorithmic perspective of de novo cis-regulatory motif finding based on ChIP-seq data. https://t.co/Z01rrFt1mL,0,False
845218423328034816,2017-03-24 10:19:10,Computational modeling of in vivo and in vitro protein-DNA interactions by multiple instance learning. https://t.co/2gTGYuX7Ih,1,False
845218417669922817,2017-03-24 10:19:08,Global analysis of canola genes targeted by SHORT HYPOCOTYL UNDER BLUE 1 during endosperm and embryo development. https://t.co/WdW1JdRdQS,0,False
844854803578572804,2017-03-23 10:14:16,"Behavioral, transcriptomic and epigenetic responses to social challenge in honey bees. https://t.co/N6G8QPFWG9",0,False
844854787757662209,2017-03-23 10:14:12,Atrophin controls developmental signaling pathways via interactions with Trithorax-like. https://t.co/FQTjukW6gg,0,False
844854777221541888,2017-03-23 10:14:10,The Vitamin B12-Dependent Photoreceptor AerR Relieves Photosystem Gene Repression by Extending the Interaction of… https://t.co/qqROY249pb,0,False
844854773270511616,2017-03-23 10:14:09,Foxh1 Occupies cis-Regulatory Modules Prior to Dynamic Transcription Factor Interactions Controlling the… https://t.co/dEK80BAOZU,0,False
844854765133611008,2017-03-23 10:14:07,NeuroD factors discriminate mineralocorticoid from glucocorticoid receptor DNA binding in the male rat brain. https://t.co/SxseYxz7cN,0,False
844133760073310209,2017-03-21 10:29:06,Molecular endocrinology of vitamin D on the epigenome level. https://t.co/a6viFYWfG4,0,False
842685471788425216,2017-03-17 10:34:07,H3 ubiquitination by NEDD4 regulates H3 acetylation and tumorigenesis. https://t.co/lKaqVaXdkg,0,False
842685466281308160,2017-03-17 10:34:06,RUNX1-ETO Leukemia. https://t.co/RyFuq3zT6C,0,False
842685462334472192,2017-03-17 10:34:05,MKL1 defines the H3K4Me3 landscape for NF-κB dependent inflammatory response. https://t.co/RCYubYDm7Q,1,False
842320076032241665,2017-03-16 10:22:10,Long non-coding RNA NEAT1 is a transcriptional target of p53 and modulates p53-induced transactivation and… https://t.co/iAggj4d5gs,0,False
842320071913480194,2017-03-16 10:22:09,Transcriptional landscape of the human cell cycle. https://t.co/kNFAZf0vsz,2,False
842320067433967616,2017-03-16 10:22:08,Bioinformatic approaches to interrogating vitamin D receptor signaling. https://t.co/RbUSeZGKrv,0,False
