id,created_at,text,retweet_count,tweet.retweeted
850232787017674752,2017-04-07 06:24:27,@cmace30 @sk8dr57 So true,0,False
838232177116487680,2017-03-05 03:38:19,@f_andersen30 pas pire pas pire,0,False
838227398575284225,2017-03-05 03:19:19,Unreal! https://t.co/6Hqo6KIiXu,277,False
837901093279420417,2017-03-04 05:42:42,@AnaheimCalling favorite player to watch in the league.,7,False
837899787986857984,2017-03-04 05:37:31,"Looks simple but not many have the patience to do this. This is a ""good way to give yourself time"" with heads up plays like this. Impressive",22,False
837899752234594304,2017-03-04 05:37:23,What's impressive is the look before even touching the puck. Gives him confidence to make the play and the awarenes… https://t.co/pxA7jqj3MQ,149,False
836928745617383424,2017-03-01 13:18:56,@jouneri6 suomi 🇫🇮,0,False
833333132371730432,2017-02-19 15:11:15,@chriskerber @SpaceX #elonmusk love that guy!,0,False
833121358187950080,2017-02-19 01:09:45,@YeolyShit thx for the support,2,False
832234403355099136,2017-02-16 14:25:18,RT @68Jagr: Believe in yourself! And your mind will see the good in every situation.#68 https://t.co/T25cSfpuur,2553,False
830792879136182272,2017-02-12 14:57:12,"Hey Blues fans, hope to see a lot of you @stlsportsco today at 2:30pm. I will be signing autographs until 4pm. See you there!",36,False
830629669586210816,2017-02-12 04:08:40,"I'll be at St. Louis Sports Co. 
146 Chesterfield Mall in Chesterfield 2morrow from 2h30 for a couple hours signing autographs! See u there",28,False
829190357162270722,2017-02-08 04:49:21,And also @tara9191 for the signed puck player of the game :) https://t.co/BPBhuGUb3j,12,False
829188228959854593,2017-02-08 04:40:54,My buddy's son and they came to the game for his birthday! Great gesture 26! https://t.co/KD7y2AzfjJ,15,False
828445286196531203,2017-02-06 03:28:42,The 🐐,20,False
828439703871483906,2017-02-06 03:06:31,Holy Smokes! Wow #SuperBowl,11,False
826194478432153601,2017-01-30 22:24:48,@Finder_24 @marioaube @fredaube28 @Voltigeurs_DRU @QMJHL_FanHouse @TheQNews_Net @McGillAthletics @HockeyRedmen thats it fred! Good job,0,False
824452712993587200,2017-01-26 03:03:39,My thoughts exactly @TSNBobMcKenzie . Everyone goes through it.,9,False
824452529715085312,2017-01-26 03:02:55,"RT @TSNBobMcKenzie: Just know you don't have to confront it alone, that more people than you realize feel same way to varying degrees. Look…",269,False
824452520856711169,2017-01-26 03:02:53,RT @TSNBobMcKenzie: More days than not I'm in a good place but there are times when anxiety can roll in for a visit. That inner voice becom…,320,False
824452515496337408,2017-01-26 03:02:51,"RT @TSNBobMcKenzie: Great job on #BellLetsTalk day, but remember, #letstalk and #letslisten every day of the year and encourage those who n…",4884,False
823893520557674496,2017-01-24 14:01:37,@BrettKissel enjoy my hometown!,0,False
822959715751698432,2017-01-22 00:11:00,@BharrisonBrad @MattHendy26 attaboy hendy congrats,0,False
822189704049201153,2017-01-19 21:11:15,@srheth really good so far! Model X P90DL,0,False
822189332782006272,2017-01-19 21:09:47,@srheth yes few months ago,0,False
822189224266964992,2017-01-19 21:09:21,@elonmusk I have HW1 on model X btw but was curious reading your last series of tweets and the 40% reduction rate of accident which is great,0,False
822188925238251520,2017-01-19 21:08:09,@elonmusk what happens when in AP and accident occurs? Any diff with HW1 vs HW2? Sorry I dont ever wanna find out but still legit question,0,False
821587019419643905,2017-01-18 05:16:24,RT @Hotshots_Bar: Tomorrow: Meet @StLouisBlues F David Perron (@DP_57) at Hotshots Manchester from 7-8:30PM. https://t.co/xchHS2dZWV #Blues…,8,False
