id,created_at,text,retweet_count,tweet.retweeted
850354944796483588,2017-04-07 14:29:52,"This is fascinating:
https://t.co/8lBRRUsjTv",10,False
848745302060347393,2017-04-03 03:53:43,"Finished 13th @shrpo main, you'll find me at the bar",1,False
848260128512122886,2017-04-01 19:45:49,"Might be chip leader in @shrpo main, only 269 more players to get thru",3,False
847902884893274112,2017-03-31 20:06:15,@nealbrennan Great interview,0,False
847471080520376320,2017-03-30 15:30:25,"The guy in the room next door has been shouting into the phone for 20 mins, I don't think he understands how phones work",4,False
846918200818368514,2017-03-29 02:53:28,"@JonDavidWalsh why would you think that, only GOP supported, not 1 Dem in house or senate",0,False
846873766814760960,2017-03-28 23:56:54,@cjdew67 appreciate the feedback,0,False
846862145237200897,2017-03-28 23:10:44,"@cjdew67 Yes, i do think it would be much less corrupt, not close",0,False
846861484831522817,2017-03-28 23:08:06,"@cjdew67 Thanks for your honest answer, although I don't understand it. Do you think this is a good thing for your kids?",0,False
846784788384100352,2017-03-28 18:03:20,"If you voted GOP do u feel represented by the selling out of your internet privacy, polluting of the air &amp; water?",17,False
846470980373544960,2017-03-27 21:16:23,"RT @bridger_w: Libraries were a good start, but we really need to keep working on the number of places where people shouldn't be allowed to…",3337,False
846429081918943232,2017-03-27 18:29:53,"NFL approves Raider's move to Vegas 

https://t.co/u071EiUaID",6,False
844743999567151108,2017-03-23 02:53:58,"Come From Away last night was everything I hoped &amp; more, Glass Menagerie tonight, devastating, may take me weeks to recover #BwayReport",1,False
843532531530186752,2017-03-19 18:40:02,RT @JGoldsbie: Chuck Berry reviewing old punk records remains one of my favourite things. RIP https://t.co/tIIXUb6ZFH,8187,False
843531062559080448,2017-03-19 18:34:12,"Bad trip to Panama, anyone have the Greyhound schedule Panama City - NY, or is there a Megabus?",4,False
843201522871799812,2017-03-18 20:44:43,RT @EliTerry: HAS ANYONE PHOTOSHOPPED HILLARY LURKING IN THE BACKGROUND YET IM NOT NEAR A COMPUTER ILL TAKE CARE OF IT LATER TONIGHT SORRY…,10,False
842441066133491714,2017-03-16 18:22:56,"@AmyTan Looks gorgeous, I want to go!",0,False
842077639275765760,2017-03-15 18:18:48,RT @natemcdermott: Thank God for Serena Williams https://t.co/R5YwnQwI25,77508,False
841663894007484417,2017-03-14 14:54:44,"@Joeingram1 Thanks, have heard great things about the podcast. I'd rather hear Colman, O'Dwyer, Ike, Dan Smith, Koon, Ben T or many others",0,False
841387355701428225,2017-03-13 20:35:52,"He didn't mean wiretapping, he meant microwaves",7,False
841291129068896257,2017-03-13 14:13:30,@briankoppelman love this story!,0,False
841084687770619906,2017-03-13 00:33:10,RT @PokerNews: Interview at #PSCPanama with @Erik_Seidel about the all-time money list race w/ @realkidpoker &amp; @danielcolman_ https://t.co/…,6,False
838633355138588672,2017-03-06 06:12:27,@olivierbusquet Ugly shoes will do it,1,False
838141828893290496,2017-03-04 21:39:18,"Notice, Colman has all the chips https://t.co/TEPX5e4aev",3,False
837151559054086149,2017-03-02 04:04:19,@marykarrlit @Bourdain Bad link to Bronx Academy,0,False
836645712938983424,2017-02-28 18:34:16,"So great that they filmed this, this is must watch comedy https://t.co/6e52luDjqO",1,False
835328046345285632,2017-02-25 03:18:20,"RT @notalogin: People who say ""go big or go home"" seriously underestimate my willingness to go home. Like, it's literally my only goal for…",5156,False
835248487306440704,2017-02-24 22:02:12,"RT @kenvogel: FLASHBACK: @seanspicer in Dec. says Trump WH won't ban specific media outlets. ""That's what makes a democracy a democracy vs…",27509,False
834884272167104512,2017-02-23 21:54:56,"@Joeingram1  @catehall Was a joke, I think most everyone understood that but it concerns me u didn't. #imwithher bigly",2,False
834407181894037504,2017-02-22 14:19:09,@jimjmurray @catehall Was a joke Jim,0,False
834310880498053120,2017-02-22 07:56:29,@catehall stick to politics,2,False
833886347613974528,2017-02-21 03:49:32,"RT @badbanana: Forgot my phone at home, and instead of turning back I went on with my day. Not saying I'm a hero, but a commemorative stamp…",451,False
833867231033511937,2017-02-21 02:33:35,@NetWizardPoker pretty sure I'll miss that one Douhan,0,False
833794925724459008,2017-02-20 21:46:16,"The great @DanielColman_&amp; a slow moving dinosaur chase @RealKidPoker 

 https://t.co/UCgti00fPJ",9,False
833792510308651011,2017-02-20 21:36:40,Fun times in Manila https://t.co/ALyPHZUFuG,4,False
833092023456452608,2017-02-18 23:13:11,RT @PhizLair: 👌👌👌🤘  💜💜 Bruce Springsteen gives teen the guitar lesson of a lifetime while on stage https://t.co/v26CFbUo7C via @mashable,22,False
833010742899175425,2017-02-18 17:50:12,"Lost heads up to @DanielColman_  was very exciting, but he's too good https://t.co/cZn6bUxf6I",16,False
832771028765925377,2017-02-18 01:57:40,RT @ReformedBroker: JFK took a lot of shit in the press for Bay of Pigs. Here’s what he said when asked if he still reads newspapers and ma…,14704,False
832087230269239297,2017-02-16 04:40:29,@elliewong1 Thanks,0,False
831911301043531777,2017-02-15 17:01:24,"@elliewong1 Yes, here for a couple days",0,False
