id,created_at,text,retweet_count,tweet.retweeted
850379436939558913,2017-04-07 16:07:11,"After a legitimate nominee was refused any hearings &amp; a 200 yr old rule was changed, the Senate GOP finally got its way. Gorsuch confirmed.",637,False
850112316326658049,2017-04-06 22:25:45,"- Failed Muslim ban
- Failed healthcare bill 
- Flynn resigned
- Under investigation by the FBI for links to Russia… https://t.co/yRv88OsMBf",1054,False
850085368909119488,2017-04-06 20:38:40,Utterly heartbreaking. https://t.co/5pZQ97nlvR,134,False
850078951015727104,2017-04-06 20:13:10,"RT @ericswalwell: If you're tracking:

Manafort: Gone
Flynn: Booted
Sessions: Walled off
Nunes: Recused

Terrified? Nope. But we'll doggedl…",211,False
850043526993793024,2017-04-06 17:52:24,"Today, the Senate GOP changed a 200 year old rule to confirm a man who has no understanding of the terms equality a… https://t.co/VFB3fVkbxB",977,False
849760695759405056,2017-04-05 23:08:32,"“He apparently hopes to discredit, disrupt or bully into silence anyone who challenges his version of reality.""

https://t.co/lcUYvBQg1K",264,False
849676211919835136,2017-04-05 17:32:49,This headline is par for the course at this point... https://t.co/c2drPRzwSq https://t.co/k1C5ebPokp,51,False
849670215029870593,2017-04-05 17:09:00,"At stake:
-A life lost to gun violence
-A woman's right to choose
-A neighbor banned from our country based on their religion
#holdthefloor",336,False
849631971516964864,2017-04-05 14:37:02,Historic words as the fight for equality continues! Discrimination - in any form - should never be allowed.  https://t.co/UdVPCoSbaZ,59,False
849630886291161093,2017-04-05 14:32:43,"Trump is stripping funding for reproductive health, family planning, HIV/AIDS, &amp; infant mortality in 150+ countries. https://t.co/1hUg0NWPrY",182,False
849426686382944257,2017-04-05 01:01:18,"Part III: 

Institutions under attack: 
-Courts 
-Electoral process
-Intelligence community 
-Media
-Federal agences
https://t.co/3Juts0hZeY",223,False
849387993718804480,2017-04-04 22:27:33,Powerful event today with members of Crime Survivors for Safety &amp; Justice at their Healing to Action event. https://t.co/JIiJX9VVje,21,False
849374258816061441,2017-04-04 21:32:58,"@RightFolks Hi Brian, just wanted to make sure you're aware, no federal dollars go towards abortions. It's a common myth about PP funding.",8,False
849370961665306626,2017-04-04 21:19:52,@savannah_gonz thanks!,0,False
849370086880284675,2017-04-04 21:16:23,"Fixed it for you:
We're overturning a regulation that allowed states to provide vital healthcare &amp; women the right… https://t.co/qrcN5xWRDt",1681,False
