id,created_at,text,retweet_count,tweet.retweeted
850265599313825796,2017-04-07 08:34:50,There's nothing more important than our good health - that's our principal capital asset  #WorldHealthDay,462,False
849614257276809216,2017-04-05 13:26:38,Let the games begin. Let's have a great tournament everyone @IPL https://t.co/TgWe1hhJ50,761,False
849308043103883264,2017-04-04 17:09:51,Time to put thinking hat on here comes @ipl @mipaltan https://t.co/ZOMabwYikU,604,False
849235691225706496,2017-04-04 12:22:21,"RT @mipaltan: With so many questions posed by the Paltan 🤔, it's time @ImRo45 answered them! #CaptainsCorner coming soon...  

#CricketMeri…",331,False
849150806313934848,2017-04-04 06:45:03,To #HaveItAll on the field is not easy but to #HaveItAll in a device is. An #AmazonExclusive launch coming today,267,False
848558654060204033,2017-04-02 15:32:03,"We talk evolution about players, team etc. But this is just amazing...... @mipaltan https://t.co/1gV317DYSn",449,False
846770783686967296,2017-03-28 17:07:41,RT @adidascricket: Get to know your Super Cricketers. #III https://t.co/LwAucWsPQv,290,False
846612157928132608,2017-03-28 06:37:22,नुतन वर्षाच्या आणि गुढीपाडव्याच्या आपणांस व आपल्या कुटुंबियांस लाख लाख शुभेच्छा.,571,False
846604244782342144,2017-03-28 06:05:55,"Do what's right, the right way and at the right time and Team India did that beautifully throughout this season. Brilliant work lads @Bcci",1380,False
845548507771686912,2017-03-25 08:10:48,New mystery guy in the house @imkuldeep18 #Magical. On the other hand brilliant hundred from smith.,945,False
844869951483654146,2017-03-23 11:14:28,"Looking forward to share some of my cricketing experiences, memories, struggles etc through this wonderful platform… https://t.co/47jn92sW3Y",419,False
844425521144512516,2017-03-22 05:48:27,"Undoubtedly the most essential thing for our survival, water. Let's save every drop! #WorldWaterDay",1007,False
843389581303123969,2017-03-19 09:12:00,"Great going Team India, Pujara &amp; Saha brilliant stuff. Another good hour after tea and we should be in a strong position in this Test match",1484,False
842722858623209472,2017-03-17 13:02:41,I have something special planned this year for all you MI fans out there... https://t.co/NjucjMBThz,525,False
842708129511038976,2017-03-17 12:04:09,"RT @mipaltan: Impacting the education of 100,000 children! We believe in #EducationForAll - https://t.co/xYubpRMj7Y

@sachin_rt @ImRo45 @ha…",987,False
841957070194782210,2017-03-15 10:19:42,#Cricket is now #III. Got to say I'm loving this... https://t.co/VPZLfDrhRz,259,False
841175235592388608,2017-03-13 06:32:59,Let the colour of Holi spread the message of peace and happiness.Be safe &amp; remember of not wasting water &amp; being careful of our 🐕 #HappyHoli,903,False
839109151536087040,2017-03-07 13:43:06,Fantástico win by team 🇮🇳 👊,764,False
838064822038097920,2017-03-04 16:33:18,"Those 22 yards are home for me and after 4 months of being away, it's good to be home! It took a lot to get here but worth every second",966,False
836899170019594242,2017-03-01 11:21:25,Always doing your bit for me ha ❤️ https://t.co/2yjF67Ooev,332,False
836871183236808708,2017-03-01 09:30:13,"Finally done with rehab,Can't wait to play Vijay Hazare on 4th &amp; 6th. Thank you to everyone who helped me get here.Counting down the minutes",1101,False
836547419491880961,2017-02-28 12:03:41,Here we go NCA mannequin challenge @MishiAmit @MdShami11 @dhawal_kulkarni #Rajni #Kalyan #Yogi https://t.co/2kFFKKFO1j,417,False
835784926276505601,2017-02-26 09:33:49,Sunday brunch with the boys @dhawal_kulkarni @sranbarinder https://t.co/FQIigk13m3,414,False
835005194110816256,2017-02-24 05:55:26,"Greetings on Mahashivratri, may lord Shiva bless us with peaceful life and noble wisdom. May there be peace in every home",605,False
834711355286491136,2017-02-23 10:27:49,"#FlyingSaha is what we should call him, remember one he took against South Africa in Delhi #IndvAus #Ripper",683,False
833995713486917632,2017-02-21 11:04:07,Man I miss playing......,931,False
833055309199454208,2017-02-18 20:47:17,"Mumbai-Frankfurt-Nuremberg-Herzo-Munich-Herzo-Nuremberg-Frankfurt-Dubai-Mumbai in 48 hours. Crazy 2 days, back to the grind now 🏃 🏋 🏏",184,False
832299206115262466,2017-02-16 18:42:48,.@adidas taking technology to next level for us athletes. Here's where all the magic happens #AtheletesLab… https://t.co/iE5xNyg1t3,334,False
831818759404937217,2017-02-15 10:53:41,Thrilled to be at the Adidas headquarters in Herzo! Thank you for the warm welcome @adidas @adidascricket https://t.co/rBY4hKV8Rk,454,False
831519292835450880,2017-02-14 15:03:42,You should make the person you love feel special everyday but who doesn't love an excuse to celebrate something. Ha… https://t.co/SbAfhsoYpg,577,False
830787063402397696,2017-02-12 14:34:05,Big congratulations to Indian cricket team for lifiting the World Cup!Being blind is a challenge in itself but to overcome that &amp; play 🙏,1250,False
830334553021566976,2017-02-11 08:35:58,The best preparation for tomorrow is doing your best today #MakeEverydayCount https://t.co/NF3JKAMht8,713,False
829294359338242048,2017-02-08 11:42:37,I feel complete again... https://t.co/oN4s2cgpuW,1323,False
827785831884660736,2017-02-04 07:48:16,RT @adidascricket: Guess who's joined us at the adidas Arena today? 🔥🔥🔥 Head over to our #InstagramStories for all the action. ➡️ https://t…,197,False
827784349667962880,2017-02-04 07:42:23,#WorldCancerDay https://t.co/AVOdlviHRX,677,False
824511479659560960,2017-01-26 06:57:10,"68th year of our constitution,let's remember what it took to get here &amp; always strive to make our country and it's people proud #RepublicDay",739,False
822484891149352960,2017-01-20 16:44:13,True all of it 🙏🙏🙏@BarackObama https://t.co/UleiHIGrU8,272,False
822015527325343746,2017-01-19 09:39:08,. @YUVSTRONG12 and @msdhoni looking good out in the middle. Are we in for a vintage Dhoni/Yuvi partnership 😉#INDvENG @BCCI,2304,False
821699993241354241,2017-01-18 12:45:19,"Surely durable, light and good looking, go get yours today. Now available on @amazonIN @snapdeal @Flipkart… https://t.co/qXM6J6sqXI",450,False
820602489296691200,2017-01-15 12:04:14,I think we can chase down this target keeping in mind that all our batsmen are in terrific form #BatterUp #INDvENG,1226,False
820247945647980544,2017-01-14 12:35:24,Quite an actor @ashwinravi99 must say @AristocratBags 🤔,231,False
820246097981538305,2017-01-14 12:28:03,Finally a bag that won't get a 'Wheel Before Wicket'! @AristocratBags have passed the trials. Great bags.… https://t.co/FFurAKcMk8,507,False
819571252830605312,2017-01-12 15:46:28,Time to breakout 😏 Official Trailer #2 | Season 5 | PRISON BREAK https://t.co/Aoi7q4atmr,293,False
819536758748696577,2017-01-12 13:29:24,.@AristocratBags @ashwinravi99 Sure! Let’s give this a shot! https://t.co/cNU3dI4xWN,142,False
819507602015027200,2017-01-12 11:33:32,".@ashwinravi99 Iska toh Wheel Before Wicket ho gaya! If you keep bagging so many wickets, yeh toh hoga hi https://t.co/R97dN9LCBA",302,False
818851282794508293,2017-01-10 16:05:33,It was so nice meeting you @BabitaPhogat such a humble and sweet girl! Keep making us proud and get well soon!… https://t.co/fY6ny74DQz,709,False
818750296830738432,2017-01-10 09:24:17,Touchdown in Delhi time for #AsliDangal. Good luck @updangal see you out there https://t.co/02h7jUH8uJ,791,False
817334523918741504,2017-01-06 11:38:30,Guys thank you for all your concern I'm not fit yet but I am targeting the Australia series if all goes well 🤞thank you for the love.,1605,False
816952203504033792,2017-01-05 10:19:18,"Congratulations to Mumbai team for sealing the final berth, special mention to 17 year old Prithvi Shaw for his maiden 💯@BCCIdomestic",554,False
816721877821313024,2017-01-04 19:04:04,Will miss you at the helm @msdhoni,2273,False
816721788260347904,2017-01-04 19:03:42,A true leader @msdhoni he influenced so many cricketing careers including mine when he asked me to open in the ICC Champions Trophy,4785,False
816572141340606464,2017-01-04 09:09:04,First game of the season for #UPDangal today. Good luck boys! See u you guys soon #PWL,633,False
815525219594948609,2017-01-01 11:48:58,"2016 had its own charm, excited to see what 2017 brings. https://t.co/jOzLYC4S5g",723,False
813025036084871169,2016-12-25 14:14:08,"Merry Christmas 🎄 to all hope the coming year brings joy, prosperity and love ❤️ #SpreadLove",464,False
812927085115244544,2016-12-25 07:44:55,Great meeting this under-16 Mumbai girls team. Such an enthusiastic bunch! Took me back to when I first started https://t.co/fj50oQp1Ka,675,False
812355618031935488,2016-12-23 17:54:06,"Congratulations Indian under - 19 team for winning the finals, winning away from home is always tough,way to go lads #YouthAsiaCup",771,False
811283947137044481,2016-12-20 18:55:40,Happiest birthday @ritssajdeh,310,False
811283419850162176,2016-12-20 18:53:34,"The birthday is finally here!The only person in the world who gets excited 364 days before her birthday,the countdo… https://t.co/pSMMfFJc6R",756,False
811188444512677889,2016-12-20 12:36:10,"4-0 😉! That's sweet, well played boys !",1223,False
808589289978261508,2016-12-13 08:28:04,Can't believe it's been a year already! Never a dull moment with this one @ritssajdeh #MyHappiness https://t.co/OcpvOoe5Cv,860,False
808284317394710529,2016-12-12 12:16:13,Happy birthday @YUVSTRONG12 my  Nostradamus who predicted I'd marry @ritssajdeh 9 years ago. May this year be the b… https://t.co/sE0WsXShUn,912,False
808180970318807040,2016-12-12 05:25:33,Big big congratulations to the boys and support staff for clinching the series. Home season so far has been brilliant.,1047,False
807490012824551424,2016-12-10 07:39:56,Many many happy returns @dhawal_kulkarni wishing you nothing but lots of success and happiness,307,False
806872919607570432,2016-12-08 14:47:49,"RT @DIESEL: Icons Unite. @RenzoRosso and @ImRo45 celebrate the beginning of a new era. 
#MIDiesel https://t.co/AoCzz8Q3JD",210,False
806465696116932608,2016-12-07 11:49:40,What?? Rahane now?? Whats with all the injuries. Kaun laga raha hai nazar team ko,887,False
806098648136372224,2016-12-06 11:31:08,Happy to know that now we can check whether we can drive or need a cab just by using CEAT Breath Analyzers!Do visit:https://t.co/TnO89KVpX5,252,False
806039510538653696,2016-12-06 07:36:09,Wish you a great birthday jaddu. Please tell the whole world your real age. They think your 28 😂😂😂@imjadeja,757,False
805653401522630656,2016-12-05 06:01:53,Many many happy returns partner @SDhawan25 have a great day 🎂 https://t.co/Y9yoqHt08w,365,False
804659358642696192,2016-12-02 12:11:55,Brotherman down! Best wishes to my older brother @YUVSTRONG12 ! All eyes on @ImZaheer now 😏 https://t.co/kYYyqSSCMc,1425,False
804286770338668544,2016-12-01 11:31:23,RT @ritssajdeh: ❤️December❤️💃,138,False
803543891261591552,2016-11-29 10:19:27,I'm at the @IMGReliance office and ready to take on your questions. Hop on to my Facebook page and join the… https://t.co/aML1ZVfHIH,427,False
803149105635606532,2016-11-28 08:10:43,"Hi guys, Live video chat tomorrow on my Facebook page. Go to the link below for details: https://t.co/ICVk3NiDje #LiveWithHitman",303,False
802389949316145152,2016-11-26 05:54:06,Remembering the real heroes who laid their life and saved Mumbai from the terror night #26/11 https://t.co/Oz5Ch7fS4H,1955,False
801770039649169408,2016-11-24 12:50:48,Can't do without my @adidas ZNE hoodie #FindFocus https://t.co/Key1hgD1zN,375,False
801508148314079232,2016-11-23 19:30:08,#HomewardBound ✈️ https://t.co/uLEi8ckjGX,413,False
800638923386986496,2016-11-21 09:56:09,Great victory Team India 🇮🇳 way to go. People in Vizag had their first taste of test victory. Many more to come,1108,False
799685293435736064,2016-11-18 18:46:46,Your presence at the airport was truly felt by everyone around I'm sure 😏 https://t.co/NarMYVuBoJ,226,False
799018384088322062,2016-11-16 22:36:42,.@DGoughie I think both of us were pretty out of it at the time! Shame we didn't meet.Wish you a speedy recover too! https://t.co/ByzI0k5M9p,232,False
797763992752160768,2016-11-13 11:32:12,#ThisDayThatYear #264 🙌✌️️,1456,False
797094215025102848,2016-11-11 15:10:44,All went well. Thank you for your good wishes. Can't wait to be back at it 🏃🏻 https://t.co/llKqRtc3LJ,1744,False
795175653758947329,2016-11-06 08:07:04,"Test debut,the most special day in my career made even more special by receiving my Test cap from @sachin_rt #6Nov13 https://t.co/fBzfUMVAEh",1100,False
794860956073476096,2016-11-05 11:16:34,"RT @StoryPicker: 5th and 6th Nov. See you at Select City Walk, Saket! 🐶
https://t.co/qZruvEnQeE",77,False
794587941133832193,2016-11-04 17:11:42,With the man himself #StanSmith &amp; this lad @RanveerOfficial https://t.co/JSb3uBgtX0,445,False
793888741945380864,2016-11-02 18:53:20,"RT @mipaltan: Congratulations @hardikpandya7 on his maiden Test call-up. Read more about his journey so far with #TeamIndia.
https://t.co/5…",189,False
793373169931395072,2016-11-01 08:44:38,Let's meet? #BeLikeHitman @adidascricket https://t.co/e6h0ElIUMY,237,False
792647910282387456,2016-10-30 08:42:43,"Good 5 weeks of cricket played, look forward to some time with family and friends #ShubhDeepavli https://t.co/BqcjPpGGPm",699,False
