id,created_at,text,retweet_count,tweet.retweeted
850468016479449088,2017-04-07 21:59:10,"I can accept failure, everyone fails at something. But I can't accept not trying. - Michael Jordan",95,False
850458139652739076,2017-04-07 21:19:55,RT @FaithReeI: Dad’s Trying To Teach His Son Instead His Son Is Having Fun With Him! Click&gt;&gt;https://t.co/WSzb5SyxI8 https://t.co/aLR7h6gjt8,55,False
850449233270509568,2017-04-07 20:44:32,A woman is like a tea bag: you cannot tell how strong she is until you put her in hot water. -Nancy Reagan,112,False
850430329726828544,2017-04-07 19:29:25,People of accomplishment rarely sat back &amp; let things happen to them. They went out &amp; happened to things.  Leonardo Da Vinci,109,False
850428080778883074,2017-04-07 19:20:29,RT @The_Gospels: Every Morning is a fresh start. -&gt; Visit https://t.co/1qRf0GTTd3 and sign up for our daily emails. https://t.co/urMhpbEe5k,628,False
850411393371303936,2017-04-07 18:14:10,"Dream your dreams with your eyes closed, but live your dreams with your eyes open.",178,False
850410644423811072,2017-04-07 18:11:12,Live is to short to take it seriously. https://t.co/7rsszcstwY,93,False
850392503387815936,2017-04-07 16:59:06,"We are what we think. All that we are arises with our thoughts. With our thoughts, we make the world.",142,False
850382782119456770,2017-04-07 16:20:29,"RT @FaithReeI: This Drummed Version Of, “How Great Thou Art” Is So Cool! Must See! Click&gt;&gt;https://t.co/VdrEY31OlO https://t.co/Ht9xz5yYvQ",116,False
850373738428346369,2017-04-07 15:44:33,If you think education is expensive try ignorance. - Derek Bok,173,False
850354803607785472,2017-04-07 14:29:18,The greatest weapon against stress is our ability to choose one thought over another.,242,False
850340110013018112,2017-04-07 13:30:55,Remember this. https://t.co/E7b9wIcUxs,201,False
850335887934226433,2017-04-07 13:14:08,"Never be afraid to try something new. Remember, amateurs built the ark. Professionals built the Titanic.",261,False
850322468409618432,2017-04-07 12:20:49,RT @llovmydog: This couch is all mine. https://t.co/cbZirbWQEr,596,False
850317174841409536,2017-04-07 11:59:47,Once you've accepted your flaws no one can use them against you.,214,False
850298222321045504,2017-04-07 10:44:28,"Prayer in action is love, and love in action is service.",169,False
850279251639009281,2017-04-07 09:29:05,"Be slow to fall into friendship; but when thou art in, continue firm &amp; constant. -Socrates",122,False
850272420330053635,2017-04-07 09:01:56,RT @LifeLimits: Can you find a better morning combination? https://t.co/3cyCyFmZ2p https://t.co/ZK0cUQ7wFH,187,False
850269573131542529,2017-04-07 08:50:38,Have faith! https://t.co/kbrS0rcn3s,245,False
850260395319107586,2017-04-07 08:14:09,Don't be pushed around by your problems. Be led by your dreams.,323,False
850241641935917057,2017-04-07 06:59:38,"If it wasn't hard, everyone would do it. It's the hard that makes it great. -Tom Hanks",199,False
850222633819947008,2017-04-07 05:44:06,"If you accept the expectations of others, especially negative ones, then you never will change the outcome. -Michael Jordan",151,False
850203787255873536,2017-04-07 04:29:13,SMALL changes can make a BIG difference.,286,False
850200133643911168,2017-04-07 04:14:42,"RT @TabithaKhaye: Gone Viral! Reba McEntire’s New Song, “Back To God” Is So Good It Gave Us Chills. Click&gt;&gt; https://t.co/F5SolCLQMu https:/…",270,False
850199392652898304,2017-04-07 04:11:45,Your passion is priceless. Never stop the pursuit. https://t.co/AhI8Sbyl8C,248,False
850184891669118977,2017-04-07 03:14:08,"Accept what is, let go of what was and have faith in what could be.",393,False
850171499415822337,2017-04-07 02:20:55,RT @mother_know: I am happy. https://t.co/P7XyomBdFR,4140,False
850166032710983680,2017-04-07 01:59:12,If you have never made a mistake then it means you have never tried something new.,172,False
850147139481214976,2017-04-07 00:44:07,"The best &amp; most beautiful things in life cannot be seen, not touched, but are felt in the heart. -Helen Keller",241,False
850128883118682112,2017-04-06 23:31:35,Have faith and carry on. https://t.co/mEu62iI1hh,171,False
850128324156424192,2017-04-06 23:29:21,"If your only goal is to become rich, you will never achieve it. - John D. Rockefeller",177,False
850112456215187456,2017-04-06 22:26:18,RT @lnspiredLife: Weird. NO. Just ME. RT if this is your stance. -&gt; https://t.co/YaFeNVluO7 https://t.co/FZjqrD0u4b,195,False
850109400572465152,2017-04-06 22:14:10,Choose to look on the bright side.,194,False
850095911632072708,2017-04-06 21:20:34,RT @FaithReeI: Service Dog  Helps Boy Suffering With Brain Injury In An Awesome Way! https://t.co/hj2EJsAuu0,302,False
850090510186405889,2017-04-06 20:59:06,"You can be comfortable or courageous, but you cannot be both.",184,False
850071697189416960,2017-04-06 19:44:20,If we really want to love we must learn how to forgive. -Mother Teresa,266,False
850065700601434112,2017-04-06 19:20:31,RT @The_Gospels: Have FAITH in HIM. Visit -&gt; https://t.co/1qRf0GTTd3 &amp; sign up for our daily emails. https://t.co/f4p2cD2Pnq,1271,False
850058274523275265,2017-04-06 18:51:00,It's better to give then receive. https://t.co/cBu2Z02eRh,200,False
850052766919786497,2017-04-06 18:29:07,No one has ever made himself great by showing how small someone else is. - Irvin Himmel,271,False
850033921219866625,2017-04-06 17:14:14,"If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.",285,False
850020406807363586,2017-04-06 16:20:32,RT @FaithReeI: See Why This Man Was Featured On E60 ESPN. His Story Is Truly Incredible! https://t.co/2pUmurFttT,145,False
850015149968822272,2017-04-06 15:59:38,Turn your wounds into wisdom.,231,False
849996153336864768,2017-04-06 14:44:09,"We were born to succeed, not to fail. - Henry David Thoreau",187,False
849987802620153856,2017-04-06 14:10:58,Imagine the possibilities. https://t.co/2hdI0k9QgS,211,False
849977331791822848,2017-04-06 13:29:22,"The key to success is to keep growing in all areas of life - mental, emotional, spiritual, as well as physical. - Julius Erving",294,False
849958389639675910,2017-04-06 12:14:06,All dreams come true if we have the courage to pursue them.,318,False
849939626441814016,2017-04-06 10:59:32,Those who follow the crowd usually get lost in it.,302,False
849920667923488768,2017-04-06 09:44:12,May your life preach more loudly than your lips.,257,False
849917414276038656,2017-04-06 09:31:16,Truth above all else. https://t.co/pqOfo3b7GQ,348,False
849901764799279104,2017-04-06 08:29:05,You were born with the ability to change someone's life - don't ever waste it.,299,False
849882891811254276,2017-04-06 07:14:06,A pessimist sees the difficulty in every opportunity; an optimist sees the opportunity in every difficulty.,265,False
849864217054281729,2017-04-06 05:59:53,Everyone you meet has something to teach you.,258,False
849846835762081792,2017-04-06 04:50:49,Do it with passion or not at all. https://t.co/z1cPOrzx0m,194,False
849845182841356288,2017-04-06 04:44:15,Do not ask God to guide your footsteps if you're not willing to move your feet.,300,False
849826400471322624,2017-04-06 03:29:37,Do small things with great love.,298,False
849809076250955776,2017-04-06 02:20:47,RT @llovmydog: OMG cuties picture ever. https://t.co/Wlem3R5Hha,917,False
849807397409497088,2017-04-06 02:14:06,"Don't jump to conclusions, there may be a perfectly good explanation for what you just saw. -Proverbs 25:8",264,False
849788762607554560,2017-04-06 01:00:03,Let your smile change the world but never let the world change your smile.,356,False
849776317906255877,2017-04-06 00:10:36,There is nothing better :) https://t.co/gWKtDfLXLt,203,False
849769664624414720,2017-04-05 23:44:10,"In all your ways acknowledge him, &amp; he will make your paths straight. -Proverbs 3:6",149,False
849765586657792000,2017-04-05 23:27:58,RT @Epic_Women: From the Bottom to the Top YOU are PERFECT -&gt; https://t.co/kMbl28e6O2 https://t.co/QOdkj2m7FA,216,False
849750796086521856,2017-04-05 22:29:12,Don't confuse coincidence with the will of God.,205,False
849734724918661122,2017-04-05 21:25:20,RT @TabithaKhaye: Gone Viral! Tiny Premature Twins Just Want To Hold Each Others Hands. Dad Is Stunned! click&gt;&gt;https://t.co/efZfzGc34q http…,217,False
849733488664293377,2017-04-05 21:20:25,RT @FaithReeI: Each person you meet is Jesus in disguise. -Mother Teresa,1774,False
849731916018405377,2017-04-05 21:14:10,"Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth. - Marcus Aurelius",361,False
849713222655647744,2017-04-05 19:59:53,"If you don't like something, change it. If you can't change it, change your attitude. -Dr. Maya Angelou",317,False
849706038714658816,2017-04-05 19:31:21,There is nothing more powerful then someone who has faith and a mission. https://t.co/6A1q6XO730,240,False
849703295622971392,2017-04-05 19:20:27,RT @The_Gospels: Is today's MESSAGE for YOU? Visit -&gt; https://t.co/1qRf0GChOt to sign-up for our daily inspirational emails. https://t.co/v…,1777,False
849694173309620227,2017-04-05 18:44:12,"In the right light, at the right time, everything is extraordinary. - Aaron Rose",154,False
849675521298509824,2017-04-05 17:30:05,"Even if you're on the right track, you'll get run over if you just sit there. -Will Rogers",191,False
849657984401776640,2017-04-05 16:20:24,RT @FaithReeI: World’s Tallest Horse Is A Playful Giant &amp; He Had Our Jaws Dropping! Click&gt;&gt;https://t.co/Y108za50lC https://t.co/3obOUtrjgc,248,False
849656399844057089,2017-04-05 16:14:06,"How you make others feel about themselves, says a lot about you.",354,False
849637542630760448,2017-04-05 14:59:10,At one point in your life you either have the thing you want or the reasons why you don't -Andy Roddick,162,False
849635391183433728,2017-04-05 14:50:37,The best advice I've ever heard. https://t.co/HMqOr5Ix7O,177,False
849618691864109061,2017-04-05 13:44:15,A simple hello could lead to a million things. :),282,False
849599967345987585,2017-04-05 12:29:51,"We could never learn to be brave &amp; patient, if there were only joys in the world. -Helen Keller",176,False
849581640657625089,2017-04-05 11:17:02,RT @Sports_HQ: It's all about them racks! -&gt; https://t.co/UDAHUtun8c https://t.co/YvT7RyiiNC,50,False
849580902065766401,2017-04-05 11:14:06,People too weak to follow their own dreams will always find a way to discourage yours.,347,False
849565112163856385,2017-04-05 10:11:21,GREAT ADVICE https://t.co/9DccOaxV5O,270,False
849562027957923840,2017-04-05 09:59:06,God's plans for your life exceed the circumstances of your day.,288,False
849543211542614016,2017-04-05 08:44:20,Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured. -Mark Twain,266,False
849524363334479874,2017-04-05 07:29:26,Knowing is not enough; we must apply. Wishing is not enough; we must do. -Johann Von Goethe,205,False
849505403234914308,2017-04-05 06:14:05,It is only possible to live happily ever after on a day-to-day basis. -Margaret Bonnano,160,False
