id,created_at,text,retweet_count,tweet.retweeted
850429785863987200,2017-04-07 19:27:15,✨NEW VIDEO ALERT!⭐️ Watch @Laura88Lee and I test out the viral Space Paste glitter!!! 😇 --&gt; https://t.co/N00UITMAdM,67,False
850419748110180352,2017-04-07 18:47:22,Who's going to @IMATS NEW YORK this weekend??? 🌙⭐️ Find my booth w. @beautylish  and shop my entire collection!! https://t.co/qSyCMUpsOb,97,False
850392632874291200,2017-04-07 16:59:37,Newwwww video will be up on my channel in a hour!!! 😇👌🏼,85,False
850369384778420225,2017-04-07 15:27:15,RT @karyn_cole: @JeffreeStar all your products are so satisfing to look at 😍 they slayyyyyyy https://t.co/j7QzEF9VXR,92,False
850368403676160001,2017-04-07 15:23:21,"@sanchezsince94 no, not this year!",2,False
850368301247021056,2017-04-07 15:22:56,@03hannahc https://t.co/vZodky0iOc,3,False
850204835529883649,2017-04-07 04:33:23,✨🌙🔪🌜 https://t.co/6kkyQ2tD8I,387,False
850119248156413953,2017-04-06 22:53:17,"Rocking the ""no brows"" look tonight ❤️ I love looking like a alien 👽",133,False
850117844230520832,2017-04-06 22:47:43,RT @baileighh23: My @JeffreeStar art swatches! 💖 https://t.co/4UuylQvifT,274,False
850115410766700544,2017-04-06 22:38:02,"@siimplyJAYY @MannyMua733 on an individual lipstick, yes!",0,False
850115310241710080,2017-04-06 22:37:38,@ObsidianDeath13 @KEEMSTAR I definitely do now! 🔥,1,False
850115244559015936,2017-04-06 22:37:23,"Sorry I haven't uploaded in a few days, been busy preparing for the @MannyMua733 launch but tomorrow I'm BACK baby 🔥✨",103,False
850107919081250816,2017-04-06 22:08:16,Tomorrow I'll have a new video on my channel feat. @Laura88Lee 🔥 reviewing the viral space paste glitter!! ⭐️,85,False
850084826774290432,2017-04-06 20:36:31,Slayyyyy!! 🔥⭐️ https://t.co/JBXrLW6kls,46,False
850062797048233984,2017-04-06 19:08:58,"Serving you ""no man is safe"" realness 💍⛓🔪⚰️  #ImShook #Eclipse 🌙 https://t.co/8Tve2SBDbp",541,False
850062533704601600,2017-04-06 19:07:56,"@thebryanbreeze Manny and I have already addressed this on Snapchat, everything is fine.",7,False
850061809331523584,2017-04-06 19:05:03,Is everyone ready??? 🌙👌🏼 https://t.co/SQj4aDi7Mg,130,False
850001340021391360,2017-04-06 15:04:46,@logicalharmony that is huge!!!! yasssss,0,False
850000760221736964,2017-04-06 15:02:28,"@vickmystar @HereForTheTea2 @MannyMua733 everything is great, the collab launch is Saturday as scheduled",0,False
850000616742993920,2017-04-06 15:01:53,"@Summer1Velvet I just started using it a few days ago, we will see if it works but I won't be filming a video dedicated with it!",0,False
