id,created_at,text,retweet_count,tweet.retweeted
850420576095219712,2017-04-07 18:50:40,The Rogers High School orchestra &amp; band perform today in #Washington.  Listen to part of the concert at… https://t.co/2rKiIfY1RZ,18,False
850401904530255872,2017-04-07 17:36:28,Senate made the right decision for our nation by confirming Neil Gorsuch as a Justice on the Supreme Court. More &gt;&gt;… https://t.co/S4g7oxSqVf,7,False
850108003567194112,2017-04-06 22:08:36,US formally entered WWI 100 yrs ago today. Historic occasion &amp; sobering opportunity to reflect on global conflict then &amp; now. #WWICentennial,12,False
850029588466073600,2017-04-06 16:57:01,"Judge Gorsuch will be confirmed. Breaking longstanding precedent is unfortunate, but Senate Democrats are to blame: https://t.co/PN3b0JxEMH",16,False
849986571285745664,2017-04-06 14:06:05,I was pleased yesterday to welcome Lake Hamilton and Gurdon High School students who are experiencing #Washington w… https://t.co/LjAgzixL2o,6,False
849716435928719366,2017-04-05 20:12:39,Pleased SASC has approved @usairforce secretary nominee @HeatherAnWilson. Look forward to supporting her nomination on senate floor.,7,False
849702685506981888,2017-04-05 19:18:01,"""Judge Gorsuch has climbed to the top rung of his profession. He is well within the mainstream. He will be confirmed to SCOTUS this week.""",7,False
849700654008479744,2017-04-05 19:09:57,"""Judge Gorsuch is eminently qualified. His credentials are exceptional. His resume is impressive."" #ConfirmGorsuch",7,False
849697532808704000,2017-04-05 18:57:33,Headed to the #Senate floor to show my support for Judge #Gorsuch to serve on the Supreme Court. Watch here. https://t.co/Pml9HxlG6o #SCOTUS,9,False
849681697566314496,2017-04-05 17:54:37,"We can never thank military spouses enough, especially on #GoldStarSpousesDay where we honor those whose spouses made the ultimate sacrifice",5,False
849648815846166529,2017-04-05 15:43:58,Rooting for @uapbinfo in the 28th annual #HSASC National Championship Tournament this weekend. Arkansas is proud of… https://t.co/SHqCeDSWeM,1,False
849630022939926528,2017-04-05 14:29:17,An exciting adventure is ahead for Lavaca #Arkansas teacher Karen Grady as a participant in @TeacherAtSea shark res… https://t.co/IhQDZLfM4Q,4,False
849617720429727744,2017-04-05 13:40:24,Thank you for the warm welcome. I appreciated the opportunity to participate in the Washington fly-in. https://t.co/AT2cVbAgpo,2,False
849383322375598081,2017-04-04 22:08:59,I'm grateful for the support @RofRecovery provides our #veterans. Thank you for your dedication to empowerment thro… https://t.co/KmWzecp3N2,1,False
849329762766135297,2017-04-04 18:36:09,Great discussion w/@BlindedVeterans &amp; @BlindVeterans about the need for collaboration in vision trauma research.… https://t.co/BGW9vLa14b,5,False
849254860549758976,2017-04-04 13:38:31,I'm enjoying talking with Weiner Elementary 5th and 6th graders during our Skype discussion. They're asking some gr… https://t.co/u5W6gk2EcI,3,False
849248183100329984,2017-04-04 13:11:59,Getting ready to join @newsradio1029 to talk about SCOTUS nominee Judge Gorsuch. Listen live https://t.co/qM1t9CTHjI,1,False
849030488463376384,2017-04-03 22:46:57,Senate passed bill to allow iconic #DeltaQueen to operate again. Benefits economies of communities along Mississippi River &amp; its tributaries,4,False
849014887883919361,2017-04-03 21:44:57,Great to visit w/ @RepWesterman &amp; Hot Springs Chamber. Looking forward to sitting down again tomorrow to discuss ne… https://t.co/D5E5HzEsVp,4,False
847854714016468992,2017-03-31 16:54:50,It's a great day to show off the @188thWG and its mission to defend our national security. Thank you @AirNatlGuard… https://t.co/lBIewgja4T,2,False
847776739837267968,2017-03-31 11:45:00,Starting the day in Fort Smith with @5NEWS to talk about a visit to the @188thWG with Dir of @AirNatlGuard. Watch… https://t.co/G99kbIzWRx,7,False
847528891233292292,2017-03-30 19:20:08,What a beautiful day to kick off the celebration honoring the 25th anniversary of @SouthArkCC. Congratulations on t… https://t.co/PDwqRMOCuQ,3,False
847444706694881283,2017-03-30 13:45:37,I was pleased to meet with @Arkansas4H delegates to the @n4hconf. It was great to visit with future leaders of… https://t.co/jHKFgziKD2,4,False
847127813866049536,2017-03-29 16:46:24,Congratulations to the first graduating class of @LRAFB cyber course. Proud of you! Thank you Lt. Gen. Rice for vis… https://t.co/D5KAEzE99C,4,False
847073367182204928,2017-03-29 13:10:03,Breakfast with @jtownchamber members is a great way to start the day. https://t.co/COaAxP9wTa,4,False
846835903893049344,2017-03-28 21:26:27,"Thanks to Dennis Sternberg, #Arkansas Rural Water Association Exec. Dir. for testifying before the Fisheries, Water… https://t.co/a5GA8XI5Eg",2,False
846787103275012096,2017-03-28 18:12:32,"I'm pleased to welcome Dennis Sternberg of Greenbrier, #Arkansas who will be testifying at this subcommittee hearin… https://t.co/Jj0bXXGNTQ",2,False
