id,created_at,text,retweet_count,tweet.retweeted
850430823199387648,2017-04-07 19:31:23,#FBF 2011 **PROGRESS** Talk about a flashback! 😱😱😱 I consider this my 'bikini pic heard around… https://t.co/MhqZhi4lsy,6,False
850038051136864256,2017-04-06 17:30:38,@leah_fraley The device is from @fitbit but the band I got on amazon! :),0,False
849812970729332737,2017-04-06 02:36:15,WELP. 🤷🏽‍♀️ lol https://t.co/7IzCSbX0u0,6,False
849801579330887680,2017-04-06 01:50:59,RT @greglaurie: Come celebrate Easter at Harvest! https://t.co/JVkoQUUv9q https://t.co/SlpSkE277r,40,False
849801536397901824,2017-04-06 01:50:49,Come celebrate with us! 4/16! https://t.co/XIzlcokDKE,5,False
849715371422515200,2017-04-05 20:08:26,RT @BrennleyBrown: WHAAAT! 🙈When @MichaelOrland @PiaToscano &amp; @JordinSparks send you a video congratulating you on your @NBCTheVoice perfor…,42,False
849715361465286656,2017-04-05 20:08:23,"You are amazing! That tone and control!!? *goosies* congrats, again! ♥️ https://t.co/88FxrXKeuL",25,False
849058029228232704,2017-04-04 00:36:23,Nana &amp; I got out for a beautiful walk today! I love mornings. It's my favorite time of day. The… https://t.co/buDlQqCVvP,5,False
848603728047349760,2017-04-02 18:31:09,#dailybread on the snap. Get you some! Jordinspeezy22,11,False
848236900943093761,2017-04-01 18:13:31,Remember when @kevinjonas @nickjonas &amp; @joejonas Jobro'd me? #Throwback vid in my app in honor of #aprilfoolsday:… https://t.co/rCksfu3kpT,194,False
848028105998348288,2017-04-01 04:23:50,Omgggg 😱😱😱 What an upset!!! I love watching the underdog come up big. #ncaaWFF,38,False
848026673937121282,2017-04-01 04:18:09,OMGGGGG SHE GOT IT AT THE BUZZER!!!! #ncaaWFF,47,False
847971098138300416,2017-04-01 00:37:18,"Take a listen! 🎶🎶🎶
https://t.co/kLLiPaXV90 https://t.co/kLLiPaXV90",8,False
847955916557242368,2017-03-31 23:36:59,RT @TheKangwa: Can everyone just LISTEN to this song?? @todrick x Water Guns (feat. @JordinSparks) 👐,7,False
847675694456815616,2017-03-31 05:03:29,Snowmousy! 🐭♥️❄️ https://t.co/SpuZQGLNe8,9,False
847627586167373824,2017-03-31 01:52:19,Come follow &amp; join my fitness journey: @ Sparkthatherbalife on IG! YOU CAN DO THIS! 💪🏽💪🏽💪🏽 https://t.co/1zPsz8usQG,12,False
847579946562310145,2017-03-30 22:43:01,Played sled hockey w/ vets @ 2017 #wintersportsclinic today! ♥️ being a @davhq ambassador! 🏒 https://t.co/ZofntWEOFn https://t.co/2totx3VVE1,25,False
847567675593302016,2017-03-30 21:54:15,RT @DavVirginia: @DAVHQ Ambassador @JordinSparks greets #DisabledVeteran athletes after their run! #WSC17 https://t.co/XqTsgsHBco,16,False
847567653287931904,2017-03-30 21:54:10,RT @DAV_CH_10_VA: @DAVHQ Ambassador @JordinSparks greets veterans after their ski run at #WSC17 https://t.co/oqpSOaTUzb,3,False
847567630252867584,2017-03-30 21:54:04,RT @DavVirginia: #WSC17 Happy Birthday to a #DisabledVeteran athlete! 🎂 by @JordinSparks https://t.co/R0pUtB9OXv,8,False
847567622363381765,2017-03-30 21:54:02,RT @virginiaDAVjim: DAV Ambassador @JordinSparks at the #WSC17 https://t.co/57uL4IAKAX,6,False
847567538179284993,2017-03-30 21:53:42,RT @DAV_CH_10_VA: @JordinSparks at #WSC17 Sled Hockey! Great interview https://t.co/0S2rgvp1Qu,2,False
847567524376059904,2017-03-30 21:53:39,RT @virginiaDAVjim: Thank you @JordinSparks and Larry Barnett for being DAV Ambassadors! https://t.co/mvl0cbibWd,2,False
847528015328423936,2017-03-30 19:16:39,♥️ being a @DAVHQ Ambassador! Played sled hockey w/ the Vets @ 2017 #wintersportsclinic! 🙌🏾🏒 https://t.co/eLKLTfPKrO https://t.co/OI8ybu8CJy,11,False
847520479720194049,2017-03-30 18:46:43,Sled hockey was SO much fun this morning! I love being a daveterans Ambassador &amp; experiencing… https://t.co/BQFUX3oJd5,4,False
847507100452306944,2017-03-30 17:53:33,RT @DAV_CH_10_VA: 2 great supporters of DAV and veterans here at #WSC17.  Larry Barnett &amp; Jordan Sparks! Thanks for all you do! https://t.c…,10,False
847507089496743937,2017-03-30 17:53:30,"RT @DAVHQ: DAV Natl Cmdr Dave Riley, Ambassador @JordinSparks, &amp; @WeAreOscarMike founder @OM_NoAh at the 2017 #WinterSportsClinic #WSC17 @d…",11,False
847498296490827777,2017-03-30 17:18:34,RT @DAVHQ: DAV Ambassador @JordinSparks takes to the ice to support #veterans at the 2017 #WinterSportsClinic - @VAAdaptiveSport @usahockey…,21,False
847498199325687808,2017-03-30 17:18:11,This was so much fun!!! 🥅🏒 https://t.co/i5iVaop10m,9,False
847496406323441666,2017-03-30 17:11:03,Praise!!,22,False
847480978499018757,2017-03-30 16:09:45,#TBT to my appearance on @thedoctors! Just added the clip to my app: https://t.co/W2x0hzI8nb #NationalDoctorsDay https://t.co/REJRM93QNO,15,False
846881625325547520,2017-03-29 00:28:08,@tristanmcintosh beautifulllllllll,0,False
846547929640808448,2017-03-28 02:22:09,RT @bnaidus27: Here it is. My first time being interviewed on the red carpet. Thanks @JordinSparks + @DanNettles! https://t.co/rQMBlHxPrq,7,False
846547920983769088,2017-03-28 02:22:07,"Turned the tables on my friend, @bnaidus27! His time to be interviewed! 😄 https://t.co/6rXciWOuQl",5,False
846523052594671616,2017-03-28 00:43:18,#NP One of the best albums EVA: The Emancipation of Mimi - @mariahcarey! 🔥🔥🔥🙌🏾🙌🏾🙌🏾,146,False
846464130139664384,2017-03-27 20:49:09,THIS IS THE GOOD FAT I NEED!!! I can't. Ahahahahaha 😂🥑 Get my app now! https://t.co/2mT8ATLPa2 https://t.co/WE1MJTow73,14,False
846463881065254912,2017-03-27 20:48:10,THIS IS THE GOOD FAT I NEED!!! I can't. Ahahahahaha Tag a friend!! 😂🥑 https://t.co/gl22YVbDNg,2,False
846443244686757889,2017-03-27 19:26:10,Bwahahahaha https://t.co/O5ta7wHtRT,9,False
846443152747610112,2017-03-27 19:25:48,"@ineedahitta I didn't: 
https://t.co/rtW1zG2ZQi",1,False
846197008234958848,2017-03-27 03:07:43,"I haven't posted about fitness in a few days, things have been nuts! 😳 Goodness, so much I wanna… https://t.co/tHGCI1mbsj",7,False
846114019668824064,2017-03-26 21:37:56,RT @mike_yduarte: Another great event w/the @AriansFF! Thank you for your OUTSTANDING work within the community #AFF @JordinSparks @AZCardi…,5,False
845797515400286208,2017-03-26 00:40:16,"Hey, thomasrhettakins, your dad is awesome! 😄 I loved performing with you, Rhett! So nice to… https://t.co/JgLQqU2mK0",7,False
845796204986486784,2017-03-26 00:35:04,"***SWIPE*** 
Had a blast supporting the ariansff last night. I adore them &amp; love their passion… https://t.co/1QQaPa8MTg",5,False
845728470944530432,2017-03-25 20:05:55,RT @CoachRiv2: @RiverboatRonHC supporting #BruceArians Celebrity Golf tourney. @JordinSparks sang National Anthem and it was awesome. https…,9,False
845728461754843136,2017-03-25 20:05:52,So great to see you! 😄 https://t.co/OyUsIpiuop,3,False
845728365185163264,2017-03-25 20:05:29,RT @TheMADGirlsInc: @jordinsparks on the #redcarpet at the ariansff golf classic! #IMAY #AriansFamilyFoundation… https://t.co/2mu3uD8qnr,4,False
845728334906441728,2017-03-25 20:05:22,RT @AZCardinals: National anthem at @AriansFF Golf Classic performed by @JordinSparks https://t.co/iUyIL2dI4l,58,False
845728326526234624,2017-03-25 20:05:20,Love you guys! I had to keep looking up to make sure my timing was right! 😄 https://t.co/k1DEA2syXY,2,False
845728172163313664,2017-03-25 20:04:43,@SBonTheAir @AriansFF thank you!,1,False
845728160268242944,2017-03-25 20:04:40,"RT @SBonTheAir: This girl has so much passion, heart and talent! Absolutely love @JordinSparks who performed last night at the @AriansFF Ga…",4,False
845564161497063424,2017-03-25 09:13:00,#AZPRIDE GET IT BOOK! 🙌🏾🙌🏾🙌🏾🔥🔥🔥☄️☄️☄️ https://t.co/G1uZ2A00fI,10,False
845553845245698048,2017-03-25 08:32:00,"RT @AriansFF: Incredible duet of ""Playing With Fire"" by @RhettAkins and @JordinSparks. Thank you both for your support for @BruceArians' fo…",15,False
845553829961646080,2017-03-25 08:31:57,Thank you so much for having me! This was such a treat! ♥️ https://t.co/TmI0Pv4FSg,2,False
845349836262031360,2017-03-24 19:01:21,I partnered w/ @SweeTARTSCandy to make these adorable Easter cupcakes made w/Soft Bites Bunnies and Soft &amp; Chewy Ro… https://t.co/ypxnlekzIC,510,False
845349640778207232,2017-03-24 19:00:34,Remember those cupcakes I said I couldn't reveal? TADAAAA! So happy to have partnered with… https://t.co/v7cjzI1ZpO,2,False
845315960064008192,2017-03-24 16:46:44,RT @iamjojo: Wake up. This is not #fakenews . These beautiful girls are still MISSING &amp; we must raise awareness. Heart breaking and unaccep…,2868,False
845315936953368577,2017-03-24 16:46:39,"My heart just aches 4 these girls &amp; their families. If you know or see something, say something! Pls share; never k… https://t.co/7gEywYgOVf",205,False
845101480319238144,2017-03-24 02:34:28,Ahahahahahaha what can I say? 💁🏽😄 https://t.co/PUqcPmCsr9,3,False
845071006070796288,2017-03-24 00:33:23,"RT @MariahTrends: .@JordinSparks singing @MariahCarey's ""Honey"" on snapchat/instagram: 
https://t.co/pCECNWoQYg 💖 #Lambily https://t.co/bEU…",300,False
845070998244253696,2017-03-24 00:33:21,I looooveeeee Mariahhhhh! ♥️ https://t.co/Yv2fmsnhmp,153,False
845070863523229696,2017-03-24 00:32:49,Free tonight? Tune in @ 7pm pst! https://t.co/hL7Oy3QmSn 🙌🏾,3,False
845019218739249152,2017-03-23 21:07:36,Better late than never! I still shop there!! 😄♥️ https://t.co/0wgZtGEjLp,4,False
845018143189860353,2017-03-23 21:03:19,"GUYS, THE LAST TIME THIS HAPPENED WAS WHEN I WAS 7. I haven't been able to do this when I'm… https://t.co/Je2b8EStG4",13,False
