id,created_at,text,retweet_count,tweet.retweeted
850046896454287360,2017-04-06 18:05:47,"#Learn from the extraordinary @darrenwalker why @FordFoundation is committing $1B to MRIs! #philanthropy #impact
https://t.co/KO84U4yMvp",0,False
847116965529378816,2017-03-29 16:03:17,@BloombergDotOrg's @WhatWorksCities announces certification program to help cities use #data and #evidence to transform lives! #philanthropy,0,False
845319494113280000,2017-03-24 17:00:47,"A #software and #data #revolution in #SiliconValley's social sector can drive transformative #impact! #philanthropy 
https://t.co/7imYDP4UIc",2,False
844995742968115200,2017-03-23 19:34:19,"Our cultural institutions can unleash #creativity, #innovation &amp; collective #action! #philanthropy #impact #service 
https://t.co/YD2wZ1AAYk",2,False
844591448313937920,2017-03-22 16:47:47,"A place-based approach to #impactinvesting can #empower communities &amp; #transform lives. #impact #philanthropy
https://t.co/obcXidS0tT",3,False
843908599801823233,2017-03-20 19:34:23,"It's never too early to teach #children #empathy and to cultivate a #love for #humankind! #philanthropy #give #learn
https://t.co/q2douNcqbD",7,False
842409197815840768,2017-03-16 16:16:18,"Read the @RWJF case to learn how they are strengthening #healthcare systems to improve #publichealth! #philanthropy
https://t.co/rW2lo7KBZg",0,False
841353907955625984,2017-03-13 18:22:57,"Social #impact bonds can be used to improve &amp; #transform early childhood development services!!! #socialimpact #data
https://t.co/TW8oPvsTWk",5,False
839904447484481537,2017-03-09 18:23:19,"Honored to share how we can evolve our #giving to #transform lives w @stanfordbiz! #philanthropy #impact ♡ &amp; #mind
https://t.co/rMP3HUJ8x6",9,False
839519337878712320,2017-03-08 16:53:02,#Women control more than half of US wealth. We must #transform our #giving and #lead with an unrelenting compassion. #InternationalWomensDay,6,False
839154539445944321,2017-03-07 16:43:27,"Behavioral design can #transform our responsiveness, effectiveness and #impact!!! #innovation #socialimpact #design https://t.co/fi22CxWBwf",3,False
836276303217082368,2017-02-27 18:06:22,"In #philanthropy, lives are at stake. We have a moral imperative to #protect those who #serve. We must do better. https://t.co/nosKc1eAUW",2,False
834524117214695424,2017-02-22 22:03:48,"In the social sector, we must prevent the reinvention of the social change wheel. #impact #socialchange #innovation 
https://t.co/5g0bXTSRot",3,False
