id,created_at,text,retweet_count,tweet.retweeted
850191465884131328,2017-04-07 03:40:15,"Are meetings with Russia that forgettable? ""Knowingly... concealing material fact is a felony."" 18 USC 1001. https://t.co/2P3nPSmCTI",5,False
850188659429126145,2017-04-07 03:29:06,"Kushner failed to list meeting with Russians on Sec Forms. Now says ""happy"" to provide info. https://t.co/2P3nPSmCTI. It is required by law!",4,False
849728120118624257,2017-04-05 20:59:05,"Unfortunately, likely nominated because the two go together. He has ""a wealth of experience"" having a ""cozy relatio… https://t.co/jS6E3SKakm",1,False
849597262007332864,2017-04-05 12:19:06,"Nepotism may be fact of life in family run business, but we fought revolution to end monarchy and have laws against… https://t.co/7IWk6y2VE2",23,False
849259472447045633,2017-04-04 13:56:51,"RT @whartonknows: 1st on @whartonknows (10A ET @BizRadio111):

Possible conflicts of interest for #JaredKushner &amp; #IvankaTrump. @LarryNoble…",3,False
849000245442863105,2017-04-03 20:46:46,The #TrumpPotemkinTrust: Meaningless trust used as part of fake ethics plan built to defend against real claims of… https://t.co/2JtDlSJeiD,2,False
847985862440779776,2017-04-01 01:35:59,"Ivanka Trump and Jared Kushner Still Benefiting From Business Empire, Filings Show https://t.co/0tmaF4Znhq",4,False
847808748034904064,2017-03-31 13:52:11,Great thing about Constitution is rights can even be invoked by intellectually dishonest hypocrites who would deny… https://t.co/fDs0HB0RXm,2,False
846524521066704896,2017-03-28 00:49:08,WH still claims she is not govt employee so she's not legally bound by ethics laws. Is that really someone we want… https://t.co/sfH3jzQbu7,129,False
846423199516688384,2017-03-27 18:06:31,"Kushner thinks citizens are customers. https://t.co/WFzAQMKULE Wrong! If US is like business, citizens are owners &amp;… https://t.co/exeySjVMIz",6,False
846333571547713536,2017-03-27 12:10:22,Let's hope running country like great American company doesn't mean for the financial benefit of those running the… https://t.co/dJ0CrEtp6M,4,False
845378837089308675,2017-03-24 20:56:35,Will someone please let him know that  tax reform is a really complicated problem. https://t.co/fs1bl54QSq,10,False
845256370052050944,2017-03-24 12:49:57,"Nunes thinks investigating intel leaks about surveillance #1 priority, but won't tell Ds on committee his source fo… https://t.co/1m3srLWK1T",2,False
845035378918789120,2017-03-23 22:11:48,"GSA says DJT hotel lease not violated, w/o saying why. Does complain reports on issue “simplistic"" &amp; other views “less widely reported."" Hmm",4,False
844953684098400257,2017-03-23 16:47:11,"Apparently, Trump's affinity with SNL goes way back since he is now channeling Chevy Chase (I'm Chevy Chase, and yo… https://t.co/PG1X01Pe4T",0,False
843087275282124801,2017-03-18 13:10:44,Serious breach of rule against WH involvement with FBI. Even more serious is pattern of WH ignoring rules meant to… https://t.co/qaoztoyK3A,85,False
842895036723486720,2017-03-18 00:26:51,Either the admin is affirmatively looking for appointees with potential ethics problems or they should reconsider t… https://t.co/7svBjWfOZ9,15,False
842729317062922240,2017-03-17 13:28:20,"When will they learn that what you say actually does matter when you are representing the govt. This is reality, no… https://t.co/opVIfFY4ST",41,False
840280157088808961,2017-03-10 19:16:15,Spicer says transition lawyers were govt lawyers and would be illegal for them to advise Flynn re: registering as foreign agent. Not true.,134,False
839883192018604032,2017-03-09 16:58:51,RT @CampaignLegal: .@FEC investigating our complaint about law firm reimbursing employees for political $. Dems have returned $1 mil +. htt…,10,False
839593341499109387,2017-03-08 21:47:06,President will order intelligence agencies to quickly &amp; fully comply with subpoena so congress can conduct investig… https://t.co/uvjBa5c069,2,False
837142275624927232,2017-03-02 03:27:26,"RT @steve_vladeck: Here's the federal statute about lying to Congress, in case the Attorney General doesn't remember that, either: https://…",530,False
837117253715886080,2017-03-02 01:48:00,"""Nefarious Motive"" is great name for punk rock band, but terrible test for deciding whether violation of ethics rul… https://t.co/FXrdTlhJAn",13,False
837072083091804161,2017-03-01 22:48:31,They are under a duty to preserve documents once they learn there is an investigation. https://t.co/qURsBDwBOH,13,False
837028988790968330,2017-03-01 19:57:16,WH should check law. Plug of business illegal even without nefarious motive. Yet not even a reprimand. https://t.co/8jWurqM4m6 via @CNNMoney,10,False
836343163400896512,2017-02-27 22:32:03,"Nobody, except people working in field or who read studies, reports, books about it, or who even just talked to peo… https://t.co/RR0jx1TBqZ",5,False
836298420092563458,2017-02-27 19:34:15,More disturbing is Nunes citing as evidence foreign leaders contacting him to get in touch with Trump. Does he plan… https://t.co/a41iTd7XCP,4,False
836270547549958148,2017-02-27 17:43:30,"RT @CampaignLegal: #SCOTUS affirms ruling, protecting donor disclosure for nonprofit issue ads. This is a victory for gov. transparency htt…",9,False
835868234368811008,2017-02-26 15:04:51,"RT @CommonCause: On March 1st @KHobertFlynn @AnnMRavel &amp; @LarryNoble_DC discuss problems &amp; solutions for the FEC  at @amprog event
https://…",8,False
833328895218769920,2017-02-19 14:54:25,"Doing rally as campaign event lets Trump limit crowd to supporters, provide signs &amp; keep out protesters to control… https://t.co/8KSyhQesLr",13,False
832958480084393984,2017-02-18 14:22:31,"Actually, Framers of Constitution saw free press as enemy of leaders who would govern by lying to American People.  https://t.co/0t8t31YUH4",5,False
832023916755423233,2017-02-16 00:28:54,Must be earliest reelection rally ever held by a president. May try to limit attendance to supporters &amp; friendly pr… https://t.co/0jhs88sevb,8,False
831518364568805379,2017-02-14 15:00:01,I will be on WHHY Radio Times w/ Marty Moss-Coane @ 10 AM w/Tom Hamburger &amp; Robert Costs to talk Trump and ethics. https://t.co/A6pZuuiOcx,2,False
831300375982505984,2017-02-14 00:33:49,"Once again,Trump puts business interests first, treating crisis like part of presidential reality show to entertain… https://t.co/pEscsoDN0t",5,False
831119098033664001,2017-02-13 12:33:29,Is chance to watch Prez tackle foreign  policy crisis a new benefit for Mar-a-Lago's wealthy members? @CNNPolitics https://t.co/GGmNarWNGi,1,False
831109537084141568,2017-02-13 11:55:29,Trump sounds unsure dealing with NK missle launch. Would have had a lot to say if NK rejected biz deal. @CNNPolitics https://t.co/GGmNarWNGi,2,False
830889057731358720,2017-02-12 21:19:23,"NYT story shows Trump &amp; sons focus is on business making ""huge"" profit off Papa Bear starring as US Prez. Cost to A… https://t.co/ILKoVAsR9j",6,False
830881097558982657,2017-02-12 20:47:45,"""Rules"" created by ""Papa Bear"" Trump &amp; sons to avoid conflicts of interest are self-serving, shifting &amp; meaningless. https://t.co/6V6PnkwfJ8",12,False
830526827689082882,2017-02-11 21:20:00,Maybe PM had to agree to private tour and hear sales pitch for membership at Mar-A-Lago in order to get free stay t… https://t.co/Qo4omz11xL,0,False
830128465202573313,2017-02-10 18:57:03,"At end of conference w/Abe, Trump says ""Let's go to Florida."" Is this WH pitch for Mara-A-Largo new version of ""I'm going to Disney World""?",6,False
830066348411727872,2017-02-10 14:50:14,"RT @whartonknows: 1st on @whartonknows (10A ET @BizRadio111):

Talk #Nordstrom trump tweet &amp; #ethicsviolation w/ @EricOrts &amp; @LarryNoble_DC…",2,False
829881322327900161,2017-02-10 02:35:00,"@JBWolfsthal @duyeonkim It's a federal ethics regulation, primarily subject to civil enforcement.",2,False
829831323980292096,2017-02-09 23:16:19,Oversight Committee asks OGE to investigate Conway issue. Good start! Congress can investigate broader WH ethics is… https://t.co/6UVYC4l5By,37,False
