id,created_at,text,retweet_count,tweet.retweeted
850125487422799872,2017-04-06 23:18:05,New York City. Late night rehearsal for the @rock_hall prince tribute at @barclayscenter.… https://t.co/OMeUpevETF,111,False
849283299373699072,2017-04-04 15:31:32,Last night at the @brooklynmuseum honoring @aliciakeys and @therealswizzz https://t.co/Jc4pBBQBCC,41,False
847129993662496768,2017-03-29 16:55:04,Getting ready to honor my friend Prince at the @rockhall ceremony. This is very personal for me and I so wish it wa… https://t.co/f0348Bvaii,873,False
845394212313092096,2017-03-24 21:57:41,NYC. Meeting with chakabars about building orphanages in DR Congo. This brother is on the ground… https://t.co/hl9MrRXSoW,77,False
845011298219905024,2017-03-23 20:36:07,NYC https://t.co/lUpkSdkzjM,60,False
843236513072799744,2017-03-18 23:03:45,Hail Hail Chuck Berry!!! None of us would have been here without you. Rock on brother! https://t.co/tOMuQzUgPX,1623,False
842475135210815488,2017-03-16 20:38:19,"#tbt PURE LOVE. I was so blessed to have this African queen as my mother. 
📷: Sy Kravitz https://t.co/gp7enmcHAF",89,False
840305599200034819,2017-03-10 20:57:21,Happy Birthday Craig Ross! I love you brother! https://t.co/aNqXkkdPig,58,False
839895733839007744,2017-03-09 17:48:42,"Morning workout with the Godfather doddromero, @wwethebigshow, @arod and @RussellOkung https://t.co/mX6TWtCtjI",58,False
838793172998320128,2017-03-06 16:47:31,ICYMI: Lenny sat down with @TimesTalks to discuss his passion for design. Watch the full interview here: https://t.co/xB2LDMNoPn -TeamLK,47,False
838579947715321856,2017-03-06 02:40:14,Right now. Backstage with George Clinton and Mudbone at the #PFunk show in Miami. @ The Fillmore… https://t.co/PXOdBKYORX,70,False
837708699309387776,2017-03-03 16:58:12,Hear Lenny on the most recent episode of @RollingStone Music Now podcast! https://t.co/AIwzjhDECt -TeamLK,50,False
837426911567474692,2017-03-02 22:18:29,#TBT @MLStadium July 2016 📸: @candyTman https://t.co/FpWtdEMosH,82,False
836279061018259460,2017-02-27 18:17:20,Check out the latest @CNNStyle profile of Lenny and his love for photography: https://t.co/kTiRf7xgi6 -TeamLK,121,False
835898964704702465,2017-02-26 17:06:58,"See you next time NYC. Thank you frankrobertsnyc and @editionhotels, my home away from home, for… https://t.co/HIqUhzGKDE",41,False
835237557088751617,2017-02-24 21:18:46,Tune in to the live stream of Lenny’s @timestalks tonight at 7PM ET on @nytimes Facebook page -TeamLK https://t.co/few8VF2wwg,118,False
835157684781481984,2017-02-24 16:01:23,"#RIP Leon Ware. The man behind Marvin Gaye's ""I Want You,"" and songs for Michael Jackson,… https://t.co/WNCd9So1mh",91,False
834153759823511552,2017-02-21 21:32:08,"In Harlem at the Audubon Ballroom. On the anniversary of Malcolm X's death, beside planks of… https://t.co/AVer6QWgiC",79,False
833047080839020544,2017-02-18 20:14:35,"The afterlife just got THAT much funkier with the passing of #ClydeStubblefield, James Brown's… https://t.co/JEmMbLrziu",107,False
832297072737079297,2017-02-16 18:34:20,"#TBT 1991 with my friend, the great Terence Trent D'Arby https://t.co/uRv2U9nZac",62,False
831976014867750918,2017-02-15 21:18:33,Lenny will be at @timestalks in NYC on Feb 24 - more info here: https://t.co/zJ69sazHMR -TeamLK,38,False
