id,created_at,text,retweet_count,tweet.retweeted
848970293053972480,2017-04-03 18:47:45,RT @ManWithAPlan: Adam and Don go to the doctor with their dad. Watch #ManWithAPlan now: https://t.co/hbEKTuqDbE https://t.co/OWwbDWvXn5,25,False
848864355517181953,2017-04-03 11:46:48,Well done @chrishoy and good to meet you. Thanks.      #TopGear,46,False
847930199459192833,2017-03-31 21:54:47,"RT @ManWithAPlan: Save yourself a seat and save the date for the #ManWithAPlan season finale, May 15th at 8:30/7:30c on @CBS! https://t.co/…",51,False
847809299980185600,2017-03-31 13:54:23,"RT @BBC_TopGear: .@Matt_LeBlanc in the brand-new Ford GT, plus @harrismonkey vs Sabine in one of motorsport’s toughest events: your TG ep 5…",127,False
847335773493788673,2017-03-30 06:32:45,Really? https://t.co/PH117aBfe2,24,False
846263729197076480,2017-03-27 07:32:50,Just another day at the office on TopGear. https://t.co/uw2kCpvngW,79,False
846109522888458240,2017-03-26 21:20:04,Looks like a good fit buddy. That bike is magic https://t.co/8GuKk1HO8F,37,False
846101560266575872,2017-03-26 20:48:26,@auroramulligan Super steep ascent. I wasn't ready for that. That's a great airplane.,3,False
846091722006413312,2017-03-26 20:09:20,"Hope you liked it , and thanks for watching. https://t.co/II3IYev2V9",129,False
844987225830014976,2017-03-23 19:00:28,Big thanks to CBS and the fans for all your support. https://t.co/SuAfUlKlUq,176,False
843250372122624000,2017-03-18 23:58:50,RT @TheLizaSnyder: We wrapped season 1 of #manwithaplan last night. Thank you to the best crew &amp; writers in all of… https://t.co/1bWQJVd0cp,24,False
842840896726958080,2017-03-17 20:51:43,RT @MSN_Entertain: .@TopGear_BBCA 1st look: @Matt_LeBlanc and @harrismonkey race up a ski slope and it's awesome. Who wins? https://t.co/8s…,19,False
842580569514885121,2017-03-17 03:37:16,RT @TopGear_BBCA: The Stig returns… Sunday at 8/7c on @BBCAmerica. #TopGear https://t.co/Wl1ZehF36H,33,False
841655920077692929,2017-03-14 14:23:03,@harrismonkey with full wets?,2,False
841655549955514370,2017-03-14 14:21:34,@harrismonkey we could split one.,2,False
841655001671843840,2017-03-14 14:19:24,@harrismonkey just sayin. You know you want one.,2,False
