id,created_at,text,retweet_count,tweet.retweeted
835215500619595776,2017-02-24 19:51:07,"Honored to narrate this video from @ET_AIDS_FDN highlighting the powerful activism of my hero, @ElizabethTaylor!… https://t.co/QDWwBb8cgA",2421,False
835213579099918336,2017-02-24 19:43:29,https://t.co/JXK2yf61dn,16582,False
834509639534288896,2017-02-22 21:06:17,RT @HRC: BREAKING: Trump Administration to rescind protective guidance for #transgender students #ProtectTransKids https://t.co/1gWUcqVfoP…,2959,False
834442285538373632,2017-02-22 16:38:38,RT @HRC: #AM_Equality: Trump plan to rescind transgender student guidance likely happening TODAY #ProtectTransKids https://t.co/EtGxXMpruR,796,False
832741941028614144,2017-02-18 00:02:04,💖💖💖💖💖💖💖💖💖💖💖💖💖💖 https://t.co/0WBoNe6S6N,10044,False
832662783841886211,2017-02-17 18:47:32,RT @happyhippiefdn: Dear TX Leaders: a letter from @mileycyrus &amp; many of our friends speaking out for equality. Add your name at https://t.…,716,False
831966325945692160,2017-02-15 20:40:03,RT @happyhippiefdn: Many of u did the #IceBucketChallenge &amp; we're still fighting to end ALS! Support our friend @MariWinsor battling ALS ht…,606,False
831536474738692096,2017-02-14 16:11:59,.@lavernecox will you be our Valentine? ❤️ https://t.co/zvP4h1lYPR,2783,False
831536002787258368,2017-02-14 16:10:06,Have a Happy Hippie Valentimezzzzz! TBTuesday to my date night with @tywrent!!!!!! It's all about L-O-V-E everyday.… https://t.co/NRwCdYh6cE,2030,False
827262800284127232,2017-02-02 21:09:56,🌏✌️🌎✌️🌎✌️🌎✌️ https://t.co/ir8Jt3yUkr,7404,False
826603679645999104,2017-02-01 01:30:49,RT @glaad: What a Justice Neil Gorsuch would mean for #LGBTQ Americans https://t.co/ynYL5Z19PP,822,False
826197498268000256,2017-01-30 22:36:48,Get it girl! @noahcyrus #Fallon tonight https://t.co/3hF0I8qojm,3148,False
825785788734398464,2017-01-29 19:20:49,I HOPE this little baby runs for Prez! #MaliaForPresident You've got my Vote!!!!! @happyhippiefdn ❤️s Malia Obama! https://t.co/uPT6xCJ65d,4484,False
825449905338454016,2017-01-28 21:06:08,❤💛💙💚 https://t.co/LhYmxPLdNE,27933,False
824416614741209088,2017-01-26 00:40:12,❤️💛💚💙💜 https://t.co/nk06VObNJD,2567,False
824304361652129792,2017-01-25 17:14:09,Best. Moment. EVER. @happyhippiefdn @Janefonda ❤️💚💛💜💙 https://t.co/Redp0RWgXu,2494,False
824021313245220865,2017-01-24 22:29:25,RT @BauervanStraten: Thank U @MileyCyrus 4 helping me raise funds 4 @PPact w/ this tshirt!!! #whyimarch - 2 get a limited edition  go2 http…,1125,False
823274872881090560,2017-01-22 21:03:20,LA women's March https://t.co/CQECdPza6c,7025,False
822944999486550016,2017-01-21 23:12:32,.@happyhippiefdn @womensmarch @womensmarchla #womensmarchla #WMLA #whyimarch #hearourvoice #hh4pp https://t.co/hEyG61So60,8678,False
820363791531524097,2017-01-14 20:15:44,.@MERRYJANE hooked it up! Wowzyyyyyyyy! Thanks Uncle @SnoopDogg for being such a dope ganja innovator https://t.co/yPXpoCp2hT,3573,False
819070243553218560,2017-01-11 06:35:38,RT @happyhippiefdn: Thanks @POTUS for your leadership &amp; service to the world. We'll continue your legacy of fighting for equality for all!…,1639,False
815398344608673792,2017-01-01 03:24:49,Happy new yearzzzzz from me and my mama!!!! @tishcyrus https://t.co/hqXURTr7J1,5244,False
815278458137935873,2016-12-31 19:28:26,Is this to obvious that I'm trying to hide something ..... #newyearspimples https://t.co/QLsLLvx4gs,4552,False
814296730015449088,2016-12-29 02:27:23,💔💔💔💔💔💔💔💔💔💔 wow...... this sad news makes me wanna hug my mama and never let go...... https://t.co/WX7vN63x0k,6541,False
813186969328979968,2016-12-26 00:57:36,Miss you already! Thank you for your radical activism in the LGBTQ community! Love you always! @happyhippiefdn https://t.co/nBCxjEstDo,4505,False
813114070085746688,2016-12-25 20:07:55,Happy Hollydaze! ☃️❄️🎄 #bestpresentwrappereva https://t.co/DhGf8FCHxt,26846,False
813073118507909120,2016-12-25 17:25:12,🎄Mewwwwwwwy Cwizzzzzmasssss!!!🎄 https://t.co/DQMfW55zeq,4087,False
811760932745453568,2016-12-22 02:31:02,❤️💚❤️💚MaMa &amp; DaDa ❤️💚❤️💚 https://t.co/HjowVnj2b2,4606,False
811635730233442305,2016-12-21 18:13:32,https://t.co/FpV7IVYoh3,2505,False
811392335565045761,2016-12-21 02:06:22,https://t.co/IYoo5xEJSe,4275,False
810700018315395072,2016-12-19 04:15:21,Zsa Zsa!!!!! What a LONG &amp; beautiful life! I have been beyond inspired by your style &amp; grace! 💖🌸🍧👅 We LOVE &amp; MISS Y… https://t.co/HJG3qOx97G,1820,False
810348283751202816,2016-12-18 04:57:41,❤️💚❤️💚YUP! ❤️💚❤️💚 https://t.co/aatmYv3wU9,5972,False
810300291878973440,2016-12-18 01:46:58,Mammie lookin like a model who juzzzz got a check!!!  $$$CHA-CHING $$$ https://t.co/Wmck0olSNL,1632,False
810176325076008961,2016-12-17 17:34:22,.@noahcyrus &amp; I are wishin yiew a Meowyyyyy Cwizzzzzmas ! 💜❤️💚💙💛 https://t.co/Gd9wlOxo3Q,3124,False
809183231194955776,2016-12-14 23:48:10,One big happy @NBCTheVoice family! @aliciakeys @adamlevine @blakeshelton ! Can't wait to be back for season 13!!!!...https://t.co/wOi0d5vPhj,1315,False
809112604626931712,2016-12-14 19:07:32,RT @iamAliCaldwell: We won each others Hearts! ❤️ Cheers to what's NEXT! #TeamMiley FOE EVA!! @MileyCyrus 🌹🌻 https://t.co/Wqq4JWIsvL,1291,False
808918523812712449,2016-12-14 06:16:19,So happy to be reunited with my flowaaaa child @DarbyAnneWalker https://t.co/w3tnHXBUE8,1879,False
808911607900344320,2016-12-14 05:48:50,RT @TeamMCAussie: Me when I know @MileyCyrus will be back on @NBCTheVoice next fall for season 13! #TeamMiley https://t.co/pKKwgTnPny,1228,False
808911480871645184,2016-12-14 05:48:20,.@MsJamieBrewer thank you for joining me tonight to celebrate the voice finale ! Love uuuuu ❤️❤️❤️❤️❤️ https://t.co/3h1xiT6hvt,1979,False
808883043301662720,2016-12-14 03:55:20,👅finally met my match! somebody who sticks their tongue out as much as me! #OGTongue !!!! fuck yeah Kiss! So bad as… https://t.co/VtOEYtwUlq,3168,False
808876899506089984,2016-12-14 03:30:55,RT @NBCTheVoice: Ain’t no one messin’ with @MileyCyrus and @DollyParton’s clique. #VoiceFinale https://t.co/MtFb5rgrr5,1205,False
808831043507601408,2016-12-14 00:28:42,RT @noahcyrus: #MakeMeCry acoustic video with @Labrinth premiering now on @RollingStone https://t.co/6vVoAcivpl,1394,False
808824327994949632,2016-12-14 00:02:01,RT @NBCTheVoice: The #VoiceFinale event is only ONE HOUR away. https://t.co/KZmQllZc2u,793,False
808819520366202880,2016-12-13 23:42:55,Had the best time at @ChildrensLA with the @NBCTheVoice coaches last week ❤️💛💜💚💙 @happyhippiefdn https://t.co/z9OyAV8CqI,2810,False
808747800313741312,2016-12-13 18:57:56,It's startin to look a lot like you know what 🎅🏼🎄☃️ https://t.co/32Uja5XjC6,4498,False
808515227805315072,2016-12-13 03:33:46,Team Blake!! @sundancehead was bada$$ tonight @blakeshelton https://t.co/uokULbi1VN,1843,False
808502081963192321,2016-12-13 02:41:32,Love my big sis @aliciakeys &amp; her LIL Lil sis @we_mcdonald ! https://t.co/W0O6KLWK4b,2588,False
808493664926253056,2016-12-13 02:08:05,Team Adam ! ❤️💚💛💙💜 @BillyGilman @joshgallmusic https://t.co/ljqjMYCsTL,2951,False
808072055471996928,2016-12-11 22:12:45,BFFs!!!!!! Best night ever! Celebrating Team Miley! @iamAliCaldwell  @aarondgibson https://t.co/9GXtHOaNDW,2040,False
808001832660279296,2016-12-11 17:33:43,"Best night with 
@tishcyrus @iamAliCaldwell @aarondgibson ! I love these 3 soooooo much! ❤️💚💛💙💜 everything ... https://t.co/jd6tSn1Wde",1206,False
807340599900672000,2016-12-09 21:46:13,MC ain't just for Merry Christmas! Use codes HAPPYHIPPIE8 and HOPEFULHIPPIE8 for 8 dollars off of each candle! OG ...https://t.co/Lm48wgSHr7,1163,False
807304252661997568,2016-12-09 19:21:47,Happy the red nosed reindeer! 🐾❤️🐾❤️🐾❤️🐾 https://t.co/XPJBfwNB0R,2791,False
807287675757568001,2016-12-09 18:15:55,Beanz got the holiday spirit!!!! Do u?!?! ❤️💚❤️💚❤️💚 https://t.co/HCaw3FlurW,2825,False
807286162423328768,2016-12-09 18:09:54,Baby Emu rockin his cute ass Christmas sweater!!! 🎄🐾💚🎅🏼 https://t.co/azOSg16Jd7,2478,False
806556881531518976,2016-12-07 17:52:00,A Gib! The time we have spent together this year has been MAGIC &amp; it's just the beginning! You have all of my love...https://t.co/E83yTBI7V9,1217,False
806556192847761408,2016-12-07 17:49:16,We were meant to be! I am so grateful to @nbcthevoice for introducing me to my new BFF @iamalicaldwell 🌹❤️🌹❤️🌹...https://t.co/9H5dTEZhfy,1149,False
806374840391372801,2016-12-07 05:48:38,thank you to all my fans who voted #teammiley !!! Weeeee love u @iamAliCaldwell @aarondgibson,1929,False
806358552952664064,2016-12-07 04:43:55,Honored to be your coach &amp; Lucky to call you my friend! Rock on Rocketman! 💙🚀💙🚀 💙 @aarondgibson https://t.co/1wFlHCoTTx,2006,False
806357953162964992,2016-12-07 04:41:32,.@iamalicaldwell Always your coach ..... FOREVER your friend!!!!!  🌹❤️🌹❤️🌹❤️ https://t.co/npJjdsqVFR,1863,False
806316423354019840,2016-12-07 01:56:30,RT @NoelRisco: Amazing performance by @iamAliCaldwell!!! I'm with you girl!! #VoiceSaveAli #TeamMiley @MileyCyrus @NBCTheVoice let's win th…,1577,False
806316333801406464,2016-12-07 01:56:09,RT @overlovemiley: #VoiceSaveAli if you don't wanna see Miley and Ali crying please❤️ @MileyCyrus @iamAliCaldwell,1930,False
806316271700557824,2016-12-07 01:55:54,RT @TaylorHSecrets: Please RT #VoiceSaveAli she totally deserves it! @iamAliCaldwell @MileyCyrus,2018,False
806316206508519424,2016-12-07 01:55:38,RT @tishcyrus: #VoiceSaveAli,1631,False
806316055870119936,2016-12-07 01:55:03,RT @aarondgibson: Retweet to save #voicesaveAli,3674,False
806315965713555456,2016-12-07 01:54:41,RT @mileyvadia: #VoiceSaveAli RETWEET TO VOTE RIGHT NOW GO GO GO #TeamMiley @MileyCyrus,1126,False
806315601551507456,2016-12-07 01:53:14,RT now to #VoiceSaveAli !!! https://t.co/nrRhI5Lk5F,13960,False
806300769926266880,2016-12-07 00:54:18,RT @NBCTheVoice: Make sure you have #TheVoiceOfficialApp for the last #VoiceSave of the season TONIGHT. This. Is. It. #VoiceResults https:/…,480,False
806297768050376704,2016-12-07 00:42:22,@tastedcyrus oh..... its me honey 💐🌺🌷🌻 https://t.co/5K8fWmir5f,1875,False
806292265341566976,2016-12-07 00:20:30,Sweatin under my tinsel! Make sure you tune in tonight for the #VoiceResults show! Smilers PULL THRUUUU! https://t.co/qXmcm5jtIF,2437,False
806291118312693760,2016-12-07 00:15:57,@StylishCyrus dittttto! 🌷🌹🌻🌸,420,False
806169326252232704,2016-12-06 16:11:59,RT @NBCTheVoice: THIS IS IT. You have ONE HOUR left to vote and send your favorite artist to the finale. #VoiceResults https://t.co/PNDfDr0…,526,False
806031616053104640,2016-12-06 07:04:47,Before tonight's #VoiceTop8 Live show! Vote for @aarondgibson  🌗🚀🌗🚀🌗 #TeamMiley https://t.co/m0yi02bSu7,1289,False
806030632329412608,2016-12-06 07:00:52,Before tonight's #VoiceTop8 Live show! Vote for @iamalicaldwell  🌹❤️🌹❤️🌹❤️ #TeamMiley https://t.co/MWZAXpZ74M,1268,False
806009266985267200,2016-12-06 05:35:58,RT @HeartBeatsMiley: RT if you're voting #TeamMiley @MileyCyrus @aarondgibson @iamAliCaldwell 💘,619,False
806008798661910528,2016-12-06 05:34:07,RT @ourreasondiley: We can make #TeamMiley win this show. Lets vote! VOTE VOTE VOTE @MileyCyrus lets do it!!!,466,False
806008294355501057,2016-12-06 05:32:06,RT @AdeleUnion: I'm definitely rooting for #TeamMiley all the way! @MileyCyrus' team has some power!,523,False
806006456218550272,2016-12-06 05:24:48,Thankkkkk yiew angelllll 🌹🌸🌷 #TeamMiley https://t.co/nMqQAZgahY,763,False
806005874783203329,2016-12-06 05:22:30,Shake ya Pom pommmmm 🌷 #TeamMiley https://t.co/23EGSYZRUo,737,False
806003864709103616,2016-12-06 05:14:30,RT @NBCTheVoice: .@aarondgibson truly shines with this @bryanadams classic. #VoiceTop8 https://t.co/JfCaj4Tvpg,371,False
805999906389266432,2016-12-06 04:58:47,I love u my angel! I am so honored to be Ali's coach! Thank you for truly recognizing the star she is! Shinnnne… https://t.co/ADZXw5Y3Ai,1016,False
805976779559051264,2016-12-06 03:26:53,@bangerrz i love u!!!! Thankkkk u!!!! 💚💛❤️💜💙,586,False
805962273172779008,2016-12-06 02:29:14,"Go to @AppleMusic now to vote for @aarondgibson!!
Download: https://t.co/xkhiAveX01
Stream: https://t.co/Uve28mME7l",860,False
805958238478823425,2016-12-06 02:13:12,Vote for @aarondgibson now! Voting is open til 12pm ET/9am PT tomorrow! #VoiceTop8 #TeamMiley… https://t.co/mbc7qilwGn,1085,False
805950988636983296,2016-12-06 01:44:24,"Go to @AppleMusic now to vote for @iamAliCaldwell!!
Download: https://t.co/EPNwdBRoXC
Stream: https://t.co/dAyz6UzEql",1010,False
805947378750484481,2016-12-06 01:30:03,Vote for @iamalicaldwell now! Voting is open til 12pm ET/9am PT tomorrow! #VoiceTop8 #TeamMiley… https://t.co/BbDqUyLKSo,1201,False
805940951180922880,2016-12-06 01:04:31,The Voice starts now!! Watch #teammiley and be sure to vote!! https://t.co/FiykEBmF55 https://t.co/1xQjiTM2zY,1144,False
805940164090433537,2016-12-06 01:01:23,RT @NBCTheVoice: RT because the #VoiceTop8 fights for a spot in the finale RIGHT NOW on @nbc. 😎✌,602,False
805871717683843072,2016-12-05 20:29:24,Catch #TeamMiley and the rest of the #voicetop8 tonight at 8/7c!! And don't forget to vote for @iamAliCaldwell and… https://t.co/FZIgvBtyeU,2289,False
805480422587056128,2016-12-04 18:34:32,❤️💜💚💛💙 https://t.co/2eQ40Pxo87,3056,False
804733709400166400,2016-12-02 17:07:22,"So proud that @happyhippiefdn  is supporting the Dollywood Foundation’s My People Fund, set up by my fairy ...https://t.co/vJuVhmqOVI",1409,False
804378523880173568,2016-12-01 17:35:59,Throwback Thursday 💖💖💖 https://t.co/JuqF02lT3X,12926,False
804142579369377792,2016-12-01 01:58:25,🐾🐾🐾#DOGMOM🐾🐾🐾 https://t.co/rDCC5khhka,2806,False
804120822759628800,2016-12-01 00:31:58,urdhva dhanurasana !!!! yippie! twas a gift from z supermoon 🌙🌝🌕 https://t.co/FbzC6dsXpF,1823,False
804047515494457344,2016-11-30 19:40:40,Thank you for keeping #TeamMiley together! We love each other &amp; all of you watching at home so much! We're not...https://t.co/mVNEBJ4nmW,1203,False
804006009899356160,2016-11-30 16:55:45,Love my fairy god mother @DollyParton and sending protective energy to the ever so sacred Dollywood and all of the...https://t.co/h1SDQraycw,1277,False
803829798657294336,2016-11-30 05:15:33,RT @aarondgibson: What a night!! Thank you so much @MileyCyrus and all who helped get me to the TOP 8!!! Love you all!!! #TheVoice,703,False
803827572056485888,2016-11-30 05:06:42,Mammie thanks you for saving @aarondgibson ! Love u! #voicetop8 https://t.co/qCE5gnu7lo,1649,False
803821377618751488,2016-11-30 04:42:05,Big sis is Z best! I love @aliciakeys !!! 💚💚💚💚 https://t.co/37U7j994bu,2137,False
803810917485932545,2016-11-30 04:00:31,"MAMMIE is captain of the Team Miley cheer squad! 

West coast! Tune into #thevoice now!!! https://t.co/JD9KAnQkNC",1244,False
803779405822599168,2016-11-30 01:55:18,RT @tishcyrus: Vote for @aarondgibson NOW!!!!!!! #VoiceSaveAaron,2603,False
803779192303161344,2016-11-30 01:54:27,RT to save @aarondgibson from elimination now. #VoiceSaveAaron,6492,False
803779026745638912,2016-11-30 01:53:48,RT @aarondgibson: RT to save me now. You have 5 MINUTES! #VoiceSaveAaron,12501,False
803778902992633857,2016-11-30 01:53:18,RT @NBCTheVoice: Retweet to #VoiceSaveAaron,18842,False
803778864988028928,2016-11-30 01:53:09,"RT to save @aarondgibson from elimination now!!! Don't make Mammie cry 
#VoiceSaveAaron https://t.co/K8kQIr5gst",9783,False
803771558091071488,2016-11-30 01:24:07,RT @NBCTheVoice: RT if you’re feelin’ pretty SMILEY now that @iamAliCaldwell is representing #TeamMiley in the #VoiceTop8 next week! #Voice…,897,False
