id,created_at,text,retweet_count,tweet.retweeted
850269752274505729,2017-04-07 08:51:20,THANKYOU THANKYOU THANKYOUUUU ❤❤🙈 https://t.co/EvfHz3NuI0,70,False
850265826473017350,2017-04-07 08:35:44,Woohooo!! ❤ https://t.co/QRvGQFhhag,64,False
850265680213491712,2017-04-07 08:35:09,Yes!!!! Thankyouu ❤ https://t.co/rPwln6yFM6,55,False
850265640795488256,2017-04-07 08:35:00,THANKYOUUU ❤ https://t.co/MPJtoGmf9C,57,False
850265375702867968,2017-04-07 08:33:57,THANKYOU THANKYOU THANKYOUU ❤❤🙈 https://t.co/CP6pYzOYRz,60,False
850245863666466816,2017-04-07 07:16:25,And thankyouuuuu for the love on our chapters!! Cant believe the response. LOVE YOU ALLLLL ❤❤❤❤ meri pyaari bindu means alot to me !!,182,False
850245128723677184,2017-04-07 07:13:30,Saved the best for last!! OUR FINAL CHAPTER - the essence of our film. See you in theatres soon!!❤❤ https://t.co/NLVjK4WH1X #MeriPyaariBindu,168,False
850215672936189952,2017-04-07 05:16:27,RT @MeriPyaariBindu: Abhi ko kahaan fursat thi Bindu se...The Final Chapter unveils today! #MeriPyaariBindu Trailer-Chapter5 https://t.co/3…,218,False
849883430863155200,2017-04-06 07:16:14,So easy to scandalise Abhi's MOM!!! Hahhahahaha here is Chapter 4 :) Bindu v/s Ma 😎😎😎 #MeriPyaariBindu https://t.co/m1C5lqSxA5,220,False
849865352876101636,2017-04-06 06:04:24,Watch me traumatise Abhi's MOM TODAY!!! Hahahahhahahah Chapter 4 out todayyyyy 😂😂😂😂#MeriPyaariBindu,152,False
849862739984093184,2017-04-06 05:54:01,RT @MeriPyaariBindu: Bindu always had her way with Abhi's Maa &amp; #RombaNalla surprises for Abhi! See it TODAY in #MeriPyaariBindu Trailer-Ch…,152,False
849654593986473984,2017-04-05 16:06:55,RT @SinghhPrashant: Damn! All this while I was looking for US ki Madonna! Should've looked towards Kalkatta!😄👏🌟 #KalkatteyKiMadonna @Parine…,49,False
849637437949325312,2017-04-05 14:58:45,Kalkattey ki madonna - THATS ME!!! Guys - Spend one min on this chapter!! ❤😍 https://t.co/R5AZlQLVrU #MeriPyaariBindu,169,False
849612204152414209,2017-04-05 13:18:29,"RT @DMmovies: .@ayushmannk's Reply To @ParineetiChopra's ""Aa Tujhe Choom Loon Main"" Will Leave You In Splits!

https://t.co/ZKrUnRv9kX

#Me…",89,False
849612124745854976,2017-04-05 13:18:10,RT @SethShruti: Yuhoooo!!! Enjoy peoples https://t.co/KeFN9ojuqq,45,False
849611869732171776,2017-04-05 13:17:09,"RT @KomalNahta: #MeriPyaariBinduTrailer Chapter 3 - Kalkatte Ki Madonna 
Link:- https://t.co/OPvpByi3z7  @ayushmannk @ParineetiChopra @Meri…",51,False
849611864485003264,2017-04-05 13:17:08,RT @PatelDevansh: Pesh hai @ParineetiChopra in &amp; as #KalkatteKiMadonna &amp; @ayushmannk in &amp; as #Boobla *eyes rolling* @MeriPyaariBindu https:…,39,False
849580500826157056,2017-04-05 11:12:30,RT @pinkvilla: #MeriPyaariBindu Chapter 3: @ParineetiChopra as Kalkatte ki Madonna is a complete rockstar https://t.co/LZF19WaZdU,77,False
849554331774877705,2017-04-05 09:28:31,❤❤❤❤ https://t.co/aj16FBJt7i,99,False
849554280944214016,2017-04-05 09:28:19,THANKYOUU milap!!! https://t.co/sSg9fd1DtQ,64,False
849553280996978688,2017-04-05 09:24:20,Thankyou sir!!! https://t.co/BZHpOGGNF1,70,False
849552859272294402,2017-04-05 09:22:40,"Watching these chapters makes me emotional. Thanks Maneesh, akshay and YRF for making this happen!!! #MeriPyaariBindu",119,False
849552752447455234,2017-04-05 09:22:14,Chapter 3 sums up bindu for me!! She is this mad girl who just wants wants to be a rockstar nothing else!!!!  Such a special role for me ❤,142,False
849551658740842497,2017-04-05 09:17:54,RT @yrftalent: Our Disco-Queen #KalkatteKiMadonna! #MeriPyaariBindu Trailer Chapter 3: https://t.co/V4VATNjtEr,59,False
849551629795852288,2017-04-05 09:17:47,"My Bengali Bubblewrap – Abhimanyu BUBLA Roy! #MeriPyaariBindu Trailer- Chapter3
@MeriPyaariBindu https://t.co/R5AZlQLVrU",183,False
849550720789602304,2017-04-05 09:14:10,KALKATTEY KI MADONNA - me!!!!! Watch watch 😎❤https://t.co/R5AZlQLVrU #MeriPyaariBindu,150,False
849550574756528128,2017-04-05 09:13:35,We have so much to show you guys that we divided our trailer into 5 parts!!! Chapter 3 out now!!!! #MeriPyaariBindu,116,False
