id,created_at,text,retweet_count,tweet.retweeted
849991168083599361,2017-04-06 14:24:21,RTG donates over 5000 books to New Haven school children. #BooksForEveryBaby https://t.co/XGCVYx7Ib5,0,False
849743039979507717,2017-04-05 21:58:22,"BigWordsForLittleMe -Read to Grow bought books for school presentation by Sakina Ibrahim today at Wexler-Grant, New… https://t.co/35qHsslQpI",1,False
849729279403241472,2017-04-05 21:03:42,Tickets for RTG fundraiser with Kareem Abdul-Jabbar May 17 6pm in New Haven. Sign up now https://t.co/oPNs2olkOp Sp… https://t.co/H2f93ccs0k,0,False
849660410429132800,2017-04-05 16:30:02,Here comes the Sky Hook! Kareem Abdul-Jabbar in New Haven May 17.@CitizensBank #CitizensBank https://t.co/AVi0NYpLyZ https://t.co/j3kHlFs7z5,1,False
849013193057939457,2017-04-03 21:38:13,Here comes the Sky Hook! Kareem Abdul-Jabbar in New Haven May 17.@CitizensBank #CitizensBank https://t.co/AVi0NYpLyZ https://t.co/XX0NPsOhbE,1,False
847790175157669888,2017-03-31 12:38:23,@Mistanobori Thanks for the retweet,0,False
847181270085984256,2017-03-29 20:18:49,Want to help Read to Grow? Read about our volunteer opportunities! https://t.co/akCtAkMljd https://t.co/jD8HaQWtOc,1,False
846762990233948160,2017-03-28 16:36:43,New Book Place will be opening in Manchester at the Manchester Family &amp; Community Partnership! Stay tuned....… https://t.co/Va4Av64icS,0,False
846762010113138689,2017-03-28 16:32:49,Thank you @StewLeonards in Norwalk for donating 50 new books to RTG! #BooksForEveryBaby #corporatesupport #Read https://t.co/NKBcNq4eMV,1,False
844308136710176769,2017-03-21 22:02:00,"LeVar Burton of Reading Rainbow talks about the importance of reading - and starting early.

https://t.co/PrKTNlnhQw",0,False
840276820654215169,2017-03-10 19:03:00,"Happy #SnowDay! A great time to be inside reading your favorite book or, perhaps, a new favorite? #Read https://t.co/WsDdWj1kLc",0,False
839929283434835968,2017-03-09 20:02:00,It’s spring cleaning time! Do you have good condition books from when your kids were younger? We are open from 9-5… https://t.co/7masuqWCOF,0,False
839569663059243011,2017-03-08 20:13:00,The Northeast Medical Group is holding a series of book drives this month for us! Check out their drop-off location… https://t.co/Y4oUOJoDOE,0,False
839567492456513536,2017-03-08 20:04:23,"Nobel Laureate finds that birth to 5 programs produce high economic returns
https://t.co/kxUbOgK41L",0,False
839175316119535616,2017-03-07 18:06:01,March is Read Aloud Month! Try to read to your children for 15 minutes each day to build their vocabulary.… https://t.co/WVPEJs1XS9,2,False
837766252374405120,2017-03-03 20:46:54,Read to Grow is proud to partner with @AllOurKin. Read about their great work:  https://t.co/P9Too4r2ok #BooksForEveryBaby,0,False
837744136920805376,2017-03-03 19:19:01,"Guilford High junior Claire Keanna is running her 3rd Book Drive for Read to Grow!
#BooksForEveryBaby @GuilfordPatch https://t.co/IigfTUnSdA",0,False
837445920992165888,2017-03-02 23:34:01,Bedtime is a great time for reading together. Does your child have a fav bedtime book? Tell us!… https://t.co/0F2ol4PowU,0,False
837272782165565440,2017-03-02 12:06:01,Today is Read Across America Day! What book will you share with your kids? Let us know! #Read #BooksForEveryBaby… https://t.co/E4Eig04UQD,6,False
837047260257087489,2017-03-01 21:09:53,"Tomorrow is Read Across America Day! A great list of books to choose: https://t.co/q1dhXA6PQS
#BooksForEveryBaby… https://t.co/t1cYUkmaMh",1,False
836621992384217088,2017-02-28 17:00:01,Kashonda shared pics of her son Davian reading on his school break! We love to see kids reading on their own time.… https://t.co/wHlFPIGLHQ,1,False
835237870017384449,2017-02-24 21:20:00,Read to Grow has a new van! Every week we deliver 1000's of kid's books around CT. Thank you to the Walmart Foundat… https://t.co/y9QJnyA6Wp,5,False
835184728605085696,2017-02-24 17:48:50,Glad to be partners in providing #BooksForEveryBaby! https://t.co/rnQSWGGW8M,0,False
832702202124787712,2017-02-17 21:24:10,"Thank you to @GSofCT Girls Scouts of CT North Haven Service Center for your book drive which collected 5,900 books… https://t.co/sEMWrIE3kE",1,False
832697165566746625,2017-02-17 21:04:09,We have that #FridayFeeling! What are you and your kids reading this weekend?,0,False
831949176703422465,2017-02-15 19:31:55,How to Introduce Toddlers and Babies to Books @ZEROTOTHREE https://t.co/ypBtBDVQi4,0,False
831921939933515784,2017-02-15 17:43:41,"Tomorrow is World Read Aloud Day! Check out the great activities at the link!
https://t.co/5p44Hv468U",0,False
831259400048431104,2017-02-13 21:50:59,TY Joe for your good deed today. Thanks for jumping in and making a delivery for us. https://t.co/jvQWZlKbNd,0,False
829761032327426051,2017-02-09 18:37:00,"Many thanks to @GoChargersMBB for the book drive! The books will be a slam dunk with the kids! 
#ThankfulThursday 
#BooksForEveryBaby",2,False
829460300441083904,2017-02-08 22:42:00,$15 provides a family with a literacy packet in the hospital. This includes a new book &amp; information. Donate here: https://t.co/zp2CFzqRpx,1,False
829021240786550784,2017-02-07 17:37:20,"A fantastic program by Blackstone Library in Branford: 
""1000 books before kindergarten."" 
https://t.co/s9EnfYjbyb #Books #Branford",1,False
827590535938502657,2017-02-03 18:52:14,"Chris Kitchings (L), owner of The Bowerbird gift shop in Old Lyme, gives a $5,355 check to Read to Grow. Much grati… https://t.co/57XRFKrPxK",0,False
827568341686558724,2017-02-03 17:24:02,"Thank you, @GoChargersMBB!! #BooksForEveryBaby 
#FridayFeeling = Hooray! https://t.co/SLQMtlR1dS",2,False
826849917461204993,2017-02-01 17:49:17,"Thank you to @NAPOCT for the collection of 1,600 books! We are 1,600 books closer to #BooksForEveryBaby",0,False
825095742415073280,2017-01-27 21:38:49,Hospital volunteers needed in Bridgeport and New Haven https://t.co/rndqi57nvo https://t.co/xkXzPzz2je,1,False
825062578699251712,2017-01-27 19:27:02,"Many thanks to Dani for organizing a book drive for us, and to Buster for helping! #BooksForEveryBaby… https://t.co/144gIm6rxd",0,False
822492479337492480,2017-01-20 17:14:22,We loved this article on engaging your little reader: https://t.co/pLNduPFXrt,2,False
822202291394674688,2017-01-19 22:01:16,"TWO AT THE ZOO! Read to Grow gave this book to Head Start families today in Bridgeport, CT during a literacy worksh… https://t.co/2klidd3aDb",0,False
821485582467694592,2017-01-17 22:33:19,Politicians unite on childhood efforts https://t.co/iIGHzymTFV https://t.co/pImOdJNqUo,0,False
821444733104898048,2017-01-17 19:51:00,"Pearce brought us 130 beautiful books her friends gave her, in lieu of gifts, for her 9th bday. 
Thank you Pearce!… https://t.co/TrhPf2O538",0,False
819273932176052226,2017-01-11 20:05:01,Many thanks to Linda from @missporters for volunteering her time to help translate Read to Grow materials into Chin… https://t.co/Q3y0qDQlVG,0,False
818986537442480129,2017-01-11 01:03:01,"We are always in need of board books, bilingual books, &amp; multicultural books. Consider running a book drive for us! https://t.co/viH5G9WaFS",3,False
818850443640131584,2017-01-10 16:02:13,TY @missporters for visiting RTG and for your book donation! #BooksForEveryBaby https://t.co/1TgC5OYaGI,0,False
817474212176785408,2017-01-06 20:53:34,Thank you Phoenix Press @phoenixpress for your incredible donation of books! #BooksForEveryBaby https://t.co/T7bL2NIHF2,0,False
816691488721694720,2017-01-04 17:03:18,@ValerieDiNuzzo Thanks Valerie. Visit us on our website https://t.co/zORbzDVXxq!,1,False
816346644069289985,2017-01-03 18:13:01,The Girl Scouts are running a Book Drive for Read to Grow Jan 2-Feb 3. Collections around the state. Details: https://t.co/nk7cfOzRfb,0,False
815260236814647296,2016-12-31 18:16:01,"What a year! Read to Grow opened 4 new Book Places, served over 900,000 kids, and delivered thousands of books! We… https://t.co/1w68pcKQ88",0,False
814648202397908992,2016-12-30 01:44:01,"Honoring our Books for Babies volunteer, Gretchen! She's been with us for 6 yrs! Thank you for your service!… https://t.co/1elgUtnjee",1,False
814299154591744000,2016-12-29 02:37:02,"New Book Place in Manchester!
At the Family Resource Center at Bowers Elementary School.Every Tues &amp; Thurs from 9am… https://t.co/Cj4y0q2Zj3",0,False
813564811984379905,2016-12-27 01:59:01,On this #MarvelousMonday we hope you find some time to enjoy some quiet reading. https://t.co/0NfaenRXWW,0,False
813217774025646080,2016-12-26 03:00:00,"Read to Grow is closed 12/26-1/4 for the holidays. In the meantime, check us out on Instagram: https://t.co/Sb1inrGEW7",0,False
812327157670277120,2016-12-23 16:01:01,"Happy Holidays to you and yours from your friends at Read to Grow! 
#Cookies #Coffee #CurlUpAndRead https://t.co/1oSkbaKJol",0,False
811757654481715200,2016-12-22 02:18:01,A note from the students at Celentano School in New Haven! We love hearing from happy readers! https://t.co/RDaOILM66i,0,False
811277235772530688,2016-12-20 18:29:00,"What was your favorite holiday book growing up? Tell us!

#TellUsTuesday #BooksForEveryBaby https://t.co/13PfZfmnkl",1,False
810943034166648833,2016-12-19 20:21:00,"#GiveBooks #GiveLocal 
Consider a donation this holiday season to help provide books to kids in need. Donate here:… https://t.co/vwljHtsjOs",0,False
810930172203503616,2016-12-19 19:29:54,Spirit of giving https://t.co/8R7F90EuOz https://t.co/AXY5brdj47,2,False
809848324689948672,2016-12-16 19:51:01,"6th-grader Chelsea collected 1,827 books for RTG in her 4th annual book drive. Thank you, Chelsea!
#GiveBooks… https://t.co/m1NVdMEdQX",0,False
809566967946297346,2016-12-16 01:13:00,Read to Grow hopes you'll consider a holiday gift for kids in need. You can give in honor of loved ones too! Info:… https://t.co/rQUfiugSLl,2,False
