id,created_at,text,retweet_count,tweet.retweeted
850433137427574784,2017-04-07 19:40:34,"On this week’s #DiscussWithGus: Internet privacy, the House investigation of Russia, &amp; protecting VA whistleblowers. https://t.co/6SzceRdwHI",3,False
850065339518001152,2017-04-06 19:19:05,.@DAVHQ does incredible work on behalf of our Veterans. I will keep fighting to ensure every Vet gets the care they… https://t.co/HrRucsPCDu,14,False
849994733296504832,2017-04-06 14:38:31,RT @GoHART: Thanks @RepGusBilirakis for the shout out on our upcoming autonomous vehicle pilot and for your continued support! https://t.co…,1,False
849748775191146497,2017-04-05 22:21:10,"Proud to receive the @NDSS Champion of Change award, but the real winner is my friend Abigail and her family from F… https://t.co/QbOPt6Xlfk",1,False
849721386876641280,2017-04-05 20:32:20,Today with my strong support the House passed bipartisan legislation to continue the Veterans Choice Program beyond… https://t.co/T57JZwhuxz,2,False
849669922628218880,2017-04-05 17:07:50,RT @NDSS: Thank you @RepGusBilirakis for your support! We are glad you were able to accept your award today! https://t.co/RDqfufk6oi,5,False
849403715492642816,2017-04-04 23:30:01,"With the VA’s Veterans Crisis Line, the stakes are too high for even one call to go unanswered. https://t.co/LPrDQFzO5V",0,False
849373515518169088,2017-04-04 21:30:01,Productive meeting today with Jacksonville Army Corps of Engineers about Ridge Road extension &amp; dredging the Anclot… https://t.co/jixv4nyGbJ,6,False
849358435078422528,2017-04-04 20:30:05,"Thanks to Pinellas County Commissioners Janet Long, Pat Gerard, &amp; PSTA CEO Brad Miller for bringing the voices of o… https://t.co/4m6j4BcHSg",1,False
849343313521950720,2017-04-04 19:30:00,"Capt Simms, Col Amodeo, &amp; Tech Sgt Bennett of the 927th Air Refueling Wing at MacDill came by my office today. Grat… https://t.co/6ZNISOb9FP",1,False
849326147208957956,2017-04-04 18:21:47,The VA GORDIAN KNOT Act helps the VA better serve Veterans by increasing the accuracy &amp; integrity of data reported.… https://t.co/u4UfOC6Yiv,1,False
847812522300387329,2017-03-31 14:07:11,"On this week’s #DiscussWithGus: NIH funding, President Trump’s picture in VA hospitals, and tax reform. https://t.co/33BtYP84eZ",6,False
847505607045169152,2017-03-30 17:47:37,I encourage all high school artists from FL12 to enter the 2017 Congressional Art Competition! Learn more:… https://t.co/WnGwGSycdZ,7,False
847455275548160001,2017-03-30 14:27:37,"RT @SSNAlerts: .@RepGusBilirakis goes to bat for reforming the @DeptVetAffairs, expanding dental benefits for veterans: https://t.co/IbhOmg…",10,False
847223423503708161,2017-03-29 23:06:19,The opioid epidemic affects FL12. I look forward to working with @POTUS on our shared goal to fight this crisis. https://t.co/YZDkOCVH4J,2,False
847196008685678592,2017-03-29 21:17:23,"We need to modernize 911 services to work with our next generation technology &amp; better assist elderly, disabled &gt;&gt; https://t.co/EDm9FrqKWq",3,False
847156033663447041,2017-03-29 18:38:32,"Today is the first ever National Vietnam War Veterans Day. Now, and on every March 29th going forward, we honor thi… https://t.co/i5Ci5Sfevj",9,False
847137599835820032,2017-03-29 17:25:17,My bill the VA GORDIAN KNOT Act helps untangle some core VA problems: lack of accountability &amp; manipulation of data. https://t.co/xaJ08mjgPO,5,False
846829307557281793,2017-03-28 21:00:14,"Great mtg w/ Dr. Diaz with Florida Cancer Specialists on making health care accessible &amp; affordable, especially for… https://t.co/XFQlnbiPD5",3,False
846801833783967746,2017-03-28 19:11:04,"My bill, the VET CARE Act, will implement a 4-year pilot program to expand access to dental care for Veterans  &gt;&gt; https://t.co/ybBFESgcr5",6,False
846775916575571969,2017-03-28 17:28:05,Over 30 #AIPAC members from Florida stopped by my office this afternoon for a fantastic meeting on reinforcing the… https://t.co/RtxW0uuCTZ,2,False
846753103391211521,2017-03-28 15:57:26,"7,000 rare diseases &amp; 30 million Americans affected, but only 500 treatments. The OPEN Act will help change that. https://t.co/YqGVB5tCD1",7,False
845660082788618240,2017-03-25 15:34:09,Happy Greek Independence Day to my fellow Greek-Americans! https://t.co/M7pLC46Gi7,26,False
845394091122790400,2017-03-24 21:57:12,"My main concern has been, and will continue to be, making sure my constituents have access to the best possible hea… https://t.co/CzmAM2BCwh",8,False
845326167653695491,2017-03-24 17:27:18,Enjoyed answering your calls today on AHCA. I hope you'll continue to stay in touch on the issues that matter to yo… https://t.co/b2XHYTo2MD,6,False
845041140747436033,2017-03-23 22:34:42,I’m thrilled we took a positive step forward today to turn the Ridge Road extension project into a reality: https://t.co/wffZUA8qvI,7,False
845007967011393536,2017-03-23 20:22:53,"On this week’s Discuss with Gus: Meals on Wheels, compensating Veterans fairly, and expanding choices for patients: https://t.co/XCpodk137x",5,False
844710212011540480,2017-03-23 00:39:43,Flooding &amp; high flood insurance premiums are big issues for Florida. The FL delegation met today to discuss strengt… https://t.co/tOxZLDIY2J,4,False
844295316308459523,2017-03-21 21:11:04,Fentanyl is a major part of the opioid crisis. We need to raise awareness &amp; help communities tackle this head on. https://t.co/ig4I8vtHpv,8,False
844204194554941441,2017-03-21 15:08:59,Great to hear from @POTUS this morning as he spoke to House Republicans in support of the American Health Care Act… https://t.co/XfVhO84baC,4,False
842514171266826241,2017-03-16 23:13:26,Most VA staff are dedicated to helping #Veterans but some bad actors hurt Vets &amp; the agency. Glad we passed the VA… https://t.co/2LSIK1a5X6,9,False
842153429023764480,2017-03-15 23:19:58,"Celebrating the 100th birthday of James “Maggie” Magellas, a WWII Army officer &amp; most decorated officer in the hist… https://t.co/G8NgsES9yt",11,False
842095882837360646,2017-03-15 19:31:18,"RT @SuncoastNews: Constituents in the district of @RepGusBilirakis may submit nominations for 'Heroes Among Us' recognition
https://t.co/em…",3,False
842062310415953920,2017-03-15 17:17:54,The House will soon vote on the VA Accountability First Act to bring accountability and transparency to the VA. Pro… https://t.co/aYIpvK88HZ,8,False
841659139101216769,2017-03-14 14:35:50,Do you know somebody who makes a positive impact on our community? Nominate them for my Heroes Among Us award. https://t.co/6KgtaJMd54,3,False
841346192072138752,2017-03-13 17:52:18,Happy National K9 Veterans Day to the military canines who served alongside our men and women in uniform! https://t.co/LbdjUNAAyS,7,False
839873719854108672,2017-03-09 16:21:13,Short break from 24+hrs of committee debate on the American Health Care Act to meet w/ Gov. Scott &amp; discuss solidif… https://t.co/7ZKBWScXTK,5,False
839495192092737537,2017-03-08 15:17:05,Firefighters from Clearwater and Tarpon Springs were out in Washington this week. Thank you for everything you do f… https://t.co/rKsfHGG4XY,1,False
838926034166820864,2017-03-07 01:35:27,Delivering on the promise to repeal &amp; replace the ACA in an open and transparent manner. Read the bill text here: https://t.co/8tQaHCXyDT,39,False
838854784732053508,2017-03-06 20:52:20,Met with the Community Health Centers of Pinellas team today – they do amazing work to provide quality health care… https://t.co/gUjGjGV6t4,3,False
837705827666518021,2017-03-03 16:46:47,"Happy birthday, Florida! The great state we call home was granted statehood on March 3, 1845. https://t.co/TVTJPlcunc",12,False
837426900423278592,2017-03-02 22:18:26,I announced my 2nd annual Heroes Among Us event to recognize the men &amp; women who make FL12 such a special place!… https://t.co/X429jj4mX9,3,False
837342827931631616,2017-03-02 16:44:21,"Proud to be a partner in the fight against congenital heart disease, but the real champions are CHD patients and th… https://t.co/o2y06K3nE3",7,False
836797007461249025,2017-03-01 04:35:28,The President's #JointAddress was uplifting &amp; unifying. He reached out to both parties to work together for the goo… https://t.co/oXpYZZq3wV,512,False
