id,created_at,text,retweet_count,tweet.retweeted
850417467184697347,2017-04-07 18:38:18,"when I'm telling a story, get off track, but then finish crazy strong (cc: @rudeunicorns) https://t.co/EAYYwapTKH",0,False
850406692378427392,2017-04-07 17:55:29,@JoslynDavis @GIPHY also one I will be using. youuuuu killed it!,0,False
850376554303545344,2017-04-07 15:55:44,@JoslynDavis 🔥GIF https://t.co/xr54VRa7J7,12,False
850376195623407616,2017-04-07 15:54:18,@lily_marston @GIPHY @ClevverTV So so ....... so good https://t.co/mdFRuK0WGu,6,False
850132939874607104,2017-04-06 23:47:42,"@rudeunicorns the world needs them, gonna nudge your team lol",0,False
850132187454119936,2017-04-06 23:44:42,at multiple points today this was me https://t.co/b5nWTP4Om5,1,False
850131779423944704,2017-04-06 23:43:05,@rudeunicorns Uhhh it was all YOU! did you make yours live yet? I must use 3 to 4 of them immediately.,0,False
849844229421506560,2017-04-06 04:40:28,@maratberenstein @ScharffIsHere @GIPHY 1000%,0,False
849841254917488640,2017-04-06 04:28:39,@maratberenstein @ScharffIsHere @GIPHY  https://t.co/hQC2TMJ4HX,0,False
849833812892590080,2017-04-06 03:59:04,@maratberenstein @ScharffIsHere @GIPHY One of Matt?,0,False
849833759629164544,2017-04-06 03:58:52,@maratberenstein @ScharffIsHere @GIPHY Hahaha yesssss,0,False
849671339505893376,2017-04-05 17:13:28,@JoslynDavis just saw a GIF of you from our shoot that is A+++. GET READY!,0,False
849506137816870913,2017-04-05 06:17:00,@lily_marston @drpepper Savage,0,False
849503360927617025,2017-04-05 06:05:58,@alixmcalpine Hashtag brandy runs exclusively,0,False
849499399092830208,2017-04-05 05:50:14,@LexiiSee It's always a thing cause you can always listen to it:) and I work at GIPHY now!,0,False
849497755089293312,2017-04-05 05:43:42,Me in the shower and/or car. https://t.co/LLUqAWT7RR,3,False
849492752958148609,2017-04-05 05:23:49,@samantha_alaimo @GIPHY @AlexiBlue Our pleasure. @AlexiBlue's GIFs are gonna be https://t.co/hjgsNHpR3f,0,False
849291667735752704,2017-04-04 16:04:47,"RT @RiskyBusinessMB: To all the young musicians and actors waking up today unsure where the next gig, paycheck, opportunity is coming from,…",22,False
849105036919447552,2017-04-04 03:43:11,RT @BleacherReport: How UNC’s cutting down the net. https://t.co/r1ZVuzet4x,7813,False
849087485925896193,2017-04-04 02:33:26,"@lisa_hiser @lily_marston @13ReasonsWhy I watched the big little lies finale, then listened to s-town. Had to take… https://t.co/q6bLmyCeeK",0,False
849077529155706884,2017-04-04 01:53:52,Just asked Waffles if the Drake vocals came in yet.,0,False
849052376484814848,2017-04-04 00:13:55,Making GIFs while listening to S-Town. Emotions are all over the place.,0,False
849028150377930752,2017-04-03 22:37:39,@nately Phenomenal,0,False
848984364742397952,2017-04-03 19:43:40,RT @JenniKonner: What if you did a juice cleanse and didn't tell ANYBODY?,151,False
848984326586875904,2017-04-03 19:43:31,@JenniKonner too risky.,0,False
848665515929124865,2017-04-02 22:36:41,@SheaSerrano Check out @HenrytheWorst,0,False
848606618493136896,2017-04-02 18:42:38,@andrewlovette Yes!,0,False
848579589018312705,2017-04-02 16:55:14,@adeleee @Yankees June.,0,False
848579469761667072,2017-04-02 16:54:46,@adeleee @Yankees deal.,0,False
848575408194727936,2017-04-02 16:38:37,@adeleee @Yankees  https://t.co/qOKGSvhbvx,0,False
848398459782680577,2017-04-02 04:55:29,@lily_marston @Postmates If clevver makes it pls let me make a cameo,0,False
848398149773254656,2017-04-02 04:54:16,@lily_marston @Postmates Must make a horror movie about increasing estimated delivery time,0,False
848320963070402560,2017-04-01 23:47:33,@hkasulka AGREED.,0,False
848300332505481216,2017-04-01 22:25:34,@hkasulka What are your theories?,0,False
848297152035958784,2017-04-01 22:12:56,RT @mindykaling: Straight Outta Studio City 🔥 https://t.co/2jlAjOoS2s,18,False
848295173708578816,2017-04-01 22:05:04,Got time but I don't mind,0,False
847880589969506304,2017-03-31 18:37:40,"@LCosgrove_ man, great meeting you today, thanks for coming through!",0,False
