id,created_at,text,retweet_count,tweet.retweeted
850188035970957312,2017-04-07 03:26:38,RT @RedesEnAccion: A Del Mazo ni los priístas le creen #EdoMéx #RedesEnAcción https://t.co/FW61vxMNmA,132,False
850182047289180160,2017-04-07 03:02:50,RT @RightWingAngel: #BREAKING: US officials: #US attacks #Syrian air base with about 60 missiles after Syrian chemical weapons attack. via…,1563,False
849468293090074624,2017-04-05 03:46:38,"RT @BobGrayGA: It's time we fight back. Announcing Operation #GrayOut. 

Sign up today: https://t.co/EwTIQzNVDn

#MAGA #tcot #DefendThe6th…",1956,False
848934654988210176,2017-04-03 16:26:08,"RT @RightWingAngel: JUST IN: White House releases the first official portrait of First Lady Melania Trump, at the White House. https://t.co…",2863,False
848846601779105793,2017-04-03 10:36:15,RT @syeddoha: #UHIHF Grapevine:  #RussianConnection seems more complex then just help elect @realDonaldTrump - he may have been just the by…,21986,False
847012511174066177,2017-03-29 09:08:14,"RT @RightWingAngel: Dear @POTUS &amp; @VP, any help you can give Pro Trump @PressGop #congress in 43rd District of #CA?  #MaxineWatersNeedsToGo…",8386,False
846998185461661696,2017-03-29 08:11:18,RT @RightWingAngel: Waters is a lying politician that destroyed her district &amp; offended many. Made us laughing stock of world with her lack…,4231,False
846955635006754818,2017-03-29 05:22:13,"RT @KyleEdwards: I WANNA VOICE ANIMATED CHARACTERS ONE DAY!
I PROMISE IM NOT CRAzY https://t.co/RjJ96F6cHU",277,False
846550782472310784,2017-03-28 02:33:29,"RT @syeddoha: #RYAN2020 Is he sending a missive? I know he was going to go the WH, but presidential-looking optics can't be entirely ignore…",15436,False
846113838294581250,2017-03-26 21:37:13,"RT @syeddoha: #GOP fissure and WH lack of leadership have far reaching consequrnces for the Economy - for his own good, @SpeakerRyan should…",24903,False
843978643789565952,2017-03-21 00:12:43,"RT @aformerconvict: Please remember that Bitcoin Unlimited is not Bitcoin. It's just another altcoin like DopeCoin, RonPaulCoin, Zcash and…",1059,False
843272290829787138,2017-03-19 01:25:56,"RT @JosephA48843599: Episode Free Gems and Passes 2017 | Cheats, Hacks and Game Codes | Episode Choose Your Story https://t.co/g8UXmk0kFm",649,False
843265756481642498,2017-03-19 00:59:58,"RT @LoveVibrationNa: ⚡️ “#2017YearOfTheNation ” by @LoveVibrationNa

https://t.co/BztzuVlJBI",1109,False
843262758867161089,2017-03-19 00:48:03,RT @auroluna12: TODOS LOS QUE ESTAN EN EL #VL17 DEBERÍAN MANDAR UNA FOTO SUYA Y COMPARTIRLA #COSASPERRONAS,1058,False
843262708963336193,2017-03-19 00:47:51,"RT @estelitaolvos: #VL17 y yo no puedo estar allá, quiero llorar :(",533,False
842209535355957248,2017-03-16 03:02:55,"RT @RightWingAngel: ""This bill is riddled from top to bottom with problems""-@RandPaul 

💥Capitol Hill rally on health care 

✅https://t.co/…",493,False
841856959431204866,2017-03-15 03:41:54,RT @RightWingAngel: So Rachel Maddow commited a felony to release Trump's taxes? Should she be locked up? RT if you think so! Thoughts anyo…,4026,False
841603476702543872,2017-03-14 10:54:39,RT @RightWingAngel: Good  Morning  Beautiful  Patriots  ☕️ !  Be blessed in this Glorious Day The Lord has Given Us. What does America mean…,895,False
841110279027068929,2017-03-13 02:14:52,RT @Domini_Monroe: Please check out my #Imagine #danceremix so many of you helped to create 🌎#worldwidemovementofhappiness via @YouTube htt…,8431,False
840342056363008000,2017-03-10 23:22:13,RT @arthurbouquet: Cheap bitcoin! Limited offer! https://t.co/UzcVDY2jr8,536,False
840341831380566017,2017-03-10 23:21:20,RT @bitcom21: Price resilience a great sign for Bitcoin long-term. Neither PBOC nor SEC scared away demand. (Hint: compelling fundamental g…,1031,False
840341556385218560,2017-03-10 23:20:14,RT @Blockstream: Today's SEC decision is a temporary detour on the path to Bitcoin's ubiquity.  Permissionless innovation and decentralized…,639,False
840341303598669824,2017-03-10 23:19:14,"RT @aantonop: The ETF was denied because bitcoin can't be regulated, can't be surveilled. 

Feature, not bug.",1674,False
840341086736379905,2017-03-10 23:18:22,"RT @aantonop: If you measure bitcoin's success by the approval of the incumbent and obsolete industry it replaces, you're doing it wrong",1378,False
839407965320986624,2017-03-08 09:30:29,RT @RightWingAngel: “A wise woman builds her house but a foolish woman tears it down with her hands”  #adaywithoutwomen Real women take res…,2978,False
838514060098428930,2017-03-05 22:18:25,"RT @syeddoha: #RussianConnection Genesis of Trump's claim rests on attempt of obfuscation, as Comey Asks DOJ to Reject WT Claim https://t.c…",19950,False
837870481810329600,2017-03-04 03:41:04,"RT @RightWingAngel: 🙄Liar or incompetent your choice: Dem Sen McCaskill claims ‘no meeting’ with Russians, but tweeted about -TWICE!  

htt…",785,False
837504012916305920,2017-03-03 03:24:51,"RT @GOT7Official: GOT7 &lt;FLIGHT LOG : ARRIVAL&gt; 
TEASER IMAGE #Jinyoung

#GOT7 #FLIGHTLOG #ARRIVAL 
#NeverEver https://t.co/xpUGLjx4ul",43772,False
837269903455432705,2017-03-02 11:54:35,RT @LoveVibrationNa: #2017YearOfTheNation #LoveIsTheAnswer #TheCoCreators #TheLiftOffEP @AppleMusic @iTunes #AllGenresAllPeopleAllLove Savi…,1422,False
837125663652003849,2017-03-02 02:21:25,RT @GraceCornish14: Die 5 Besten Elektrische Zahnbürsten im MEGATEST 2017 +++ NEU +++ https://t.co/0qigmp5TDb,1709,False
836593330045743105,2017-02-28 15:06:07,"RT @DavidKWilliams: Yes @spencerrayner to have ""thick skin and a soft heart"" is what #leadership which is #people centric must be composed…",3581,False
836584796637827072,2017-02-28 14:32:13,"RT @fawaz5alotibi: اللهم لاتحرمني قلوب اعتدت قربها 

 #اميره_الهلاليه_150k",6429,False
836245410792505344,2017-02-27 16:03:37,RT @Simon_How: CHARLIE BLACKWOOD #Showreel 2017 @Simon_How @MrTomFitz @CharliBlackwood: https://t.co/rrCQXqvZ56 via @YouTube,59,False
836191229893349376,2017-02-27 12:28:19,"RT @syeddoha: It's not drip, drip, drip; it's gushing and pouring and we #KeepIgnoring - #resist. https://t.co/87Sd1ujqgk",10775,False
835971817919627264,2017-02-26 21:56:27,RT @AdamGuerbuez: How many new $BURST coin holders became Millionaires in the past 24 hours? A LOT! #bitcoin #blockchain #BURSTNation https…,5084,False
834795376980946944,2017-02-23 16:01:42,RT @bedatings: ✨✨✨ https://t.co/s6hTEz0hai,230,False
833729906634797057,2017-02-20 17:27:54,RT @AdamGuerbuez: We're Raining BURST coins All over the BLOCKCHAIN! $BURST #BURSTnation Emoticons on the Blockchain! #Bitcoin  https://t.c…,3169,False
