id,created_at,text,retweet_count,tweet.retweeted
850006365141516289,2017-04-06 15:24:44,Next #UdacityTalks episode is with Jamie Hyneman! We'll tour his workshop (from Mythbusters!) &amp; talk robotics https://t.co/GH3noIoYQs,9,False
849845472235634690,2017-04-06 04:45:24,Accurate and well-researched story by @bizcarson : https://t.co/WVi5VF1rlW … Wishing Oliver and his team all the best!,38,False
846510262093983744,2017-03-27 23:52:28,It's real: Self driving car engineers are top earners: https://t.co/CiKyT2Tgeq,60,False
846505102089203713,2017-03-27 23:31:58,@DrSidMukherjee Great article: https://t.co/72266MS1d3,4,False
844408542106976257,2017-03-22 04:40:59,Didi competition has just started. Win $100k! https://t.co/AHvTMuoiSu,43,False
841441526198624256,2017-03-14 00:11:07,https://t.co/gYe4hHFEh7,16,False
839986978191949824,2017-03-09 23:51:16,RT @kaliouby: In Saudi Arabia women do not drive but they certainly code! How @udacity is changing people's lives #womensday @MiskTech #Uda…,63,False
839986927059136512,2017-03-09 23:51:04,RT @udacity: Heard at #UdacityIntersect via @SebastianThrun https://t.co/NaA8uMqdNq,7,False
838890301632585728,2017-03-06 23:13:28,RT @udacity: We're welcoming the @terminalcloud team to Udacity to help us build the best education experience out there! https://t.co/2ulq…,15,False
838890233881976832,2017-03-06 23:13:12,"RT @udacity: Watch #UdacityIntersect sessions from the comfort of your, er, work desk. RSVP to the livestream today: https://t.co/lnJ3kWjMi…",13,False
838887869129228288,2017-03-06 23:03:48,Amazing! https://t.co/U1zcukgiTi,33,False
837029104843014144,2017-03-01 19:57:44,RT @udacity: We're excited to welcome CloudLabs to the Udacity team! https://t.co/avrhecvwg5,36,False
837029071338921984,2017-03-01 19:57:36,We acquired a company. A first. Super pumped about it. https://t.co/ohh3O0FKag,44,False
834615032335839232,2017-02-23 04:05:04,RT @olivercameron: 🎉 We just received our permit at @udacity to test autonomous vehicles on CA public streets. AMA! https://t.co/1OPLF3T9ol,159,False
834148470944526336,2017-02-21 21:11:07,Amazing story: https://t.co/Z9pqtpxawR,35,False
830112224714690560,2017-02-10 17:52:31,"RT @udacity: When @attdeveloper challenged employees to improve their programming skills, this team turned to Nanodegrees: https://t.co/KUY…",12,False
827392969586008064,2017-02-03 05:47:10,Got to love @nature: https://t.co/unIiNLKO94,23,False
