id,created_at,text,retweet_count,tweet.retweeted
850478039645474817,2017-04-07 22:39:00,RT @WSJTech: Fear of automation’s dark side is leading to calls for action. https://t.co/FEqwekeYuM,20,False
850466716991803392,2017-04-07 21:54:00,"RT @HowIBuiltThis: In the 80s, @SteveCase was one of the few entrepreneurs who understood how people could connect through computers. https…",8,False
850457155962626048,2017-04-07 21:16:01,"Investors Who Buy This Stock Now Get a Free Rotisserie Grill https://t.co/kPMek3EEcd ""The perks don't stop there""",1,False
850450359973707777,2017-04-07 20:49:01,RT @AppleNews: Our days could use more @NatGeo. Subscribe on Apple News for incredible stories of exploration &amp; natural wonders. https://t.…,41,False
850445655449509889,2017-04-07 20:30:19,RT @slobotski: Energized &amp; motived after last week’s @RiseOfRest Summit in D.C. Great work @AnnaMasonDC &amp; Team @Revolution in coordinating…,7,False
850434025231699968,2017-04-07 19:44:06,#NationalBeerDay https://t.co/YwrUln6x0Y,2,False
850423452297310210,2017-04-07 19:02:05,RT @RonaldKlain: Female founders face tough challenges.  Nice to see @RiseofRest getting a shout out here as part of the answer:  https://t…,15,False
850412119602409474,2017-04-07 18:17:03,RT @KauffmanFDN: #Tech is only part of the story—healthcare &amp; ag drives #innovation in the heartland. https://t.co/fb4PHaMVC0 @stevecase @a…,13,False
850403919029313537,2017-04-07 17:44:28,"RT @PatrickMcHenry: On Wednesday, I joined w/ @GOPLeader, @SteveCase, &amp; others to discuss the #JOBSAct's impact so far--&gt;  https://t.co/b49…",2,False
850399286617665536,2017-04-07 17:26:04,Detroit Is Stomping Silicon Valley in the Race to Build Self-Driving Cars https://t.co/Xz5FDletbm #ThirdWaveBook… https://t.co/1bvAFZH62W,5,False
850386701537206272,2017-04-07 16:36:03,"RT @revolution: VC deal volume is down, but dollar value keeps growing. Our VP, @tchughes06 shares his insights in @tearsheetco: https://t.…",5,False
850384616590647297,2017-04-07 16:27:46,RT @rrhoover: Great episode on @SteveCase and the history of the Internet 👇🏼 https://t.co/AvEePfJNoc,4,False
850377129216925696,2017-04-07 15:58:01,"RT @villagecapital: “The consequences of ignoring parts of America is higher than many thought"" - @rossbaird in Newsweek #RiseofRest https:…",2,False
850368068689817600,2017-04-07 15:22:01,"The Hippies Have Won https://t.co/5TBQcjbI32 ""Granola used to be a derogatory term...now it’s a supermarket categor… https://t.co/GHqUsRfqfq",2,False
850359269706932224,2017-04-07 14:47:03,RT @FastCompany: Four workplace stereotypes millennials thoroughly resent https://t.co/4jiDBwLgKN https://t.co/ZB4dysAtjy,23,False
850349457615015938,2017-04-07 14:08:04,"RT @HowIBuiltThis: Until 1991, it was illegal for most people to be on the internet. How @SteveCase and @AOL helped usher in a new age: htt…",43,False
850344655023689729,2017-04-07 13:48:59,RT @waltmossberg: Some personal news: I’ve decided to retire in June. More details in short post at link below. https://t.co/CWf4CFkPZ1 htt…,503,False
850338655059181569,2017-04-07 13:25:08,10 female founders get real about sexism in the startup world https://t.co/kiZNeN5AAc #RiseOfRest #FacesOfFounders,9,False
850326042074124288,2017-04-07 12:35:01,RT @TechCoHQ: Where the young entrepreneurs are headed. https://t.co/c9XRoBqKty,9,False
850320050150047744,2017-04-07 12:11:12,"Why Computers Will Never Be Safe https://t.co/MD702mpnNM ""Hackers have proved they can take remote control of conne… https://t.co/cOtFtd7YPC",7,False
850314496132382720,2017-04-07 11:49:08,RT @SylviaFOX32: Hey @SteveCase thought of you and the #ThirdWaveBook @jimmydlee23: next high-paid tech job may be in these cities https://…,1,False
850150134956646400,2017-04-07 00:56:01,Urban Outfitters Is Charging $45 for an AOL T-Shirt https://t.co/lYnokeA3Mc https://t.co/Fb2p2xKENv,11,False
850139576014446592,2017-04-07 00:14:04,"RT @SmithsonianMag: Hawaii's must-see lava flows are home to new, startling ecosystems. #evotourism https://t.co/AnvAzVVKrd",13,False
