id,created_at,text,retweet_count,tweet.retweeted
850479289887727616,2017-04-07 22:43:58,Next week at The Paley Center in Beverly Hills - be there! https://t.co/498zXenaRu,21,False
850458546730704896,2017-04-07 21:21:32,Congrats to the God Woke team on their Independent Publisher Award! @FabianNicieza @MarianoNicieza @mmsmurfologist https://t.co/jJDxBkOoaA,21,False
850424253858156544,2017-04-07 19:05:16,"Fantastic flashback to Apr 1964 when we met Daredevil. What ""suits"" him best original yellow &amp; brown or classic red… https://t.co/ycGhFeHTSL",336,False
850081978485547008,2017-04-06 20:25:12,Marvelously modeling @sashaprojectla  for @ChildrensLA . https://t.co/qbUM5VO56g,260,False
850041011032121344,2017-04-06 17:42:24,Who are you voting for? @NSF @NNInanonews #Excelsior https://t.co/GUm3b55j52,39,False
850023002867589121,2017-04-06 16:30:51,"RT @DisneyAnimation: Congratulations to @TheRealStanLee, to be named a Disney Legend at #D23Expo 2017! @DisneyD23 https://t.co/Vk3ymmJqtj",1101,False
850016594906533888,2017-04-06 16:05:23,Hellraiser Anthology avail. tomorrow! Feat. POW! alums: @MMsmurfologist @markalanmiller @Ben_Meares @Sam_Shearon… https://t.co/MGYCA1gMPC,64,False
849766900783497216,2017-04-05 23:33:11,RT @heroinitiative: It's a Friday! Take a long lunch with @TheRealStanLee and @JoeQuesada! Tix HERE: https://t.co/vAI8aLyoI2,21,False
849729652184797184,2017-04-05 21:05:10,Is this tiny True Believer is discovering he might have X-ray vision... Can he see inside the @stanleebox?… https://t.co/msurkHYVes,90,False
849705789698695168,2017-04-05 19:30:21,.@HandsRespect was launched to inspire respect for all. We encourage you to  join us in this worthy cause. Follow us &amp; share respect for all,124,False
849641153343373316,2017-04-05 15:13:31,Did everyone catch my cameo on @karengillan's feed? #KingofCameos https://t.co/uc9xKmBqq2,164,False
849046846001434628,2017-04-03 23:51:57,"Wanna be my ""sidekick"" @ the Paley Center Cup 'o Joe event in Beverly Hills? You better bid right  away! https://t.co/9MbbAkfXqK",85,False
849004857499451393,2017-04-03 21:05:06,This dip in the 'Pool is a belated April Fool's courtesy of @ForestRowell https://t.co/8QW2AWz91O,400,False
847920224980660224,2017-03-31 21:15:09,Get an exclusive limited edition signed copy of God Woke here: https://t.co/Au5fh6lujR,47,False
847658474414555137,2017-03-31 03:55:03,"Our last box contained the classic “How To Draw Comics The Marvel Way."" Have you been sketching? Post and tag… https://t.co/Z45soWHjp8",316,False
847468212845371392,2017-03-30 15:19:01,Let's #MakeMarchMatter for kids in Los Angeles and @ChildrensLA! Visit https://t.co/ViZCrep9JX to learn how.,61,False
847210925069291521,2017-03-29 22:16:39,Come catch me in conversation with @JoeQuesada https://t.co/mmeQahWyA4,58,False
846445508956688384,2017-03-27 19:35:10,Sign up for @stanleebox Annual Sub  and receive either “Marvel: 75 Years” or “Marvel First: The 1990s.” Grab one at… https://t.co/utGqq996xT,104,False
846392705102073856,2017-03-27 16:05:20,Yet another one of those #CrossoversNobodyAskedFor. This one's courtesy of @ZackMorrissette . https://t.co/rEVTC1U1dX,358,False
845713192961654784,2017-03-25 19:05:12,How many of these stamps do you reckon it takes to send an e-mail? https://t.co/Qpzr1UXV9q,331,False
845652858301284354,2017-03-25 15:05:27,Kick off your Sat AM right w/ the cereal department of #CrossoversNobodyAskedFor! Meet the new Rice Krispies elf co… https://t.co/rQJ68tPdAN,236,False
845411826997215232,2017-03-24 23:07:41,"RT @TomHolland1996: Homework can wait, New York can't. #SpiderManHomecoming https://t.co/18BSAf6rph",17765,False
845282410015047680,2017-03-24 14:33:25,Ya darn right I am... #KingofCameos https://t.co/kdGNtLSux9,246,False
845079639974281216,2017-03-24 01:07:41,@MMsmurfologist Stop whining. you make comicbooks!,3,False
845075373616316417,2017-03-24 00:50:44,"Many a friend of POW! ""suffered"" on this new @RealCliveBarker Hellraiser book to frighten you! Get yours on 4/14 @… https://t.co/YQVHHtqd0i",213,False
844985742375858176,2017-03-23 18:54:34,#MySuperHeroNameIs Mr. Marvel (if you believe the trading card.) https://t.co/JLOjjPAMzM,539,False
844943155313213440,2017-03-23 16:05:21,"#TBT March, 1963 Iron Man's 1st appearance in Tales Of Suspense 39. Did you get a Mk. I figure in your @stanleebox?… https://t.co/We7YUVoTIl",527,False
844626065746202624,2017-03-22 19:05:21,"Thanos Presents Other Infinity Apparel...
Our first offering: The Infinity Sombrero
by @ForestRowell https://t.co/VPf7ddKgkr",716,False
844580752394276867,2017-03-22 16:05:17,Gonna put this up there and let it sink in... https://t.co/nD3YdlCQOv,53993,False
843131226332565504,2017-03-18 16:05:23,"""Parlor Trick for the Rabble"" by @Jasinski https://t.co/CQmFaHx4q9",507,False
842802347273142272,2017-03-17 18:18:32,RT @luckyman: #PaddysDay wouldn't be as special without our favourite bros @stephen_hagan and James Nesbitt! Celebrating tonight 🍀 ! #Lucky…,37,False
842771360103436289,2017-03-17 16:15:24,Bullpen legend Joltin' Joe Sinnott stomps us into St. Patrick's Day with this sheleighly swingin' Hulk. https://t.co/OI00N66IFn,461,False
842494977468915712,2017-03-16 21:57:10,For those of you playing along at home... covers like this absolutely count as cameos. #KingofCameos #StanLeeBox https://t.co/BVKihFCceR,502,False
841787140555980800,2017-03-14 23:04:28,"Season 1 of #BigHero6 has yet to debut, but @DisneyXD has already picked us up for Season 2! #KingofCameos https://t.co/PFQE6deSNS",206,False
841681648987099136,2017-03-14 16:05:17,"The staff of @stanleebox  knows web design can be sticky business, but they never let that interrupt their work day… https://t.co/EjHiLGRWAF",732,False
841432187366961152,2017-03-13 23:34:01,"Check out this clip about pt 3 of #TheZodiacLegacy by me, @stuartmoore1 &amp; @andie_t   on Marvelous TV https://t.co/DMPBZobuiz",48,False
840634263594713088,2017-03-11 18:43:21,Process video on some art from #TheZodiacLegacy by the Amazing @andie_t https://t.co/TwRPOlebgG,47,False
840247200441593856,2017-03-10 17:05:18,They’re almost sold out of Box # 2! Grab yours @stanleebox now! Remember 1 out of every 10 contains a signed item.… https://t.co/TckWEqely0,121,False
839932178750279680,2017-03-09 20:13:31,Our pal @ZackMorrissette has worked up a suitable response to @VancityReynolds ' abuse in the @deadpoolmovie trailer https://t.co/cypvCdsgTc,693,False
839884899247095810,2017-03-09 17:05:38,Steven Lee's adventures continue in the final book in The Zodiac Legacy trilogy! @stuartmoore1 @andie_t  Get a copy… https://t.co/8ft9i8Gtee,87,False
839529154148089856,2017-03-08 17:32:02,Remember to celebrate some of our greatest heroes this #InternationalWomensDay and every day! https://t.co/beiJCelqSZ,2762,False
839175524219944960,2017-03-07 18:06:50,"The final book in #TheZodiacLegacy, my trilogy with @stuartmoore1 &amp; @andie_t is out today! Get your copy here:… https://t.co/zWGTEIW3pb",153,False
838855238526218241,2017-03-06 20:54:08,"To honor @WolverineMovie, artist @ZackMorrissette brings us another Crossover Nobody Asked For! Hey… https://t.co/8TnIGXVIsy",337,False
838522232380915712,2017-03-05 22:50:53,Which Marvel hero deserves their own gritty reboot? Our friends @BoxBlvd (@stanleebox) say their money is on Cosmo.… https://t.co/3J0l8jQybp,126,False
838091962448125952,2017-03-04 18:21:09,Heard I was cut from the theatrical print. Thanks to @VancityReynolds for saving me from obscurity #KingofCameos https://t.co/payTNKY40Y,1921,False
836982026150412290,2017-03-01 16:50:40,Watch the forging of a legacy on @luckyman #TheBraceletChronicles (segment by @TonyFleecs @marissadraws… https://t.co/zeDdieUjY5,44,False
836622291714752513,2017-02-28 17:01:12,These shots from @BoxBlvd show @stanleebox getting packed to prevent theft &amp; damages to the exclusives inside! Orde… https://t.co/FhA8zVzfsZ,31,False
836587103714586624,2017-02-28 14:41:23,This time I even let @gillchampion do some of the talking... https://t.co/jjCPAva6qT,57,False
836364745397542912,2017-02-27 23:57:48,"Purveyor of Wonder @dennisculver has a new comic called ""Codename: Ursa Minor."" You can check out a full issue on… https://t.co/Uxs8rhfGpM",46,False
836344819362324480,2017-02-27 22:38:38,"Learn the ""Lost Ballad of the Lucky Queen"" on @luckyman #TheBraceletChronicles. A motion comic from POW! &amp;… https://t.co/ZkDP428fmH",37,False
836313959330279424,2017-02-27 20:36:00,Congrats to @luckyman alums @Ben_Meares &amp; @ziddybones who are in the anthology Tales from The Acker-Mansion in the running for @RondoAwards,37,False
836282638717505536,2017-02-27 18:31:33,#envelopegate #Oscars #NoPrize https://t.co/WdaGYfM1Uz,366,False
836281633619619840,2017-02-27 18:27:33,"No ""Best Cameo"" award #Oscars #OscarsMistake",2512,False
836007552672399360,2017-02-27 00:18:27,"Why bother watching when there's still no ""Best Cameo"" category? #Oscars #KingofCameos #WheresMyOscar",8615,False
835934922099417088,2017-02-26 19:29:51,RT @MMsmurfologist: Directed Stan Lee in his more-than-a-cameo for this segment of Stan Lee's Lucky Man: The Bracelet Chronicles...... http…,16,False
835910261802356736,2017-02-26 17:51:51,Did this man involve the bracelet in a presidential conspiracy &amp; why does his voice sound familiar?Find out… https://t.co/99mSCSSSjO,74,False
835250906413187072,2017-02-24 22:11:48,"Looks like Canada's gettin' real lucky in the next few weeks... @luckyman, that is... #luckyman https://t.co/Ye7JecRPJl",45,False
835248953805295616,2017-02-24 22:04:03,"@luckyman I, for one, am rather pleased",5,False
835248761072820224,2017-02-24 22:03:17,"Better watch the language, @amarakaran... https://t.co/Ln8AQLetK1",30,False
835233176091947009,2017-02-24 21:01:21,"RT @luckyman: #LuckyMan is now live on @Sky1, RT if you're with us…",40,False
835228800237522944,2017-02-24 20:43:58,"Spoke with @NME magazine about the ""Soundtrack Of My Life"" and favorite new title track for @luckyman by… https://t.co/v6Wz7aLy8N",114,False
835205418129358848,2017-02-24 19:11:03,Not lucky enough to live in the UK? @sky1 has posted @luckyman #TheBraceletChronicles pt.1 on their FB! Watch it now https://t.co/iMdv3cs3uZ,43,False
835160797080776709,2017-02-24 16:13:45,Harry's story may have begun here but the lucky bracelet's legacy hearkens back through history. Find out more on… https://t.co/s8jjbKl6Cp,32,False
834810536843845632,2017-02-23 17:01:56,Clayton wasn't the 1st Harry to wear the bracelet... But was it the reason behind Houdini's great escapes?… https://t.co/kHEMsPKoPH,42,False
834522081052102656,2017-02-22 21:55:43,"""At last, you've finally caught on to the importance of fine cameo performance..."" #1stLineOfMyOscarSpeech #KingofCameos",405,False
834497547980963840,2017-02-22 20:18:14,.@ALALibrary  &amp; @yalsa  have listed my memoir as a 2017 Great Graphic Novel for Teens @ColleenDoran @PeterDavid_PAD  https://t.co/HAyLhdzGct,52,False
834491378469965824,2017-02-22 19:53:43,"RT @MMsmurfologist: If @stephen_hagan's happy... we did our job! @luckyman #TheBraceletChronicles ""framers"" by @markalanmiller @dennisculve…",7,False
834488154241445889,2017-02-22 19:40:54,"RT @stephen_hagan: I'm obviously very happy that @luckyman The Bracelet Chronicles is available @SkyUK On Demand in the Top Picks section
#…",13,False
834441493880320002,2017-02-22 16:35:29,RT @MCMBUZZ: Sky One launches Stan Lee’s Lucky Man motion comic @sky1 @Carnival_Films #luckyman https://t.co/pG795VAoTb https://t.co/NA0Hwp…,28,False
834425923189481472,2017-02-22 15:33:37,More fun and frivolity from our worthy friend @ZackMorrissette https://t.co/wyjQVvpDZN,513,False
834148332700266496,2017-02-21 21:10:34,RT @luckyman: Back to where it all began... #TheBraceletChronicles are now available On Demand. #LuckyMan https://t.co/QXge0kOhrW,28,False
834141705033048064,2017-02-21 20:44:14,Who's paying you to have fun? Get to work! https://t.co/DCJcXjFj8d,65,False
834132405686448128,2017-02-21 20:07:17,POW CEO @gillchampion worked closely w/ @Ben_Meares &amp; @MMsmurfologist to spin a tale of literal star-crossed love f… https://t.co/g3rtecK8pR,44,False
834076766973071360,2017-02-21 16:26:12,Prankish Popuppian Impossible Man 1st popped up in Fantastic Four 11 (Feb 1963)! Where does he rank in the pantheon… https://t.co/UO3F2TMbhY,88,False
833770588883783682,2017-02-20 20:09:33,"Happy Presidents' Day!
(Art by @PaoloMRivera ) https://t.co/lCasMgLuWV",4014,False
833341148961738752,2017-02-19 15:43:07,The bracelet's story doesn't begin with Harry... Witness the forging of a legacy on @luckyman: The Bracelet Chronic… https://t.co/ajnR1WaSvz,53,False
833077991513092096,2017-02-18 22:17:25,"@ziddybones Hey, you did some good work - but don't push it, kid. 'Nuff Said.",4,False
833058400107769857,2017-02-18 20:59:34,You cut a fine comicbook figure @stephen_hagan... (Admittedly I had to pay the artists a bit extra...) https://t.co/bCpi4uBPNM,45,False
833047659002753027,2017-02-18 20:16:53,Wanna  learn the legacy of Harry Clayton's lucky charm? Get ready for   @LuckyMan The Bracelet Chronicles from POW!… https://t.co/Li403R8IMS,67,False
832652242402451458,2017-02-17 18:05:39,One of POW!'s favorite artists @ZackMorrissette  takes us for another dip in the 'Pool! https://t.co/n78BAjaqjv,305,False
832304637009084416,2017-02-16 19:04:23,"Clever stuff, @Jimllpaintit  - but Marvel already has a ""Whiplash"" https://t.co/geAMKEfgKu",1077,False
832247105905389569,2017-02-16 15:15:47,.@Legend3D_ reimagines #StanLeesCosmicCrusaders series in an immersive #VR experience. Available for free on the Hi… https://t.co/999dVjJYyc,60,False
831967641505931265,2017-02-15 20:45:17,"Gettin' a kick outta my latest comicbook ""cameo"" courtesy of @mike_mayhew &amp; @stanleebox. Wanna copy? Subscribe at… https://t.co/BZdqiXYsYk",166,False
831929187220852736,2017-02-15 18:12:29,RT @stanleebox: Best. Cameo. Ever. Happy Birthday to Simpsons creator Matt Groening! #thesimpsons #stanlee #stanleebox https://t.co/jqN6MwG…,297,False
831893119008256001,2017-02-15 15:49:10,POW! &amp; @Carnival_Films' hit @LuckyMan returns to @sky1 in the UK on Friday 24th February @ 9pm - Will Harry's luck… https://t.co/fRW89oZPS9,73,False
831620397237837824,2017-02-14 21:45:28,Wishing Everyone a Happy Valentine's Day! https://t.co/garyMTIgeu,1002,False
831344840096968704,2017-02-14 03:30:30,.@mike_mayhew @stanleebox Monstrous!!!,20,False
