id,created_at,text,retweet_count,tweet.retweeted
850423349108891648,2017-04-07 19:01:41,.@TheRock heading into the weekend like....... 😂 https://t.co/TCHYxn4RUt,8,False
850002057893298177,2017-04-06 15:07:37,morning feels https://t.co/I5cArovhOV,3,False
849722298336595969,2017-04-05 20:35:57,I did a mud run and all I got was this lousy ........... https://t.co/p494DO3FZJ,5,False
848921861362548736,2017-04-03 15:35:18,Somebody found her Easter eggs. #dylanbesson https://t.co/BWCcX7k7Fq,3,False
848905094401638400,2017-04-03 14:28:41,Humbling morning workout with these weapons of controlled chaos. #getonnit https://t.co/biHx6mYKrU,3,False
848033718010654720,2017-04-01 04:46:08,I spend half my life just trying to figure out the best GIF to reply back with in texts.,2,False
846430265660456964,2017-03-27 18:34:35,"Brutal past couple days of training. Shoutout to @NTRecovery for creating a system that I can use at home, and help… https://t.co/sQNCAqijdk",2,False
846184600535687169,2017-03-27 02:18:24,When in doubt ... check Craigslist. https://t.co/vw7vlGLjrC,5,False
845786926552530944,2017-03-25 23:58:11,.@Toughmudder gear: ✔️ https://t.co/uBb9C6LmgC,2,False
845695394776461312,2017-03-25 17:54:29,@BrianiaDavis @caseypatt @ToughMudder be weird if there wasn't. Ha.,0,False
845694980005937153,2017-03-25 17:52:50,RT @caseypatt: 😭😭😭 https://t.co/HF0GX71VjM,5,False
845685207478910976,2017-03-25 17:14:00,.@caseypatt: T-minus 24hrs till your first @ToughMudder .... you ready?! https://t.co/uikTmgjRPF,2,False
845681608623505409,2017-03-25 16:59:42,"@CaseyNeistat ha! Look at my last tweet. Happy Birthday, dude.",0,False
845661079971627009,2017-03-25 15:38:07,Weekend vibes. #dylanbesson https://t.co/yNP3xAvlOW,9,False
840368552595013632,2017-03-11 01:07:30,.@Onnit shipments are the best shipments. Stoked to #getonnit this weekend. https://t.co/YoF6k6bIJy,10,False
840042780571267072,2017-03-10 03:33:00,We're totally going to make out tonight. Twice. https://t.co/KAqNmHdA5J,7,False
840038117574819842,2017-03-10 03:14:29,"Took a pic of my shoes today. So yeah, I can cross that off my bucket list now. 

@adidasoriginals @wex1200 https://t.co/GZg9SUluDC",9,False
839299111526375425,2017-03-08 02:17:56,"As far as I'm concerned, @CaseyNeistat's won the internet (again) with this gem. Cheers, dude. https://t.co/fnbLhahtcS",20,False
838532756283875328,2017-03-05 23:32:42,".@caseypatt: You. Me. Maybe @ItsJoshPeck. Bring your fun shorts. See you on the 25th @ToughMudder. 
https://t.co/5fZi8bOFQA",15,False
837489687455379456,2017-03-03 02:27:55,Current mood. https://t.co/0nD7SVCiDG,16,False
