id,created_at,text,retweet_count,tweet.retweeted
850482619208929282,2017-04-07 22:57:12,"RT @UNPeacekeeping: Watch a quick guide on why @UN #Peacekeeping is an investment in global peace, security &amp; prosperity. https://t.co/06zT…",24,False
850469483739205632,2017-04-07 22:05:00,Security Council has primary responsibility for intl peace &amp; security. @AntonioGuterres calls on Council to unite &amp;… https://t.co/PPlshd7zH7,97,False
850461936634527744,2017-04-07 21:35:01,"RT @UN_News_Centre: #Colombia: @UN agencies step up response efforts in aftermath of devastating landslides in #Mocoa, #Putumayo https://t.…",24,False
850438193019269121,2017-04-07 20:00:40,"Now in NYC: @AntonioGuterres, @RwandaUN &amp; special guests gather to remember victims of #RwandaGenocide… https://t.co/skqXGRP18o",57,False
850430282532614144,2017-04-07 19:29:14,RT @GlobalGoalsUN: Please follow @WFP’s new Executive Director David Beasley – @WFPChief – as he starts one of the world's most important &amp;…,17,False
850405728124841984,2017-04-07 17:51:40,Stockholm: UN condemns attack &amp; stands in solidarity w/ ppl &amp; Govt of Sweden; calls for justice. @UN_Spokesperson: https://t.co/RJ9dWFdtvq,164,False
850394218338152449,2017-04-07 17:05:55,RT @UNICEF: 200k children need urgent support to overcome trauma of volatile conflict in eastern #Ukraine https://t.co/6umY7xuOIi #Children…,194,False
850378889767428096,2017-04-07 16:05:01,"Let's work together to build a future of dignity, tolerance &amp; human rights for all -
@AntonioGuterres… https://t.co/oBXge5NGW0",192,False
850357612180844544,2017-04-07 14:40:28,News: @AntonioGuterres appeals for restraint to avoid any acts that could deepen the suffering of the Syrian people… https://t.co/lrjBXxz7MF,388,False
850348439237836800,2017-04-07 14:04:01,Now: #UNGA event on plight of refugees &amp; migrants moving across Mediterranean https://t.co/WhwXXmUzNN… https://t.co/WWfk0QW4aY,73,False
850326393321734144,2017-04-07 12:36:25,"RT @WHO: #Depression after childbirth is common.
Seeking help is good for you &amp; your baby
The first step is talking #LetsTalk https://t.co/…",332,False
850306801564307457,2017-04-07 11:18:34,#FollowFriday: We welcome David Beasley to Twitter in his new role as @WFPChief ⤵️ https://t.co/dLaPRZuc4Y,37,False
850297729347727360,2017-04-07 10:42:31,"RT @ilo: How do young people see the future of work?
How will they contribute to it and shape it?
Watch live: https://t.co/ygRFVLfh6O #ILOF…",85,False
850291964864077824,2017-04-07 10:19:36,"#FlashbackFriday to 1958: Hear from Raphael Lemkin who coined the term ""genocide"": https://t.co/OMpCwY61ej  #RwandaGenocide #Kwibuka23",120,False
850243010998620161,2017-04-07 07:05:05,"It's #WorldHealthDay – #LetsTalk about depression, the leading cause of disability worldwide. Follow @WHO &amp; see:… https://t.co/EQDKrOnyZZ",966,False
850197693909434369,2017-04-07 04:05:00,Podcast: Listen to courageous testimonies of women who survived rape during the 1994 #RwandaGenocide… https://t.co/W9nVwW5rkf,147,False
850175714594881537,2017-04-07 02:37:40,RT @Refugees: Which countries host the most refugees and displaced people? The answers might surprise you. #withrefugees https://t.co/XuOFy…,148,False
850152396697325568,2017-04-07 01:05:01,Friday is Intl Day of Reflection on #RwandaGenocide - what is genocide &amp; how can it be prevented? See:… https://t.co/jW9w6T6R0q,425,False
