id,created_at,text,retweet_count,tweet.retweeted
850468236919545865,2017-04-07 22:00:03,Blue-Nippled Muscular Rice Wizard #Rice https://t.co/F3eKobGot7,0,False
850422936578260993,2017-04-07 19:00:02,Yellow-Haired Armored Ikat Wizard #Ikat https://t.co/oNIgwK7ZV8,0,False
850377639185481729,2017-04-07 16:00:03,Mauve-Feathered Fancy Octopus Wizard #Octopus https://t.co/fcarscB0LV,0,False
850332341524455426,2017-04-07 13:00:03,Orange-Nippled Muscular Daikon Wizard #Daikon https://t.co/gQHg9Dmxnq,0,False
850287042739281920,2017-04-07 10:00:03,Red-Orbed Staff-Using Paisley Wizard #Paisley https://t.co/a3ViGF6bHJ,0,False
850241743471517698,2017-04-07 07:00:03,White-Nosed Floating Goat Wizard #Goat https://t.co/63BMie1mPz,0,False
850196447613997056,2017-04-07 04:00:03,Orange-Bearded Ancient Hippo Wizard #Hippo https://t.co/W62BuD8iMi,0,False
850151146153021442,2017-04-07 01:00:02,Turquoise-Nosed Floating Square Chain Wizard #SquareChain https://t.co/KI5YkYbJdC,0,False
850105858461753344,2017-04-06 22:00:05,Magenta-Guitared Punk Insect Wizard #Insect https://t.co/frbGDgv28G,0,False
850060547424956416,2017-04-06 19:00:02,Cyan-Orbed Staff-Using Leaf Pile Wizard #LeafPile https://t.co/Yr5xVaGn05,0,False
850015252410511362,2017-04-06 16:00:03,Turquoise-Haired Armored Quatrefoil Wizard #Quatrefoil https://t.co/Cur0wl3NRL,0,False
849969949691052032,2017-04-06 13:00:02,Black-Feathered Fancy Milk Wizard #Milk https://t.co/DuZtymCnUD,0,False
849924650532470785,2017-04-06 10:00:02,Mauve-Feathered Fancy Lattice Wizard #Lattice https://t.co/nxZ4QtmYX4,0,False
849879356071702528,2017-04-06 07:00:03,Orange-Haired Armored Lamb Wizard #Lamb https://t.co/O5j4gujqmT,0,False
849834054484725760,2017-04-06 04:00:02,Cyan-Guitared Punk Salt Wizard #Salt https://t.co/4nlR1yxf5u,0,False
849788757742153728,2017-04-06 01:00:02,Green-Feathered Fancy Leadup Wizard #Leadup https://t.co/6SdVvVi8K7,0,False
849743464468291586,2017-04-05 22:00:04,Green-Nosed Floating Flag Wizard #Flag https://t.co/qJXTevI3kP,0,False
849698162554150913,2017-04-05 19:00:03,Mauve-Guitared Punk Tanuki Wizard #Tanuki https://t.co/f9SFPFDtke,0,False
849652860698730501,2017-04-05 16:00:02,Orange-Nippled Muscular Monarch Wizard #Monarch https://t.co/J6c6frDUWr,0,False
849607562555273222,2017-04-05 13:00:02,Orange-Orbed Staff-Using Bread Wizard #Bread https://t.co/Hj00C719gA,0,False
849562265011539969,2017-04-05 10:00:02,Pink-Bearded Ancient Flag Wizard #Flag https://t.co/oiOaKT6Cs4,0,False
849516961704931330,2017-04-05 07:00:01,Indigo-Feathered Fancy Quail Wizard #Quail https://t.co/lLnULJFTMh,0,False
849471669433503745,2017-04-05 04:00:03,Yellow-Nosed Floating Air Conditioner Wizard #AirConditioner https://t.co/BYw6kETuVY,0,False
849426368609886208,2017-04-05 01:00:02,Pink-Nosed Floating Soda Wizard #Soda https://t.co/193HVWg0YZ,0,False
849381066427297793,2017-04-04 22:00:01,Cyan-Orbed Staff-Using Rhino Wizard #Rhino https://t.co/sfWNoDOgJp,0,False
849335773484781573,2017-04-04 19:00:02,Magenta-Haired Armored Snowman Wizard #Snowman https://t.co/qeI14lHRep,0,False
849290477144813568,2017-04-04 16:00:03,Turquoise-Haired Armored Cardiologist Wizard #Cardiologist https://t.co/Yafw3kGFbm,0,False
849245175826309120,2017-04-04 13:00:02,Purple-Bearded Ancient French Fry Wizard #FrenchFry https://t.co/XrWeRRHrlB,0,False
849199873962496000,2017-04-04 10:00:01,White-Bearded Ancient Sushi Wizard #Sushi https://t.co/7TfeeDRBtn,0,False
849154578989895680,2017-04-04 07:00:02,Orange-Nosed Floating Blanket Wizard #Blanket https://t.co/qBDfnuJR3r,0,False
849109279453970433,2017-04-04 04:00:02,Pink-Nosed Floating Tea Cup Wizard #TeaCup https://t.co/cwMC8fe625,0,False
849063980077383682,2017-04-04 01:00:02,Magenta-Haired Armored Taco Wizard #Taco https://t.co/1kfZFZbyD3,0,False
849018679543160832,2017-04-03 22:00:01,Orange-Nippled Muscular Zebra Wizard #Zebra https://t.co/h2ukSnMfRT,0,False
848973381806546944,2017-04-03 19:00:02,Yellow-Guitared Punk Hawk Wizard #Hawk https://t.co/BvJMmJZ7TG,0,False
848928086372610049,2017-04-03 16:00:02,Blue-Nippled Muscular Flammability Wizard #Flammability https://t.co/3AvXgE1glL,0,False
848882793098727424,2017-04-03 13:00:04,Orange-Nosed Floating Cruse Wizard #Cruse https://t.co/YVKh8Qbwd6,0,False
848837488173092866,2017-04-03 10:00:02,Purple-Nosed Floating Spots Wizard #Spots https://t.co/jTiq2KLPca,0,False
848792189320790016,2017-04-03 07:00:02,Mauve-Nippled Muscular Tuna Wizard #Tuna https://t.co/dQYNbfyZ6c,0,False
848746893391908864,2017-04-03 04:00:02,Pink-Bearded Ancient Paisley Wizard #Paisley https://t.co/DDIy6QLWns,0,False
848701589917487105,2017-04-03 01:00:01,Black-Feathered Fancy Pigeon Wizard #Pigeon https://t.co/fAroMqjKFi,0,False
848656295813099520,2017-04-02 22:00:02,Yellow-Nippled Muscular Herringbone Wizard #Herringbone https://t.co/oFImKo9gnG,0,False
848610993127264256,2017-04-02 19:00:01,Purple-Guitared Punk Ginger Wizard #Ginger https://t.co/O61j9twVmM,0,False
848565695856218113,2017-04-02 16:00:02,Pink-Bearded Ancient Salad Wizard #Salad https://t.co/h5hjF1MEsb,0,False
848520398920704000,2017-04-02 13:00:02,Indigo-Orbed Staff-Using Pepper Wizard #Pepper https://t.co/8AzXVpPt7K,0,False
848475097388244993,2017-04-02 10:00:01,White-Guitared Punk Bison Wizard #Bison https://t.co/Zo5sO9k8g3,0,False
848429805901099008,2017-04-02 07:00:03,Magenta-Guitared Punk Trainer Wizard #Trainer https://t.co/E8b80f8IL7,0,False
848384504830078977,2017-04-02 04:00:02,Grey-Guitared Punk Storytimes Wizard #Storytimes https://t.co/aUdkHG3cSQ,0,False
848339203532488709,2017-04-02 01:00:02,Green-Feathered Fancy Acquis Wizard #Acquis https://t.co/p18sDZ9kf8,0,False
848293905988759559,2017-04-01 22:00:02,Red-Nippled Muscular Steak Wizard #Steak https://t.co/zi3fxCPVYY,0,False
848248605655916546,2017-04-01 19:00:01,Black-Feathered Fancy Chopstick Wizard #Chopstick https://t.co/p4ay8mbQg5,0,False
848203307206270976,2017-04-01 16:00:01,Green-Feathered Fancy Flying Fox Wizard #FlyingFox https://t.co/cWNlmngiBt,0,False
848158011835265026,2017-04-01 13:00:02,Yellow-Feathered Fancy Jurassic Park Wizard #JurassicPark https://t.co/1sobiy210F,0,False
848112714664771584,2017-04-01 10:00:03,Pink-Nippled Muscular Windage Wizard #Windage https://t.co/uHa9L7ru2u,0,False
848067410934587393,2017-04-01 07:00:01,Grey-Bearded Ancient Milk Wizard #Milk https://t.co/3iEzPrjvUd,0,False
848022114527522817,2017-04-01 04:00:02,Pink-Bearded Ancient Shack Wizard #Shack https://t.co/CvZiF6fsIX,0,False
