id,created_at,text,retweet_count,tweet.retweeted
607497951133368322,2015-06-07 10:42:52,"@MotleyCrue My ARK kickstart, you will? http://t.co/bDWhqFnwZf",5,False
526601815190933504,2014-10-27 05:10:31,Game On For A Great Cause! http://t.co/INhGRTkCJc,9,False
445695374242893824,2014-03-17 22:57:12,"Getting #LeagueOfLegends Undefined error? Open the launcher, blindly type in ""thereisnourflevel"" and then Play button will enable! #LOL",18,False
344563208431992832,2013-06-11 21:14:05,"@ShannonSestile Twisted by the dark side, young Skywalker has become.",28,False
344562905091555328,2013-06-11 21:12:52,@elaineSkywalker Strong is Vader. Mind what you have learned. Save you it can!,21,False
344562855749771264,2013-06-11 21:12:41,"@LALAisaCupcake Twisted by the dark side, young Skywalker has become.",9,False
344562553604677633,2013-06-11 21:11:29,@ThrillistATX Strong is Vader. Mind what you have learned. Save you it can!,8,False
344562527998468097,2013-06-11 21:11:22,"@ArkangelSteva Twisted by the dark side, young Skywalker has become.",8,False
344562456187772928,2013-06-11 21:11:05,"@MellowBenjiman Anger, fear, aggression, the dark side are they.",21,False
344562175865667584,2013-06-11 21:09:59,"@AhmedShakir_ Twisted by the dark side, young Skywalker has become.",8,False
344562149378625536,2013-06-11 21:09:52,"@jg_devera Twisted by the dark side, young Skywalker has become.",5,False
344562123306856448,2013-06-11 21:09:46,"@tuncaybilecen Vader, you must confront Vader, then, only then, a jedi will you be...and confront him you will.",9,False
344562072803221504,2013-06-11 21:09:34,"@jessvanlol The boy you trained, gone he is, consumed by Darth Vader.",9,False
344562046936940544,2013-06-11 21:09:28,"@JorgeFilipePer1 Too much under the sway of the Chancellor, he is. Much anger there is in him. Too much pride in his powers.",7,False
344561997125402625,2013-06-11 21:09:16,"@Jay_Anakin Too much under the sway of the Chancellor, he is. Much anger there is in him. Too much pride in his powers.",7,False
344561992633311234,2013-06-11 21:09:15,"@HERoszkowski Pain. Suffering. Death, I feel. Something terrible has happened. Young Skywalker is in pain. Terrible pain",7,False
344561713309421568,2013-06-11 21:08:08,@jocy_dj Strong is Vader. Mind what you have learned. Save you it can!,6,False
344561664793907202,2013-06-11 21:07:57,"@__geraldineee Vader, you must confront Vader, then, only then, a jedi will you be...and confront him you will.",5,False
344561641033195520,2013-06-11 21:07:51,"@davedelgadobass Vader, you must confront Vader, then, only then, a jedi will you be...and confront him you will.",4,False
344561613623422976,2013-06-11 21:07:44,"@CallMeDougan Pain. Suffering. Death, I feel. Something terrible has happened. Young Skywalker is in pain. Terrible pain",6,False
344561308412301312,2013-06-11 21:06:32,@hagimagiprekazi Strong is Vader. Mind what you have learned. Save you it can!,4,False
344561281946247170,2013-06-11 21:06:25,"@dc_18 Vader, you must confront Vader, then, only then, a jedi will you be...and confront him you will.",4,False
344561256809775104,2013-06-11 21:06:19,"@ChadMeans The boy you trained, gone he is, consumed by Darth Vader.",3,False
344561230419218432,2013-06-11 21:06:13,@sveta__28 Strong is Vader. Mind what you have learned. Save you it can!,3,False
344561204309680129,2013-06-11 21:06:07,"@TheMonaLeeza Twisted by the dark side, young Skywalker has become.",4,False
344561177206083584,2013-06-11 21:06:00,"@sinisterjhk Twisted by the dark side, young Skywalker has become.",3,False
344561151343992833,2013-06-11 21:05:54,"@tacarub007 Vader, you must confront Vader, then, only then, a jedi will you be...and confront him you will.",3,False
344561122608820224,2013-06-11 21:05:47,"@cov3RMEporkins Too much under the sway of the Chancellor, he is. Much anger there is in him. Too much pride in his powers.",3,False
344561116434792448,2013-06-11 21:05:46,"@OlivierWestaf If a special session of Congress there is, easier for us to enter the Jedi Temple it will be.",5,False
344561110336282624,2013-06-11 21:05:44,"@LaVieEstLaVie Looking? Found someone you have I would say, mm?",5,False
344560807809523712,2013-06-11 21:04:32,"@AidanRitchie27 Twisted by the dark side, young Skywalker has become.",4,False
344560783365132288,2013-06-11 21:04:27,"@WaltDO Vader, you must confront Vader, then, only then, a jedi will you be...and confront him you will.",4,False
344560754315366400,2013-06-11 21:04:20,"@tushalardo Vader, you must confront Vader, then, only then, a jedi will you be...and confront him you will.",4,False
344560727857700864,2013-06-11 21:04:13,"@nounoursbleu Vader, you must confront Vader, then, only then, a jedi will you be...and confront him you will.",3,False
344560680046845952,2013-06-11 21:04:02,@Pairasol Strong is Vader. Mind what you have learned. Save you it can!,3,False
344560580918665217,2013-06-11 21:03:38,"@CliffBurton1980 The boy you trained, gone he is, consumed by Darth Vader.",4,False
344560557174685696,2013-06-11 21:03:33,"@IngenieraP Twisted by the dark side, young Skywalker has become.",3,False
344560551394955264,2013-06-11 21:03:31,"@LegoRelojesMX Pain. Suffering. Death, I feel. Something terrible has happened. Young Skywalker is in pain. Terrible pain",3,False
344560241297485824,2013-06-11 21:02:17,@Alexxcefai Strong is Vader. Mind what you have learned. Save you it can!,4,False
344560217498988544,2013-06-11 21:02:12,"@anastasiahowl Twisted by the dark side, young Skywalker has become.",4,False
344560191263612928,2013-06-11 21:02:05,"@MrAYVV The boy you trained, gone he is, consumed by Darth Vader.",4,False
344560139703042050,2013-06-11 21:01:53,"@LucasMeello Twisted by the dark side, young Skywalker has become.",3,False
344560043213090816,2013-06-11 21:01:30,"@GustavoSerranoW The boy you trained, gone he is, consumed by Darth Vader.",3,False
344560037181652992,2013-06-11 21:01:29,"@SFTS_ohfuckyeAH Go, I will. Good relations with the Wookiees, I have.",5,False
344559757752950784,2013-06-11 21:00:22,"@bugalah1 The boy you trained, gone he is, consumed by Darth Vader.",4,False
344559734411636736,2013-06-11 21:00:16,"@MoodySpark Vader, you must confront Vader, then, only then, a jedi will you be...and confront him you will.",3,False
344559707106717696,2013-06-11 21:00:10,"@WHATADAWL Vader, you must confront Vader, then, only then, a jedi will you be...and confront him you will.",4,False
344559632892698625,2013-06-11 20:59:52,"@khaleesicalline Pain. Suffering. Death, I feel. Something terrible has happened. Young Skywalker is in pain. Terrible pain",2,False
