id,created_at,text,retweet_count,tweet.retweeted
813614245262737408,2016-12-27 05:15:26,Really .. @venky1154 https://t.co/sppPQ0g7rP,0,False
804993490488676356,2016-12-03 10:19:38,Should we love people or things.. really confused now,0,False
785578221144117248,2016-10-10 20:30:17,One of the finest movie of recent times .chuse kodhi chudalani vunde cinema #Manamantha,0,False
775654118048296960,2016-09-13 11:15:27,Sometimes unexpected journeies give life long memories. They help to redefine you ..taking wonderful memories with me... I will miss Gujarat,0,False
773427769258700800,2016-09-07 07:48:44,"Startup reveals toy for workplace fidgeters
https://t.co/M1fF4aoYNm
-via @inshorts",0,False
772101753814806532,2016-09-03 15:59:37,Sometimes it's good to cook though you're bad.. https://t.co/Z0ReqminKK,0,False
772041249536610305,2016-09-03 11:59:12,Ye Dil hai mushkil,0,False
767078353358557184,2016-08-20 19:18:25,"RT @WhatTheFFacts: Nintendo's Mario has a hat because, in the early days, it was too difficult to animate him with hair and eyebrows.",178,False
767065666033586176,2016-08-20 18:28:00,Hilarious when jeff goldblum calls his dad #independenceday2,1,False
766684863432888320,2016-08-19 17:14:50,"RT @amitbhawani: Here are 2 photos captured at 12:10 Am with the Night Mode to show #HuaweiP9 Camera Capabilities. #OO 
UNBELIEVABLE https:…",77,False
764510818629287936,2016-08-13 17:15:57,Saturday night office .WTF ..I get bored,0,False
764431175607734273,2016-08-13 11:59:29,You run for dreams life long. When dream comes on way you can't grab it. https://t.co/2IYiFFl8LG,0,False
761832638915248128,2016-08-06 07:53:49,Everything is happening like a movie..never expected,0,False
759858332848955392,2016-07-31 21:08:38,@Chinni_chilaka got smile,0,False
752215340403216384,2016-07-10 18:58:07,"RT @Kreasy: Raviteja and Chiru must shift to roles like what Jagapathi Babu, Venky and Suman are doing. 

Raviteja,u can do better.
 Enough…",1,False
745906901238546433,2016-06-23 09:10:38,"RT @WhatTheFFacts: You once held a world record when you were born for being the ""Youngest Person on The Planet.""",610,False
745905491377807360,2016-06-23 09:05:02,RT @billboarddance: 25 European dance music festivals you can't miss this summer https://t.co/0taHVMVPOZ https://t.co/TXFkrkPrDt,91,False
745106807333392389,2016-06-21 04:11:20,GOT reaching conclusion.what happens to white walkers.is it valyrian steel or  dragon glass or bran stark #GoTS06E09 https://t.co/hT9RC53W3O,0,False
744384623300337664,2016-06-19 04:21:38,RT @WhatTheFFacts: A woman in Russia once caught her boyfriend cheating when she saw his photo with another woman using street view on Goog…,242,False
744384301374922752,2016-06-19 04:20:22,"RT @IntelITCenter: With #XeonE7, you can expect real-time #analytics with 10x performance per dollar. https://t.co/7Tn7FKeZPU",54,False
743907530867257344,2016-06-17 20:45:51,Finally arya stark going home #GOTS06E08,0,False
743715233894531072,2016-06-17 08:01:43,"RT @WhatTheFFacts: Beer should be poured into a glass at a 45˚ angle, so that way you don't form too many bubbles (which will cause it to t…",299,False
742001690392420352,2016-06-12 14:32:43,#Conjuring2,0,False
741914920686473216,2016-06-12 08:47:55,RT @WhatTheFFacts: Hitting snooze on your alarm can make you more tired than if you had gotten up right away.,297,False
741564992852393985,2016-06-11 09:37:26,Weekend start with Stranger to stranger #paulsimon,0,False
740717359489417216,2016-06-09 01:29:15,"RT @GeminiTV: @NameisNani​, one among the family as his son.. #MemuSaitham Hosted by @LakshmiManchu​ Saturday @ 9pm on @GeminiTV https://t.…",37,False
739913205049237504,2016-06-06 20:13:49,Missed watching #GoT6x07,0,False
739910946559123457,2016-06-06 20:04:51,RT @WhatTheFFacts: Mosquitoes have killed more humans than all the wars in history.,485,False
739436026746134528,2016-06-05 12:37:41,Feel good movie #AAaMovie,0,False
739278518123536384,2016-06-05 02:11:48,Hu lala Hu lala..a good one to start sunday,0,False
739274252075991041,2016-06-05 01:54:51,Had fun #saturdaynight,0,False
739273052031094784,2016-06-05 01:50:05,"RT @HolisticFacts: Because the English language is so complex, every day the average person will create a sentence that has never been spok…",17,False
739272725689077761,2016-06-05 01:48:47,RT @MenstruaI: HOW IS THIS POSSIBLE https://t.co/IJFj7G8bdq,8349,False
739051702590922752,2016-06-04 11:10:31,Never get bored of watching S02E12 #Daredevil,0,False
738418212447096833,2016-06-02 17:13:15,"RT @WhatTheFFacts: The world’s first Buddhist ruler, Emperor Ashoka, was the first ruler in human history to ban slavery, animal cruelty, a…",807,False
736986718490988544,2016-05-29 18:25:00,Never loose faith.2016 IPL winners #SRH,0,False
736648356106113025,2016-05-28 20:00:29,RT @SairamPinjarla: @vennelakishore worth retweeting https://t.co/0Hk93MDYv4,82,False
735364907873538050,2016-05-25 07:00:31,"RT @BrokenCricket: Received in WhatsApp: 😉

When Plan A doesn't work (Gayle)
When Plan B doesn't work (Kohli)

There's always plan AB 😎😎",386,False
734618081436274688,2016-05-23 05:32:53,RT @Variety: .@Adele wins Top Billboard 200 Artist at Billboard Music Awards https://t.co/gxQ0dyH2Xz #BBMAs https://t.co/XFzy8kfV06,89,False
734617091794427909,2016-05-23 05:28:57,Jean shows her power once again @XMenMovies,0,False
733934488045002754,2016-05-21 08:16:32,RT @WhatTheFFacts: Drinking beer actually helps strengthen your bones and teeth because it gives you a healthy dose of silicon.,415,False
733934124516315137,2016-05-21 08:15:05,@vishnudrockstar  ela vunavu ra,0,False
733920710196756480,2016-05-21 07:21:47,Hilarious and good fabricated movie #ExpressRaja,0,False
733402589807550465,2016-05-19 21:02:58,New addiction gaana..,0,False
712715312773332992,2016-03-23 18:59:06,What a heart thrilling match.awesome come back bumrha in last two overs ..nehra experience&amp;captain cool worked well #IndvsBan,1,False
518800806925975552,2014-10-05 16:32:05,@vishnudrockstar @vivekrishna20 @prvn30 @iam_raks edo bike ani chepe le ra...ani ikada chepalem :P,0,False
518761329239134208,2014-10-05 13:55:13,@iam_raks bike,0,False
518760542224138240,2014-10-05 13:52:06,Feeling fly....,0,False
518065071142866944,2014-10-03 15:48:32,"Google maps explore, u r awesome",0,False
518063448786087936,2014-10-03 15:42:06,@motiprakash143 i miss that place man....,0,False
517005107058053121,2014-09-30 17:36:37,tasted the specialty of salary day,0,False
513764930130944000,2014-09-21 19:01:19,Excited to know about all darwazas in ahmadabad,0,False
512632718014697473,2014-09-18 16:02:18,Feeling lonely...missing u trivandrum...:;,0,False
500936605662597120,2014-08-17 09:26:08,"@prvn30 money levu mama
              empty pockets..",0,False
500914315319181312,2014-08-17 07:57:33,Happiness is walking on earth and toching the sky... http://t.co/h57T46AwG4,0,False
500899087562969089,2014-08-17 06:57:03,"Reached room wid lot of memories... erakulamnationalpark,waterfall,kumily, thekkady jypsy driving...love u munnar nd thank u to all bipments",0,False
499980573222264832,2014-08-14 18:07:12,Going munnar with lg members,0,False
499559756491550720,2014-08-13 14:15:01,@prvn30 to venky 'Thank u4 ur suggestion.....after complete i come home i talk u father',0,False
499558363080826880,2014-08-13 14:09:29,@vishnudrockstar @prvn30 there is nothing more beautiful than being yourself ...if u are scared of being yourself then no need to live,0,False
499224082898903040,2014-08-12 16:01:11,@prvn30  ftst create an account nd then talk orels shut ur fucking mouth....to venky,0,False
495786497920876544,2014-08-03 04:21:27,Wid my frst salary http://t.co/SC3qNAGCjX,0,False
491052933341925376,2014-07-21 02:51:57,@prvn30 try try until u succeed...:),0,False
490938462485229568,2014-07-20 19:17:05,Had lot of fun  in poovar.... arabian sea nd neyyar river on both side of sland #backwater #kingfisher bird #houseboat #appam #naturaltreat,0,False
490148789031014400,2014-07-18 14:59:12,Wasted10 min for president convoy....,0,False
482002545552805891,2014-06-26 03:28:56,All happies in trivandrm ...guess nw nly :P .... wondrg y dey recruit dis mny ppl,0,False
481998317446889472,2014-06-26 03:12:08,Go @CBF_Futebol! Who are you rooting for? https://t.co/o3is0XPa6W #WorldCup,0,False
477873061329256448,2014-06-14 17:59:50,@prvn30 ardham kananta high lo unava,0,False
477870238361321473,2014-06-14 17:48:37,@prvn30 so my guess was r8 den:p,0,False
476015890941480960,2014-06-09 15:00:07,RT @myself_Logan: The only sucessful school/college drop out in #India is #SachinTendulkar,1,False
474930779990933504,2014-06-06 15:08:16,Frst tym it was bad bt nw itz good .... http://t.co/ShKyn03jVi,0,False
474632560983543808,2014-06-05 19:23:15,@prvn30 that applys to u  more than me :p,0,False
474628980763418624,2014-06-05 19:09:01,I lyk u whatsapp ;),0,False
474500975168724992,2014-06-05 10:40:22,Jst another 32 away frm 8192 http://t.co/8ky1pPZmiD,0,False
474167879609233409,2014-06-04 12:36:46,@prvn30 i dont lyk mario ray,0,False
474134459948617728,2014-06-04 10:23:58,"Road fighter, kung-fu, islander, contra ,alladin are always nyc to play.",0,False
471286584726155266,2014-05-27 13:47:32,"good bye nit..i may nt spend another day here bt going wid lot of memories. miss u nit.. WTF im talking, im leaving f***ng NITRKL ...",0,False
470631664477937664,2014-05-25 18:25:07,what a innings by MI ...u all played simply gr8 #Faulkner #Anders  #rayadu #tare for mi wining.,0,False
467403054182957057,2014-05-16 20:35:46,face 2 face or on internet @prvn30,0,False
467402099576156160,2014-05-16 20:31:59,one name is enough to win a pm post #TsuNaMo #CongratsNaMo nd no more puppet shows.,0,False
467398306004361216,2014-05-16 20:16:54,work left is to make another IT hub @ncbn #congratsncbn,0,False
466673964375621632,2014-05-14 20:18:38,it hurts when ur closer ones doesnt hav faith in you ....,0,False
