id,created_at,text,retweet_count,tweet.retweeted
850437090739400704,2017-04-07 19:56:17,love letter to the first mutations,0,False
850255896470994945,2017-04-07 07:56:17,200 word review of pianos,0,False
850074701925842945,2017-04-06 19:56:17,200 word wanted ad for howl's moving castle,0,False
849893507825270784,2017-04-06 07:56:17,100 word impression of almonds,0,False
849712313229869056,2017-04-05 19:56:17,400 word review of majora's mask,0,False
849531119036923907,2017-04-05 07:56:16,200 word gonzo piece on hotline miami,0,False
849349924584124417,2017-04-04 19:56:16,300 word short story set in starfox 64,0,False
849168730621755392,2017-04-04 07:56:16,100 word anecdote about code witches,4,False
848987536089206786,2017-04-03 19:56:16,love letter to wind waker,0,False
848806341892349952,2017-04-03 07:56:16,300 word travelpiece on jazz,0,False
848625147951054848,2017-04-02 19:56:16,haiku about wallpaper,0,False
848443953489883137,2017-04-02 07:56:16,100 word personal essay about bach,0,False
848262759171182592,2017-04-01 19:56:16,a poem about 2001,2,False
848081564906999811,2017-04-01 07:56:16,100 word short story based on the world of nonviolence,0,False
847900370785456128,2017-03-31 19:56:16,300 word travelpiece on hal,0,False
847719176386916352,2017-03-31 07:56:16,300 word short story set in chess,0,False
847537982202662916,2017-03-30 19:56:16,400 word impression of fight club,0,False
847356787749564416,2017-03-30 07:56:15,diary entry based on the world of the sublime,0,False
847175593548492801,2017-03-29 19:56:15,love letter to nothing,9,False
846994399187910657,2017-03-29 07:56:15,300 word short story inspired by super mario 64,0,False
846813204944732160,2017-03-28 19:56:15,100 word travelpiece on mountains,0,False
846632010785415168,2017-03-28 07:56:15,300 word review of the moon incident,0,False
846450816861044736,2017-03-27 19:56:15,haiku about the first mutations,0,False
846269622491983872,2017-03-27 07:56:15,200 word travelpiece on starfox 64,0,False
846088428584349696,2017-03-26 19:56:15,love letter to code witches,0,False
845907234349617152,2017-03-26 07:56:15,400 word anecdote about pouring a glass of wine,0,False
845726040827854848,2017-03-25 19:56:15,100 word gonzo piece on rpgs,0,False
845544845909409792,2017-03-25 07:56:15,a poem about the depths of happiness,0,False
845363651578093568,2017-03-24 19:56:15,urban myth set in creativity,0,False
845182457657778180,2017-03-24 07:56:15,200 word fanfiction for nonviolence,0,False
845001263280480262,2017-03-23 19:56:15,400 word slash fiction for the underground economy,0,False
844820069318217728,2017-03-23 07:56:15,300 word gonzo piece on singing in the rain,0,False
844638874991296513,2017-03-22 19:56:15,300 word ghost story inspired by amnesia,0,False
844457680806858752,2017-03-22 07:56:15,a poem about wind waker,0,False
844276486215491585,2017-03-21 19:56:14,urban myth inspired by rich people,0,False
844095292056227840,2017-03-21 07:56:14,300 word short story based on princess mononoke,0,False
