id,created_at,text,retweet_count,tweet.retweeted
845835336576053248,2017-03-26 03:10:33,"When I die, I want to have a woke.",0,False
840558917189013504,2017-03-11 13:43:57,"OH: ""I'm not a nerd. I just like studying.""",0,False
836640327117246465,2017-02-28 18:12:52,"nice write up on @usepared https://t.co/li1aJaYw4h if you run a restaurant and need help w/ staffing, check it out!",0,False
834571232406298624,2017-02-23 01:11:02,New Yorkers find an unlikely ally in @JohnMcCain,0,False
830298226074984449,2017-02-11 06:11:37,@jeremyrwelch negative. Link me? Need to sleep! Hope you are well brother.,0,False
830298084924076032,2017-02-11 06:11:04,@jeremyrwelch power. You need it to access that feature.,0,False
830297746313732096,2017-02-11 06:09:43,Agree. Enough tit for tat. https://t.co/S8p7J5LsOZ,0,False
830296882098352129,2017-02-11 06:06:17,@jeremyrwelch my problem is w the media. This is a whole new level of manipulation.,0,False
830296510776672256,2017-02-11 06:04:48,@jeremyrwelch fair point.,0,False
830294427180625921,2017-02-11 05:56:32,@jeremyrwelch hmm. I both agree and disagree. We have a representative democracy precisely so I don't have to spend all my time on politics,0,False
830292020849688577,2017-02-11 05:46:58,@alexiskold @sama @dens here's the statement: https://t.co/3L39DtorXf,0,False
830288523597082624,2017-02-11 05:33:04,Read this. https://t.co/1quvoaW1LN,0,False
830285155755520000,2017-02-11 05:19:41,@VilliSpeaks let's hope.,0,False
830281329971453952,2017-02-11 05:04:29,RT @eileentso: one of our founders has recv'd CVs/job applicat'ns from US talent looking to move to UK specifically b/c of Trump's policies…,19,False
830280951926173696,2017-02-11 05:02:59,"@micahjay1 get the gist but 20% margin of error seems low to me, at least for seed.",0,False
829472803862749185,2017-02-08 23:31:41,RT @TheOnion: Betsy DeVos Confirmed As Education Secretary https://t.co/PXaM5blk5G #WhatDoYouThink? https://t.co/WZ7MBUTN1g,650,False
829472626313674756,2017-02-08 23:30:59,RT @wokieleaks1: Friendly reminder the police in this country now take more money from citizens than burglars do https://t.co/9rSdzd18xK,3543,False
829470957567893504,2017-02-08 23:24:21,Abuse of power https://t.co/fNA0Zu2lQU,0,False
829043215764484096,2017-02-07 19:04:40,@garychou @shacheng thx Gary! I'm teaching up at @Columbia_Biz these days. Would be fun to share notes sometime.,0,False
828812379450462208,2017-02-07 03:47:24,@shacheng I was wondering where all that distribution came from. Thx for the kind words sir.,0,False
828777938459955201,2017-02-07 01:30:33,.@alexiskold @bchesky my exact thought. What kind of discount can you get and how much inventory is available?,0,False
828776579853586433,2017-02-07 01:25:09,"RT @roywoodjr: ADVISOR: u going to Trump's Inauguration?

BUSH: Doctor said I can't 

ADVISOR: u wanna hit that super Bowl?

BUSH: https://…",65327,False
828776255583563776,2017-02-07 01:23:51,RT @thereaIbanksy: rt if you agree https://t.co/SHWvNvoypA,20901,False
828053679194390528,2017-02-05 01:32:36,@juliplusan @Medium thx sir.,0,False
827548034229694464,2017-02-03 16:03:21,@LarryChiang @tedr hazel and bigwig are really busy with woundwart right now but I'll SE what I can do.,0,False
827537341006880768,2017-02-03 15:20:51,Intros are VC currency. Some tactical advice for doing them right: https://t.co/sAiRskcqnu thx to @davetisch for the involuntary cameo. :),1,False
827371637876072448,2017-02-03 04:22:24,@kpower_andrey took me a while to figure it out. thank you and Hope you are well!,0,False
827231076141654016,2017-02-02 19:03:52,@raodyboy thx sir!,0,False
827226359374180352,2017-02-02 18:45:07,(post) One of my biggest management mistakes:  https://t.co/uXN7DLryW2,1,False
826563570708127746,2017-01-31 22:51:26,Old elementary school wood smell,0,False
826547209806213122,2017-01-31 21:46:25,RT @NPCA: BREAKING: US House of Reps. moves to encourage drilling in our national parks....no we are not kidding: https://t.co/vopByqDppw h…,13358,False
825407548715048960,2017-01-28 18:17:49,RT @Leech: I'm not a robot.. https://t.co/6hHkhkmoWN,18238,False
825406526135353344,2017-01-28 18:13:45,RT @JordanMendell: Oh that's fantastic. https://t.co/FWVdz8Zql4,1,False
824012716134334464,2017-01-24 21:55:15,@DMikeAsem thx sir. I see you are from chi town. You must know @davidjnels and @motiondotai,0,False
824012277712031745,2017-01-24 21:53:31,Aka. What I'm looking for in an investment. https://t.co/ENgW2cdCqT,1,False
824011286019264517,2017-01-24 21:49:34,@paul_arnold solid. DM me your email?,0,False
823913115435888640,2017-01-24 15:19:28,@paul_arnold enjoyed your post today. Would love to connect next time I'm out west. LMK if you ever make your way east.,0,False
823908873840930816,2017-01-24 15:02:37,I'm biased but this was a good issue. :) Thanks @thinker https://t.co/8Qhw24W5tp,0,False
823908556571168768,2017-01-24 15:01:22,@thinker thanks for the love brother. It's good to be back!,0,False
823908342896599042,2017-01-24 15:00:31,@Mattermark @mattermarkdaily @paul_arnold @lpolovets @SEBMarketing @mslagh @mikekarnj Pleasure to be in such good company.,0,False
823907949907017733,2017-01-24 14:58:57,@dphilp @Alitalia sadly was not an option.,0,False
822497459586924545,2017-01-20 17:34:10,"(Post) If I slow my roll, I smell more roses. https://t.co/4zoVfZXtE0",0,False
822214149920948225,2017-01-19 22:48:23,Some of my thoughts on partnerships after 10 years of trying to figure out how to make them work: https://t.co/ltvMhnDXdM,0,False
821439856240971778,2017-01-17 19:31:37,"As an aside from my @Alitalia woes, I just realized desktop @twitter is nearly unusable for conversations. No idea when people are replying.",0,False
821439439650033664,2017-01-17 19:29:58,"@cwlivingston @Alitalia lol. honestly, if it were about the $150 I would have given up an hour ago. It's the injustice of it.",0,False
821439119477895168,2017-01-17 19:28:42,@Alitalia I've been on the phone with a rep for an hour. Then she transferred me to endless hold...,0,False
821429946375618560,2017-01-17 18:52:15,".@alitalia Honestly, the worst #customerservice experience I've ever had in my life. Way to just stop talking to your customer.",0,False
821425047407624192,2017-01-17 18:32:47,.@Alitalia ???,0,False
821422733967982592,2017-01-17 18:23:35,@Alitalia The ticket I'm trying to change to is less expensive. Neither flight is anywhere close to full. The flight is 2 months away.,0,False
821422035859636224,2017-01-17 18:20:49,@Alitalia ciao. I bought a ticket two hours ago. I fat fingered the return date. I simply want to change it w/o a change fee.,0,False
