id,created_at,text,retweet_count,tweet.retweeted
837353092286988288,2017-03-02 17:25:09,"Slate's Political Gabfest just did an episode about how Moose Jaw is the Location of Murky Water Records, not Weyburn. You should subscribe.",0,False
837081320555675648,2017-03-01 23:25:13,"I strongly believe that schools should teach our kids the truth: 52.5 is the height (μ) of German submarine U-42 (1939), not 9.4.",0,False
836990767923150849,2017-03-01 17:25:24,"This American Life just did an episode about how The Musicians is Streatham portrait's title, not The Streatham Portrait. SO GOOD.",0,False
836900121782648832,2017-03-01 11:25:12,"I fervently believe that schools should teach kids the truth: Author is Rashid Johnson's occupation, not Photographer.",0,False
836809511801348096,2017-03-01 05:25:09,"*Why* would anyone *publicly* claim Warner Bros. is the distributor of Horrible Bosses, when it's so clearly Kino International (company)?",0,False
836718932199411714,2017-02-28 23:25:13,"Don't listen to the Illuminati's lies. The runtime (s) of Horrible Bosses is 942.0, not 5880.0! Wake up, sheeple! https://t.co/2YjVSY1LqA",0,False
836537760211210241,2017-02-28 11:25:18,"Why would you *publicly* claim 207 is the crews of Space Shuttle Atlantis, when it's so obviously 252? https://t.co/pgQUFVjp4P",0,False
836447134408921088,2017-02-28 05:25:11,"*sigh* Sometimes I daydream about what life would be like if Tsunkatse's episode number had been 11, and not 15. https://t.co/oCfUCoxIOO",1,False
836356523706187776,2017-02-27 23:25:08,Cambodian Civil War's combatant isn't Việt Cộng. Quite the contrary—it's Soviet Union( (Until 1991). https://t.co/vI9LreNOo8,0,False
836084731045380096,2017-02-27 05:25:08,"This American Life just did an episode about how West is the direction b of M-13 Connector (Michigan highway), not North. So good.",0,False
835994139246342144,2017-02-26 23:25:09,"*Why* would anyone *publicly* claim System 7.5.3 to Mac OS 9.1 is the os of Power Macintosh 6200, when it's so clearly Mac OS 9?",1,False
835903543987011584,2017-02-26 17:25:09,I must have ~phased into the alternate universe~ where John Harrison Clark's birth place is Cape Colony. Shouldn't it be Manila (province)?,0,False
835631751913476097,2017-02-25 23:25:09,I must have ~phased into the alternate universe~ where the screenplay of Zodiac (film) is James Vanderbilt. Shouldn't it be Irving Shulman?,0,False
835450591627345920,2017-02-25 11:25:17,I only want for you to consider the possibility that Second Persian invasion of Greece's place is Atropatene and not Greece.,0,False
835269382112690178,2017-02-24 23:25:13,"I've discovered evidence that the birth date of James Haim I. Bicher is Dec 21, 1937 and not, as commonly assumed, May 12, 1937.",0,False
835088209767976960,2017-02-24 11:25:19,"""Scientists"" would have you believe the owner of Emerald Downs is Muckleshoot Indian Tribe. Don't be fooled. It's Everett, Washington.",0,False
834997566349656065,2017-02-24 05:25:07,"Ugh. *City of London* is Euston tube station's borough, not London Borough of Camden. Can't believe that Wikipedia got this wrong.",0,False
834816380914565120,2017-02-23 17:25:10,You say Indian Railways is Araku railway station's owner. But you can't prove it's NOT Visakhapatnam Port. https://t.co/nW40aogcs1,1,False
834725822816722944,2017-02-23 11:25:19,"So settle a bet: My boyfriend says that Padaleunyi Toll Road's length (km) is 64.4, but I think it's 116.0. Which is it?",0,False
834635205180850176,2017-02-23 05:25:14,"Why would you go around telling people North is the road end direction of St. Joseph Valley Parkway, when it's so plainly West?",0,False
834544592007606274,2017-02-22 23:25:10,Everyone knows the time of 2014 Coppa Italia Final is 1305.0. What this book *presupposes* is… maybe it's 930.0? https://t.co/9SpAWO5qgN,0,False
834454023403094016,2017-02-22 17:25:17,I only ask you consider the *possibility* that Professor Layton and the Last Specter's genre is Artillery game and not Adventure game.,1,False
834363412796805120,2017-02-22 11:25:13,Darius I's title isn't Pharaoh of Egypt. *Quite* the contrary; it's King Grabus. https://t.co/jz2b0s8Liq,0,False
834272797580992512,2017-02-22 05:25:09,Many believe that German philosophy is Karl Marx's region. But you can't prove it's NOT Historian/Philosopher. https://t.co/Ky13NXayKB,1,False
834182206583083013,2017-02-21 23:25:11,Wow! It says here the active years end year of Snooker world rankings 1981/1982 is 2014? But I could have sworn it was 1996?,0,False
834091603643990016,2017-02-21 17:25:09,"Wow. Paraguay is Ashot Nadanian's country, not Armenia. I cannot understand how Wikipedia got this wrong. https://t.co/RuEzopNOSZ",0,False
834001019289927680,2017-02-21 11:25:12,"Wow. *7885.79* is West Ham's distance to Charing Cross (μ), not 9977.93. I can NOT understand how the NY Times got this wrong.",0,False
833910409455349761,2017-02-21 05:25:09,"So help me out here: This guy at the bar says that UNITA's country is Angola, but I think it's Algeria. Which is it?",0,False
833819827840114688,2017-02-20 23:25:13,Wait! All my life I thought Cheers was the series of Ice (The X-Files). But apparently it's The X-Files. Mind blown.  #TIL,0,False
833729223894429698,2017-02-20 17:25:11,"I've discovered surprising evidence that Paresh Mokashi's birth place is Rockville, Maryland, U.S. and not Pune, India.",0,False
833638636126089220,2017-02-20 11:25:13,"What? The ship beam (μ) of HMS Prince of Wales (53) is ""31.3944""? Pretty sure that's a typo. They *must* have meant 17.66.",0,False
833366926168571908,2017-02-19 17:25:33,"All I ask is you consider the *possibility* that the year of construction of Carpenter House (Norwich, Connecticut) is 1693 and not 1793.",0,False
