id,created_at,text,retweet_count,tweet.retweeted
850303085138374657,2017-04-07 11:03:48,AN WHAT ABOUT U PEEPS?!?!?! R U READY!!! RRR!,9,False
850302981996244992,2017-04-07 11:03:23,RRR!!! EUROPE!!! IM COMIN SOON NOW!!! WHO'S READY 4 DI PARTY?!?!?! RRR!!!,13,False
850015495713505280,2017-04-06 16:01:01,RRR!!! 2004!!! DID U SEE ME LIVE BACK THEN?!?!?! RRR!!! #DUTTYSTEPPINZ https://t.co/tWjYA5WhTU,36,False
849955096851099648,2017-04-06 12:01:01,RRR!!! WHEN ALL DI LADIES ARE WATCHING MI LIVE ON INSTAGRAM!!! RRR!!! https://t.co/k5VKPLOcCI,31,False
849906575754092544,2017-04-06 08:48:12,RT @thefader: .@Migos and @duttypaul have a collaboration on the way. https://t.co/xJIon50HM8 https://t.co/Cwmm3xGkDX,384,False
849690854520348672,2017-04-05 18:31:00,RRR!!! #MADPEOPLETINGTHEYSHOULDKNO!!! RRR!!! https://t.co/iSSpaZkRdF,35,False
849612419550908417,2017-04-05 13:19:20,RT @EDancemusic_: I thank U @duttypaul for sharing ure music with us...😊 https://t.co/hI0RzJHKuv,7,False
849612291029028864,2017-04-05 13:18:49,RT @AmineSP: @duttypaul looking forward to see the new album 🔥🔥🔥💯 always a maaaawd vybz,6,False
849306073479737345,2017-04-04 17:02:01,YOW PEEPS!!! GIVE TNX FOR SIGNING UP TO MY NEWSLETTER!!! THE WINNERS ARE @ tdfalconer @Anna_Newms  &amp; MORE!!! CHECK… https://t.co/OUG5y5qoQM,23,False
849260526223761409,2017-04-04 14:01:02,RRR!!! ALWAYS GIVE TNX OR ELSE... RRR!!!,36,False
848956485010808833,2017-04-03 17:52:53,RRR!!! #moonpalace @COPPERSHAUN @farenizzi @brandnewmachine #madpeopletingdeyshouldkno RRR!!! https://t.co/e9rjKqNcM7,18,False
848949131443814401,2017-04-03 17:23:40,RRR!!! ME AN @ToryLanez SURROUNDED BY ALL DI SEXY LADIES!!! RRR!!! https://t.co/8uUIEPIvix https://t.co/obDCoJU51F,21,False
848882788287655937,2017-04-03 13:00:02,YOW EUROPE!!! FINAL CHANCE TO SIGN UP 4 A CHANCE TO WIN TIX!!! RRR!!! https://t.co/wEESediSJT,26,False
848558394390794241,2017-04-02 15:31:01,RRR!!! GWLADYS!!! U GOT DI #DUTTYSTEPPINZ MOVES!!! RRR!!! https://t.co/NU4bFLVWiB,16,False
848535750022844419,2017-04-02 14:01:02,RRR!!! I'VE SHOWN U MY MOVES!!! NOW ITS UR TURN!!! SHOW ME WID #DUTTYSTEPPINZ!!! RRR!!! https://t.co/4WZ7lbo9mq https://t.co/AanjJErkbM,40,False
848520648653770752,2017-04-02 13:01:02,RRR!!! SHARE A SCREENGRAB IF UR LISTENING TO THIS TUNE TODAY!!! ILL REPLY 2 U!!! RRR!!! https://t.co/8bKsnBhZFY,29,False
847493883927957504,2017-03-30 17:01:02,RRR!!! #MADPEOPLETINGDEYSHOULDKNO! !! RRR!!! https://t.co/4CDxNcTcQY,38,False
847136148136824832,2017-03-29 17:19:31,RRR!!! ALL DI SEXY LADIES IN MY TEK WEH YUH HEART VID FEAT. @ToryLanez!!! RRR!!! https://t.co/8uUIEPqUqZ https://t.co/0BiO6uIBta,46,False
847030864194289665,2017-03-29 10:21:09,RRR!!! #DUTTYSTEPPINZ!!! RRR!!! https://t.co/y6AgFmlDJO,18,False
846821953398853633,2017-03-28 20:31:01,RRR!!! ADDED SOME MORE TUNES TO MY @Spotify PLAYLIST!!! C IT DEH!!! RRR!!! https://t.co/Rw4T0yINXl,30,False
846754257479122944,2017-03-28 16:02:01,RRR!!! ON @GMA A LIKKLE WHILE AGO!!! RRR!!! https://t.co/x6CV3KSF4D,41,False
846406804850589697,2017-03-27 17:01:22,RRR!!! READY 2 GET BACK ON STAGE!!! EUROPE ARE U READY FOR ME?!?!?! RRR!!! https://t.co/zkJe9DtFz3 https://t.co/TTvpZu9syT,33,False
846338138347851776,2017-03-27 12:28:31,"RT @JackBannon103: On days like today, Sean Paul is life. @duttypaul durty durty love 🎶 🎶 🔥🔥",11,False
