id,created_at,text,retweet_count,tweet.retweeted
850466536720658432,2017-04-07 21:53:17,💆 💭 💘 📛 🆗,0,False
850464153575862273,2017-04-07 21:43:49,💆 💭 💥 ✌ 😐,0,False
850459181895348224,2017-04-07 21:24:04,💆 💭 🏢 🎈 ⛲,0,False
850456680768958464,2017-04-07 21:14:08,🙇 💭 🔛 ⚡ 🐉,0,False
850454236009771008,2017-04-07 21:04:25,🙇 💭 😠 🎼 👋,0,False
850408849182011396,2017-04-07 18:04:04,💆 💭 ↩ 🌅 ➗,0,False
850406164269588480,2017-04-07 17:53:24,🙇 💭 🕘 ♈ 🍨,0,False
850391109801041924,2017-04-07 16:53:34,💆 💭 📐 💶 💈,0,False
850328179046834177,2017-04-07 12:43:30,💆 💭 🚠 👄 🌖,0,False
850315612685561858,2017-04-07 11:53:34,🙇 💭 😳 💑 🐍,0,False
850280495673823232,2017-04-07 09:34:02,🙇 💭 📡 🏬 🏯,0,False
850265443222790148,2017-04-07 08:34:13,🙇 💭 📜 🙋 🏦,0,False
850257924052078592,2017-04-07 08:04:20,🙇 💭 🇷🇺 🔴 💎,0,False
850179683920621568,2017-04-07 02:53:26,💆 💭 ⛵ 📮 🌆,0,False
850139755555827712,2017-04-07 00:14:47,🙇 💭 🚼 🎴 🍀,0,False
850114420084789249,2017-04-06 22:34:06,🙇 💭 🍆 🎱 👱,0,False
850096783229374465,2017-04-06 21:24:01,🙇 💭 ❄ 😷 🐅,0,False
850084232831619072,2017-04-06 20:34:09,🙇 💭 🏨 ⚪ 🚃,0,False
850079166443786242,2017-04-06 20:14:01,🙇 💭 🔍 🅾 🎓,0,False
850066635448885249,2017-04-06 19:24:14,💆 💭 🔚 ⌚ 🐮,0,False
850028675198275585,2017-04-06 16:53:23,🙇 💭 🍥 🌐 ⚫,0,False
850026274726838272,2017-04-06 16:43:51,🙇 💭 🔀 🇯🇵 🔥,0,False
850021341126373376,2017-04-06 16:24:15,🙇 💭 👼 🆖 👐,0,False
850018840360648704,2017-04-06 16:14:18,🙇 💭 ⬇ ☔ 🍖,0,False
850003719924142080,2017-04-06 15:14:13,🙇 💭 🏢 ♿ 🎀,0,False
849963385638854656,2017-04-06 12:33:57,💆 💭 🐂 💉 🌚,0,False
849943170410573825,2017-04-06 11:13:37,💆 💭 9️⃣ ☁ 👋,0,False
849922989948887041,2017-04-06 09:53:26,🙇 💭 ↘ 🎧 ♎,0,False
849817281534337024,2017-04-06 02:53:23,💆 💭 😘 😶 🈷,0,False
849812411481808896,2017-04-06 02:34:02,💆 💭 📜 ➡ 😾,0,False
849802192773152768,2017-04-06 01:53:25,💆 💭 💅 🍷 🍚,0,False
849779625303703552,2017-04-06 00:23:45,💆 💭 🌜 🛄 💶,0,False
849759751756034048,2017-04-05 23:04:47,💆 💭 🏢 🚁 🍎,0,False
849756927785668608,2017-04-05 22:53:33,💆 💭 🐴 👎 👤,0,False
849741767318622209,2017-04-05 21:53:19,💆 💭 😐 📭 👞,0,False
849739298236747777,2017-04-05 21:43:30,🙇 💭 🐂 🕘 🏫,0,False
849729599261085696,2017-04-05 21:04:58,💆 💭 💳 🗽 💬,0,False
849711643646992384,2017-04-05 19:53:37,🙇 💭 1️⃣ 📈 😟,0,False
849693991998246912,2017-04-05 18:43:28,🙇 💭 💝 💯 🇪🇸,0,False
849688991981088784,2017-04-05 18:23:36,🙇 💭 🏦 🌍 😑,0,False
849681549465464845,2017-04-05 17:54:02,💆 💭 🍜 🍐 🐹,0,False
849676655081684992,2017-04-05 17:34:35,💆 💭 📋 🔱 🐩,0,False
849656460766326784,2017-04-05 16:14:20,🙇 💭 ⬅ ♏ 5️⃣,0,False
849648765657128960,2017-04-05 15:43:46,🙇 💭 🐉 🎸 👬,0,False
849621125332180992,2017-04-05 13:53:56,🙇 💭 🚝 😵 🏊,0,False
849593769376833536,2017-04-05 12:05:13,💆 💭 🍋 🔊 🐞,0,False
849573250619375616,2017-04-05 10:43:41,💆 💭 👌 🚼 🎵,0,False
849543101618286593,2017-04-05 08:43:53,🙇 💭 🎲 🌎 🙆,0,False
849376878523822080,2017-04-04 21:43:23,💆 💭 🔎 🎺 🕥,0,False
849374505533407232,2017-04-04 21:33:57,💆 💭 🔲 🔜 🌖,0,False
849339211383803906,2017-04-04 19:13:42,🙇 💭 🉑 👮 🗻,0,False
849334186213343232,2017-04-04 18:53:44,💆 💭 🏢 🔃 ⏳,0,False
849324173734412290,2017-04-04 18:13:57,💆 💭 🚭 💦 🍚,0,False
849284002552979457,2017-04-04 15:34:19,🙇 💭 🐗 👥 📧,0,False
849258713936474112,2017-04-04 13:53:50,💆 💭 🐉 🏢 💓,0,False
849210762514051072,2017-04-04 10:43:18,💆 💭 📙 🔌 💹,0,False
849201181788385281,2017-04-04 10:05:13,💆 💭 🎪 🏥 🎭,0,False
849186061280583680,2017-04-04 09:05:08,🙇 💭 📄 💬 🈳,0,False
849092549721694208,2017-04-04 02:53:33,💆 💭 😷 💜 🎷,0,False
849087567794405377,2017-04-04 02:33:46,💆 💭 🚎 😙 🎾,0,False
849072489019969536,2017-04-04 01:33:51,🙇 💭 😝 🕜 ⚽,0,False
849032191195611138,2017-04-03 22:53:43,🙇 💭 💩 #️⃣ 🌾,0,False
849014531003207680,2017-04-03 21:43:32,🙇 💭 👗 💍 🌔,0,False
849001961261330434,2017-04-03 20:53:35,🙇 💭 🕝 👎 🚃,0,False
848989747737505793,2017-04-03 20:05:03,💆 💭 🔰 🌺 🌓,0,False
848986844247273474,2017-04-03 19:53:31,🙇 💭 🍘 🚆 🍆,0,False
848984405578313728,2017-04-03 19:43:50,💆 💭 💋 ❔ 👢,0,False
848981973326495745,2017-04-03 19:34:10,🙇 💭 🎢 👐 🔹,0,False
848976948177100801,2017-04-03 19:14:12,🙇 💭 🚷 🔭 🎤,0,False
848964211132727297,2017-04-03 18:23:35,💆 💭 🍢 💆 👜,0,False
848954250776502272,2017-04-03 17:44:00,💆 💭 😭 🔌 🍕,0,False
848951748698021888,2017-04-03 17:34:04,🙇 💭 👒 7️⃣ 👥,0,False
848946711636713475,2017-04-03 17:14:03,💆 💭 🍄 📜 🌻,0,False
848941614059974657,2017-04-03 16:53:48,💆 💭 🌎 👹 🙉,0,False
848936695915565062,2017-04-03 16:34:15,💆 💭 🇩🇪 🐞 😊,0,False
848929393133146113,2017-04-03 16:05:14,🙇 💭 🔫 😰 🍫,0,False
848901360850538496,2017-04-03 14:13:50,💆 💭 🐹 🎽 ⏫,0,False
848891328905842688,2017-04-03 13:33:59,💆 💭 ♍ ✏ 〰,0,False
848886203910938625,2017-04-03 13:13:37,🙇 💭 😐 🈲 😏,0,False
848876204610420737,2017-04-03 12:33:53,💆 💭 👻 🔫 🌕,0,False
848871198469619713,2017-04-03 12:13:59,💆 💭 🍧 📞 😜,0,False
848869058082746368,2017-04-03 12:05:29,💆 💭 🚬 🚖 ⏬,0,False
848858521080909824,2017-04-03 11:23:37,🙇 💭 🍲 😄 🚁,0,False
848810665087311874,2017-04-03 08:13:27,💆 💭 ⏰ 👭 ↔,0,False
848808666635612160,2017-04-03 08:05:30,🙇 💭 💟 💧 🚘,0,False
848702799558868992,2017-04-03 01:04:50,🙇 💭 📰 2️⃣ 🆎,0,False
848699914519543808,2017-04-03 00:53:22,🙇 💭 😪 🚷 📭,0,False
848695059642019840,2017-04-03 00:34:04,💆 💭 🏬 🕤 🌛,0,False
848692393226498049,2017-04-03 00:23:29,🙇 💭 👣 🍭 👈,0,False
848684781311315968,2017-04-02 23:53:14,💆 💭 🔫 🎬 🎁,0,False
848682317224841218,2017-04-02 23:43:26,🙇 💭 🔣 🚩 🌌,0,False
848677293899821058,2017-04-02 23:23:29,🙇 💭 💯 👶 🍸,0,False
848674845328015360,2017-04-02 23:13:45,💆 💭 🙋 👖 💩,0,False
848669800113082368,2017-04-02 22:53:42,🙇 💭 😂 📢 ☝,0,False
848649661506355200,2017-04-02 21:33:41,🙇 💭 🏥 🆗 🔴,0,False
848634689908858880,2017-04-02 20:34:11,💆 💭 💥 🌎 🌌,0,False
848616923952754688,2017-04-02 19:23:35,🙇 💭 🏉 🍄 🍭,0,False
