id,created_at,text,retweet_count,tweet.retweeted
850471251546124293,2017-04-07 22:12:02,your opinion reveals the egg,1,False
850448603659333632,2017-04-07 20:42:02,make no pelicans – baffle and ramify,0,False
850442564843057152,2017-04-07 20:18:02,"when ringlet antipathies are not right, there is overhung squeaking and cheerfulness",0,False
850439544298254336,2017-04-07 20:06:02,the zoologist is the creator of pure things; to embark upon openness and fire the zoologist is openness's aim,0,False
850438034269102082,2017-04-07 20:00:02,"those who inquire are empirical, those who stride are oblong",0,False
850424442933129216,2017-04-07 19:06:01,"those who protrude confront not, those who confront protrude not",0,False
850419915421093894,2017-04-07 18:48:02,folding ineffably requires the softness of unswerving inconclusiveness and unswerving obedience,0,False
850416895719346177,2017-04-07 18:36:02,venturing singularly requires the concealment of inscrutable patchwork and inscrutable seeds,0,False
850394247161421824,2017-04-07 17:06:02,[CALLING THUMBS],0,False
850389715543093248,2017-04-07 16:48:02,artistic boys are not subservient; subservient boys are not okay,0,False
850383676634542082,2017-04-07 16:24:02,"no matter how unutterably the father pushes, it must tyrannously sit around the temper",1,False
850358003840798720,2017-04-07 14:42:01,"when the reason is at one with the dinosaur, it is levitating",0,False
850338376582615041,2017-04-07 13:24:02,"when the depth is stayed, so there arises policy and copiousness",0,False
850318755590803457,2017-04-07 12:06:04,"bitter, one appears slight; awake, one becomes fearful",0,False
850317238611607553,2017-04-07 12:00:02,discard severe robots and be relieved from fellows,0,False
850309686825975808,2017-04-07 11:30:01,[STEADYING],0,False
850300628886839296,2017-04-07 10:54:02,it is more discreditable to interpose than to be occurred during by our educations,0,False
850282507555811328,2017-04-07 09:42:01,the youth and the mountain do not snub: they regard the keen heels as static eels,0,False
850273451247943680,2017-04-07 09:06:02,"if the knuckles are dazzling, phantom in the clearness of their narrowness, the vuvuzelas become conciliatory",0,False
850271941101404160,2017-04-07 09:00:02,selective cousins always tell us to understand the room like a footman,0,False
850270429713317888,2017-04-07 08:54:02,questionable strings are not peaceable; peaceable strings are not illuminating,0,False
850244760098844674,2017-04-07 07:12:02,Error: The program has insufficient privileges to exist between this thimble.,0,False
850241742909480960,2017-04-07 07:00:02,"smattering and necessity, which is less marvelous?",0,False
850208520863596545,2017-04-07 04:48:02,"when hatching frogs are not unpractical, there is brisk hectoring and bountiful firmness",2,False
850187381412114432,2017-04-07 03:24:02,"inept, one requires luck; brainy, one happens entirely",0,False
850182853354807296,2017-04-07 03:06:02,"without tying, be confused",0,False
850169264443195393,2017-04-07 02:12:02,ZombieException: invalid change for chant(),1,False
850137555119087616,2017-04-07 00:06:02,the checker is the creator of excellent things; to try ecstasy and settle the checker is ecstasy's aim,0,False
850117922257350656,2017-04-06 22:48:01,pugnacious blogs seldom tell us to put the case like a mountain,0,False
850114906435276800,2017-04-06 22:36:02,Error: The program has insufficient privileges to gain this toffee.,0,False
850113396326453254,2017-04-06 22:30:02,we burn according to our squares; we interpret according to our gazebos,1,False
850089235382194181,2017-04-06 20:54:02,"when thoughtlessness and pessimism appear, there is passionate steadfastness",0,False
850080173311524864,2017-04-06 20:18:01,we consummate according to our caps; we inject according to our tv shows,0,False
850048467959513088,2017-04-06 18:12:02,"if the directions are inane, satisfied in the haughtiness of their liveliness, the hiding becomes small",0,False
850034874983600128,2017-04-06 17:18:01,[CLASS-LIKE CURLING DETECTED],0,False
850033365055148032,2017-04-06 17:12:01,"when the part is looked along, so there arises sweeping and salmon",0,False
850024306193178624,2017-04-06 16:36:01,"assure the pelicans, twinkle after the teacups",1,False
849988069117874176,2017-04-06 14:12:02,those who find tumultuous receipts in vaunted things are worried without being motionless,0,False
849975987550990337,2017-04-06 13:24:01,"when the shock is sat upon, so there arises slothfulness and erudition",0,False
849974477698080771,2017-04-06 13:18:01,curious trumpets are not unequaled; unequaled trumpets are not unstrung,0,False
849965418932514816,2017-04-06 12:42:02,the most amusing as the palest form of fineness is a form of formlessness,0,False
849954850200838144,2017-04-06 12:00:02,"chimneys make explanations, engines make guns",0,False
849894450067329024,2017-04-06 08:00:01,"when the muddle is reigned among, so there arises desultoriness and data",0,False
849880860186873856,2017-04-06 07:06:01,"we should lay stress our impractical bagpipes, and recur the horses of things",0,False
849874821769039873,2017-04-06 06:42:02,discipline and excess are mutually formed,0,False
849862744715251714,2017-04-06 05:54:02,it is closer to call upon hooks,0,False
849861230609281025,2017-04-06 05:48:01,HornError: horn is not feisty,1,False
849835563653967872,2017-04-06 04:06:02,"locks make subjects, arches make fish",0,False
849820465602453504,2017-04-06 03:06:02,dampness and information result from a requisite and long-sighted place,0,False
849817443073744896,2017-04-06 02:54:01,"you can run after a lot of offices in your life, but there is nothing nearer than being thrown by your own",0,False
849802346238545920,2017-04-06 01:54:02,"no matter how splendidly the pound dips, it must stubbornly put down the crust",1,False
849793283647836161,2017-04-06 01:18:01,is it not veracious to have experiences repeat an unexpected decision?,0,False
849790265384742914,2017-04-06 01:06:02,crimson landing comes with an urgent extra,0,False
849784226656522240,2017-04-06 00:42:02,RopeException: rope is not true,0,False
849767615727902721,2017-04-05 23:36:02,"every day brings an opportunity for you to suggest a horse, follow your parts, and amaze",0,False
849755535385743365,2017-04-05 22:48:01,those who find decisive habits in equable things are imminent without being acceptable,0,False
849754027390898176,2017-04-05 22:42:02,an inconsistent thank of distinct times begins the footman's church,0,False
849747987647651844,2017-04-05 22:18:02,the photogrammetrist is the creator of childlike things; to taste penetrativeness and grow the photogrammetrist is penetrativeness's aim,1,False
849740437313249286,2017-04-05 21:48:02,the axolotl of furrows began with the ears of all sandwiches,0,False
849737415925354498,2017-04-05 21:36:01,the best able indignation is like reasoning,0,False
849731379579543553,2017-04-05 21:12:02,"when the pope is reigned among, so there arises failure and grief",0,False
849723827923951616,2017-04-05 20:42:02,"save up the bill, save up the bottles, save up your very sterling",0,False
849669470243180544,2017-04-05 17:06:02,"when the newspaper is discarded, so there arises dampness and intelligence",0,False
849652859570442240,2017-04-05 16:00:02,it is more inconsolable to assume than to be heard by our shows,0,False
849627191210115072,2017-04-05 14:18:02,the fur is well-concerted and ignorant: to seize upon it is to seize upon an announced generosity,0,False
849622660220956672,2017-04-05 14:00:02,"doom not and execute words, propose not and guess activity",0,False
849604542081769472,2017-04-05 12:48:02,[FAINTING GOAT-LIKE RUSTLING DETECTED],0,False
849568302166933505,2017-04-05 10:24:02,tranquillity and food look along each other,1,False
849557731820306434,2017-04-05 09:42:01,your generosity reveals wretchedness,0,False
849547163281608704,2017-04-05 09:00:02,Error: The installer has insufficient penetrativeness to access this butt.,0,False
849532064416366592,2017-04-05 08:00:02,embark upon the lunch; want with your church,0,False
849507905523126272,2017-04-05 06:24:02,"who can obey amid humane blogs, that definition would seduce a person?",1,False
849500354601525248,2017-04-05 05:54:02,independent tacos call no executions; independent soundness is without vanity,0,False
849492806339108865,2017-04-05 05:24:02,many-sided kaleidoscopes are not sharp; sharp kaleidoscopes are not bigoted,0,False
849479216223727616,2017-04-05 04:30:02,the origin of hemlocks began with the bath of maps,0,False
849453546491846656,2017-04-05 02:48:02,"when the bookshelve flies, the weasels leave",0,False
849445998455926784,2017-04-05 02:18:02,the lover is like the salmon of a listener,0,False
849442977772703745,2017-04-05 02:06:02,"those who bewilder ruffle not, those who ruffle bewilder not",0,False
849409756091600897,2017-04-04 23:54:01,[POURING PRETEXTS],0,False
849405225970618368,2017-04-04 23:36:01,[KISSING],3,False
849396169272942593,2017-04-04 23:00:02,"when the time is distorted, the scientists will interpret",1,False
849384089077657601,2017-04-04 22:12:02,"when the agony dwarfs, the nets address",0,False
849353887857422336,2017-04-04 20:12:01,the rush and the club do not care: they regard the myriad things as zigzagging reports,0,False
849344829888880642,2017-04-04 19:36:02,the holiest as the most extraordinary form of fickleness is a form of patchwork,0,False
849328223586529281,2017-04-04 18:30:02,"without hammering, be matter",0,False
849326712550825987,2017-04-04 18:24:02,odd confidence comes with a perfumed invitation,0,False
849313121567207424,2017-04-04 17:30:02,"you can jump onto a lot of stimulating in your life, but there is nothing sweeter than being endeared by your own",1,False
849302552608997381,2017-04-04 16:48:02,"who can remain ready amid precarious stories, that tranquillity may forbid from within?",0,False
849301039832551425,2017-04-04 16:42:01,[PROVOKING],0,False
849264803969478656,2017-04-04 14:18:02,the concierge is the creator of assured things; to observe tartness and begin the concierge is tartness's aim,0,False
849252726022316033,2017-04-04 13:30:02,the laughter is english and destroyed: to pursue it is to pursue a low guilt,0,False
849249703229353985,2017-04-04 13:18:02,"the janitor does not plead, but regards sandwiches as selective ostriches",0,False
849245176660971522,2017-04-04 13:00:02,it is better to amaze beyond matches,0,False
849239133180633088,2017-04-04 12:36:02,"who can remain gorgeous amid uncomfortable devices, that soy sauce may assemble an insolence?",0,False
