id,created_at,text,retweet_count,tweet.retweeted
850302161393209344,2017-04-07 11:00:07,Computing — quantum deep https://t.co/lK6PQG3bij via @scienmag,0,False
849936892770627584,2017-04-06 10:48:40,https://t.co/vBIox7fQRz,0,False
848858685938040832,2017-04-03 11:24:16,RT @trend_auditor: Forget #InterestRate hike; bank of #Canada getting ready to embrace negative rates  https://t.co/4hGSrvVL3Y,1,False
848858493503320068,2017-04-03 11:23:30,@invest_debate Happy it is.,0,False
848162741714116608,2017-04-01 13:18:50,"https://t.co/NWOSDWG8KC
How to Protect Your Online Privacy Now That Congress Sold You Out",0,False
848105181724254208,2017-04-01 09:30:07,RT @AHealthBlog: The Consequences Of Obstructive #Sleep Apnea Infographic ➡ https://t.co/b0WAAU8PLb https://t.co/L06a8B8ara,8,False
848105063163858944,2017-04-01 09:29:38,RT @ML_toparticles: Groundbreaking AI researcher hopes for 'radically different' ideas from Toronto lab - Top Big Data News https://t.co/YW…,4,False
848105033254227968,2017-04-01 09:29:31,RT @ML_toparticles: 2017 - 03 - 31 Qlik Podcast by BBBT https://t.co/h1VbQpAAZz,3,False
848105018750382081,2017-04-01 09:29:28,RT @ML_toparticles: Top Machine Learning @rightrelevance experts (https://t.co/yfMIlnSUOb) to follow https://t.co/ym5SUk0avM,4,False
848105002388336640,2017-04-01 09:29:24,RT @MicrobiologyRR: Rising Stakes for Health Care-Associated Infection Prevention: Implications for the Clinical Microbiology Laborator htt…,3,False
848104991818747904,2017-04-01 09:29:21,RT @ML_toparticles: How humans can manage their algorithmic overlords https://t.co/nmUUWFRlqB,3,False
848004598858211328,2017-04-01 02:50:26,RT @MicrobiologyRR: Abstract of article: Gene mobility promotes the spread of resistance in bacterial populations https://t.co/bVoRiBGFWA h…,3,False
848004558785843200,2017-04-01 02:50:16,Primary Dealers - Federal Reserve Bank of New York - FEDERAL RESERVE BANK of NEW YORK https://t.co/o3ojWA9s4D,0,False
847799034987384837,2017-03-31 13:13:35,Never more a customer. https://t.co/fzyqE3FdQx,0,False
847699442274779137,2017-03-31 06:37:51,"Social Norms, Moral Judgments, and Irrational Parenting | Psychology Today https://t.co/zrGnpVVteE",0,False
847429534043447298,2017-03-30 12:45:20,RT @ML_toparticles: Efficient collective influence maximization in cascading processes with first-order transitions https://t.co/mq6bYKe7FJ…,4,False
847429514569203713,2017-03-30 12:45:15,RT @ML_toparticles: Cognitive Systems Technical Architect (Europe) https://t.co/UwcLC7h2Vz https://t.co/riH0TrfzVc,4,False
847429492947603456,2017-03-30 12:45:10,RT @MicrobiologyRR: Key research priorities for agricultural microbiomes identified https://t.co/CvdY8PBUCH https://t.co/EaCNiam730,7,False
847429475671224325,2017-03-30 12:45:06,RT @ML_toparticles: Emotional Analytics Speaks Loudest! Multi Country Text Analytics Part III https://t.co/6yWFpSpj1j https://t.co/06v5Sp72…,4,False
847429456725553154,2017-03-30 12:45:01,RT @ML_toparticles: Scaled ML 2017 Slides and Pictures https://t.co/ENmPqL9h7m https://t.co/KAYtyPcBV8,6,False
847429431769432064,2017-03-30 12:44:55,RT @mmw_lmw: #Synthetic T cell Signalling | Using DNA as #TCR &amp; Ligand | Vale @UCSF @CellCellPress https://t.co/JCLEJNPzGK https://t.co/DxK…,19,False
847429393592877057,2017-03-30 12:44:46,RT @ML_toparticles: DATA SCIENCE DATES | Big Cloud Recruitment https://t.co/eBye0UKx9V https://t.co/ptQpf6OV9M,3,False
847429357131882497,2017-03-30 12:44:37,RT @ML_toparticles: How to think like a Data Scientist https://t.co/9xudDjWf0Q https://t.co/SVZGxqBLWU,6,False
847429330212749314,2017-03-30 12:44:31,RT @vangoghmuseum: Happy Birthday Vincent van Gogh! Today it is 164 years ago that he was born. Share your favourite painting in honour of…,2966,False
847428725415096322,2017-03-30 12:42:07,"RT @ML_toparticles: Andrew Ng is gone, but Baidu is still counting on AI to fix its business woes https://t.co/tELy6pXSrA https://t.co/BgNv…",6,False
847428694553448449,2017-03-30 12:41:59,RT @AHealthBlog: #Quinoa is rich in an antioxidant that has anti #cancer properties ➡ https://t.co/fPWpcgypp7 https://t.co/Zy732VoTFo,11,False
847428642871197699,2017-03-30 12:41:47,RT @ML_toparticles: USAA embraces digital transformation to improve the customer experience - SiliconANGLE https://t.co/Zr5YT4shl0 https://…,2,False
847428591948136452,2017-03-30 12:41:35,RT @AHealthBlog: Nutrients in the cabbage are helpful for improving #health of the liver ➡ https://t.co/kmt9HQ8VUf https://t.co/VkQTFFWzB3,9,False
847428571035385856,2017-03-30 12:41:30,RT @newsycombinator: The Arrival of AI https://t.co/fKmglrAKRZ,18,False
847428553868169217,2017-03-30 12:41:26,RT @ML_toparticles: Apple’s AI director: Here’s how to supercharge deep learning https://t.co/bzYSRJuLMd https://t.co/E4lZczXexE,3,False
847428528542892037,2017-03-30 12:41:20,RT @AHealthBlog: A number of inflammatory agents are inhibited by the action of bromelain in #pineapple ➡ https://t.co/QStN7tKmUX https://t…,21,False
847428500495585280,2017-03-30 12:41:13,"RT @ipfconline1: #DeepLearning in a Nutshell – what it is, how it works, why care? 
[via @KirkDBorne @dataiku]
#BigData #DataScience #Machi…",27,False
847428476508319746,2017-03-30 12:41:07,RT @AHealthBlog: #Exercise reduces genetic risk of high blood pressure  ➡ https://t.co/9eqNlq5785 https://t.co/d7nLLd9yk9,14,False
847428455784370177,2017-03-30 12:41:02,RT @AHealthBlog: Are Vitamins Important? ➡ https://t.co/1qHHwNzgoD https://t.co/eyaXnZELdq,9,False
847428408879403009,2017-03-30 12:40:51,RT @AHealthBlog: #Beetroot for Dementia ➡ https://t.co/TWdQWeasHV https://t.co/O0BJQgRVOe,21,False
847428356760981505,2017-03-30 12:40:39,RT @ML_toparticles: Why Media Bias Has Nowhere to Run and Hide from Data Science https://t.co/jrj7y92oKE https://t.co/G7aFFelB8g,5,False
847428341791563776,2017-03-30 12:40:35,RT @AHealthBlog: Vitamin K is a super-vitamin that helps to improve #memory cognitive ability and learning ➡ https://t.co/MG8ETHGhrU https:…,28,False
847428328499724288,2017-03-30 12:40:32,RT @ML_toparticles: A Wiki Hacker Compiled a Dictionary of Brexit's Most Useless Words https://t.co/XJpG6hUEXF https://t.co/ldXqAHe7UA,4,False
847428308874649602,2017-03-30 12:40:27,"RT @BanishMigraine: Nausea occurs in almost 90% of people with #migraine, and vomiting occurs in about one-third. Many thus seek a dark and…",5,False
847428290063224833,2017-03-30 12:40:23,RT @ML_toparticles: Top Machine Learning articles from last 48 hrs https://t.co/1VXhJ2Hywi,4,False
847428276628865024,2017-03-30 12:40:20,RT @ImDataScientist: What's next for #DataScience? @KirkDBorne shares 9 key domains: https://t.co/Piaw1eO6Z0 #DataSciBowl https://t.co/zeH0…,18,False
847428261176934400,2017-03-30 12:40:16,RT @ML_toparticles: Ray: A distributed execution framework for emerging AI applications https://t.co/HINbxQnZ3u https://t.co/Gqp0c369JU,9,False
847428222140653568,2017-03-30 12:40:07,"RT @Stratfor: Lloyd's plans EU hub in #Brussels, @business https://t.co/YZIUVsDSz0",5,False
847034401917734912,2017-03-29 10:35:13,RT @ITSecurityNow: SYSTEMS ADMINISTRATOR COTS https://t.co/fPk2eTjA2H #jobs #itsecurity,5,False
847034376869347328,2017-03-29 10:35:07,"RT @markets: #5things 
-Brexit letter day
-EU blocks LSE takeover
-Fischer says two more
-Markets quite
-U.S. Iran tensions
https://t.co/hX…",28,False
847034036065308672,2017-03-29 10:33:45,@FitbitSupport hi here is my PM. Wrist strap is separating. As in bubbles between layers.  Seams separating too.,0,False
846697351746064384,2017-03-28 12:15:54,"RT @DeepLearn007: Future of #marketing is Adaptive Journeys for #CX #marketers #machinelearning #ML #fintech #bigdata #martech #tech
https:…",166,False
846686383897006080,2017-03-28 11:32:19,"One Dataset, Visualized 25 Ways https://t.co/nqhA3LpHCz via @flowingdata",0,False
846685419517431809,2017-03-28 11:28:29,Antimicrobial Resistance Diagnostic Challenge selects 10 semifinalists in first phase of competition https://t.co/S0K7xB6rVH via @Granicus,0,False
846685265750085632,2017-03-28 11:27:52,@fitbit HR starting to come apart. I thought it was made for 24/7 wear...,0,False
846684868910223360,2017-03-28 11:26:18,Air Force's Mysterious X-37B Space Plane Breaks Orbital Record https://t.co/sF5W1DGA8P via @LiveScience,0,False
846358158696235008,2017-03-27 13:48:04,"RT @medpagetoday: @AmerGastroAssn:  We are on the scene at #sages2017!  To get the latest breaking news, click here.  #AGAConfRep 
https://…",3,False
846358107370479616,2017-03-27 13:47:52,RT @BrianHonan: Why it's a good idea to clear your browser history and cookies https://t.co/dpXI9RvzI2 via gcluley,2,False
846358039812825089,2017-03-27 13:47:35,RT @CescaAntonelli: Deutsche Bank in a bind over how to modify $300M Trump debt https://t.co/agszfcLihc https://t.co/rzCONvR3il,14,False
846357998062723072,2017-03-27 13:47:25,RT @JustDriveNJ: Don’t become a statistic. Follow us for tips on how to stay safe when driving.,18,False
846357665202819074,2017-03-27 13:46:06,RT @AHealthBlog: Seven Superfoods For Your #Health Infographic ➡ https://t.co/3iWhCLEY2f https://t.co/H4s4hLfgPz,14,False
846357603982753792,2017-03-27 13:45:52,RT @BanishMigraine: Eliminate the underlying cause of migraine and headaches... instead of dozing with pain killers https://t.co/iEKBTo4gPz…,1,False
846357425334702082,2017-03-27 13:45:09,RT @MicrobiologyRR: A new study explores how crosstalk between gut microbiota and individual immune cells occurs - Gut Microbiota for H htt…,4,False
846357383148421120,2017-03-27 13:44:59,RT @ML_toparticles: ONS looks to big data as it explores new ways to measure UK economy https://t.co/FQgwuMEOlG https://t.co/9kNiiqPPlD,5,False
846357345164775424,2017-03-27 13:44:50,"RT @Check123Sci: Understanding Antarctica's Ghost Lakes -
Video: https://t.co/idcn4ghhGO
#space https://t.co/vB9eHfFN1r",12,False
846357294321483776,2017-03-27 13:44:38,RT @MicrobiologyRR: Researchers crack structure of key protein in Zika virus - Scienmag: Latest Science and Health News https://t.co/gKgY5L…,2,False
846357274612387841,2017-03-27 13:44:33,"RT @ML_toparticles: Build a talking, face-recognizing doorbell for about $100 https://t.co/CmnSGf2Kvb https://t.co/66dCOPhYoX",6,False
846357259353542660,2017-03-27 13:44:29,RT @AdoptUSKids: Think that when you adopt a teen you miss all the parenting milestones? Thank again. #adoption #NeverTooOldForFamily https…,6,False
846357083486343168,2017-03-27 13:43:47,@DrKevinFleming why not a neuro-psy anymore?,0,False
846298937132810240,2017-03-27 09:52:44,RT @ML_toparticles: How to prepare for employment in the age of artificial intelligence https://t.co/7GZhztOz8L,9,False
846298919596371968,2017-03-27 09:52:40,RT @mmw_lmw: 3D #HumanCell Atlas | Sox2 distribution in Early Lung #Development | AlainChédotal @Paris_Sorbonne @CellCellPress https://t.co…,65,False
846298898868178945,2017-03-27 09:52:35,RT @scifeeds: ‘Unparalleled’ number of dinosaur tracks found in Australia https://t.co/qKvk1iir02 https://t.co/COx0OSWeZv,4,False
845669569830227969,2017-03-25 16:11:51,RT @bmj_latest: Association between alcohol consumption and cardiovascular disease: Research https://t.co/2S6ETUxM82 and commentary https:/…,43,False
845669423134490625,2017-03-25 16:11:16,RT @HuffingtonPost: Great Scott! Flying taxis could soon be coming to a sky near you https://t.co/yc3s95REZW https://t.co/IVKon6aQMl,89,False
845669047102517252,2017-03-25 16:09:47,RT @nj1015: Missing man in Union County https://t.co/6sDcOAspz9,2,False
845668963556216832,2017-03-25 16:09:27,"RT @alisovino: RT SpirosMargaris: Good read

How to turn #cyberattacks to your advantage 

https://t.co/yqam5DwITm #fintech #AI … https://t…",10,False
845194426834046976,2017-03-24 08:43:48,"RT @MartyRoden: "" ""Let's Talk Adoption"" Conference April 1, 2017 Registration now open      @cpfanj.org"" https://t.co/30lmTS3oDR by @MartyR…",3,False
844884800234274816,2017-03-23 12:13:28,RT @REITs_NAREIT: Know someone who invests in REITs? +70M Americans invest in REITs through retirement savings &amp; other investments. https:/…,24,False
844878003947560960,2017-03-23 11:46:27,RT @scifeeds: Transvenous lead extraction in low volume centre linked to doubled risk of death https://t.co/G8WfR3GM8l,1,False
844877842873647104,2017-03-23 11:45:49,RT @politico: Not every House Republican will be able to parachute into a safe district after the health care fight https://t.co/STYS3uhfFm…,56,False
844877789475983360,2017-03-23 11:45:36,RT @scienmag: This is how a woman's organs shift when pregnant https://t.co/BSWUxSek24,466,False
844877740587175936,2017-03-23 11:45:25,RT @tomkozlik: #migration #demographics #stategov #localgov #muniland #Florida #NC #ID #SC #Pennsylvania #NewJersey #NewYork #Connecticut #…,1,False
844877642025189381,2017-03-23 11:45:01,RT @MortgageSpeak: Housing Credit Index: Fourth Quarter 2016 https://t.co/nOs3XGrfTt,1,False
844877583489544194,2017-03-23 11:44:47,RT @XHNews: China continues to relax restrictions to encourage foreign investment: Ministry of Commerce https://t.co/Tw6QrlmvYu https://t.c…,58,False
844507314493296640,2017-03-22 11:13:28,Fair trial first...if guilty throw away the key. https://t.co/iIr0sCPTbx,0,False
844506480548204549,2017-03-22 11:10:09,RT @AHealthBlog: 10 Exercises That Will Help to Improve Your Posture ➡ https://t.co/yDxXHLL9Dz https://t.co/QjODkle5s8,25,False
844506441667018754,2017-03-22 11:10:00,"RT @ML_toparticles: With deep learning, the data-rich get richer https://t.co/fMx6KIOqbl https://t.co/scLcLugFxR",4,False
844506365620097024,2017-03-22 11:09:42,RT @cloudpreacher: #Digitaltransformation is key to success! A comprehensive use of #BigData #Analytics is essential for #CX provision. htt…,35,False
843927924973670401,2017-03-20 20:51:11,RT @AHAlivehealthy: The finalists are in! Vote for your favorite avocado recipe here: https://t.co/Oprm5keAtc @HassAvocados  #AddAvocado #H…,4,False
843398589351190528,2017-03-19 09:47:47,"RT @ML_toparticles: With quantum computers here, developers seek uses https://t.co/QptAPhjoQZ",2,False
843398569570844672,2017-03-19 09:47:43,RT @DataScienceCtrl: Python: Getting Started with Data Science https://t.co/O4Uh7GG73p,35,False
843398509541937152,2017-03-19 09:47:28,RT @YahooMusic: Hail! Hail! Chuck Berry: Remembering a Rock ‘n’ Roll Legend https://t.co/zQkvIxRjbz,18,False
843398455871574016,2017-03-19 09:47:16,"RT @Fanniegate101: Good morning, President Trump. Please release the #FannieGate docs. America deserves the truth! 11,000+ Obama fraud docs…",50,False
843398351332802560,2017-03-19 09:46:51,"RT @abunchofdata: The Great Convergence goes mainstream: CfP, ""Machine Learning for Image ... - https://t.co/DD35AGPfvN #machinelearning #I…",4,False
