id,created_at,text,retweet_count,tweet.retweeted
850074153474560000,2017-04-06 19:54:06,RT @RightWingAngel: Without Question: #Israel deserves a seat on the Security Council https://t.co/qguf938w1X https://t.co/V9Is5M0toG,862,False
849383806905831424,2017-04-04 22:10:55,"RT @RightWingAngel: Dear #GOP, we #TeamGray invite you to join us &amp; #TrumpTrain in saving the seat for #GA #GA6 #GA06 with @BobGrayGA #BobG…",2439,False
848154088164519936,2017-04-01 12:44:27,"RT @RightWingAngel: Mr. Ossoff #GA06 if you are in Al Jazeera's,  DNC and Pelosi's pockets with a business overseas... seems the ppl of #GA…",1374,False
847850006434414597,2017-03-31 16:36:08,"RT @RightWingAngel: I am a member of that club. Send my shirt.@GovMikeHuckabee: ""I rarely care what @NancyPelosi says about anything. I jus…",842,False
847418290083315713,2017-03-30 12:00:39,RT @juchheimcosmet1: Der Name ByeByeCellulite sagt alles über die Wirkung der Creme // https://t.co/aP9bGiRZPb,532,False
847418282793508865,2017-03-30 12:00:37,"RT @juchheimcosmet1: juchheim ausbildung
juchheim international
juchheim cosmetics",531,False
847418043923705856,2017-03-30 11:59:40,"RT @juchheimcosmet1: juchheim wirkstoffkombination
juchheim wirkstoff
juchheim wirkstoffe
juchheim wirkkonzept
juchheim facharzt",531,False
847417871202304001,2017-03-30 11:58:59,RT @_GlobalPayments: MasterCredit – schnell – unkompliziert – fair // https://t.co/CUiqLmj5vP,528,False
847417791212789761,2017-03-30 11:58:40,"RT @_GlobalPayments: mastercredit.de - Global Payments Financial
Service // https://t.co/CUiqLmj5vP",530,False
847044488920993793,2017-03-29 11:15:18,RT @RightWingAngel: #GOP go Nuclear Get it Done: #Senate braces for fallout over Supreme Court fight https://t.co/E6jkYk18sP #ConfirmGorsuch,867,False
846551612860645377,2017-03-28 02:36:47,RT @syeddoha: #TajMahalEconomy My tweet of yesterday wasn't  meant to forecast the longest losing streak since 2011. But the Dollar data is…,8582,False
846550870363979776,2017-03-28 02:33:50,"RT @syeddoha: #RYAN2020 Is he sending a missive? I know he was going to go the WH, but presidential-looking optics can't be entirely ignore…",15437,False
846314250347958272,2017-03-27 10:53:35,"RT @RightWingAngel: We need to bring "" integrity back into government"". 
Vote @BobGrayGA #BobGray4Congress 
 Help support @POTUS #TrumpTrai…",6061,False
846128327358398470,2017-03-26 22:34:48,RT @RafaMorenoValle: Coahuila tendrá el primer gobernador panista. @memo_anaya es candidato del PAN y sé que logrará la alternancia. ¡Éxito…,2292,False
846113593863081992,2017-03-26 21:36:15,"RT @syeddoha: #GOP fissure and WH lack of leadership have far reaching consequrnces for the Economy - for his own good, @SpeakerRyan should…",24904,False
845969173905920004,2017-03-26 12:02:23,"RT @PARKJIMINBAR: @BigHitEnt @bts_bighit Please notice this and treat it seriously, enforces the security! 
#WeLoveYouJimin  
#ArmysWillPro…",18284,False
845750688613388289,2017-03-25 21:34:12,"RT @RightWingAngel: Dear @POTUS &amp; @VP, Any help you could give Trump supporter  @BobGrayGA in #BobGray4Congress #GA #GA06? Love, Angel #MAG…",12767,False
845695600398086145,2017-03-25 17:55:18,RT @unitedrecovery_: 26 Year Old @itsBryanAlzate Opens #DrugRehab in #SouthFlorida @unitedrecovery_ https://t.co/XFUrvT6PZm  #BryanAlzate v…,5195,False
844100318615015424,2017-03-21 08:16:13,"RT @syeddoha: #ACA No, @POTUS44 knew it was complicated but he delivered Obamacare - and it's working. Stop lying, you liar.  https://t.co/…",19347,False
842947829647708160,2017-03-18 03:56:38,"RT @KyleEdwards: Everyone got love for me, I'm never alone ❤",746,False
842945827027017728,2017-03-18 03:48:40,RT @RightWingAngel: Dear @dickc know you are no longer CEO but respect even if differences in opinion at times. Can you help? Or @Jack here…,305,False
842753243478441984,2017-03-17 15:03:25,RT @mvadera: The husband @tehseenp live on @TimesNow on the conflict of #NavjotSinghSidhu #SidhuKaJoke https://t.co/4jUqtKZIp4,224,False
841582356616085504,2017-03-14 09:30:44,"RT @GavinRampling01: Villa Sanyanga - Luxury Rental in Phuket, Thailand https://t.co/TxxIq8BVdH",144,False
841582351876542464,2017-03-14 09:30:43,RT @LilyBerry42: Why Your Search Engine Optimization Is Failing And What You Can Do About It - Think Basis https://t.co/EF4rVJqySa,103,False
841582347652849664,2017-03-14 09:30:42,RT @Mackenzie9Diana: Free Google Play Codes | Credit | Money | Redem Code | Official 100% Free https://t.co/KynFVr7Zeg,90,False
841582342003146752,2017-03-14 09:30:40,RT @Mackenzie9Diana: Download Pokemon Diamond ROM https://t.co/Ttoh6c2dqc,89,False
841582331383152640,2017-03-14 09:30:38,"RT @JoshuaHodges36: Top Ranking Espresso Machines - Best Espresso Makers, Coffee Makers https://t.co/vKTIci4ji3",133,False
841582322029887488,2017-03-14 09:30:36,RT @LilyBerry42: If Your Phone Is NOT Ringing Off The Hook With Consultation Request and You Don’t Have A WAITING-LIST-PRACTICE - https://t…,101,False
841582316245905408,2017-03-14 09:30:34,RT @Mackenzie9Diana: Jukebox kaufen: »Angebote% »Ratgeber »Vergleich https://t.co/0y5WHEMpVw,92,False
841582310227095553,2017-03-14 09:30:33,RT @GavinRampling01: Buy Phentermine Online - Cheapest 37.5mg Phentermine Online! https://t.co/jviHAvpdVW,122,False
841582306032787456,2017-03-14 09:30:32,RT @Mackenzie9Diana: Alcohol Detox : Evaluation and Treatment | Detox of South Florida| Rehab And Detox Experts https://t.co/Du9Usokf6s,102,False
841582303277154304,2017-03-14 09:30:31,RT @JosephA48843599: Best 5 Indoor Antennas 2017 +++ MEGATEST +++ https://t.co/xYu4rSgh2H,1704,False
841582293407977473,2017-03-14 09:30:29,"RT @Mackenzie9Diana: Villa Sanyanga - Luxury Rental in Phuket, Thailand https://t.co/v4pzfTv197",138,False
841582283140280320,2017-03-14 09:30:26,RT @PiersHodges70: DeVry Final Exams - Your Study Roommate! https://t.co/yXGD8w6jc0,757,False
841582278794969088,2017-03-14 09:30:25,RT @Mackenzie9Diana: CPA Offers and Mobile CPI Offers https://t.co/tqggMZtKm1,131,False
841582274504208384,2017-03-14 09:30:24,RT @UnaBlake01: TestoGen Reviews – Are All the Benefits True or Scam? https://t.co/I0bnsoYIhD,90,False
841582271417204736,2017-03-14 09:30:24,RT @GavinRampling01: Der Stoffwindel-Blog von Christine Bendel https://t.co/V0ltJFdz8U,109,False
