id,created_at,text,retweet_count,tweet.retweeted
674564607264985088,2015-12-09 12:21:49,"#downtown #dubai #kay2 

https://t.co/u1ctw431qH",0,False
674563744475643904,2015-12-09 12:18:24,"Watch DOWNTOWN DUBAI​ every Wed 8:30 Pm UAE &amp; 9:30 Pm PST only on KAY2
Call me live971-6-530-3822
For Live Streaming
https://t.co/u1ctw431qH",0,False
673506305273827328,2015-12-06 14:16:30,"https://t.co/mrDOtmk8VM
watch my show and comment and follow us on twitter and Facebook
https://t.co/eXPsVsEFsv
https://t.co/O5iWkcaHJA",0,False
587584912334520321,2015-04-13 11:55:34,"City: Dubai
Area: Downtown
Tower: Burj Khalifa
Type: 2 Bedrooms 2 Bathrooms
Size: 1500 sq ft.
View: Fountain View from Bedroom, Living and …",0,False
561570770816483328,2015-01-31 17:04:39,@BBCUrdu teri mehfil mai laikin hum na hoon gay,0,False
561568059207344128,2015-01-31 16:53:53,@kanwalmalikdxb very nice poetry kanwal ji,0,False
547716487775916032,2014-12-24 11:32:41,"Amazing Payment Plan for Studio, 1br, 2Br and 3BR Apt. https://t.co/fO2Uu8i3GJ",0,False
547715563225501697,2014-12-24 11:29:00,Amazing Payment Plan https://t.co/KYnmPxBYZK,0,False
544495882071076865,2014-12-15 14:15:09,"DEAR INVESTORS THIS IS THE RIGHT TIME TO INVEST IN Dubai REAL ESTATE MARKET
REGARDS 
Habib khan
http://t.co/M7gZgX6YLG 
00971-50-157-8241",0,False
544495117696897026,2014-12-15 14:12:06,@FarhanKVirk @hassan_k82  geo kbhi nhi dikhaye ga q ki geo lifafa hy,0,False
544486135913660416,2014-12-15 13:36:25,@akchishti @khan_fareeha @ZaeemQadriPMLN zaeem qadri khud buht bara dancer hai... haha,0,False
544485048250933248,2014-12-15 13:32:06,@MurtazaGeoNews @SanaMerza my dear Shah shame on ur lifafa journalism,0,False
544484606401970176,2014-12-15 13:30:20,"Go Nawaz Go
Go Geo Go
Geo Ghadar hai 
Sharmindah hai or rahay ga",0,False
544484102154379264,2014-12-15 13:28:20,@MurtazaGeoNews itnay baray mob mai tum ek female presenter ko van p charha ker kia sabit krna chah ray ho ki PTI nay kiya hai...,0,False
