id,created_at,text,retweet_count,tweet.retweeted
845703593369886720,2017-03-25 18:27:03,Amazing job Kevin! 🤘🏼 https://t.co/aB4ITKAyo1,11,False
845702299477434368,2017-03-25 18:21:55,Back in the studio with @SixxAM for a very special celebration. https://t.co/nIWc9VoW4r,34,False
844948011960586241,2017-03-23 16:24:39,RT @SixxAM: James will be going live tonight at 6PM PST on https://t.co/JxxvpzBvWx! https://t.co/d0eyUPD5d9,39,False
844580118005608448,2017-03-22 16:02:46,RT @SixxAM: Who's ready for some more Sixx:A.M. at Sixx:P.M.? James will be going live tomorrow at 6PM PST! https://t.co/N7GfgHhEZh,42,False
844349946002259968,2017-03-22 00:48:09,RT @SixxAM: A look back at our Canadian tour with @FFDP and @paparoach https://t.co/5P7r8FKN2S,110,False
844349798723440640,2017-03-22 00:47:33,Thursday! https://t.co/MKcitilQDm,45,False
844279837774643200,2017-03-21 20:09:33,Now THAT is metal! https://t.co/RXRdVc758B,16,False
844265609063890944,2017-03-21 19:13:01,Haha! PLEASE tell me it was in your Lamborghini?! https://t.co/edwmw5qoDF,22,False
844262931382513664,2017-03-21 19:02:23,I'm looking forward to this! See ya soon! https://t.co/MKcitilQDm,38,False
844262703048798208,2017-03-21 19:01:28,A fantastic new artist to support... https://t.co/nxe9eTwEAq,13,False
844017344884031489,2017-03-21 02:46:30,Haha! Nope it's still wearing me! https://t.co/QrKxydcFn1,13,False
843519165335977984,2017-03-19 17:46:55,RT @SixxAM: Anyone looking for some Sixx:A.M. vinyl can head over to https://t.co/JZC2bHVBMX. https://t.co/PCBLpvqhmW,47,False
843102317712834560,2017-03-18 14:10:31,RT @SixxAM: Let's take a deeper look into the life of @james_a_michael! Head to our Facebook page to watch the video now! https://t.co/Jxxv…,115,False
841048652323872768,2017-03-12 22:09:59,Congratulations @ahadwingolf on your first PGA victory! Great things ahead for you! #champion,6,False
840979278825103360,2017-03-12 17:34:19,Excited to see ya buddy! https://t.co/5j9oXG4hl3,6,False
840372580292878336,2017-03-11 01:23:31,Aaah...life! https://t.co/pu1rik2ZXE,30,False
838763770440732672,2017-03-06 14:50:41,Thanks @SebastianWNA for having @SixxAM perform! We had a great time! https://t.co/uSg67OtIHR,71,False
837112359239860224,2017-03-02 01:28:33,Don't miss @DjASHBA live at 6pm (pst) tonight ! https://t.co/XZdpJwWHE0,18,False
835235332110987264,2017-02-24 21:09:55,Nice interview! https://t.co/GPWdqgU8vH,21,False
834879161957113856,2017-02-23 21:34:38,RT @DjASHBA: Tune into @fox5vegas morefox5 at 6:30 pm tune into my Facebook now! https://t.co/Yke3ZLdVMm,26,False
834879144060071936,2017-02-23 21:34:33,"RT @DjASHBA: Check out Part 2 of the Interview Project with Sixx:A.M. – @DjASHBA talks growing up, moving to LA. https://t.co/MWnbOt9MDw",37,False
832278468662484992,2017-02-16 17:20:24,Congratulations to our friends @Shinedown on yet another fantastic #1 Song!! #HowDidYouLove,61,False
822345356889333760,2017-01-20 07:29:46,"RT @DjASHBA: ASHBA MEET &amp; GREET Sat. 21st 4pm @DMStrings @DMStrings with @repostapp
・・・
Who's excited to get… https://t.co/uSWN9FkT7U",30,False
822345317332811777,2017-01-20 07:29:36,If you're at Namm go meet @DjASHBA !! https://t.co/WSuR8WelD9,22,False
822330953041264640,2017-01-20 06:32:32,Thanks for joining me for the chat! In case you missed it...here ya go! https://t.co/COUTP9rt2t,30,False
821930581030305793,2017-01-19 04:01:35,I hope you can join me for this! https://t.co/zYg2ZXRwdW,60,False
820012750927630337,2017-01-13 21:00:49,Got summoned for Jury Duty and I'm actually enjoying it! #DoingMyCivilDuty,30,False
815603523102482432,2017-01-01 17:00:07,Happy New Year everybody! Let's make #2017 the year of kindness and accomplishment. Set goals and do your best! I believe in you.,118,False
814577547706920960,2016-12-29 21:03:16,For the first time in nearly 15 yrs I'm actually on a real vacation with no projects on the schedule. Just free time. I love this! 🤘🏼#2017,44,False
810927544593620992,2016-12-19 19:19:27,"Filming more ""Fly On The Wall"" videos this week! In the mean time, check these out... subscribe and click like! https://t.co/IqFBQDB2hZ",52,False
809171662197297152,2016-12-14 23:02:12,Heck yes!! https://t.co/acG23wyFTz,48,False
808717983178600448,2016-12-13 16:59:27,RT @PureGrainAudio: #photos of @Eleven7Music #rockers @sixxam ft. @DjASHBA @james_a_michael #nikkisixx schooling @AmalieArena! https://t.co…,32,False
808382976182468609,2016-12-12 18:48:15,Home for the holidays! https://t.co/EBnox6MMHN,28,False
807320430457606146,2016-12-09 20:26:04,Grateful to know these guys! https://t.co/2bjlY3H5pv,37,False
806963525642022913,2016-12-08 20:47:51,Thank you @filtr_us @Spotify !!! https://t.co/DyEcK07cpg,20,False
806884104910372864,2016-12-08 15:32:16,RT @SixxAM: TUNE IN ALERT! #WeWillNotGoQuietly is featured as the theme song for Season 2 of #GanglandUndercover premiering TONIGHT @ 10/9c…,150,False
806360294423412737,2016-12-07 04:50:50,"""HELICOPTERS"" https://t.co/llTGpEkt9A",36,False
