id,created_at,text,retweet_count,tweet.retweeted
825013397506883587,2017-01-27 16:11:36,RT @StephenAtHome: If I were the architect for Trump's Wall I’d build a secret exhaust port the size of a womp rat so the rebels could save…,32066,False
807935566419468288,2016-12-11 13:10:24,@NDROYALS see you there!,0,False
759514478891458565,2016-07-30 22:22:17,RT @MenInBlazers: 2 Weeks Today... Air. Water. Premier League,316,False
717196323943018497,2016-04-05 03:45:03,RT @NickPriceKU: On-court view of the #Villanova buzzer beater. #NationalChampionship  https://t.co/kbgxw6fgKo,34,False
688748156935401472,2016-01-17 15:42:11,@EW I guess I know what happens in Creed now... thanks!,0,False
666007404379770882,2015-11-15 21:38:33,@julietlitman Hey! Just finished Station Eleven which you mentioned on a podcast a while back... really enjoyed it! Thanks! : ),0,False
562039343989424129,2015-02-02 00:06:36,RT @ConnorsBrian: Nice dog ad.  Now all my kids want to drink #Budweiser . #SuperBowl,2,False
554425853506236416,2015-01-11 23:53:18,"RT @Dameshek: Good rule of thumb: Pereira always right, Carey always wrong.",171,False
551909906312622081,2015-01-05 01:15:50,"RT @Dameshek: Unless I took this AFTER the ball deflected off Pettigrew, that's a penalty. (Spoiler alert: I didn't.) http://t.co/VoVXjFNMl1",279,False
551749123637268481,2015-01-04 14:36:56,@MenInBlazers @RobStoneONFOX @AlexiLalas He’s giving the Fox Sports 1 sign. http://t.co/WsIA5gghWl,0,False
550648337305964545,2015-01-01 13:42:48,@MenInBlazers @NBCSN I guess they think our eyesight has gotten worse... ITS TOO BIG.. it cuts off Peter Crouch's head!,0,False
546017233525547009,2014-12-19 19:00:27,@AlexiLalas Lalas on #ColbertFinale @StephenAtHome! Nice job! I hope you got Lucas to recommend you for a Star Wars cameo.,0,False
536528474832642048,2014-11-23 14:35:31,@MenInBlazers Geoff Cameron's first half performance was very Ireland vs. USA.,0,False
531234107599388672,2014-11-08 23:57:35,@reconnors Must have confused Uconn's QB at the end there too...,0,False
531233524120961024,2014-11-08 23:55:16,@reconnors google... http://t.co/rgAa4vRo2E,0,False
528318248170029056,2014-10-31 22:51:00,@heidiklum Bono?,0,False
520217632923189248,2014-10-09 14:22:03,RT @AlexiLalas: Greetings from somewhere deep in the wilds of Connecticut. #USAvECU,16,False
518860141899575296,2014-10-05 20:27:52,@reconnors @ConnorsBrian Henery is the Bills' MVP #Bills,0,False
516701443299246080,2014-09-29 21:29:58,@reconnors soylent green IS PEOPLE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Agh!!!!!!!!!!!!!!!!!,0,False
515301229128204288,2014-09-26 00:46:01,RT @NewYorker: “What do @BillSimmons’s bosses at ESPN think journalism looks like?” @tnyCloseRead on his suspension: http://t.co/h7YI3VpRnn,271,False
515278956166397952,2014-09-25 23:17:31,@reconnors Blasphemer! #RedSox,0,False
514944170771767296,2014-09-25 01:07:12,RT @embassydavies: Pondering Birth Father of Pod @BillSimmons suspension. I'm pretty sure this has to be the work of @SeppBlatter.,174,False
510857456281726976,2014-09-13 18:28:03,@MetroNorth any idea on delay time? Are trains running from Stamford to NYC? Should we drive to stam?,0,False
488466118206427136,2014-07-13 23:32:52,RT @MenInBlazers: Perfect way to end our World Cup Toasting all GFOPs for making this the Copa das Copas for MiB #Guinness #LoveThisMan htt…,169,False
487742155281031168,2014-07-11 23:36:06,@reconnors nice!,0,False
486608588626866176,2014-07-08 20:31:42,RT @MenInBlazers: How good does Germany 1 USA 0 look right now. Moral Victors,1534,False
482946019827515394,2014-06-28 17:57:58,RT @MenInBlazers: Brazil playing as if coached by Ann Coulter,423,False
482163677773062145,2014-06-26 14:09:13,RT @MenInBlazers: COURAGE! DOMINATE! EAT WORLD!  @jimmyeatworld USA! USA! #USAvsGER #WorldCupcakes HT: @MenInBlazers http://t.co/DoiL7IKuSf,1387,False
482137741975515137,2014-06-26 12:26:10,RT @TaylorTwellman: There is no chance that this rain storm hasn't water logged the field. Problem is nobody knows because not a single sou…,345,False
482134047171166210,2014-06-26 12:11:29,@TaylorTwellman any talk of a delay?,0,False
481979038907379712,2014-06-26 01:55:32,RT @J_Klinsmann: And don't forget to wear your jersey !! #businessattire RT @ussoccer: Need note to get out of work Thurs? #LetsDoThis http…,19110,False
480831860319076352,2014-06-22 21:57:03,@SirPatStew @MenInBlazers,0,False
480495606285099008,2014-06-21 23:40:54,"@reconnors @TravelersChamp If you're lucky, they'll do ""we built this city"" #worstsongever",0,False
478719916166504450,2014-06-17 02:04:56,RT @J_Klinsmann: amazing night in Natal !! our fans were all over the stadium !! FANTASTIC !! 3 points and now looking forward to Manaus !!!,4760,False
478710178104090624,2014-06-17 01:26:15,RT @JulieFoudy: Steve McManaman is overly effusive about the US win. #hebelieves http://t.co/KyhLCUn6SF,32,False
476832320373014528,2014-06-11 21:04:18,"@ConnorsBrian @RichNova Three Days Out, The World Cup Stadium In Manaus Is A Disaster http://t.co/kFcKvxdalZ …",0,False
476510006494240768,2014-06-10 23:43:33,Thimble Islands http://t.co/UCp5ZUoJpH,0,False
