id,created_at,text,retweet_count,tweet.retweeted
842851073719132161,2017-03-17 21:32:10,RT @aservais1: A lot of 👍 videos @SharjahArt biennial: Jon Rafman https://t.co/KdfZXSZO7Q,4,False
842850899944988673,2017-03-17 21:31:28,"RT @FriezeArtFair: Inside #FriezeNY, Jon Rafman will create a secret movie theater where you can watch, and be watched... https://t.co/kfOL…",5,False
840731108358668288,2017-03-12 01:08:10,https://t.co/Dhf5J32pQo,4,False
840706733601243136,2017-03-11 23:31:19,RT @wheresaddie: Yes @mouse_peyton https://t.co/Olcjr4i5LN,1,False
840144450286313472,2017-03-10 10:17:00,RT @LIL_ICEBUNNY: https://t.co/YgRscx0dDZ,17,False
838157377274802176,2017-03-04 22:41:05,Last day!! @SpruethMagers LA #OpenHeartWarrior https://t.co/6CpYHyv5BA,1,False
837487893597859840,2017-03-03 02:20:48,Collaborating with @0PN + @LIL_ICEBUNNY #OverlordsOfTheSimulation https://t.co/BDbtvah2op,12,False
836787151358545920,2017-03-01 03:56:18,RT @amonomania: ギャース 😭 @jonrafman の展示。今からLA行きたすぎる https://t.co/PQ8rxuj0Pj,2,False
836716603731496960,2017-02-28 23:15:58,last week to checkout my exhibition @SpruethMagers! https://t.co/DGA1JB0U50,1,False
834922925656584194,2017-02-24 00:28:32,26 August 2016 pt. 3 #dreamjournal https://t.co/MZtNc56Vbh,7,False
834586865059688448,2017-02-23 02:13:09,26 August 2016 pt. 2 #dreamjournal https://t.co/tpwdnBoxdj,5,False
832817586039558144,2017-02-18 05:02:40,RT @holyurl: *whispers during sex* digital technology only discloses your preexisting inability to connect to others,620,False
832316682957942788,2017-02-16 19:52:15,26 August 2016 pt. 1 #dreamjournal https://t.co/3r9zDaTsig,2,False
830557824677736449,2017-02-11 23:23:11,RT @NatureisScary: A snake fighting a cat while being eaten by a frog... https://t.co/ukp8S4Uw4e,1443,False
828831243898875904,2017-02-07 05:02:22,. @0PN https://t.co/FVR2D0D7fq,18,False
828754021007687681,2017-02-06 23:55:30,RT @JMVELARDI: .@jonrafman the oracle tbh. srsly https://t.co/AiHJ1xCie7,4,False
820447241814970369,2017-01-15 01:47:20,"This Thursday
Me + Stan VanDerBeek Sprüth Magers L.A. 
Curated by Johannes Fricke Waldthausen https://t.co/8FdxHM7Pfb",17,False
810411616231505920,2016-12-18 09:09:20,RT @DamienKempf: It me https://t.co/g4HAIIRv3F,120,False
792129216166977536,2016-10-28 22:21:36,"RT @ScreenSlate: We're screening the full, long-form version of @0PN &amp; @jonrafman's STICKY DRAMA with BRAINSCAN at @AnthologyFilm on 11/2 &amp;…",12,False
791033880438538240,2016-10-25 21:49:08,RT @cursedimages: cursed image 37828 https://t.co/F4zAfnhcqD,689,False
790006464811266051,2016-10-23 01:46:33,@Battlefield @eurogamer how do you access spectator mode?,0,False
786641778883559424,2016-10-13 18:56:29,29 May 2016 pt 1 https://t.co/PZsLeECBgz,20,False
778685642238676992,2016-09-21 20:01:39,"RT @papazinn: sticky drama, 2015, @0PN https://t.co/iTT6ddv2Pz",12,False
776919157296226304,2016-09-16 23:02:16,13 June 2016 pt 2 https://t.co/WTGYh58p41,7,False
776219910141870081,2016-09-15 00:43:42,13 June 2016 pt 1 https://t.co/MIWCowA6L4,12,False
775113580760924165,2016-09-11 23:27:33,https://t.co/Az9xErv4Mo,1,False
773947971444416513,2016-09-08 18:15:50,Coming soon... https://t.co/Oq9Qqgs7Jo,5,False
773210992939589632,2016-09-06 17:27:20,12 May 2016 #dreamjournal https://t.co/XG7zd8oVET,9,False
771161086674493440,2016-09-01 01:41:45,.@AdamSandler  https://t.co/Btsg5GS44y,0,False
771151963430019076,2016-09-01 01:05:30,excerpt from Dream Journal https://t.co/07iAkegxcS,26,False
770346718340714496,2016-08-29 19:45:44,https://t.co/LymtJsN7Rj,33,False
770005220441071616,2016-08-28 21:08:45,Escaping from a nightmare dna_ia's photo https://t.co/vs7QzdR4O4,0,False
768416591881105408,2016-08-24 11:56:06,RT @FFXVEN: Pghjhogzzozfzgzuzhzh,5739,False
767685133734408193,2016-08-22 11:29:33,"Ecco: The Videos of Oneohtrix Point Never and Related Works @hammer_museum @0PN 
https://t.co/CCiZSSiMDS https://t.co/mT64kRgLiX",5,False
765493419594711040,2016-08-16 10:20:28,RT @Stedelijk: Lots of people lost stuff in Jon Rafman's ball pit. Lucky for them we have a Lost&amp;Found: https://t.co/0PBBBznaCH https://t.c…,5,False
763399380363796480,2016-08-10 15:39:30,Last week to catch my show at the @Stedelijk! https://t.co/9XTHnjReji,0,False
760983676905787392,2016-08-03 23:40:21,https://t.co/tMzAYVqz1Z,8,False
758827057706958849,2016-07-29 00:50:43,#WiP #goblinshark https://t.co/zhVeykqapv,0,False
754498165521481728,2016-07-17 02:09:15,@DnlKlr https://t.co/DTW0DYFnVS,0,False
750444994528358404,2016-07-05 21:43:23,RT @032c: Brandenburg VORE: @jonrafman on creating an animal-eating-animal VR sculpture park for the @berlinbiennale https://t.co/I3FiygcH4L,11,False
748007203513171968,2016-06-29 04:16:29,"RT @Artforum: Picks | Travis Jeppesen on Mitchell Anderson and Jon Rafman at GALERIE MARIA BERNHEIM, Zurich https://t.co/DprHh12yK6",2,False
743950509762035712,2016-06-17 23:36:38,RT @e_flux: Jon Rafman: I have ten thousand compound eyes and each is named suffering @Stedelijk https://t.co/67HHImQXDm,4,False
743452110809931777,2016-06-16 14:36:10,RT @Stedelijk: With this final post @jonrafman ends his #24hour #TakeOver. Check out our #Instagram for cool images! Thanks Ron ;) https://…,2,False
743192982065668096,2016-06-15 21:26:29,RT @Stedelijk: Wow! @jonrafman is putting work by his favorite scifi/fantasy artists on Instagram. Curious? Follow us! #TakeOver https://t.…,12,False
743115784952684544,2016-06-15 16:19:44,RT @Stedelijk: #TakeOver Time! Tune into Instagram now to see what artist @jonrafman is up to the coming 24 hrs: https://t.co/3F4AMPiYb3 #o…,2,False
742438836286849024,2016-06-13 19:29:47,L'Avalée des Avalés (Swallower Swallowed) #vore #WiP #manifesta11 #bb9 https://t.co/f7oejzKElM,2,False
742343420983795712,2016-06-13 13:10:38,"Dragons Fucking a Car @ Carrara, Italy https://t.co/pFTevpo9kU",2,False
740896424582225925,2016-06-09 13:20:47,#OPENHEARTWARRIOR @manifestadotorg @ Float Center Zürich https://t.co/V6mjwXoMlD,0,False
739081331590746112,2016-06-04 13:08:15,RT @berlinbiennale: An online retrospective of Kathleen Daniel's video work #FearOfContent https://t.co/XvwNqX0h7O https://t.co/xM3njOeOW3,20,False
735996089237671936,2016-05-27 00:48:36,"RT @KarinvanGilst: Apple CEO #TimCook in cognito @Stedelijk. Hope we inspired him with AmsterdamseSchool, #AverySinger and #JonRafman https…",8,False
734884280594223104,2016-05-23 23:10:40,"RT @new_documents: Sandra Rafman: The Reframing of Loss, Jon Rafman’s Virtual Archives @jonrafman https://t.co/q1Lm0wAaaZ",5,False
733625125656911872,2016-05-20 11:47:14,L’Avalée des avalés #sneakpeek #bb9 @ Berlin Biennale https://t.co/1XSegt68qv,0,False
733139687959855104,2016-05-19 03:38:17,RT @David_Rudnick: #extremely &amp; #very rare below-radar collaboration I did for @jonrafman for his 2015 show  https://t.co/aZIoDV2kN2 https:…,1,False
732549678315642881,2016-05-17 12:33:48,I HAVE TEN THOUSAND COMPOUND EYES AND EACH IS NAMED SUFFERING opens on May 20th @Stedelijk @… https://t.co/1xmbdF0CLS,5,False
732199146371719168,2016-05-16 13:20:54,OPEN HEART WARRIOR #ComingSoon #WiP #manifesta11 https://t.co/KNJBnT1pSW,0,False
