id,created_at,text,retweet_count,tweet.retweeted
848028143445299200,2017-04-01 04:23:59,Just watched possibly the best women's basketball game ever! Congrats Mississippi State.,68,False
841761367422058500,2017-03-14 21:22:03,Prayers up to my former teammate @unclecliffy30 get well soon bro!,1,False
822524114527199234,2017-01-20 19:20:05,@tcshells worst bday present of all time! 😂😂😂😂,4,False
822523786239078400,2017-01-20 19:18:47,Thanks Dub Nation for all the BDay wishes. Best Fans on Earth! #webelieve https://t.co/KCMEYZwJeE,46,False
821153088509771779,2017-01-17 00:32:07,@tracehendrick lol right it's about to be the worst bday ever! Happy BDay bro!,0,False
805246494248935424,2016-12-04 03:04:59,@afoyle3131 @TooTallFoyle,0,False
805246475332677636,2016-12-04 03:04:55,L https://t.co/SAEYiLWugY,4,False
802270815794434048,2016-11-25 22:00:42,Praying for you @Channing_Frye. God Bless!,11,False
802270214393970688,2016-11-25 21:58:19,Sending prayers out to my bro @MacBo50 and his family! Your mom was an amazing woman! Hoping God give you strength thru this difficult time.,11,False
781239145997930496,2016-09-28 21:08:21,Taking off to Spain for NBA Global games featuring Oklahoma City. First stop Madrid 🇪🇸🇪🇸🇪🇸🇪🇸 #NBAGlobalGames,5,False
776170315114131457,2016-09-14 21:26:38,RT @DunkContest: We partnered with @jrich23 to create his own collection of shirts. Available online and in-store. https://t.co/yGOaS6XBWa,15,False
770289410206232577,2016-08-29 15:58:01,Shout out to @drinkbodyarmor for the hookup! #switch2bodyarmor #drinkbodyarmor https://t.co/U4cgOnhKfG,1,False
769593993860612098,2016-08-27 17:54:41,"RT @jemelehill: Like I always say, everyone wants athletes to speak up ... Until they say something they don't like.",4224,False
767562213192105984,2016-08-22 03:21:06,Congrats to the bro @Money23Green! #spartandawg #saginaw  https://t.co/dKCGZ9mllr,27,False
759588694118375424,2016-07-31 03:17:11,RT @realgranthill33: My young fella @JaredDudley619 is going back to PHX.. Great article about his return to the Desert!! #ActiveHands 👋🏾 h…,27,False
758049630886125569,2016-07-26 21:21:30,Congrats to my bro @Amareisreal on a stellar career!,22,False
753283981798440961,2016-07-13 17:44:31,"Couldn't agree more! Also, cops that are policing our communities also need to KNOW our communities. https://t.co/kqbZLkKwCn",1,False
753263829472116736,2016-07-13 16:24:26,RT @Stevemo09: I am looking forward to hearing from @BenjaminSWatson @mspear96 &amp; @jrich23 on #AthleteActivism tune in at 1pm ET   https://t…,3,False
753263804272742400,2016-07-13 16:24:20,"RT @mspear96: Honored to be on @OTLonESPN with @ryansmithtv, @BenjaminSWatson and @jrich23 to address the recent events in our country 1et/…",9,False
753263791652081664,2016-07-13 16:24:17,"Tuned in to @OTLonESPN at 1pm, I will be a guest on the show to talk about recent events that occurred in our country.",9,False
