id,created_at,text,retweet_count,tweet.retweeted
848731034279718912,2017-04-03 02:57:01,RT @ginny7h: @giselleclozano &amp; @kaitlynbharris are my best friends I swear ❤️,1,False
848589785484734465,2017-04-02 17:35:45,RT @kelseyylittle: Y'all eva had a photoshoot in the CHS cafeteria? Thanks Carlotta https://t.co/z8TUJE0nCB,4,False
847213811304148992,2017-03-29 22:28:07,RT @tdayr18: found a well in italy with a nice echo 😊❤️ missing this trip already https://t.co/tTkJeFo97k,131774,False
847159803692617732,2017-03-29 18:53:31,Sketchy.,2,False
847119480765513728,2017-03-29 16:13:17,RT @tjglw: truly feel bad for people that have nothing better to do than talk bad about others /:,3,False
846511836782608384,2017-03-27 23:58:43,I'm just tryna enjoy the few months I have left here.,1,False
846477867752083457,2017-03-27 21:43:45,RT @cooke_32: I've taken so many L's this year,12,False
846130216867127296,2017-03-26 22:42:18,RT @TexasBaseball: .@tatershaw22 home run robbery on loop. #SCtop10 #webgem https://t.co/kA4ps8OUag,341,False
845712095039623177,2017-03-25 19:00:50,"RT @JimmyPogue: LBJ makes app $300,000 per day. UIL trip--B Copeland-$21 per day, K Harris-$14, L Harnar $17.50 #UILmealmoney #chasinthedre…",2,False
844785063241826305,2017-03-23 05:37:09,RT @JosephinSkriver: always reppin 💀☠️💀 #raidernation https://t.co/FnUcZu0s0O,884,False
844026920677314560,2017-03-21 03:24:33,RT @ginny7h: 🔁 https://t.co/6Z7BSUXU9f,17,False
842833228675334145,2017-03-17 20:21:15,RT @TexasBaseball: Even the field is looking festive. ☘️🤘 https://t.co/5M0S1eToeS,154,False
842611329609449472,2017-03-17 05:39:30,RT @ginahartman6141: Isn't it past your bed time ?,2,False
842607968654835712,2017-03-17 05:26:09,Sit down baby girl(: #knowyourplace,3,False
841493217166082048,2017-03-14 03:36:31,RT @taayhart: i promised @kaitlynbharris i would post this but while in hawaii i lost an arm. RIP. https://t.co/Y7SsDV0EL2,1,False
841427131125059585,2017-03-13 23:13:55,Hauʻoli 🌺🤙🏼 @taayhart https://t.co/KtiDcRHrDk,2,False
840619671388733441,2017-03-11 17:45:22,RT @taayhart: day one in Hawaii.✓  day two pending.. 🌺🌸🌺 https://t.co/15YD0mMfdl,1,False
839312796907147264,2017-03-08 03:12:19,RT @GoCooperCougars: 🏆🏆REPEAT! REPEAT!🏆🏆 https://t.co/rH6OnBUEWQ,24,False
839214446601990144,2017-03-07 20:41:30,Only thing getting me through this week is the fact that by the end of it I'll be tanning on the beach in HAWAII🌺🌸🏄🏼‍♀️,3,False
838434042815082497,2017-03-05 17:00:27,RT @kelseyylittle: You're seriously going to let somebody else steal YOUR joy? No way josé,9,False
837535101357457411,2017-03-03 05:28:23,Me tonight💀😂 @taayhart https://t.co/FUSWu32lMq,0,False
837088162652557312,2017-03-01 23:52:24,RT @YourDailyMcm: Don't lose what you can't replace,1572,False
835581275641622528,2017-02-25 20:04:35,This week has been roouugghhh,0,False
834624600084512769,2017-02-23 04:43:05,@ginny7h love you babe💕,0,False
834525706054950913,2017-02-22 22:10:07,"RT @GrindOfAthletes: Relationship Goals
 https://t.co/sMMV4IK1m1",2987,False
834262469392605185,2017-02-22 04:44:07,"RT @kanyefeeI: you ever just sit back and think like

yo

i really don’t care",24016,False
834129966346403841,2017-02-21 19:57:36,I stay confused🙃🙂,0,False
833724144265097216,2017-02-20 17:05:00,Sooo much to do....sooo little time.⏱,0,False
833532050548355072,2017-02-20 04:21:41,RT @HelIafeeIings: when people get mad at you for treating them the same way they treat you 😊😊,1863,False
832641457467117568,2017-02-17 17:22:47,I'm never gunna put a limit on the effort and affection I give to someone  that I care about.,2,False
832318867087228929,2017-02-16 20:00:56,RT @kelseyylittle: CHS rn: that one scene in mean girls where everyone's fighthing,34,False
831748752700485632,2017-02-15 06:15:30,RT @tiaramvrie: They ain't me.,5865,False
831551311426486272,2017-02-14 17:10:56,RT @ginny7h: why can't we go back to elementary school when everyone was each others valentines and got tons of candy?,12,False
830918284732162048,2017-02-12 23:15:31,I can't wait to get out of this town...,0,False
829185779247280128,2017-02-08 04:31:09,RT @jordeemakxx: i only trust a very few girls bc girls are just messy and fake 🤷🏼‍♀️,24,False
828675569147641857,2017-02-06 18:43:46,RT @_zachattack41_: Iceeeeeeee💦🌨 https://t.co/QZ34DXaN7R,3,False
826905987919572996,2017-02-01 21:32:05,RT @_zachattack41_: Whoever cuffs me gonna be lucky,15,False
825578986805813248,2017-01-29 05:39:03,RT @FemaleStruggIes: this'll be me in the future raising a little monkey alone bc i can't depend on men and can't be bothered with kids htt…,433,False
824698627448799232,2017-01-26 19:20:49,RT @lil_ant56: You get what you want when you put in work.,14,False
824093649071992833,2017-01-25 03:16:51,"RT @jordannreyes: on Instagram already, photo by @_teerence https://t.co/yMEH6AM3Y6",7,False
823698650308153344,2017-01-24 01:07:16,"RT @OfficiaIJCoIe: People spend too much time looking for more, instead of appreciating what they already have.",1005,False
822300030925230080,2017-01-20 04:29:39,Thank you JohnMichael😌 https://t.co/1QEk0lKtNM,0,False
822290970016411648,2017-01-20 03:53:39,Thanks love😘❤ https://t.co/Usa6YAjKs8,0,False
822284144189337600,2017-01-20 03:26:31,Thank girly😋❤ https://t.co/0sy7jHYvdw,0,False
822262467220930560,2017-01-20 02:00:23,Aye Happy Birthday🎉😛 https://t.co/rLUFdO4SHI,0,False
822219491341963264,2017-01-19 23:09:37,Thanks darlin'💞😋 https://t.co/kENQCils89,0,False
822177152565133313,2017-01-19 20:21:23,Thank you JaWaun😊 https://t.co/DjUoDSZRj2,0,False
822148505091407872,2017-01-19 18:27:33,That first picture😷 but thank you babe😘❤️ https://t.co/La6KTR4Yy3,0,False
822130932404682753,2017-01-19 17:17:43,Can't wait for WF😝 thank you Goody💝 https://t.co/9h42Ify5pK,0,False
822126316434636806,2017-01-19 16:59:22,Thank you bf😌💞 https://t.co/mneW22y7or,0,False
822126060108128256,2017-01-19 16:58:21,Thanks Goose😜❤ https://t.co/PXIzzgU5TR,0,False
822125897079783425,2017-01-19 16:57:42,Thank you Ant😝💖 https://t.co/htsV7N5Or9,1,False
822112899904786433,2017-01-19 16:06:04,I love you sm babe💕 thank you Tay! https://t.co/61Ap5gxMVI,0,False
822103829139361792,2017-01-19 15:30:01,Thank you Hector💙❤️ https://t.co/HMYfpXOGqy,1,False
822101206948597762,2017-01-19 15:19:36,"RT @anissav99: Birthday, Football Banquet, &amp; acceptance to UTSA. What a day, what a day! Thank you to everyone who blessed me with birthday…",7,False
822088122120945664,2017-01-19 14:27:36,Thank you Smitty😋💕 https://t.co/5QWo62tmjY,0,False
822079151167406082,2017-01-19 13:51:57,Thanks babe! And I'll try not to(;😛 https://t.co/J71ZG5ZwGg,0,False
822066438064275457,2017-01-19 13:01:26,Thank you Krista! I love and miss you too❤ https://t.co/jewahVAE2I,0,False
