id,created_at,text,retweet_count,tweet.retweeted
850459165751246848,2017-04-07 21:24:00,"On #LarryKingNow — Margo Martindale talks @TheAmericansFX, Meryl Streep, &amp; ageism in Hollywood:… https://t.co/ulTehhtrJF",2,False
850425721679785984,2017-04-07 19:11:06,"Can't stop thinking about the passing of my dear friend #DonRickles. A giant in show business and a wonderful person. Rest easy, Don.",28,False
850059118186340352,2017-04-06 18:54:21,A national treasure is gone. Don Rickles' talent was limitless. To know him was a gift. He kept me laughing during… https://t.co/LLWELjMbBa,434,False
849717812524326912,2017-04-05 20:18:08,Had the recent pleasure of visiting entertainment icon @carlreiner at his Beverly Hills home. Our special convo:… https://t.co/vRxsyhgaBy,13,False
849368826143797248,2017-04-04 21:11:23,ICYMI - @RepCheri explains why she wants a 9/11 style commission to investigate alleged ties between Trump &amp; Russia https://t.co/oZe9KF9u7G,13,False
849043228150046720,2017-04-03 23:37:34,"Today on #LarryKingNow, @BrooklynDecker talks @GraceandFrankie, tackling tech, and motherhood:… https://t.co/JNiktWLSSf",7,False
849000115452891136,2017-04-03 20:46:15,"Touring my old haunts. This is 610/WIOD in Miami, where I rose to fame. Started working here in 1960. WIOD = Wonder… https://t.co/eRSwgdpqTB",21,False
848990311292391424,2017-04-03 20:07:18,"I'm rooting for @ZagMBB tonight. They're the ""underdog"" — but I don't think that's a fair label for any team in the #NationalChampionship",5,False
848959005221244928,2017-04-03 18:02:54,I think it's fair to say #OpeningDay is my favorite day of the year!,30,False
848747463137800192,2017-04-03 04:02:18,The incredible @chrisbosh joins me on #LarryKingNow tomorrow. Looking forward to chatting w/ him!  Q's for Chris? https://t.co/YWBIdsnl3N,21,False
848668804599164928,2017-04-02 22:49:45,Surprised and very honored today to accept a Key to the City by Miami Mayor @tomas_regalado at the wonderful… https://t.co/Lp55Ae51C6,12,False
848603355731689472,2017-04-02 18:29:40,I'm also welcoming the one and only #SammySosa tomorrow! Questions for him? Comment below! https://t.co/Q0oHmUM3Q4,11,False
848538745733361665,2017-04-02 14:12:56,Tomorrow I'm welcoming @iHeartRadio Latino Chairman and CCO @enriquesantos to #LarryKingNow! Q's for him?https://t.co/BMTE0XiNzA,26,False
848297593205600256,2017-04-01 22:14:41,"Doesn't get much better than the #FinalFour, folks! Who are your picks?",5,False
848194283710685186,2017-04-01 15:24:10,Interesting read from Nate Freiman: https://t.co/9jtF2GMHIM,23,False
847915444413628416,2017-03-31 20:56:10,Just wrapped a busy — but fun — three days in #NYC! Headed to sunny FL now to visit my Miami roots!,8,False
847883713111359488,2017-03-31 18:50:04,Today on #LarryKingNow — it's @ZacharyLevi! https://t.co/8DI8j5fOpw,61,False
847544374573629441,2017-03-30 20:21:40,"Tomorrow, I'm welcoming back @cthagod to #LarryKingNow! Can't wait for this one. Get your questions in now, gang! https://t.co/cOiuO9uJyF",50,False
847537587795492864,2017-03-30 19:54:42,...and one more from my alma mater Lafayette High!! What a day! https://t.co/LodSdcknY6,15,False
847536669389672451,2017-03-30 19:51:03,Braving the brisk Brooklyn air &amp; taking a trip down memory lane. Here's my childhood home &amp; the lobby of my high sc… https://t.co/WOyvn1ucHT,19,False
847515768195436545,2017-03-30 18:27:59,"Success &amp; communication guru @simonsinek on finding fulfillment @ at your job, leadership, &amp; millennial work ethic:… https://t.co/vYMKoyDJ2U",11,False
847229475209191425,2017-03-29 23:30:22,"Tomorrow, I'll also be welcoming @Mariobatali to #LarryKingNow! Quick, get your questions in! https://t.co/zVUUmphPpp",6,False
847192129369538561,2017-03-29 21:01:58,"Also from #NYC, the amazing #CynthiaNixon will make an appearance on #LarryKingNow! Send your ?'s in below! https://t.co/iMlbMyb0Cr",6,False
847177423447707648,2017-03-29 20:03:32,Cake master @duffgoldman gives me an education in baking on #LarryKingNow! https://t.co/LhiiQdWYuZ https://t.co/5ZkdItr3UX,7,False
847162898644295680,2017-03-29 19:05:49,From #NYC I'll welcome acclaimed actor #JamesCromwell. Questions for him? Comment below! https://t.co/yjyX4aOx0K,10,False
847159870205784064,2017-03-29 18:53:47,What happens when your information is exposed in a data breach? Find out on World War E with @repmikerogers https://t.co/XBWP8yE2ju,10,False
846922200066093057,2017-03-29 03:09:22,Thrilled to be joined by #MargoMartindale tomorrow! Questions for @TheAmericansFX star? Comment below! https://t.co/00VhOQrjB9,14,False
846860009757552644,2017-03-28 23:02:14,Looking forward to the next week. I'll be revisiting some landmarks from my life in #NYC &amp; #Miami...celebrating my 60th year in the biz!,13,False
846813298607583232,2017-03-28 19:56:38,En route to #NYC to for some great #LarryKingNow interviews! More to come from the East Coast! https://t.co/0LC9DfvJG5,11,False
846795688956506112,2017-03-28 18:46:39,"Tomorrow I'm welcoming @TheAmericansFX star #MatthewRhys! Questions for him? Comment below, followers! https://t.co/oXKqCNNgWo",15,False
846456693663842304,2017-03-27 20:19:36,"Sorry to hear the @RAIDERS are leaving Oakland. Were they not making money there, or will they just make more in Vegas?",22,False
846443241037709312,2017-03-27 19:26:09,"Grammy winner @NellyFurtado on her break from the spotlight, old hits, and what to expect from new album:… https://t.co/xlEPpKqUeH",45,False
846379564590817281,2017-03-27 15:13:07,This morning I'm welcoming @GraceandFrankie star @BrooklynDecker! Questions for her? Comment below! https://t.co/hYSaWMyDsa,6,False
845382099267862528,2017-03-24 21:09:33,Just spent an afternoon with the legend @carlreiner. Doesn't get any better than this guy. Can't wait for you guys… https://t.co/l9QJKAHA7u,19,False
845098456238571520,2017-03-24 02:22:27,A terrific read today in the @nytimes about one of my favorite players of all-time @CP3! https://t.co/skw10HLSOW,10,False
844998838519660544,2017-03-23 19:46:37,Tomorrow I'm joined by the iconic @carlreiner on #LarryKingNow! Questions for him? Comment below! https://t.co/Mk9TKnVkHO,3,False
844971158243991553,2017-03-23 17:56:37,"Wise words to @TheRealDonaldTrump from former Sen. Alan Simpson, a true statesman and a great American. https://t.co/j8J1ot3zx1",18,False
844691111280963584,2017-03-22 23:23:49,"""...you can't be an entrepreneur, you can't be a CEO unless you understand this one four-letter word"" @HarveyMackay https://t.co/mDNuUjwkav",9,False
844652020216688640,2017-03-22 20:48:29,"Very, very excited to learn #LarryKingNow has received 2 @DaytimeEmmys noms – for the second year in a row! A big thanks to my @OraTV team!",9,False
844630280098885632,2017-03-22 19:22:05,RT @NYDailyNews: Are you vulnerable to a ransomware attack? @RepMikeRogers explains the dark world of digital extortion https://t.co/RF6Yzx…,10,False
844278388311285760,2017-03-21 20:03:48,More with my buddy @MrT on #LarryKingNow! https://t.co/4TL3KUsyE7,5,False
844231289758658560,2017-03-21 16:56:39,"On set this morning — outfitted by the one and only @robgutierrezjr! Check out his stylings, gang! https://t.co/DbX68uyYQa",11,False
844205535004000258,2017-03-21 15:14:18,Today I'm joined by @black_ishABC star @YaraShahidi! What questions do you have for her? Send them in below! https://t.co/bOjnnTHHwj,16,False
843952181245968385,2017-03-20 22:27:34,I pity the fool who doesn't watch my great interview with @MrT! https://t.co/L5sdsGJZex,21,False
