id,created_at,text,retweet_count,tweet.retweeted
850418971278950400,2017-04-07 18:44:17,Babay https://t.co/TSiwERT5tn,65,False
850407691444826113,2017-04-07 17:59:28,Me an @jamesmaslow are going to be dancing to some choreography 🦁🦁,86,False
850407371956342785,2017-04-07 17:58:11,On my way to work 🦁,27,False
840329177895165952,2017-03-10 22:31:03,All the riches in the world wouldn't change the fact that you're still a 🍆,144,False
840327810501734400,2017-03-10 22:25:37,Do you consistently do stuff for other people? Take a number and join the fucking club 🏷,100,False
840325017346936832,2017-03-10 22:14:31,Find someone who appreciates your worth an your value.,336,False
837143250481909760,2017-03-02 03:31:18,RT @TheMasonMusso: Probably gunna bring this shirt back https://t.co/YRS66RLUq5,41,False
837003914935427072,2017-03-01 18:17:38,PRE-ORDERED #HowILikeIt @jamesmaslow https://t.co/JihsrQKIWp,187,False
830512116616536065,2017-02-11 20:21:33,RT @youfunnyb: ENDING RACISM 😜🤘 https://t.co/EyQIvMa0zs,51184,False
815373691165011968,2017-01-01 01:46:51,I hope your new year is beautiful and you transform into the next chapter of your life,278,False
814917277300785156,2016-12-30 19:33:13,"RT @hale_rome: You get to write your own story, you can either live in the past..or live for your future ✍🏻",82,False
813530652587003905,2016-12-26 23:43:16,You are the light that lights up the darkest of places,209,False
813087362561540096,2016-12-25 18:21:48,Mistletoe Mistletoe Mistletoe https://t.co/LjFPAPk1WR,160,False
812418247177814016,2016-12-23 22:02:58,gracias tanto a su ama de apoyo😽 https://t.co/FCY9gRRTbE,50,False
812415171620577280,2016-12-23 21:50:45,You so sweet 😋😘 https://t.co/3PTXytlhX2,72,False
812133948163637248,2016-12-23 03:13:16,Gross https://t.co/5AJydcr8Pz,240,False
812122832494702592,2016-12-23 02:29:06,"Me and my girl are going to do a follow spree in Mexico! We Follow, Fav and RT our favorite posts from your page. S… https://t.co/EstPiKLJoV",591,False
812110872130686976,2016-12-23 01:41:34,That's team work 1take @hale_rome https://t.co/CJjq54W4FH,83,False
812104749667364864,2016-12-23 01:17:15,Okay so I'm a loser and there is no gold medals in my future but shit I had no idea I could do this until I took a… https://t.co/sDVavENdpg,82,False
812101744578596864,2016-12-23 01:05:18,me and u on a beach listening to this🌴 https://t.co/o892isTHYQ,77,False
810966521249988609,2016-12-19 21:54:20,So I'm headed to Mexico in the AM... question? https://t.co/Za74FvANM7,128,False
810195877734141952,2016-12-17 18:52:04,RT @jamesmaslow: This is me in the gym RIGHT NOW!!! https://t.co/YrvMDIeREg,702,False
809258244480733186,2016-12-15 04:46:15,I like my one on one time 🕯,74,False
809243059858747393,2016-12-15 03:45:55,who wants to dm w 🙋🏻‍♂️ an boo https://t.co/q0VtC9U1Fp,175,False
809108901735972864,2016-12-14 18:52:49,"If you're a push over, get pushed over. But if you have an opion about something speak up. Don't feel certain issues can't be spoken about 🐂",145,False
808425414897074176,2016-12-12 21:36:53,Gay straight black white christian Muslim fat skinny - if you are a shitty person who jokes about these you are in nobodyvile population you,220,False
808416018758508548,2016-12-12 20:59:33,now that I'd agree with😂 https://t.co/W5CzP8TYBM,23,False
808414332744777728,2016-12-12 20:52:51,No but I'd buy your actual pinkey https://t.co/LHKZJa1i6X,44,False
808410606051192833,2016-12-12 20:38:02,Okay calm down https://t.co/6t5pCLjGis,28,False
808406441333813249,2016-12-12 20:21:29,eBay https://t.co/jklOCc1ZK4,24,False
808405643929468928,2016-12-12 20:18:19,Craigslist https://t.co/zmgRSQzvie,24,False
808399809946288128,2016-12-12 19:55:08,"❤️ an will dm
🔝",88,False
808398422608871424,2016-12-12 19:49:37,"What's up love? 

*at the airport😋",63,False
808018280703295489,2016-12-11 18:39:05,Don't stop believing.........................................................................................................in Santa Claus,316,False
807772808906477568,2016-12-11 02:23:39,Thank you so much ❤️ https://t.co/csvnBmtk7A,23,False
807655319111344129,2016-12-10 18:36:48,"who's coming to see me?!😽 and if you have already seen our film, let me know what you think. Let's chat!! https://t.co/MP0SHd3k6p",54,False
807643622988509184,2016-12-10 17:50:19,excited to see what you think! https://t.co/uim92c1fLy,24,False
806756254081089537,2016-12-08 07:04:14,spending a little alone time is the most important thing you can do for yourself 👌🏼👏🏼😊💊💙🍀🔥👀👂🏼👅,191,False
806740386479644672,2016-12-08 06:01:11,If you wanna Dm just RT. I got you,1440,False
806739542929653760,2016-12-08 05:57:50,You should be good to yourself because you are so important. There is only one of you. I hope and pray you all know how important you are 😇😘,456,False
806700751766614016,2016-12-08 03:23:41,RT @iamharout: before you speak bad about someone take a look at yourself and make sure your life is together and ultra. Otherwise stfu and…,320,False
806341952853733376,2016-12-07 03:37:57,RT @BrandonSmithCEO: Who is ready for a brand new #SweetVicious tonight never seen before by the #World !! @MTV here we go !! Tonight at 10…,22,False
806294439228542976,2016-12-07 00:29:09,RT @jamesmaslow: Proud of you bro! Can't wait to see it https://t.co/arLa21C24O,611,False
806248542486593536,2016-12-06 21:26:46,"Lol 😂 damn we all got that ""FLOW"" 💇🏻‍♂️ https://t.co/Ev0co0lraL",143,False
806211286656843777,2016-12-06 18:58:44,"Amazon, ITunes, GooglePlay, Dish, Vudu, XboxLive, PlayStation, and Demand 🔫🔫🔫Sins Of Our Youth🔥🔥🔥🎄💊⚰️😇🍼🚬 RT=Follow https://t.co/zaUyOWUqIj",1569,False
804904598880342018,2016-12-03 04:26:25,"""See the line where the sky meets the sea"" 
It calls meeeeeee🌺",222,False
804902961767923712,2016-12-03 04:19:55,just saw Moana it was so good @DisneyMoana 🌺🐋🐚🐠🐔🐷🌴,132,False
804107598861627392,2016-11-30 23:39:25,"Today was a good day, picked a couple of 😇's https://t.co/hoiMepXmU4",115,False
803302907286327296,2016-11-28 18:21:52,I'll call Disney.,247,False
803301345134526465,2016-11-28 18:15:39,well damn I think everybody down https://t.co/HvZzSyBn5H,101,False
803300469896605696,2016-11-28 18:12:11,RT @kelseychow: #brakayla4eva https://t.co/YX3TkMN85q,137,False
803087490114428928,2016-11-28 04:05:52,"Like I'm down, is have to ask my brother @docshaw if he's down",126,False
803086948747317248,2016-11-28 04:03:43,RT if you'd watch Pair Of Kings Movie?,1918,False
803085277682081792,2016-11-28 03:57:05,Lemme see what I can do https://t.co/T5p3URN9tK,54,False
802325793011630080,2016-11-26 01:39:10,It's the small things. Delicious things. Deliciously small things https://t.co/Z1wbnQhESN,86,False
801630347347816448,2016-11-24 03:35:43,"I just prayed for all of you guys I hope y'all have an awesome Thanksgiving. Let me know what you do send pictures love,
Mitchel ☺️",156,False
801585780426735616,2016-11-24 00:38:37,I'm there! Quarry season 2 https://t.co/KMtSOU9u92,22,False
