id,created_at,text,retweet_count,tweet.retweeted
850459759849484288,2017-04-07 21:26:22,"Cleveland Love. No Kevin. ♥️💛
[shot by @donlikecheadle] 

#ThePartyTour 
#Cleveland @ Quicken… https://t.co/uVQA7lXWCW",9,False
850434501000007682,2017-04-07 19:46:00,"mind of a general, heart of a soldier...
that's because I call the shots &amp; ain't afraid to take… https://t.co/z0HQuNSFNq",19,False
850346570990092288,2017-04-07 13:56:35,"once you become a leader you give up the right to think about yourself only.. @rotimi 
[shot by… https://t.co/JbiqPz3yxg",57,False
850114822855286784,2017-04-06 22:35:42,"CLEVELAND MERCH SS Split Shirt...

Available 2nite at #ThePartyTour!! @ Quicken Loans Arena https://t.co/DrQt38lKc4",7,False
850114320373624838,2017-04-06 22:33:42,"CLEVELAND AFTERPARTY 2NITE...

R U M O R ! ! ! https://t.co/RsrBhemMGd",9,False
849871186637062144,2017-04-06 06:27:35,RT @TeaireaNobles: @myfabolouslife you gave me &amp; best friend so much life💙 Last night at the concert 💪🏽,5,False
849856762849226752,2017-04-06 05:30:16,RT @itsSASHA_IMAN: @chrisbrown and @myfabolouslife were EVERYTHING last night!!! #CHARLIT,2,False
849797151463002113,2017-04-06 01:33:24,"After the Show is the AFTERPARTY...

T H U R S D A Y 

R U M O R 

C L E V E L A N D 

Pull up… https://t.co/y2XQT9tbZK",22,False
849769726121259018,2017-04-05 23:44:25,"I'm just proud the mission doesn't cloud the vision.. [shot by @donlikecheadle] 

#Vault… https://t.co/OKfEAqjMPT",10,False
849742326851395584,2017-04-05 21:55:32,"D'usse &amp; Lemonade, I call it Jay &amp; Bey... 
[shot by @donlikecheadle] 

#Vault 
#Charlotte @… https://t.co/jrU2B3Mwig",29,False
849726868597112832,2017-04-05 20:54:07,and when you got the key to the streets you can pull up anywhere.. so Lil bro @yfnlucci came… https://t.co/iaflIiYFP0,22,False
849707748241625093,2017-04-05 19:38:08,Only right when you come thru the city that you invite the hometown homies to the party...… https://t.co/yYWSY0zJ6Z,7,False
849653846188142592,2017-04-05 16:03:57,RT @scrillaBreiz: Last night was Amazing! Perfect for my 1st time going to a concert! I love you @myfabolouslife &amp; @chrisbrown! #partyTour,7,False
849653354087297026,2017-04-05 16:02:00,RT @BipBig3: My boy @myfabolouslife was lit in the spectrum center 🔥🔥🔥,4,False
849653092123648001,2017-04-05 16:00:57,RT @neighbahoodneno: Got to witness one of tha greats lastnight in Charlotte @myfabolouslife  #LITuation,4,False
849653045415825414,2017-04-05 16:00:46,"RT @BragLikeCole_: @myfabolouslife is really the flyest rapper in the game, came out on stage twice lookin 🔥😍",6,False
849642428558712836,2017-04-05 15:18:35,RT @LoveyCee: Thank You For An Amazing Night ! 💕☺😍 @chrisbrown @myfabolouslife,4,False
849642001943457796,2017-04-05 15:16:53,RT @_GotDari: @myfabolouslife did his thing tonight! Bringing out @YFNLUCCI and @djlukenastyy 👏🏽,9,False
849641711617835008,2017-04-05 15:15:44,RT @AyooLEEEEISH: @myfabolouslife you were so good tonight Los 😘,3,False
849641499159654400,2017-04-05 15:14:53,RT @StAxx2DaMax: Got to witness @djlukenastyy be brought out by @myfabolouslife on the @chrisbrown party tour. This is huge for Carolina,3,False
849641043549188097,2017-04-05 15:13:05,"RT @IamMonKneeKah: I've been wanting to see @myfabolouslife perform in person for YEARS, and tonight I cried 😭",3,False
849640967544197121,2017-04-05 15:12:46,RT @FreshPrince143: @myfabolouslife had Charlotte on tilt today. #NY2NC,3,False
849640751118024705,2017-04-05 15:11:55,Appreciate you bruh! Thanks again!!  RT @djlukenastyy: @myfabolouslife a real one 💪🏾💯,7,False
849640377330094080,2017-04-05 15:10:26,RT @Huney_Jay757: @myfabolouslife you just killed #CHARLOTTE !!! OG,2,False
849482719906156544,2017-04-05 04:43:57,"CharLIT 🔥 [shot by @donlikecheadle]

#ThePartyTour 
#Charlotte https://t.co/VEayBOlgJb",23,False
849402366289948672,2017-04-04 23:24:39,"AFTERPARTY 2NITE!!

V A U L T 

C H A R L O T T E 

Come party wit a Real One after #ThePartyTour https://t.co/Tu6KJWd6fB",11,False
849393833519534080,2017-04-04 22:50:45,"Charlotte Merch SS Split T-Shirt..
Available 2nite at #ThePartyTour!! @ Charlotte, North Carolina https://t.co/jLGI7HHv0P",10,False
849356175229550593,2017-04-04 20:21:07,"this the face you make when you rapping along wit Jeezy saying.. 
""I'm the realest nigga in… https://t.co/fzF5o0oNwX",23,False
849352039150870528,2017-04-04 20:04:40,Boston Love!!  https://t.co/BsY0zRxpQK,8,False
849351090063761412,2017-04-04 20:00:54,RT @LaToyaClaudia58: Had a great time at the @chrisbrown concert last night! @myfabolouslife and @otgenasis did an awesome job! 😃😃,0,False
849350567839379456,2017-04-04 19:58:50,Wow. The love &amp; support in Boston has always been there. Salute you!  https://t.co/ctQK7B7dBL,7,False
849349725136592897,2017-04-04 19:55:29,RT @BallislifeJNR: Fabo !! @myfabolouslife was amazing the other night. My idol 🙌🏽 thank you for coming to jersey,1,False
849349254418182145,2017-04-04 19:53:37,"RT @youngflyRED: @myfabolouslife I told myself last year I wanted to see you more than anyone, and MY WISH CAME TRUE ❤️ #youngog",4,False
849348475103977483,2017-04-04 19:50:31,RT @classiqK_: always loved @myfabolouslife &amp; he'll always be my favorite. happy I got to see him tonight at #ThePartyTour 🙌🏼🙌🏼🙌🏼,4,False
849346698447134723,2017-04-04 19:43:27,RT @C_Pineda7: Still on cloud 9 by how much @myfabolouslife killed it tonight w/ party tour &amp; host appearance @ Icon. AH-MAZING #PARTYTOUR,2,False
849345689498910721,2017-04-04 19:39:27,RT @T_Stackin: S/O @myfabolouslife n @chrisbrown that show was lit 🙌🏾🔥🔥,7,False
