id,created_at,text,retweet_count,tweet.retweeted
850237579769159680,2017-04-07 06:43:30,c_thomas_21 #209car #209 #nickdiazcar #racing🏁  #racing merced_speedway 💯 https://t.co/835aOKqisj,8,False
849860000424001536,2017-04-06 05:43:08,#cantkillmewhenimalreadydead #nickdiaz #deadthough #🖐🏼#💪🏽 #thatdeadnessthough 🍜🌮🍤👁🚬✊🏼😟😖😣😞☹️🙃 https://t.co/W1DjN85zs8,38,False
849709843854368769,2017-04-05 19:46:28,#giraffe  #mickegrovezoo  #lodi @mickegrovezoo @ Micke Grove Zoo https://t.co/oTR2R7Kwfr,7,False
849485630048546816,2017-04-05 04:55:31,Congrats to califitxo Took first place in her bikini competition #1st #💪🏽#lodi @ Ollie's Pub https://t.co/SEAD7icwK3,8,False
849442966875844610,2017-04-05 02:05:59,@NickDiazAcademy graciearmy209kids #nickdiazacademy #stockton  @Stockton_Cali @Stockton_CA https://t.co/jyuoL1omET,3,False
849442011736408064,2017-04-05 02:02:12,@flavrx #420 #FlavRX #CBD #THC 💯#😎 https://t.co/5PI84N1FF4,0,False
848624416229646336,2017-04-02 19:53:22,@NickDiazAcademy tanman2222 #209car #209 #nickdiazacademy https://t.co/Ye4Jtr8r4E,3,False
848411563811885057,2017-04-02 05:47:34,Don't get #caughtslippin 👊🏽 https://t.co/ZsJ8mDvAsk,46,False
847307810664718337,2017-03-30 04:41:38,@realroyce brendandowie @natediaz209 #vegas #ufc https://t.co/jcwL4ep3aI,3,False
847306793483083776,2017-03-30 04:37:36,@hemp2o @spartan_sano @SamuraiJuice716  #sf https://t.co/dKlIEguGEv,0,False
847290324397326336,2017-03-30 03:32:09,Nick Diaz Beats Jean Pascal Says Trainer Who Was There When Diaz Won Pro... https://t.co/RiRlqAcIoF,51,False
846950546602905601,2017-03-29 05:02:00,#onsomeweed in this pic 😎 https://t.co/Qdl71k0t0Y,24,False
846948880377958402,2017-03-29 04:55:23,"Win 2 Tickets to #Hightimes Cannabis Cup April 21st-23rd in San Bernardino, CA! Meet us at the… https://t.co/IO9aLW23ID",29,False
846561485320945664,2017-03-28 03:16:01,GSP 0.9 LB ALLOWANCE IN TITLE FIGHT AGAINST NICK DIAZ https://t.co/ZLFWT7T2MI,110,False
846558814081994756,2017-03-28 03:05:24,Nick Diaz tapes Canadian AC give GSP extra pound allowance https://t.co/3aNxKWduU6,99,False
846241509263339520,2017-03-27 06:04:32,https://t.co/83IcxBS4R9,57,False
845856083721760768,2017-03-26 04:33:00,Aha just me and my boy snoopdogg you feel me #snoopdogg #ggn https://t.co/iiYvnXgqTx,54,False
845850487710781440,2017-03-26 04:10:46,Me and my boy Skip #lodi #stuckinlodi @drdabber https://t.co/KEqA9bZNWT,5,False
845849288898940928,2017-03-26 04:06:00,michaeldavidwinery @deltavelo  iamspecialized_tri @tbfmultisport @rokasports @damianxp… https://t.co/es8lmMFU4T,4,False
845848013910294529,2017-03-26 04:00:56,cosmopolitan_lv  #photocredit robweiss https://t.co/6QhNUsHrK5,4,False
845846548923797505,2017-03-26 03:55:06,@rokasports @tbfmultisport iamspecialized_tri @deltavelo michaeldavidwinery #triathlon #xterra https://t.co/JPeoHxJ5m0,0,False
845775112590700544,2017-03-25 23:11:15,farrenjanel's photo https://t.co/Mx8ocYvcUr,15,False
845743588017426432,2017-03-25 21:05:59,Just posted a photo https://t.co/pBOI2wD4tO,26,False
845736128821039105,2017-03-25 20:36:20,@torque1net @tbfmultisport michaeldavidwinery @spartan_sano riokid krongracie #xterrareal… https://t.co/bX96NyHDNq,4,False
845733641636450307,2017-03-25 20:26:27,iamspecialized_tri iamspecialized @ TBF Racing https://t.co/d90LZ8T5u4,9,False
