id,created_at,text,retweet_count,tweet.retweeted
849495734575562752,2017-04-05 05:35:40,RT @syeddoha: #UHIHF Truth will mostly prevail. https://t.co/Gieh8kb4Ro,1636,False
848535013696172036,2017-04-02 13:58:06,"RT @LassoGuillermo: El Ecuador votará sin miedos, votará para cambiar. Esta historia la escribirás TÚ con tu voto. ¡Vota para HACER HISTORI…",7007,False
846768598802731008,2017-03-28 16:59:00,"RT @NEVESSLU47KROK: Don't be afraid to change the world. The secret to success is action, focus and faith. Nothing else! 🙏🏾  - #Nevesslu47k…",2653,False
846761436529524738,2017-03-28 16:30:33,RT @SonyPicsIndia: Does the suit make the man? Watch the all-new #SpiderManHomecoming trailer. In cinemas on 7.7.17. 🕷 https://t.co/1DItqTl…,1644,False
846639511752921088,2017-03-28 08:26:04,RT @UVEZ_Z: Türkler richkidsontheworld hesabında... 😌 https://t.co/yXvrSIZUgM,6842,False
846633721914687488,2017-03-28 08:03:03,RT @RightWingAngel: è una bella vita' It's a beautiful life. Enjoy it all. Stay safe and happy until we meet again. “Dio ci benedica!” May…,973,False
846550462144876545,2017-03-28 02:32:12,"RT @syeddoha: #RYAN2020 Is he sending a missive? I know he was going to go the WH, but presidential-looking optics can't be entirely ignore…",15436,False
846550405408526337,2017-03-28 02:31:59,RT @syeddoha: #TajMahalEconomy My tweet of yesterday wasn't  meant to forecast the longest losing streak since 2011. But the Dollar data is…,8582,False
846529065049903105,2017-03-28 01:07:11,RT @LalitKModi: I just got off from a flight from #barcelona thru which I sat completely #numb. Just as I was… https://t.co/D13NV8E2ed,45312,False
846402642096148480,2017-03-27 16:44:49,"RT @RightWingAngel: We need to bring "" integrity back into government"". 
Vote @BobGrayGA #BobGray4Congress 
 Help support @POTUS #TrumpTrai…",6061,False
846113901536251904,2017-03-26 21:37:28,"RT @syeddoha: #GOP fissure and WH lack of leadership have far reaching consequrnces for the Economy - for his own good, @SpeakerRyan should…",24903,False
845916920591323136,2017-03-26 08:34:44,"RT @RightWingAngel: Dear @POTUS &amp; @VP, Any help you could give Trump supporter  @BobGrayGA in #BobGray4Congress #GA #GA06? Love, Angel #MAG…",12767,False
845803331050229761,2017-03-26 01:03:23,RT @NYMediaBuzz: @tedlieu @POTUS When far left extremists  cant take loss &amp; feel inferior what do they turn to? Telling someone to RESIGN.…,419,False
845794734761218048,2017-03-26 00:29:13,"RT @glassthetramp: It's a fun Saturday in L.A. At the beach. 
I got my music loud and my bottle of Sailor Jerry #sailorjerry #glassthetramp…",159,False
845377864908374016,2017-03-24 20:52:44,RT @RightWingAngel: President Trump says Obamacare is likely to explode. Says they are now likely to pivot to tax reform. mt @ChadPergram,910,False
845282817235992577,2017-03-24 14:35:02,"RT @s_1lI: غـيـرت من نـفـسـي وحـالـي تحوّل
وماعاند أوضاعي ولاأزعل ولاأسب
مرتاح بالي وعايش أحسن من أول
لا أحد يقـول أن السعاده مع الحب
#المس…",227,False
845281558022029312,2017-03-24 14:30:02,RT @s_1lI: لكم منا كل تقدير واحترام .. حسابكم وما تقدمونه تشكرون عليه https://t.co/LoCyUHkDSr,299,False
844092281338675200,2017-03-21 07:44:17,"RT @syeddoha: #ACA No, @POTUS44 knew it was complicated but he delivered Obamacare - and it's working. Stop lying, you liar.  https://t.co/…",19347,False
842695605780725760,2017-03-17 11:14:23,RT @tehseenp: How would sm / msm react if  Zakir Naiks or someone from his IRF became the CM as opposed to Reaction on RSS pracharak Triven…,490,False
842642497524420608,2017-03-17 07:43:21,RT @tehseenp: Wishing @CNNnews18 &amp; @News18India the best for #Chaupal . Sorry will miss it due to prior commitments but am sure #Chaupal wi…,323,False
842136876999884800,2017-03-15 22:14:12,RT @TrappinFashion: people who do sneaky shit in order to achieve something ALWAYS end up fucked over in the end,46,False
841582282053996545,2017-03-14 09:30:26,RT @JosephA48843599: Best 5 Indoor Antennas 2017 +++ MEGATEST +++ https://t.co/xYu4rSgh2H,1704,False
841577227934396416,2017-03-14 09:10:21,RT @tehseenp: When i tweeted even before Mayawati ji that EVMs in UP helped Modi ji win UP many star journos mocked. Now proof exists  will…,470,False
841216542725550080,2017-03-13 09:17:07,RT @tehseenp: Happy Holi @narendramodi ji. Yday u spoke of #IAmNewIndia pls clarify if MLAs bought in Goa &amp; Manipur to support BJP were a d…,717,False
841110235699908608,2017-03-13 02:14:41,RT @Domini_Monroe: Please check out my #Imagine #danceremix so many of you helped to create 🌎#worldwidemovementofhappiness via @YouTube htt…,8431,False
840208913366671360,2017-03-10 14:33:09,RT @syeddoha: I guess the party is over as #ObamaEconomy peaks. Fed will have to be hawkish - maybe a quick dose of 50 basis? https://t.co/…,9470,False
840176976098910210,2017-03-10 12:26:15,RT @tehseenp: EVMs are not tamper proof. The SC accepts that. Exit polls are tailored to remove suspicion of fraud in UP.  Thats my take .,645,False
839980005337751552,2017-03-09 23:23:34,"RT @willyclicks: Meet the new CEO of @ProtonMail - Marissa Mayer. 

 :P https://t.co/WDJyHhKV4n",2106,False
839972290553081856,2017-03-09 22:52:54,"RT @NicoSantucci: Nice to be back at my favorite spot in Santa Monica @ElCholoLA 
SINCE 1923.
Wow
That's a long time...
https://t.co/hBYBKz…",385,False
839285120486027271,2017-03-08 01:22:20,"RT @RightWingAngel: ""If Obama #Wiretapped President Trump, it would destroy whatever legacy he has"" ~ @Judgenap  https://t.co/n27eoQMvDl ……",2174,False
839085373640802306,2017-03-07 12:08:37,RT @FrFantastikum: Акция! Только в сети наших салонов 18+. Получи скидку 25% (депозит на бар). #ростов #эротическиймассаж Подробнее https:/…,2607,False
838729949624352768,2017-03-06 12:36:17,RT @geraldtucker162: ALL NEW MUSIC RAWGGANG 🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑 https://t.co/7keqdQ3x3V,127,False
838729946046550017,2017-03-06 12:36:16,RT @geraldtucker162: Listen to Red Dot - RAW G SMOKE by Raw Guyz #np on #SoundCloud 🔥🔥🔥🔥 https://t.co/c2yUJQMBgx,128,False
838729921673510915,2017-03-06 12:36:10,RT @geraldtucker162: FOR REAL WE 🐜 PLAYING WORKING HARD 💯💯💯💯,123,False
838729831227469824,2017-03-06 12:35:49,RT @geraldtucker162: Listen to G- Signer by rawg bam #np on #SoundCloud 🔥🔥🔥🔥 https://t.co/VtxnN50JRj,123,False
838729631754772480,2017-03-06 12:35:01,RT @geraldtucker162: Listen to NEW MUSIK 2K17 T TOP - OFF DA HEAD (PROD BY VAN GOGH BEATZ by Raw Guyz #np on #SoundCloud🔥🔥🔥🔥 https://t.co/a…,119,False
838729578868785152,2017-03-06 12:34:49,RT @geraldtucker162: Listen to I Know I know- Daniel Heartless &amp; Raw Guy Bam by DanielHeartless #np on #SoundCloud 🔥🔥🔥🔥 https://t.co/ss0PAN…,114,False
838729362610466816,2017-03-06 12:33:57,"RT @RightWingAngel: Hello, Ciao, Hola, Bonjour, Hallo, Hej, Aloha, Koninichiwa, Good Morning/Afternoon/Evening where ever you are in your d…",499,False
838728638803628032,2017-03-06 12:31:04,RT @PiersHodges70: Mano de Fatima - ¡Todo sobre el amuleto de mano de fatima! https://t.co/UFQNADRH15,227,False
838728593962319875,2017-03-06 12:30:54,RT @PiersHodges70: Τι να προσέχετε όταν αγοράζετε αεροπορικά εισιτήρια online - https://t.co/KtqPeEOZNO,223,False
838728588769824769,2017-03-06 12:30:53,RT @PiersHodges70: replacement liners https://t.co/PwMspjBHvb,283,False
838728578758021120,2017-03-06 12:30:50,RT @PiersHodges70: Liner Pools https://t.co/mdQbSnEoNO,275,False
