id,created_at,text,retweet_count,tweet.retweeted
846411982433533953,2017-03-27 17:21:56,"先輩を殺す和服
#FateGO https://t.co/w1cgh2JfHY",7,False
845850488369168384,2017-03-26 04:10:46,RT @ayamy_garubinu: メガネ x レム https://t.co/PbPb2WWYXt,4769,False
844833812051771392,2017-03-23 08:50:51,桜セイバー https://t.co/KA4blxFvdc,18,False
844832100792487936,2017-03-23 08:44:03,RT @Kuvshinov_Ilya: Sleep Well https://t.co/hJzoDczwa5 https://t.co/0uDU3q8oom,1994,False
833392544167759872,2017-02-19 19:07:20,"RT @gsc_kahotan: 【月曜朝の社畜諸兄にたわわをお届けします】『 #月曜日のたわわ 』より「ねんどろいど アイちゃん」「スケールフィギュア アイちゃん」「スケールフィギュア 後輩ちゃん」商品化決定！   #goodsmile #maxfactory
※スケールフィ…",3207,False
829367960376537092,2017-02-08 16:35:05,https://t.co/27fISUUBJB,3,False
823203734557601792,2017-01-22 16:20:39,@Wise_chanond วาดผมแปผลก แต่ขี้เกียจแก้,0,False
822342465080344580,2017-01-20 07:18:16,「せん...ぱい」 https://t.co/urEczI06xS,1,False
822341679172587520,2017-01-20 07:15:09,@_namori_,0,False
822341611371700224,2017-01-20 07:14:53,"綾乃ちゃんお誕生日おめでとう！

/Ayano best girl &gt;////&lt; https://t.co/p7edfAUBAL",5,False
811104250625478656,2016-12-20 07:01:37,(Early) Happy New Year 2017 https://t.co/6dbtI4q2Tp,4,False
806083719358398464,2016-12-06 10:31:49,ひさこの同人誌読みたい.... https://t.co/1tecyVW4FT,0,False
805686048516755456,2016-12-05 08:11:37,RT @Kuvshinov_Ilya: MOMENTARY展をやってくれている有隣堂横浜駅西口コミック王国さんで、私のサイン本を限定数で発売中です。気になる人はぜひお店に行ってみてください。 https://t.co/DpUdlrgBBc,63,False
804013771899318272,2016-11-30 17:26:35,RT @HitenKei: ポニテ https://t.co/DjqFJmVYzN,5942,False
802924127354900480,2016-11-27 17:16:44,RT @77gl: 善子ちゃん描いた https://t.co/vqbqHc5i98,6287,False
801830747170443264,2016-11-24 16:52:02,君の名は https://t.co/OrbKyRS5Hj,3,False
800750058865995776,2016-11-21 17:17:45,RT @HitenKei: ksyk https://t.co/yBhk99wv5d,1990,False
800387446038855680,2016-11-20 17:16:52,https://t.co/7csMRUofPL,3,False
796911895970123776,2016-11-11 03:06:16,Miyu Aikawa https://t.co/ca56581YXZ,1,False
795301618744840193,2016-11-06 16:27:36,RT @kani_biimu: 安価で描いたグラーフ(Lv.11)どす https://t.co/ABl6uXO2bQ,4497,False
794164317297864704,2016-11-03 13:08:22,RT @neco_person: Arche https://t.co/zQWEtNB6HB,1399,False
788462924331220992,2016-10-18 19:33:04,"RT @kani_biimu: 「お菓子くれなきゃ！」
「いたずらしちゃうし」 https://t.co/Bqu5JGGXoU",5727,False
786236778202017792,2016-10-12 16:07:10,"RT @MikaPikaZo: Pixivの「sensei」にて、メイキングイラストを描かせて頂きました！！
イラストの各工程ごとの３分動画講座や、PSDデータの配布もしております。
この機会にぜひ！どうぞよろしくお願いします！！
https://t.co/5XszR3Jvd9…",3793,False
783561509313974272,2016-10-05 06:56:36,RT @gcnovels: 今月発売の新刊『賢者の弟子を名乗る賢者』6巻のカバーを大公開！！今回も藤ちょこ先生(@fuzichoco)のカラフルでわしかわいいイラストとなっています！『賢者の弟子を名乗る賢者』6巻は10/28発売！！ご予約受付中→https://t.co/kBO…,93,False
783265215898976260,2016-10-04 11:19:14,"RT @asuka111: My new illustration : “Lily Witch” — Sketch&amp;Line: Procreate, Color: PhotoshopCC, CLIP Studio https://t.co/A5VGeIZG7U",26,False
782981748313337858,2016-10-03 16:32:50,"落書き
ゼロから頑張りましょう https://t.co/5iQ7TMYLXe",2,False
782868622800670721,2016-10-03 09:03:19,RT @chan_co: みつはを描きたかっただけ　#君の名は。 https://t.co/j6n8z8F8Bu,2582,False
781563653128491008,2016-09-29 18:37:50,RT @gintarouSP: ４０１ちゃんに白ワンピを着せてみた。天使になった。 https://t.co/p4Ed7XKHen,16394,False
781476766829326337,2016-09-29 12:52:35,@gunt3001 วาดด้วยพลังอวยก็งี้แหละ,0,False
781406443823992832,2016-09-29 08:13:08,ひさこ https://t.co/xFWEQAvW5m,5,False
780612994463956993,2016-09-27 03:40:15,RT @yatsuka_y: 『お疲れサマー！！』　＃グラブル https://t.co/8WyKZIDtup,11662,False
780443190180483072,2016-09-26 16:25:31,Ravana-chan https://t.co/xmmV3aioAa,2,False
780098870734823424,2016-09-25 17:37:18,プリズマ https://t.co/Z0lBwz2W8S,1,False
773933015479169024,2016-09-08 17:16:24,RT @HitenKei: マル https://t.co/5mQaT2fmbZ,1739,False
