id,created_at,text,retweet_count,tweet.retweeted
369649688351215616,2013-08-20 02:38:48,"Oh by the way, sorry for the miss spelling . Anything smaller than the keys on a piano I struggle with . I have big Joe Jackson fingers",192,False
369649155477499905,2013-08-20 02:36:41,I'm going to look into this . Stay tuned,114,False
369641638059991040,2013-08-20 02:06:48,Psychiatric hospitals oftentimes make you feel as though you're psychotic when you're not . Sometimes they make matters worse,186,False
369638105210306563,2013-08-20 01:52:46,There's something more to this there's something going on I don't like it I'm afraid for her,157,False
369637886565429248,2013-08-20 01:51:54,I just hate the fact that you will probably still be there on my brother's birthday. This is not good,154,False
369637478619045890,2013-08-20 01:50:17,She is not psychotic . There is no reason for her to be in a psychiatric hospital this long away from her family,179,False
369632027831570432,2013-08-20 01:28:37,She's been there much too long,130,False
369631574490226688,2013-08-20 01:26:49,I dont like that Paris is still in this facility. It's not right,221,False
369629809996857345,2013-08-20 01:19:48,I dont like it  I dont like it  I dont lime it,134,False
365984764752171008,2013-08-09 23:55:42,They are playing my deposition on video in court and I told AEG that I am ready to testify in person. I just want to be there for my brother,198,False
365983481458724864,2013-08-09 23:50:36,I don't like this because videos can be manipulated,124,False
365983013319880704,2013-08-09 23:48:44,Why are they afraid for me to testify???,165,False
365982268054966272,2013-08-09 23:45:46,I dont understand why AEG would lie to the judge and say I didn't want to testify in person,189,False
365981981835657217,2013-08-09 23:44:38,There is no reason to play my deposition on video. I am ready and willing to testify.,138,False
356498637309747200,2013-07-14 19:41:13,"RT @SybrinaFulton: Lord during my darkest hour I lean on you. You are all that I have. At the end of the day, GOD is still in (cont) http:/…",11628,False
356242144819810304,2013-07-14 02:42:00,"This is not a Southern problem, this is an American problem.",176,False
356242007078862848,2013-07-14 02:41:27,"I understand the desire to be peaceful, but being passive is not a substitute for peace &amp; we will not have peace until we have righteousness",208,False
356241742619623427,2013-07-14 02:40:24,Trayvon Martin verdict. I'm heartbroken.,216,False
349628676134010884,2013-06-25 20:42:26,Thank you again for your endless love and support,161,False
349628463822536707,2013-06-25 20:41:36,I know he would love it. I wish I could be there with you but unfortunately I've been sick with strep throat.,123,False
349625510277545984,2013-06-25 20:29:52,Thinking about my brother on this day. Thank U everyone 4 your love and support and 4 the beautiful displaye of flowers at ForestLawn.,493,False
274613881924616192,2012-11-30 20:40:26,"It's sad to see the estate's latest attempt to auction off our history,",151,False
274611407079755776,2012-11-30 20:30:36,Am I the only one who thinks this auction is a fraud and a scam?,135,False
250329567783448576,2012-09-24 20:23:14,your support and standing by me to the very end.,83,False
250328941225730050,2012-09-24 20:20:45,Thank you Atty Bret Lewis for helping reveal the truth in my case resulting in the appropriate outcome. Thank you friends &amp; loved 1s for,65,False
240960066533068800,2012-08-29 23:52:11,"Happy Birthday big bro, miss you.",530,False
231580751802535936,2012-08-04 02:42:08,"RT @JanetJackson: STATEMENT OF BLAIR G. BROWN ON BEHALF OF JANET JACKSON, RANDY JACKSON &amp; REBBIE JACKSON http://t.co/j4GLUerv",607,False
231474502696046593,2012-08-03 19:39:56,RT @JanetJackson: Thank u for knowing fact from fiction. Thank u for all of ur support. I luv u all.,1029,False
230824591940009985,2012-08-02 00:37:25,Reading all ur tweets &amp; messages... Thank you so much for your continued support.,95,False
229963359510999040,2012-07-30 15:35:12,And THIS IS WHY I AM SO AFRAID FOR MY MOTHER... http://t.co/wEww47pY,188,False
228922543766138881,2012-07-27 18:39:22,"1) When TJ asked my mother if he should ask for temporary guardianship, my Mother told TJ NO – twice.

2) The (cont) http://t.co/MftQQdye",343,False
228253926389055488,2012-07-25 22:22:32,Please everyone pass this around. How can Michael Jackson be on both coasts at the same time? http://t.co/lQ6Yl7kl,1173,False
228247879939158016,2012-07-25 21:58:29,Again.. WHY would it be necessary for TJ to take guardianship of the children away from my mother when they were already in his care?,173,False
228243128518328321,2012-07-25 21:39:37,THIS IS NOT OVER.,202,False
228242710983766017,2012-07-25 21:37:57,Enough already!! We've already lost one family member.,204,False
228242645787484163,2012-07-25 21:37:41,"Trust me - the Executors are behind this. The ""powers that be"" use tabloid media to spin their lies and divide our family.",264,False
228242042847887360,2012-07-25 21:35:18,- what does taking over guardianship have to do with with my mother's well-being when the children were already in his care?,116,False
228241999663357952,2012-07-25 21:35:07,"Furthermore, if she is being held against her will - as he inferred in court -",96,False
228241600860520448,2012-07-25 21:33:32,He insisted upon knowing what time she was arriving today &amp; now I know why.,94,False
228241340163559424,2012-07-25 21:32:30,His performance in court today breaks my heart. He knows his Aunts and Uncles would never hold their mother against her will. That's ABSURD.,150,False
228240925258829825,2012-07-25 21:30:51,I heard the conversation.,100,False
228240809756086272,2012-07-25 21:30:24,"He asked for temporary guardianship &amp; she said -""NO its not necessary, I'll be home tomorrow.""  He asked again, and she said ""NO TJ""",161,False
228240684556091393,2012-07-25 21:29:54,My mom told TJ that she was coming home tomorrow (which is today).,121,False
228240140538093569,2012-07-25 21:27:44,"I was on the phone at 9pm in Los Angeles, with my sister Rebbie, when my mother FIRED Trent and Security",169,False
228239729517273088,2012-07-25 21:26:06,"Let me be very clear about the FACTS, the absolute TRUTH...",104,False
228239622394765312,2012-07-25 21:25:41,I only tweet when its serious,117,False
227929356255756288,2012-07-25 00:52:47,Watching PoliticsNation video: Private Jackson family dispute turns into public drama -   http://t.co/zAxt3QcY via @nbcnews,155,False
