id,created_at,text,retweet_count,tweet.retweeted
850370861467148289,2017-04-07 15:33:07,steveaoki was absolute 🔥🔥🔥🔥 last night • Thank you mgmresortsintl @hakkasanlv @ Hakkasan Las… https://t.co/iyUObqlfGO,5,False
849377700003360768,2017-04-04 21:46:39,🌈🌈🌈 • 📷 cred to @daniellekang cuz she would kill me if I didn't give her photo cred @ Downtown… https://t.co/jny2v6n0Fq,9,False
849265952860520448,2017-04-04 14:22:36,RT @ElsForAutism: Join @themichellewie and walk #4Miles4Autism this month to raise money for Autism! Thanks for the support! https://t.co/Y…,35,False
848866697020833792,2017-04-03 11:56:06,"Shut em up with one shot #ComePlayWithUs #NikeGolfClub 

••••••
@nikegolf @JDayGolf @mcilroyrory… https://t.co/ZZeyPFF3IX",28,False
848850813007126529,2017-04-03 10:52:59,"😂😂😂#ComePlayWithUs #NikeFamBam #Repost @JDayGolf @nikegolf 
・・・
Poise always beats noise...even… https://t.co/jtYKa6uAJo",20,False
848722889515950080,2017-04-03 02:24:40,Thank you Palm Springs for yet another amazing week! ❤❤❤ @ ANA Inspiration https://t.co/OAW2YnGAzF,15,False
848717674821541888,2017-04-03 02:03:56,DAB?! @eightmajors ...you would 💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩… https://t.co/X1CSDTaSx4,13,False
846553733362323456,2017-03-28 02:45:12,Really can't believe that it's already been 14 years since the first time I teed it up at Dinah… https://t.co/AzeqmDUCOI,13,False
846550923627417600,2017-03-28 02:34:03,Can't believe it's been already 14 years since the first time I teed it up at Dinah Shore 🙈 This… https://t.co/8tHHxaqQ2A,16,False
846014947842834433,2017-03-26 15:04:16,Thank you to my Nike Family for sending me the new Air Max Vapors to celebrate Air Max Day in… https://t.co/kNIEnyb51y,15,False
845820225694154753,2017-03-26 02:10:31,Always nice to end a round like this 🙌🏻🙃 @ Kia Classic at Aviara https://t.co/Gzq7BXeOr3,28,False
844283628053917696,2017-03-21 20:24:37,"On April 2, @NikeGolf is hosting the first-ever Nike Golf Club Open and helping you get your… https://t.co/eQruFEBUE0",17,False
844263720914079744,2017-03-21 19:05:31,"Check out my interview on Callaway Live tonight at 6pm!
https://t.co/bNgQjn8vj5",11,False
843594509304893441,2017-03-19 22:46:18,Love that we have a week dedicated to honoring our Founders of the @brittany1golf ! Because of… https://t.co/wsYAQKGneP,12,False
842919823243927553,2017-03-18 02:05:21,Schemin' 🤸🏻‍♀️ @ LPGA Founders Cup https://t.co/WomfGuu6Ab,3,False
842508942379024385,2017-03-16 22:52:39,Bringin back the 90's 🤙🏼 @ LPGA Founders Cup https://t.co/OUW5x4owVb,9,False
840304047211053057,2017-03-10 20:51:11,j u s t • s m i l e  #HappyAlohaFriday #flashbacktoIslandLivin https://t.co/xBAKkDNmmi,3,False
838773314919219201,2017-03-06 15:28:36,That feeling you get when you land into the 🇺🇸🇺🇸🇺🇸and you're only 1 flight away from sleeping in… https://t.co/6KwAUVQg7V,6,False
838420869911314435,2017-03-05 16:08:07,Squeezing in a little tourist action at the 'Cloud Forest' with the lil sis before heading to… https://t.co/lAsWwFCk40,9,False
838375749425987585,2017-03-05 13:08:49,Team @nikegolf @callawaygolf @toulondesign @odysseygolf omega zepplabs @ Singapore https://t.co/6rUQ8qJiCY,5,False
838304910248660993,2017-03-05 08:27:20,Played my heart out this week and I'm truly proud of myself. It was so much fun being back in… https://t.co/Akg47oWq5F,46,False
837068445342711809,2017-03-01 22:34:04,First day starts today 🙌🏻 teeing off at 8:42 am (Singapore Time) • #ownthestage hsbc_sport… https://t.co/PNRzTdvHTG,13,False
836574107433058304,2017-02-28 13:49:44,Yesterday we took some fun 'glam' photos to help promote hsbc_sport after our round and it was a… https://t.co/Qtr1m7Z50q,7,False
835620658356838401,2017-02-25 22:41:04,HAPPY BIRTHDAY to my pod sis @alisonn_lee &amp; HAPPY EARLY BIRTHDAY @thejessicakorda !!!! Kick some… https://t.co/1WK2XXlwhG,3,False
835553820130349056,2017-02-25 18:15:29,Super excited to be back in Singapore! So many great memories from the past years and I can't… https://t.co/6sNt83sPX9,7,False
834485055514886146,2017-02-22 19:28:35,• too much sauce • https://t.co/AFoEWX5zsx,7,False
833850579898290176,2017-02-21 01:27:25,Finally made it back to the 🇺🇸🇺🇸🇺🇸 Thanks for the amazing week Australia!! Can't wait to go back 😘 https://t.co/lqdISmj01I,8,False
833306243053842432,2017-02-19 13:24:25,"""Touch the wall and throw it back""- @mostacksbirdies 😂 #squad #whattheyoungkidsdothesedays @… https://t.co/ZwWPAEJnf8",3,False
832443713376903169,2017-02-17 04:17:01,⛳️🇦🇺🇦🇺⛳️ @ Royal Adelaide Golf Club https://t.co/NU0x2j9Oo1,10,False
830855619481567234,2017-02-12 19:06:30,"If we can be equals in sport, we can be equals everywhere. #EQUALITY https://t.co/HE1kAHy1KX",30,False
830106895486705666,2017-02-10 17:31:21,We comin for ya Australia 🇦🇺 https://t.co/iG1RjqSmRV,7,False
828439595800985601,2017-02-06 03:06:05,Wowwwwwwwwwwwwwwww,19,False
828238874975543296,2017-02-05 13:48:30,#JustDoIt 🙋🏻 niketraining @nikewomen https://t.co/XvaolUCuTT,8,False
827677354063491073,2017-02-04 00:37:13,Flashback to when my best friend and I got to check off one of the things on our bucket… https://t.co/g6mqUVXosi,3,False
827376008588357632,2017-02-03 04:39:47,Bears Club Crew ❤❤ Y'all got to check out the #BigEasyMiami Restaurant in Brickell!! It's… https://t.co/M2fI2Dhme7,5,False
827346341068210178,2017-02-03 02:41:53,When you get your idol to do the Dab with you #BigEasy #BigWiesy #BigEasyMiamj @thebig_easy… https://t.co/YND1PumZmd,27,False
827128472577392641,2017-02-02 12:16:09,Happpy birthday to this ray of sunshine!!!!! Don't know what I would do without ya!!!! 😘😘😘😘 @JayeMGreen https://t.co/vXBkegYCCh,1,False
826895241126883328,2017-02-01 20:49:23,RT @PGAjrleaguegolf: Registration is now open!! Sign-up at https://t.co/J5BYgYDKhR https://t.co/y9NhLhofim,46,False
825342122672914432,2017-01-28 13:57:50,Sometimes you just gotta laugh it off...Positives from the week: I only missed 2 fairways and… https://t.co/GwEp6ocmBU,9,False
823969662564241413,2017-01-24 19:04:10,First practice round of the year with the buddy! #Bahamas💙 @Marina_Deee @ Ocean Club Golf Course… https://t.co/iGurjuFjTP,7,False
822575765917147138,2017-01-20 22:45:19,#fitnessfriday https://t.co/prAf5MqaFn,5,False
821519318244528129,2017-01-18 00:47:23,Can't believe my baby boo is already 7!!! She came to me when I really needed some ❤️ and now I… https://t.co/ZGL8IgzMnG,6,False
820102813497827332,2017-01-14 02:58:42,This @hypericeusa #Venom may be a game changer guys...the heat + vibration on my back feels so… https://t.co/B2GFpSuah2,4,False
819233155978854401,2017-01-11 17:22:59,So honored to have met my fellow Punahou Alum  twice in the White House during his Presidency.… https://t.co/emPGEb5Ye6,8,False
818254576256159744,2017-01-09 00:34:28,@JustinThomas34 BUDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY!!!!!!!!!!!!!!!!!!!!!!!!!!,1,False
817030636020125699,2017-01-05 15:30:57,#Throwback to that one time we tried to make a music video in my bedroom 😂😂 Missin youuuu… https://t.co/9qCCjqkqIG,6,False
815327384475930624,2016-12-31 22:42:51,"Wonder who the new member is! #Repost @nikegolf with @repostapp
・・・
Welcome to the… https://t.co/z3rhKliuQP",3,False
815250335262535685,2016-12-31 17:36:41,Alohaaaa 2016 👋🏻👋🏻 @ The Bears Club https://t.co/W3quhmZQpE,7,False
814230695753240582,2016-12-28 22:05:00,First day back in school after my 2 week Christmas break 😬🎄🏌️‍♀️⛳️ @ The Bears Club https://t.co/Dwno4OPI73,11,False
813796710044549120,2016-12-27 17:20:29,"Even tho my lil sis is super annoying literally 99% of the time, there is no one else I would… https://t.co/97GUi72EHD",2,False
813505518799060993,2016-12-26 22:03:24,❄️👯❄️ @ Mt. Charleston https://t.co/hDWF3oFRbL,1,False
813119445736493056,2016-12-25 20:29:17,Christmas snuggles ❤️🎄❤️ @daniellekang @colepensantiwho https://t.co/PACxkVFEW0,4,False
813062730148151300,2016-12-25 16:43:55,Merry Christmas ya filthy animals! - Mac Wiezy Santa 🎄🎄🎄 https://t.co/hZPpYCVl2r,1,False
812790425941590016,2016-12-24 22:41:53,Chasin the snow at Red Rock Canyon with my Cyclops Pirate @daniellekang @ Red Rocks Canyon. Las… https://t.co/CdjssdWGZD,3,False
812671945594589184,2016-12-24 14:51:05,"Killin the ugly sweater game 🎄@daniellekang @hillarymcp #uglysweaterparty l @ Las Vegas, Nevada https://t.co/1MbSIM3PeR",3,False
811976916001497092,2016-12-22 16:49:17,#throwback to when @usatoday showcased some of my artwork 🤓 #i❤️skulls #happyemo https://t.co/1iSsFOg4U2,5,False
810895735046684673,2016-12-19 17:13:03,Caption contest anyone? #weliketomolestsnowmen @daniellekang https://t.co/KW6S0Y2bSf,3,False
809963218529583105,2016-12-17 03:27:34,Major 🤓🤓 mode #HarryPotter #hogwartsisrealforme @ Hogwarts School of Witchcraft and Wizardry https://t.co/KhuTec0zfH,5,False
809078033302880257,2016-12-14 16:50:09,So great to catch up with you last night...been too long 😍😍 omega @cindycrawford #omegawatches… https://t.co/uGw3b4Lux2,3,False
808724771231780864,2016-12-13 17:26:25,😔 #RIPKonrad https://t.co/CAWOEnKdcZ,6,False
808404700802543616,2016-12-12 20:14:34,🌴 island grind sesh  🌴 @ Ko Olina Golf Club https://t.co/P2kcvnWt62,4,False
808059103637569536,2016-12-11 21:21:17,Casual stroll thru the jungle #JurassicPark #wheredemdinosaurs @ Oahu https://t.co/WyR0t31wmW,4,False
