id,created_at,text,retweet_count,tweet.retweeted
850147349833928704,2017-04-07 00:44:57,https://t.co/X7NdETcYha @jimmykimmel - Bring your pager and your parachute pants - and your CD collection. We'll br… https://t.co/V6LtnkZaT9,21,False
849790248703938561,2017-04-06 01:05:58,Perfect. June 3rd it is. https://t.co/ggB4Y6R9L0,4,False
849608645339951105,2017-04-05 13:04:20,Patrick since we love Oath: I got you. How about I treat Nantucket to free 🍕 tomorrow - $5K of free pizza. 44 Strai… https://t.co/ORRo0aE6CZ,13,False
848994977715826690,2017-04-03 20:25:50,"Billion+ Consumers, 20+ Brands, Unstoppable Team. #TakeTheOath. Summer 2017. https://t.co/tM3Ac1Wi36",448,False
847404708318765057,2017-03-30 11:06:41,Great to see @AOLFR leading the connection between high quality publishers and high quality ads...@erikmariebion https://t.co/YH1JMPThU4,1,False
846701263303663617,2017-03-28 12:31:26,Dropped by to say hi to @BUILDseriesNYC @AOL_Inc this morning....looks like @JennaElfman is coming in today... https://t.co/wyUAE2hpeQ,1,False
846357188767551488,2017-03-27 13:44:13,"Our Monday Culture Class @AOL_Inc hearing from @brynmooser @RYOTnews about the new studio space &amp; the cultural ""Rid… https://t.co/ztqoTt2dQs",4,False
846341331941240832,2017-03-27 12:41:12,Rainy Monday NYC...but not @AOL_Inc thx @brynmooser @RYOTnews worked over the weekend on our new studio space...rai… https://t.co/MVz5tdN2Sk,5,False
845674962828562432,2017-03-25 16:33:17,Always ready for @RYOTnews @brynmooser action @AOL_Inc HQ in NYC... https://t.co/SAxZJhn1VN,3,False
844227318168125441,2017-03-21 16:40:52,And the @BUILDseriesNYC @AOL_Inc kangaroo... https://t.co/S4Iq3cU1V9,3,False
844227109753176064,2017-03-21 16:40:02,"With Spring in the air in NYC, very cute baby bear came to @BUILDseriesNYC @AOL_Inc today...and a kangaroo… https://t.co/Ppu09tSWsG",8,False
842471587777519618,2017-03-16 20:24:13,"RT @AOL_Inc: This summer, be a part of the smartest girl squad around. Sign up today with @GirlsWhoCode. https://t.co/YUzZ3DcMQi https://t.…",3,False
842471168791699456,2017-03-16 20:22:33,RT @alliekline: Preach the gospel @smlyne - so important! SXSW 2017: Female Investors' Fundraising Tips for Women https://t.co/prc8Dv1H1N,4,False
