id,created_at,text,retweet_count,tweet.retweeted
850028573285126144,2017-04-06 16:52:59,@JJWatt I could hear you breathing as u we're closing in.  Gotta work on those quiet feet as well. ;) Your the best in the game brother,1456,False
850027428521140224,2017-04-06 16:48:26,@TCrawford98 Don't worry. I'm still gonna be around to yell at you for something.  ;),336,False
849335457255219200,2017-04-04 18:58:47,I guess it's time to start dressing up.  #CBS https://t.co/GseSRiyNOo,32118,False
839944294135889920,2017-03-09 21:01:39,Thanks for all the support everyone. https://t.co/RlRS3KAqwb,31500,False
751534661570924544,2016-07-08 21:53:20,My heart can't shake the sadness that the Sterling and Castile families are enduring as well right now.  Horrible 72 hrs for America,2016,False
751433252334768128,2016-07-08 15:10:22,Our community is stunned this morning.  My thoughts and prayers go out to the fallen police officers and their loved ones.,3957,False
743260621269962753,2016-06-16 01:55:15,I had so much fun helping @Target shoppers pick out Father's Day gifts in Dallas tonight! #TargetPartner https://t.co/EELEEmeeza,871,False
726174926558912512,2016-04-29 22:22:48,"Welcome to Dallas Ezekiel. Nothing better than your draft day! Or in my case, nothing better than teams fighting for you after it's over :)",7048,False
715685193021980672,2016-03-31 23:40:21,3 Days. 2 Stages. 1 FREE Music Festival. @FinalFour March Madness Music Festival - Apr 1-3. https://t.co/BpffXlyVTv,106,False
715534502055923712,2016-03-31 13:41:33,My surgery has healed up nicely.  Looking forward to OTA's and a full offseason.  Let's go!,9027,False
666649048212860928,2015-11-17 16:08:13,;) https://t.co/KPy56DQMTz,35404,False
646047412268634112,2015-09-21 19:44:40,Thank you for all your prayers and support.  No surgery needed.  We're just getting started cowboys nation.  See you soon,22317,False
636348029318987776,2015-08-26 01:22:47,Sending prayers out to Orlando Scandrick...Fear he has a torn acl.  Your the best bud.,4399,False
635560784722944000,2015-08-23 21:14:33,"My bad.  Feeling.  Aggressive, I like it. :)",1364,False
635558418619633664,2015-08-23 21:05:09,Cowboys vs Niners.... I have a funny felling you might see me out there tonight.  Let's go cowboy nation,4343,False
634812437162688512,2015-08-21 19:40:53,http://t.co/R3010HN4ap check this out. Our d lineman Jeremy Mincey made this.  Pretty cool.  Good job Mincey,639,False
627570713344368640,2015-08-01 20:04:52,You just wish u could play this game forever.  Greatest game there is.  #firstdayofpads http://t.co/GCQ6nOXvKi,3386,False
624733272589766656,2015-07-25 00:09:53,I wanna thank @DIRECTV for allowing me to show off my true self.  ;)  embarrassing is an understatement http://t.co/F0NniFESlL,5321,False
623218169285468160,2015-07-20 19:49:25,I wonder if @JordanSpieth understands the emotional roller coaster he's given us this year. It was amazing. Thank you for making it fun bro,965,False
621453538099490816,2015-07-15 22:57:24,Couldn't be happier for my guy @DezBryant .  Nobody deserves it more... just make sure you don't forget your wallet at the next dinner 88.,12163,False
618908483010756608,2015-07-08 22:24:15,DeAndre Jordan.....you are not allowed to take your talents to LA.  See you Monday 🏈🏀🏈🏀🏈🏀🏁🏁🏁🏆🏆 http://t.co/7N2YcfWvOT,10629,False
617380020344852480,2015-07-04 17:10:41,Enjoy your family and friends today. To the lives that have been lost fighting for American lives.....thank you.  Truly humbled,2488,False
609058285992353794,2015-06-11 18:03:05,"RT @dallascowboys: ""The responsibility is yours to make your life GREAT."" - @tonyromo to local student-athletes. #CowboysU http://t.co/m04W…",876,False
607034185132478464,2015-06-06 04:00:02,NFL has canceled our fantasy football convention this year in Vegas and that is disappointing.  I'm sad for the fans and players.,1484,False
605550958781726722,2015-06-02 01:46:13,I guess I'm the third most athletic in the family.  I'm cool with it. :) http://t.co/PKocqGVL5G,688,False
601046283273404416,2015-05-20 15:26:15,Where have u gone Joe DiMaggio. http://t.co/9d5aElp13d,2248,False
599325409155637248,2015-05-15 21:28:07,Looking back on it...it was a catch :) http://t.co/jq29XpkGAn,47175,False
599046449578446848,2015-05-15 02:59:37,9,16200,False
