id,created_at,text,retweet_count,tweet.retweeted
848952923660931074,2017-04-03 17:38:44,RT @royalsociety: Keen to sharpen your writing &amp; media skills? Join us for a 2-day residential course 7/8 June https://t.co/G7wALeldBx http…,4,False
848821600967421953,2017-04-03 08:56:54,@ukcorr UKCoRR web site down?,0,False
846675324675018752,2017-03-28 10:48:22,"RT @britac_news: Call for evidence concerning why we need arts, humanities and social science graduates. Deadline extended: 17 April. https…",30,False
846675237357936640,2017-03-28 10:48:01,RT @LSEImpactBlog: Poor citation practices are continuing to harm the humanities and social sciences. https://t.co/Lqh70aCSM3,48,False
846674734565744642,2017-03-28 10:46:01,@warwicklibrary We can help: https://t.co/P4qSeWCboc,1,False
845321713625763840,2017-03-24 17:09:36,"RT @warwicklibrary: Got that Friday feeling? Why not relax with a glass of wine &amp; read Warwick research on the Chilean wine industry?

http…",1,False
843522238368292864,2017-03-19 17:59:08,RT @thinkchecksub: How can you be sure the journal you are considering is the right journal for your research? Try #thinkchecksubmit. https…,7,False
843519661496967168,2017-03-19 17:48:53,RT @Dr_James_H: Fantastic day with year 11 and 12 students talking Islam in Germany and the UK - cultural differences and similarities. @wa…,3,False
843518139803475969,2017-03-19 17:42:50,RT @royalsociety: Focus REF on the institution not the individual. Our response to the second #REF https://t.co/eU6pLewH5W https://t.co/qVz…,21,False
837670128238080000,2017-03-03 14:24:56,@SHERPAServices ROMEO down?,0,False
836256228363886594,2017-02-27 16:46:36,@nature Quantum Materials journal website is down?,0,False
827098159650316288,2017-02-02 10:15:42,RT @RoyalHistSoc: Early career historians: our new open-access book series with @ihr_history is accepting proposals https://t.co/It8de60QSh…,137,False
823836120349896706,2017-01-24 10:13:31,SERVICE NOTICE: System outage from 17:30 on 31 Jan to 01 Feb 2017 due to server move. Please use: https://t.co/nktlruPJiz.,0,False
823515186271318018,2017-01-23 12:58:15,SERVICE NOTICE: 23rd Jan 2017. System slowness is being investigated Use: https://t.co/nktlruPJiz to submit. Help via publications@warwick .,0,False
804029152726814720,2016-11-30 18:27:42,SERVICE NOTICE: System outage 13 &amp; 14 Dec 2016 due to ITS Data Centre work - https://t.co/6pKC87Hq4E. Please use: https://t.co/nktlruPJiz,0,False
793385135982927873,2016-11-01 09:32:11,RT @librarian_boy: The serious stuff behind the fun stuff - read why @warwicklibrary is focusing so much on wellbeing at https://t.co/cHUrS…,5,False
791247661559123968,2016-10-26 11:58:37,RT @warwicklibrary: Scholarly Versions and Open Access - essential viewing for HEFCE OA and author article versions #BiteWISe #OAWeek  http…,1,False
791217868956368896,2016-10-26 10:00:14,"RT @BeckettResearch: Wellcome Open Research
A new way for @wellcometrust -funded researchers to rapidly publish https://t.co/DpoD7ON2Yp #OA…",3,False
791217649397145600,2016-10-26 09:59:22,RT @CamOpenAccess: Why @wellcometrust is in favour of preprints @hjhope  #pptsCamOA #OAWeek2016 https://t.co/jFaenAbTrA,4,False
791203175713873920,2016-10-26 09:01:51,"Beyond data sharing - ""It was me who got my research team out of jail... that's my data""’ on #SoundCloud #np… https://t.co/dbcit874Yd",0,False
791177040485576704,2016-10-26 07:18:00,Open Access: grassroots movement or top-down imposition? Panel discussion .. Wed 26th October 2016 13:00 via… https://t.co/hl9GBXg03j,0,False
790924089632382976,2016-10-25 14:32:52,RT @gcabanac: The 5 shades of Open Access by @disseminOA at https://t.co/cUKOIzawii — Try their #OA DOI resolver at https://t.co/uIune7LQt0…,15,False
790523885720596480,2016-10-24 12:02:36,Open Access Explained! https://t.co/MZyUjkUmCo #OAweek,0,False
790503162453032960,2016-10-24 10:40:15,"RT @RSocPublishing: From tomorrow, all our content is free to to access until 6th November. Everything! #OAWeek",8,False
790496870284070917,2016-10-24 10:15:15,RT @bclibraries: Did you know #OAWeek starts Monday? Here are some of the benefits of #OpenAccess #OA #OpenOctober https://t.co/sl97HBFj9G,2,False
773138750809473024,2016-09-06 12:40:17,RT @wellcometrust: We’ve introduced new #openaccess publisher requirements – Wellcome’s @RobertKiley explains why https://t.co/Bv7Vc0QfvS,120,False
770925290973429764,2016-08-31 10:04:47,@CrossrefSupport DOI metadata API slow and 'Timeout was reached' messages,0,False
760415905776037888,2016-08-02 10:04:14,PS/WRAP Maintenance 10:00 - 12:30 on Tue 02 August 2016. Deposit via: https://t.co/nktlruPJiz,0,False
758681073924599808,2016-07-28 15:10:38,"RT @carlystrasser: Would love comments/discussion on this thing I wrote: ""#Preprints: The Bigger Picture"" https://t.co/MZM1iaPLSD #asapbio",31,False
758628281902047232,2016-07-28 11:40:51,RT @warwicknewsroom: Dr Tom Barber @warwickmed @nhsuhcw discusses his work in the human metabolism research unit for @ITVTonight https://t.…,6,False
758628042377949184,2016-07-28 11:39:54,RT @helencurtis: Feminist Dissent https://t.co/7sCO2HEekN - fantastic new OA journal from our journals hosting service https://t.co/Nwi93wC…,4,False
757638642840076289,2016-07-25 18:08:23,PS/WRAP Maintenance. Search/view only 16:30 - 17:30 on Thursday 28 July 2016. Deposit via: https://t.co/nktlruPJiz. https://t.co/irQ9UsleKw,0,False
755568364873850881,2016-07-20 01:01:50,PS/WRAP Maintenance. Wed 20 July 17:00 -17:30 &amp; Thu 21 July 08:30 - 09:30 2016. Deposit via: https://t.co/nktlruy7TZ https://t.co/z3VgRop1mm,0,False
747367071659462656,2016-06-27 09:52:49,"RT @WarwickPgHub: Find out more about impact (with a nice glass of wine). 5-7pm, REx, Tuesday - https://t.co/0fAWgzxXWu https://t.co/SaEUns…",2,False
741587099741245440,2016-06-11 11:05:17,New @wrap_papers: Taxonomy of the order Mononegavirales : update 2016: Jens H. Kuhn: https://t.co/b1cb8rpvf9: #WRAPnew,0,False
741581643144646657,2016-06-11 10:43:36,"New @wrap_papers: Disaster, Governance and (Post-) Colonial literatures: Pablo Mukherjee: https://t.co/h5rvcnlQTk: #WRAPnew",0,False
741520719721402368,2016-06-11 06:41:31,"New @wrap_papers: Allocyclinones, hyperchlorinated angucyclinones from Actinoallomurus: Stefano Donadio: https://t.co/ToByXLfxMQ: #WRAPnew",0,False
741405363690471424,2016-06-10 23:03:08,"New @wrap_papers: Italy during the High Empire, from the Flavians to Diocletian: Alison Cooley: https://t.co/W34chIUjg0: #WRAPnew",0,False
741403442472718336,2016-06-10 22:55:29,"New @wrap_papers: https://t.co/pJcglq0bVo: Coming to terms with dynastic power, 30 BC-AD 69: Alison Cooley: #WRAPnew",0,False
741308646970249218,2016-06-10 16:38:48,RT @warwicklibrary: Journal acceptance email received? Send author accepted version to WRAP: https://t.co/Q86PeZAGWE #actonacceptance https…,1,False
740941230717194240,2016-06-09 16:18:50,RT @warwickrssp: Some of our happy #PGRshowcase16 presenters 👀 They did well! Will the judges agree... https://t.co/Lq3ZP4d0xI,3,False
740940741770371072,2016-06-09 16:16:53,"RT @warwickprint: For students submitting their thesis for printing, please note we have new delivery times. https://t.co/EkAptk0ACD",2,False
738063718123212800,2016-06-01 17:44:37,From Thomson Reuters: Announcing the Web of Science Video Challenge https://t.co/kAPH6om3yO,0,False
737946782068559872,2016-06-01 09:59:57,WRAP &amp; PS planned maintenance Wed 01 June 2016 from 17:30 until 23:00. Please use: https://t.co/nktlruPJiz or email publications@warwick,0,False
720297830510800896,2016-04-13 17:09:19,"RT @GenomicsEngland: Health and genome data, security and privacy in the 100,000 Genomes Project – animation. https://t.co/JSnHHVrwFa  #gen…",11,False
720297508556156928,2016-04-13 17:08:03,"RT @ahrcpress: 19-20/04 @UniofExeter An @ahrcpress funded workshop on ethnicity, race &amp; religion. Exploring identities and probing ideologi…",13,False
720297228263235584,2016-04-13 17:06:56,"RT @cage_warwick: The CAGE magazine is out! Articles on human rights, spying, germs, happiness, doom and gloom https://t.co/rUq5Yv9Vs7 http…",5,False
720234986767577088,2016-04-13 12:59:36,HEFCE's REF Open Access policy is in effect. Non-compliant outputs are not eligible for REF - https://t.co/ejZvsivSIL #inWRAPinREF,0,False
719893233363521538,2016-04-12 14:21:36,"RT @warwickinsite: Researcher, or research admin? Here's what you need to know about open access and the next REF https://t.co/ympYh4MVtJ f…",3,False
719885761974312960,2016-04-12 13:51:55,RT @The_ACU: Want to attend the CODATA-RDA School of Research Data Science course at @ictpnews? Apply for a travel #grant today https://t.c…,2,False
719885235937288192,2016-04-12 13:49:49,RT @ictpnews: Want to help make arXiv better? Share all your arXiv opinions in this 10-minute survey: https://t.co/0MrdKMi4s8 https://t.co/…,5,False
717700598192349184,2016-04-06 13:08:51,Conference proceeding accepted in a journal? We need to know for REF OA! Send author accepted version to: https://t.co/nktlruPJiz,0,False
717314216571641856,2016-04-05 11:33:30,"RT @warwickrssp: Call for abstracts: Warwick 19th Int'l PG Conference in Applied Linguistics #wpgcal2016
https://t.co/ovecwlLlIY https://t.…",7,False
717313943971229696,2016-04-05 11:32:25,"RT @OA_Button: The first articles from @glossa_oa, new #OA linguistics journal published by @ubiquitypress, have been published! https://t.…",5,False
716993940415709184,2016-04-04 14:20:51,Journal acceptance email received today? Send author accepted version to WRAP for REF OA: https://t.co/nktlruPJiz #ActOnAcceptance,0,False
715868810998325248,2016-04-01 11:49:59,RT @warwick_amr: Come along to our INTEGRATE AMR Seminar on Biofilms - 4 great talks on 12th April 2016 https://t.co/cbySKNQPtZ #AMR https:…,5,False
715837774377648131,2016-04-01 09:46:39,Accepted journal article? We need to know for REF! Send your author accepted version to: https://t.co/nktlruPJiz  #inWRAPinREF,0,False
715800496854970368,2016-04-01 07:18:32,REF Open Access policy is in effect. Non-compliant outputs are not eligible for REF - https://t.co/ejZvsivSIL https://t.co/kxJL9Gk6gp,0,False
712228421783437312,2016-03-22 10:44:22,WRAP Newsletter - REF OA policy special issue - all you need to know for 01 April 2016 - https://t.co/BQKS2M95e3,0,False
710788007406735360,2016-03-18 11:20:41,Simple Deposit will be unavailable 04 April 2016 from 09:15 to 12 noon while the website is migrated to ID7. Please use Email Deposit.,0,False
710468185833807872,2016-03-17 14:09:50,"RT @warwickrssp: RSSP schedule for Summer term now available online! Get signed up for our fab range of workshops:
https://t.co/rlPSJI9hEK",1,False
710467711575441413,2016-03-17 14:07:56,"RT @Nadine_Muller: ""Writing for Survival: Publishing &amp; Precarity in the Lives of ECRs"". My talk for #UPRedux. https://t.co/xea6RMu0MX https…",15,False
707598038857080833,2016-03-09 16:04:53,.@ConnellyRoxanne You're very welcome thanks for the accepted versions!,0,False
707545585394589696,2016-03-09 12:36:27,Sending out a sackful of thanks and reminders to our Warwick authors #REFready - https://t.co/ejZvsivSIL ^HH https://t.co/SEroYoIFpn,0,False
707279110448529409,2016-03-08 18:57:35,RT @varsha_khodiyar: Speaking on #ClinicalData publishing @ScientificData at #RDAPlenary Health Data IG. Also see our preprint at https://t…,5,False
707272863343099904,2016-03-08 18:32:45,"RT @warwicklibrary: Our brand new #BiteWISe video, Research Data Management, is now available via Youtube https://t.co/2DfxaTP0Ct",1,False
707246179701166080,2016-03-08 16:46:43,Wow the rush of the wind in his yellow hair - go bug! https://t.co/2IA5RNsdVU,0,False
704716900547358721,2016-03-01 17:16:16,Sign-up to our newsletter. Out soon. https://t.co/KsMroFQgPy https://t.co/bX3g7eWgOx,2,False
703204659108794368,2016-02-26 13:07:10,"RT @alastairdunning: The reliance on PDF, with its locked tables and numbers and figures, is just as much a block to open science as paywal…",15,False
702073364752502785,2016-02-23 10:11:48,"@marshgroup @WarwickLifeSci @a_jaramillo_r Signed in as Warwick staff? If so, the Library subscription will allow download. AAM in WRAP.",0,False
694810346926776320,2016-02-03 09:11:10,RT @warwicklibrary: We are proud to announce we have joined the Open Library of Humanities’ LSP supporting Open Access in humanities. https…,9,False
694529862405595136,2016-02-02 14:36:37,RT @openlibhums: University of Warwick joins OLH LPS model https://t.co/mSbfIXSnQV,4,False
686521434378780672,2016-01-11 12:13:59,"Vacancy: Research Data Officer at the University of Warwick, closing date 20 Jan 2016 https://t.co/2A6bdzrg8R",0,False
672446066801975296,2015-12-03 16:03:30,"RT @research_uk: RCUK blog: We’re now a member of ORCID: By Sarah Townsend, Senior Research Funding Analyst, Research Councils ... https://…",41,False
672102725551697921,2015-12-02 17:19:11,"Rank 3 permutation groups with a regular normal subgroup: Hill, Raymond  (1971) Rank 3 permutation group... https://t.co/4eiyRhTo3P #wrap",0,False
672102724725432320,2015-12-02 17:19:11,"On the cohomology of finite groups over modular fields: Johnson, D. L..  (1968) On the cohomology of fin... https://t.co/DLM9WLTtK9 #wrap",0,False
671751223129694208,2015-12-01 18:02:26,The perceptions and experiences of adolescent siblings who have a brother with autism spectrum disorder:... https://t.co/y20qj8wJEv #wrap,0,False
671751222320238592,2015-12-01 18:02:26,"Using the toolbox series for literacy with adult struggling readers: Hulson-Jones, Amy, Hughes, J. Carl ... https://t.co/y86SZdA7ao #wrap",0,False
671721207771693056,2015-12-01 16:03:10,A conceptual framework for understanding why challenging behaviours occur in people with developmental d... https://t.co/5ju1EWfuAS #wrap,0,False
671721206978973697,2015-12-01 16:03:10,Receiving an assessment and a potential diagnosis on the autism spectrum : a thematic content analysis o... https://t.co/BO8RBw9eP7 #wrap,0,False
671691924642770944,2015-12-01 14:06:48,"Implementing positive behavioural support : changing social and organisational contexts: Allen, David, M... https://t.co/Xa79bWKxa8 #wrap",0,False
671691923757776896,2015-12-01 14:06:48,Mining Consumer Reviews To Generate Ratings Of Different Product Attributes While Producing Feature- Bas... https://t.co/hf9plovbvV #wrap,0,False
671429942710677504,2015-11-30 20:45:47,"Analytical approaches for probing surface properties and reactivity: Al Botros, Rehab  (2015) Analytical... https://t.co/LaTmZyJ5Ry #wrap",0,False
671429941611769857,2015-11-30 20:45:47,"A single-ion magnet based on a heterometallic CoIII2DyIII complex: Goura, Joydeb, Brambleby, Jamie, Godd... https://t.co/R6BwTfHXpn #wrap",0,False
671345118100623360,2015-11-30 15:08:43,"Studies on the replication and functions of Newcastle disease virus ribonucleic acids: Meager, Anthony  ... https://t.co/VkYgzbeKY3 #wrap",0,False
671345117295325185,2015-11-30 15:08:43,"Enlightenment and the unconditional good : from Fichte to the Frankfurt school: James, David.  (2015) En... https://t.co/UzP3Kak14r #wrap",0,False
671316639132946433,2015-11-30 13:15:33,"Population genetic structure of 4,12:a :- salmonella enterica strains from harbor porpoises: Haase, Jana... https://t.co/AVLzqEBEKL #wrap",0,False
671316637920788481,2015-11-30 13:15:33,Preterm toddlers' inhibitory control abilities predict attention regulation and academic achievement at ... https://t.co/NpHeR0U7yD #wrap,0,False
671288237000814592,2015-11-30 11:22:42,"Fitting and formation theory in locally finite groups: Klimowicz, Anthony Aleksander  (1973) Fitting and... https://t.co/z2hMjEX3zb #wrap",0,False
671288236178669568,2015-11-30 11:22:42,Results of the search for neutrinoless double-β decay in 100Mo with the NEMO-3 experiment: NEMO-3 Collab... https://t.co/bNt8TRLmm2 #wrap,0,False
670288635246211072,2015-11-27 17:10:38,"Dynamics of the excitonic coupling in organic crystals: Aragó, Juan and Troisi, Alessandro.  (2015) Dyna... https://t.co/D1dTSkXtEB #wrap",0,False
670261627481030656,2015-11-27 15:23:19,"Form-finding : an alternative to structural optimisation: Lewis, W. J. (Wanda J.).  (2015) Form-finding ... https://t.co/v0ndaG2G53 #wrap",0,False
670261626361131008,2015-11-27 15:23:19,"Regimes of exciton transport in molecular crystals in the presence of dynamic disorder: Aragó, Juan and ... https://t.co/jiRU0Wd6XE #wrap",0,False
670233788723499008,2015-11-27 13:32:42,Manufacture of electrical and magnetic graded and anisotropic materials for novel manipulations of micro... https://t.co/n2Lkk03WF0 #wrap,0,False
670233787700109314,2015-11-27 13:32:41,"Ballistic damage of alumina ceramics - learning from fragments: Wu, Houzheng, Ghosh, Santonu, Dancer, Cl... https://t.co/pz8Y6Spy7U #wrap",0,False
669929057362931717,2015-11-26 17:21:48,"Smartphone data usage : downlink and uplink asymmetry: Yang, Bowei, Guo, Weisi, Jin, Yanliang and Wang, ... https://t.co/SM9iPo8uQk #wrap",0,False
669929056494727169,2015-11-26 17:21:48,"Efficient search, mapping, and optimization of multi-protein genetic systems in diverse bacteria: Farasa... https://t.co/h4yN0ypi6X #wrap",0,False
669874661300133888,2015-11-26 13:45:39,Identification of the ISWI chromatin remodeling complex of the early branching eukaryote Trypanosoma bru... https://t.co/BHHx9kcztR #wrap,0,False
669874660389982209,2015-11-26 13:45:39,Dataset to support article: ‘The effect of oxide precipitates on minority carrier lifetime in n-type sil... https://t.co/waH3hniwda #wrap,0,False
669846963668434944,2015-11-26 11:55:35,TbISWI regulates multiple polymerase I (Pol I)-transcribed loci and is present at Pol II transcription b... https://t.co/DoR467n5Fo #wrap,0,False
669846962393346049,2015-11-26 11:55:35,"What do dietetics students think professionalism entails?: Marais, Debbie, Marais, Maritha, Visser, Jani... https://t.co/fK9AccYaoR #wrap",0,False
669593030534430720,2015-11-25 19:06:33,"Participatory training in monitoring and evaluation for maternal and newborn health programmes: Bell, Ja... https://t.co/anA0uEVHdg #wrap",0,False
669593029720694784,2015-11-25 19:06:33,"An analysis of factors linked to the decline in maternal mortality in Nepal: Shrestha, Sanu, Bell, Jacqu... https://t.co/IrWjmhRarQ #wrap",0,False
669559872938078208,2015-11-25 16:54:48,"Thiamine : a study of its chemistry, biochemistry and mechanism of action: Knell, Alan John  (1970) Thia... https://t.co/vBpztjyZnR #wrap",0,False
669559871738548225,2015-11-25 16:54:47,Development of an AFASS assessment and screening tool towards the prevention of mother-to-child HIV tran... https://t.co/xLjuNbEw98 #wrap,0,False
669528333072248832,2015-11-25 14:49:28,"Some empirical results concerning the modelling of industrial distribution systems: Atkins, Derek  (1972... https://t.co/R9euRxiJ2h #wrap",0,False
669495093326315520,2015-11-25 12:37:23,"Protein synthesis in chloroplasts: Blair, G. Eric  (1974) Protein synthesis in chloroplasts.  PhD thesis... https://t.co/rlK99QYsaz #wrap",0,False
669495092072153088,2015-11-25 12:37:23,"Unveröffentlichte Einzelgedichte und Kommentar: Jordan, James and Gerstenbräun , Martin  (2015) Unveröff... https://t.co/OngAphzodM #wrap",0,False
669465270562496512,2015-11-25 10:38:53,"Methyl quinones in oxidative phosphorylation: Wilson, Roger Graham  (1968) Methyl quinones in oxidative ... https://t.co/r0Io9Mhpja #wrap",0,False
669228759501832193,2015-11-24 18:59:04,"Efficient access to conjugated 4,4ʹ-bipyridinium oligomers using the Zincke reaction: Synthesis, spectro... https://t.co/3y2M8TzKru #wrap",0,False
669196512857948160,2015-11-24 16:50:56,"xBASE2 : a comprehensive resource for comparative bacterial genomics: Chaudhuri, R. R., Loman, Nicholas ... https://t.co/Yor0mSj7MX #wrap",0,False
669196511905878016,2015-11-24 16:50:56,"The WXG100 protein secretion system of streptococcus agalactiae: Attwood, N., Whitehead, R., Shukla, A.,... https://t.co/nl43QhnSKo #wrap",0,False
669165971530100736,2015-11-24 14:49:34,Prospective pilot evaluation of the effectiveness and cost-utility of a 'health first' case management s... https://t.co/2ickUfoIWf #wrap,0,False
669165969718165504,2015-11-24 14:49:34,Utility of biomarkers in the differential diagnosis of heart failure in older people : findings from the... https://t.co/RDdRA1HKtw #wrap,0,False
669134575134609408,2015-11-24 12:44:49,Comparative analysis of two Neisseria gonorrhoeae genome sequences reveals evidence of mobilization of C... https://t.co/21wc7AUXzz #wrap,0,False
669134574241214465,2015-11-24 12:44:49,"Early years practitioners' views on early personal, social and emotional development: Aubrey, Carol  and... https://t.co/YbSg9aC3V7 #wrap",0,False
669104608287981568,2015-11-24 10:45:44,"Genome sequence of the emerging pathogen helicobacter canadensis: Loman, Nicholas J., Snyder, Lori A. S.... https://t.co/cXb0LPg54c #wrap",0,False
669104607260372992,2015-11-24 10:45:44,"Improving professional learning through in-house inquiry: Abbott, Ian and Middlewood, David  (2015) Impr... https://t.co/Vr6yDsx7An #wrap",1,False
668858220052549632,2015-11-23 18:26:41,"The human microbiome and host–pathogen interactions: Pallen, Mark J.  (2011) The human microbiome and ho... https://t.co/FwircBNQAf #wrap",0,False
668858218970349568,2015-11-23 18:26:40,"Studies concerning the piericidins: Coles, Christopher John  (1970) Studies concerning the piericidins. ... https://t.co/7gBKKyQ5SK #wrap",0,False
668829515968176129,2015-11-23 16:32:37,Cross-reactive monoclonal and polyclonal antibodies which recognize surface proteins from coagulase-nega... https://t.co/EGqvNSRQBC #wrap,0,False
668829514865098752,2015-11-23 16:32:37,"Forced symmetry breaking of Euclidean equivariant partial differential equations, pattern formation and ... https://t.co/VU7UeBci1n #wrap",0,False
668800463932776448,2015-11-23 14:37:10,"Strategic foresight for (coastal) urban tourism market complexity : the case of Bournemouth: Carlisle, S... https://t.co/XKXfSKTC9R #wrap",0,False
668800463085547521,2015-11-23 14:37:10,"Some theorems in combinatorial topology: Armstrong, M.A.  (1966) Some theorems in combinatorial topology... https://t.co/zBcdCAe8vS #wrap",0,False
668772227551092737,2015-11-23 12:44:58,Volatiles from Biofumigant Plants have a Direct Effect on Carpogenic Germination of Sclerotia and Myceli... https://t.co/Fk521j9OQc #wrap,0,False
668772226464792576,2015-11-23 12:44:58,"Survival and lifetime data analysis with a flexible class of distributions: Rubio, Francisco J. and Hong... https://t.co/c6KSQphp5s #wrap",0,False
668743207220473856,2015-11-23 10:49:39,"Replication of Semliki Forest virus RNA in infected chick cells: Martin, Brian Anthony Bernard  (1973) R... https://t.co/T8m9vsQ6Mw #wrap",0,False
667745708036886528,2015-11-20 16:45:57,Non-covalent functionalization of graphene oxide by pyrene-block copolymers for enhancing physical prope... https://t.co/X0HbXqhLz8 #wrap,0,False
667716328732553217,2015-11-20 14:49:12,"Delivering diabetes care to ethnic groups : a pilot general practice survey: Zeh, Peter.  (2010) Deliver... https://t.co/i7DMSAs6WP #wrap",0,False
667716327805579264,2015-11-20 14:49:12,"Corporate post-retirement benefit plans and real investment: Bartram, Söhnke M..  (2015) Corporate post-... https://t.co/9ZPV3ImFQX #wrap",0,False
667655921275764736,2015-11-20 10:49:10,Redesigning postnatal care : results of a cluster randomised controlled trial of a new model of midwifer... https://t.co/KxNrZu9H1b #wrap,0,False
667655920374026240,2015-11-20 10:49:10,"Postnatal care - women's help seeking behaviour and their views about health: Biggerstaff, Deborah, Maca... https://t.co/7zA5hu3JXd #wrap",0,False
667450952757043201,2015-11-19 21:14:42,Maternal experience of Lego Therapy in families with children with autism spectrum conditions : what is ... https://t.co/wfjIHTa9Ek #wrap,0,False
667450951897190400,2015-11-19 21:14:42,"Rapport management model: Spencer-Oatey, Helen  (2015) Rapport management model.   In: Tracey, Karen, (e... https://t.co/kg04xfovUU #wrap",0,False
667394756096356352,2015-11-19 17:31:24,"Politeness strategies : rapport theory: Bennett, Janet M.  (2015) Politeness strategies : rapport theory... https://t.co/utKCCZnofn #wrap",0,False
667394755194523648,2015-11-19 17:31:23,"Internationalisation in the UK higher education sector : a competency-based approach: Reid, Stuart, Spen... https://t.co/ElyHTFxzln #wrap",0,False
667336961988800512,2015-11-19 13:41:44,"Regulation of endoplasmic reticulum stress in adipose tissue metabolism: Voyias, Philip D.  (2015) Regul... https://t.co/WpOJI29Z2x #wrap",0,False
667336960520810496,2015-11-19 13:41:44,Exploring teacher-student classroom feedback interactions on EAP writing : a grounded theory approach: U... https://t.co/jSZHnF8rqX #wrap,0,False
667307061919649792,2015-11-19 11:42:56,The gains and losses of face in ongoing intercultural interaction : a case study of Chinese participant ... https://t.co/tlCMldgUFg #wrap,0,False
667307060317388801,2015-11-19 11:42:55,Review of Psychological perspectives on pregnancy and childbirth by Sarah Edinburgh Clement (ed.): Bigge... https://t.co/DVMZUQ7SjL #wrap,0,False
667060696731922432,2015-11-18 19:23:58,"Cretney and Probert's Family Law [9th edition]: Probert, Rebecca and Harding, Maebh  (2015) Cretney and ... https://t.co/wdhDAKsD43 #wrap",0,False
667060695926595584,2015-11-18 19:23:57,"The experiences and risks of living with bipolar disorder: Turner, Katie  (2015) The experiences and ris... https://t.co/v7DdyP0NdN #wrap",0,False
667032009961705472,2015-11-18 17:29:58,"At interregnum : Hong Kong and its English writing: Tsang, Michael Yat Him  (2015) At interregnum : Hong... https://t.co/Wmhgh00sZh #wrap",0,False
667002325941153795,2015-11-18 15:32:01,"Variational methods for geometric statistical inference: Thorpe, Matthew  (2015) Variational methods for... https://t.co/Md3feANCjO #wrap",0,False
667002324166950912,2015-11-18 15:32:01,"Spatial scaling of soil microbes under different land uses: Thomson, Serena K.  (2015) Spatial scaling o... https://t.co/9W5ouguurG #wrap",0,False
666941505387499520,2015-11-18 11:30:20,"Knowledge leadership : mobilising management research by becoming the knowledge object: Fischer, M., Dop... https://t.co/MWDRAZug3n #wrap",0,False
666941504146010114,2015-11-18 11:30:20,"Overhead labour and skill-biased technological change : the role of product diversification: Nam, Choong... https://t.co/McCLngVyqB #wrap",0,False
666670843548667904,2015-11-17 17:34:49,"Efficient simulation of internal multiscale gas flows: Patronis, Alexander  (2015) Efficient simulation ... https://t.co/ZxMjyAPVsS #wrap",0,False
666670842458210304,2015-11-17 17:34:49,"R URGENT : Mood instability : significance, definition and measurement: Broome, Matthew R., Saunders, K.... https://t.co/PX9jsmrcAk #wrap",0,False
666640401009250304,2015-11-17 15:33:51,"Genome Sequence of the Pandoraea apista LMG 16407 Type Strain: Millard, Andrew D., Westblade, Lars, LiPu... https://t.co/VreUuofwYz #wrap",0,False
666640399784501248,2015-11-17 15:33:51,Implant optimisation for primary hip replacement in patients over 60 years with osteoarthritis : a cohor... https://t.co/Prl7Duh1bG #wrap,0,False
666611187027603456,2015-11-17 13:37:46,Barriers to accurate diagnosis and effective management of heart failure have not changed in the past 10... https://t.co/v8OOAayS1B #wrap,0,False
666611186079653889,2015-11-17 13:37:46,"Renal failure in lithium-treated bipolar disorder : a retrospective cohort study: Close, Helen, Reilly, ... https://t.co/B0UjfExICo #wrap",0,False
666582713026015232,2015-11-17 11:44:37,"Prior hysterectomy and discomfort during colonoscopy : a retrospective cohort analysis: Dyson, Jessica K... https://t.co/XGBDfzuYOE #wrap",0,False
666582711612542976,2015-11-17 11:44:37,"Development of prenatal lateralization : evidence from fetal mouth movements: Reissland, N., Francis, B.... https://t.co/nQ4nMuEaZT #wrap",0,False
666553981150203904,2015-11-17 09:50:27,"Reshaping critical geopolitics? : the materialist challenge: Squire, Vicki.  (2015) Reshaping critical g... https://t.co/MD4MUdtxzn #wrap",0,False
666553980135149568,2015-11-17 09:50:27,"Desert ‘trash’ : posthumanism, border struggles, and humanitarian politics: Squire, Vicki.  (2014) Deser... https://t.co/taDrV9P4oQ #wrap",0,False
666319206804144128,2015-11-16 18:17:33,"Fast magnetoacoustic waves in non-equilibrium solar wind and coronal plasmas: Selzer, Luke A.  (2015) Fa... https://t.co/T2b5jw1mwm #wrap",0,False
666319205902319617,2015-11-16 18:17:32,"Sandwich steels for crash energy absorption applications: Sharma, Sanjeev  (2014) Sandwich steels for cr... https://t.co/GxgTu4ghgD #wrap",0,False
666289491330600960,2015-11-16 16:19:28,"The politics of labour and development in Trinidad and Tobago: Kiely, Ray, 1964-  (1991) The politics of... https://t.co/KUMNBcKYvX #wrap",0,False
666289490403573760,2015-11-16 16:19:28,"Postfeminism and the European chick-flick in France: Harrod, Mary  (2015) Postfeminism and the European ... https://t.co/07KaEwj7z2 #wrap",0,False
666260268033282048,2015-11-16 14:23:21,"Remembering Dennis Potter through fans, extras and archives: Garde-Hansen, Joanne and Grist, Hannah  (20... https://t.co/8B85P587yc #wrap",0,False
